evaluations raw_y
1 6481.4607340122
8 6536.6694232093
9 3730.2589827086
1071 3740.8030679349
1164 3862.6818529760
1174 3467.5460752550
1176 3416.6131975435
1177 3350.9959646658
1179 3224.2006114351
1182 3240.2887359049
1183 3217.2252418473
1185 3169.2183125635
1217 3226.4041061818
1219 3176.5111388621
1220 3191.6977457768
1222 3076.2083796947
1230 3036.8268171741
1273 2938.5605552775
1284 3107.1630739814
1287 3119.5301276604
1289 3020.8338845821
1290 2971.8099409303
1294 2963.6214533537
1308 2972.2878019661
1320 2981.2089913421
1323 2976.7307106035
1324 2933.4991415566
1336 2944.0243265276
1339 2871.9450293090
1340 2843.7981023989
1344 2718.8751323954
1434 2384.5349376479
1442 2364.3291462664
1443 2314.9371747414
1445 2310.5105432271
1446 2311.3058038026
1482 2333.4536045059
1484 2270.1231643328
1486 2261.6597821242
1494 2284.3289429420
1503 2253.0435791063
1504 2237.3034919383
1531 2290.2200762026
1534 2280.2048986877
1536 2243.5581264153
1539 2206.1961171053
1557 2129.5719106338
1558 2034.5388627653
1561 1983.5858043949
1563 1969.4314757885
1566 1879.2932657326
1568 1876.7819812241
1572 1851.8157201866
1577 1834.2353560725
1595 1840.8018184644
1597 1799.6044120477
1611 1745.7243832909
1613 1708.7269323260
1614 1707.3127634898
1651 1629.4021746258
1663 1621.0674749613
1671 1634.9662683345
1712 1650.0569194137
1746 1605.1985383995
1748 1586.2671088253
1751 1575.9758820510
2030 1532.5717928395
2132 1495.8132427171
2181 1390.8448865271
2184 1390.4779516661
2187 1393.2231562603
2188 1377.9890342455
2193 1344.7759801608
2377 1369.5512323394
2384 1336.6319224337
2386 1305.1546850339
2432 1321.6579385705
2483 1260.6848647762
2486 1246.6864217610
2590 1252.6401662359
2665 1259.1258375033
2666 1257.4535804930
2670 1257.0335462878
2672 1254.1457121081
2675 1248.0028254178
2686 1236.2398824448
2689 1233.2064296183
2691 1235.5105576256
2696 1224.0244672956
2702 1197.1359134966
2705 1190.3620961017
2708 1177.6213761686
2714 1162.1900015569
2716 1162.8409843450
2766 1168.9527156794
2775 1172.3754475394
2778 1163.1210991173
2803 1154.1507881703
2805 1148.8938533817
2807 1146.4971027995
2808 1137.9703525345
3374 1134.7050581902
3378 1125.6668971494
3380 1123.7454622056
3394 1119.5292431462
3402 1117.0295097536
3405 1113.5890147274
3407 1113.0887467005
3410 1112.2502791303
3412 1112.1157404202
3413 1109.9109150553
3414 1110.0001990397
3419 1107.7341599048
3424 1106.7832721243
3446 1097.4473072878
3448 1095.1534657444
3450 1092.5053903238
3468 1090.5662219541
3469 1087.2754847184
3471 1079.1561497560
3473 1076.5388967211
3567 1076.5495880403
3597 1072.3254927413
3607 1071.4085751534
3608 1070.5135142383
3609 1067.8377285715
3613 1066.3696864751
3614 1065.9353538531
3618 1065.3782225987
3620 1064.0684873398
3621 1064.3485978566
3672 1062.3495974498
3677 1061.5317845232
3681 1058.4767761514
3683 1057.6448897152
3684 1057.2735107116
3688 1055.0420239119
3757 1053.5652775528
3758 1053.0597520340
3759 1052.9742723761
3761 1052.8887462647
3762 1052.5160218992
3763 1052.5201479585
3765 1051.9915204559
3770 1052.1918538667
3771 1050.0882593470
3787 1047.2204139352
3788 1046.7218713048
3795 1044.4547517845
3796 1043.4033519760
3798 1043.6181782449
3805 1041.6582268046
3809 1039.6452131109
3840 1038.4222794515
3843 1038.2190650273
3845 1037.4816682562
3847 1037.3179887506
3853 1036.3564511326
3854 1034.9369029770
3855 1034.2731318077
3856 1033.2156861527
3904 1032.2954835290
3920 1031.2761148541
3931 1030.6422372831
3942 1030.2725021877
3944 1029.6027730900
3946 1028.4235578622
3948 1027.5220646869
3982 1026.8109456532
3985 1026.4127471998
3989 1026.2563852540
3990 1026.1761880819
3991 1026.0313457891
3993 1025.4010708374
3994 1024.4842132298
3996 1024.4971905673
4008 1024.6054072611
4011 1024.6387483219
4023 1024.0532748822
4033 1022.8728202170
4035 1022.2740761086
4036 1022.0128155303
4037 1021.8021899695
4041 1021.2207610208
4042 1020.9267265464
4049 1021.2020695750
4059 1020.9537962020
4067 1020.2689663260
4070 1019.4713858434
4071 1018.8118496056
4074 1017.4458165722
4076 1017.0667666386
4077 1016.6088651743
