evaluations raw_y
1 120430530.3813038021
2 16443967.2353584897
18 1176901.5194653887
22 1041675.4502563784
26 809979.1238928577
28 638758.4388543433
40 522917.1276188123
41 197450.9740894954
42 16445.6654913686
66 5947.0165842475
78 5057.2286543637
9826 5047.4137392797
9828 5018.2851554191
9838 4948.1065149324
9839 4928.8135749224
9840 4905.4596393299
9851 4896.1562904289
9853 4812.8663672780
9858 4790.5403675446
9863 4766.9925475707
9865 4764.9261255060
9869 4730.6541828811
9870 4684.7011431803
9871 4667.7153136406
9872 4666.0701412109
9874 4592.0759210427
9879 4500.1511214730
9885 4477.4982277187
9886 4431.0284563140
9896 4400.5627771651
9898 4393.0443143062
9963 4364.3993630791
10039 4354.9508583631
10054 4329.1822498996
10066 4323.9123504038
10068 4258.9224352831
10069 4244.4598289847
10071 4224.1814030166
10153 4206.4389343671
10159 4195.0420116136
10160 4170.7465255843
10184 4167.8942578235
10193 4147.5208624604
10232 4140.4284758117
10235 4109.8971566370
10237 4104.1970888650
10238 4098.5214941225
10243 4084.3759749989
10271 4083.2740565294
10292 4080.4986726505
10294 4075.0145546511
10298 4069.0099035822
10300 4068.5209124222
10301 4060.7610590558
10304 4059.3895777887
10306 4055.7466127851
10308 4048.3484627564
10332 4044.0641910990
10337 4031.1445912407
10339 4020.5550121344
10340 4003.0059663311
10348 3996.4584009324
10351 3984.5636104442
10355 3971.3389130633
10363 3970.8756516538
10364 3966.9563173054
10365 3953.0119794473
10368 3935.6664749893
10371 3924.3263726493
10374 3918.5118778916
10377 3889.7869682752
10378 3871.5629797371
10380 3871.5079057380
10381 3869.8034874017
10383 3869.4031840551
10385 3852.9040295394
10387 3847.6796161317
10391 3817.4250899251
10411 3795.9543864091
10418 3774.2912661233
10420 3760.3560010099
10424 3753.2076800279
10426 3742.6743491189
10431 3722.9262368847
10434 3701.7672568361
10441 3700.3399059894
10506 3672.9992728604
10509 3609.6810849113
10510 3606.0975593252
10521 3601.1144103833
10604 3591.7687109978
10607 3585.6980129131
10620 3577.5567301645
10622 3561.7358354119
