evaluations raw_y
1 191.4760071556
2 128.7943444909
13 93.0620032650
16 82.6614730956
18 76.4771142044
506 75.7287326396
507 73.6420450007
762 73.6400422540
773 73.3131404154
856 71.9330539397
857 71.0398203676
862 69.8675668672
866 68.2868246297
875 68.2315892022
876 68.1383096036
877 67.6657149946
891 66.6043753701
893 65.6234945988
894 65.4335881516
895 65.3250456395
897 64.5566623128
902 64.2670519955
903 64.2628711815
904 64.0517608790
905 61.8628450532
907 61.0986667644
909 60.9310895300
916 60.2579602752
917 59.7998029155
920 59.4389638259
921 58.7451592044
923 57.9290184284
926 57.4438087098
969 57.2679621619
971 56.5283991151
973 55.0307195872
975 54.0484857962
1037 53.5520112030
1043 53.5234537308
1044 53.2876852053
1050 53.2860782802
1051 53.0439152341
1053 52.6043139671
1055 52.4798983030
1061 52.1532413433
1062 51.8513669825
1064 50.5804097020
1065 50.2992146180
1073 50.2155400745
1076 49.6003478110
1077 49.5711904688
1079 49.2153747723
1084 48.9895580289
1085 48.4297569681
1087 48.3796073730
1088 48.2924969645
1090 48.1745284316
1092 47.4691503799
1098 47.3072233463
1100 46.9068778939
1101 46.3819782419
1104 46.2627929906
1177 46.2203389084
1183 46.1872681882
1194 46.1793154419
1196 46.0262320433
1198 45.6531163128
1199 45.5713733995
1203 45.3877422287
1212 45.2682448785
1215 45.2047081960
1221 45.1547079801
1246 44.8939698576
1247 44.6659257044
1250 44.2264109330
1253 44.1772097530
1254 43.7275386608
1257 43.4492369720
1259 43.1800138704
1261 43.1013530458
1263 43.0702704567
1267 42.8449037628
1273 42.7249486609
1275 42.6326933596
1277 42.0976270715
1281 41.7664141037
1286 41.7036098646
1287 41.3783554752
1288 40.9234443094
1290 40.8395883546
1292 40.7456268266
1293 40.6103617855
1301 40.3332957059
1302 40.2477429199
1306 40.0355057717
1307 39.7823853905
1309 39.6221909613
1311 39.0231297912
1314 38.8942946513
1315 38.6213464671
1325 38.5820251598
1328 38.4023639861
1330 38.2837732882
1335 38.1441646552
1340 38.0735822597
1345 37.7370629799
1348 37.5215149257
1349 37.1813592429
1351 37.0573527505
1354 36.6073685424
1369 36.5360399516
1408 36.5283808601
1411 36.0015138524
1414 35.5070715058
1433 35.3184636193
1437 35.0998964812
1439 34.6361134192
1443 34.5435167936
1444 34.4857775846
1446 34.2489983428
1449 34.2030006792
1450 34.1874761719
1454 33.9604257902
1463 33.7922507084
1466 33.4529310753
1468 33.3259395358
1470 33.2963621368
1474 33.2617378670
1475 33.2029506193
1476 32.8672269743
1482 32.7465909180
1496 32.6247351222
1500 32.5933478403
1501 32.5636174874
1503 32.3181396860
1506 32.3018417749
1507 32.2858780128
1515 32.1627740240
1517 31.9669676771
1522 31.8966263689
1528 31.8022420098
1537 31.7026275960
1538 31.6769249190
1540 31.5675516725
1541 31.2176832197
1544 31.0874987063
1545 30.7956020423
1547 30.6598591765
1550 30.4168569460
1555 30.2258224859
1569 30.1822272236
1572 30.0329910608
1573 29.6182840272
1576 29.3381352972
1584 29.2559023197
1596 28.8019014750
1601 28.5838608916
1602 28.4643367574
1604 28.0871957834
1605 28.0645351883
1606 28.0294640320
1608 27.7999550929
1622 27.5641072137
1626 27.3617554236
1686 27.0050597229
1687 26.8821701594
1815 26.8067762956
1816 26.7857522404
1826 26.6738000019
1829 26.5450576644
1831 26.4069516624
1851 26.2308512812
1853 26.2088822720
1856 25.8784601056
1857 25.7286249582
1866 25.6492339334
1868 25.4296735051
1869 25.1593438743
1872 24.9383938247
1873 24.8506166582
1879 24.8329443381
1880 24.8196548254
1882 24.7798554148
1891 24.5831793027
1893 24.1628836631
1903 24.0160628424
1906 23.8255106008
1909 23.5975400062
1911 23.5826162048
1912 23.4733612080
1914 23.4201808674
1954 23.3037838989
1956 22.9424324405
1957 22.7033349001
1994 22.4522721544
1997 22.1654161093
2008 22.1061233573
2010 21.9294507392
2011 21.4678871000
2013 21.4440431493
2015 21.4302789769
2018 21.3737895292
2019 21.0404257465
2066 21.0216871280
2067 20.9985736521
2070 20.9419532856
2074 20.8817612411
2075 20.7435910560
2077 20.5874555355
2082 20.5685805389
2088 20.5464253952
2096 20.5122242422
2103 20.3602564945
2105 20.3413372528
2119 20.2020844502
2123 19.9177755530
2125 19.8529389318
2126 19.7471043919
2128 19.7285695166
2206 19.6264189587
2214 19.6023512631
2215 19.5767700555
2219 19.5002458637
2222 19.4551070115
2223 19.3286954003
2226 19.3041562310
2227 19.0809761617
2230 19.0427199990
2231 18.9663369560
2242 18.9509462532
2251 18.9394030592
2253 18.8994173165
2258 18.8710291669
2260 18.8553122274
2261 18.8324964537
2273 18.8092079041
2275 18.8078450297
2276 18.7801722089
2277 18.7496012881
2279 18.7296748749
2281 18.6843085991
2284 18.6715168898
2287 18.6077879519
2289 18.5509066899
2291 18.4432966349
2293 18.3551057013
2296 18.3037630474
2298 18.2897409112
2299 18.2627399793
2300 18.2568339698
2301 18.2151785624
2302 18.1931849570
2304 18.1611572552
2311 18.1370265999
2312 18.0857515736
2313 17.9037095921
2315 17.8889435048
2316 17.7900484767
2322 17.7404610589
2328 17.7212032201
2329 17.5829053798
2331 17.5467548047
2333 17.4058017550
2343 17.3492886285
2347 17.1720947164
2355 17.1200041660
2361 16.9914912484
2364 16.9217348961
2365 16.8347326188
2368 16.7827206493
2369 16.6894859821
2371 16.6643329133
2375 16.6449642829
2379 16.4506618649
2383 16.4421531018
2391 16.3241597201
2394 16.3189212024
2397 16.2876721496
2398 16.2142846252
2403 16.1345061483
2405 16.1167406496
2407 16.1064751884
2412 16.0882596521
2413 15.9735198778
2442 15.9112137393
2448 15.8849693675
2449 15.8785076043
2467 15.8135974172
2469 15.7970286973
2472 15.7160259343
2474 15.5337177385
2482 15.4603614942
2505 15.3741519225
2508 15.3630340568
2509 15.3620821511
2512 15.3572558342
2518 15.1396170048
2538 15.0369373157
2541 15.0063539246
2546 14.9902604190
2574 14.8736935432
2575 14.8629031430
2580 14.6410186691
2581 14.6118362704
2582 14.5583156814
2588 14.5389265845
2590 14.4145743887
2592 14.3626562468
2593 14.3487741019
2598 14.3418961264
2602 14.2488256756
2607 14.2241441692
2610 14.1074420067
2612 14.0632293876
2613 14.0465192007
2614 14.0038175666
2623 13.9946853136
2628 13.9385991042
2629 13.8972604174
2630 13.8817397995
2631 13.8771231510
2639 13.8652150058
2641 13.7941818462
2649 13.7772132349
2653 13.7410242087
2664 13.7239597046
2665 13.7234732285
2671 13.7088406364
2673 13.6878448736
2675 13.6546791921
2678 13.6244069810
2680 13.5861666179
2686 13.5765258388
2688 13.5495204598
2689 13.4868618099
2692 13.4775807113
2694 13.4128822660
2695 13.3468481173
2700 13.3425997298
2701 13.3120910392
2703 13.2930144796
2719 13.2853178125
2720 13.2834338788
2724 13.2278233051
2728 13.2057540812
2729 13.1660368303
2730 13.1562498904
2732 13.1509402485
2734 13.1454366671
2737 13.1286257950
2738 13.1255494925
2739 13.1020421143
2743 13.0672040425
2746 13.0467098664
2751 13.0380574168
2753 12.9934917230
2758 12.9426870684
2764 12.9416020170
2765 12.9346080414
2767 12.9325403926
2768 12.9246942584
2787 12.8943996749
2789 12.8806260747
2790 12.8665997782
2792 12.8561071234
2794 12.8442660026
2796 12.8427786054
2797 12.8169951683
2799 12.7992256655
2801 12.7792708794
2804 12.7457899827
2806 12.7004158537
2809 12.6573059872
2811 12.6570481925
2814 12.6150796948
2815 12.6104861173
2818 12.5775437656
2819 12.5675673507
2820 12.5661986263
2821 12.5647270950
2823 12.5595945422
2826 12.5036158843
2827 12.4962878368
2828 12.4937493328
2829 12.4093344435
2835 12.3645258048
2837 12.3535468189
2839 12.3453328005
2845 12.2966850843
2897 12.2639631841
2899 12.2374925906
2903 12.2215260448
2905 12.1599365532
2907 12.1276010545
2909 12.1089137606
2912 12.1050896970
2916 12.0575381474
2918 12.0439302946
2924 12.0269405328
2931 11.9813426103
