evaluations raw_y
1 87.5027248402
5 18.0820405111
56 14.1919932511
225 12.5924501580
270 12.4080068344
272 11.6684718327
277 8.9770182557
762 8.4615275593
2204 21.7536715129
evaluations raw_y
1 106.1579081197
3 52.4906156409
5 34.9826591612
44 27.9209657649
45 24.4174518174
52 18.9883291280
259 15.3828949704
265 14.7236453759
329 14.1534348012
362 14.0251761392
1433 14.0018437457
1434 13.7847579792
1462 13.6028783635
1758 13.6007979645
1759 13.5338153274
1761 13.5140024779
1774 13.5106168223
1778 13.5097770179
1781 13.5055030304
1782 13.4999199777
1972 13.4983010042
1973 13.4791973976
2029 13.4715762750
2041 13.4705424892
2044 13.4682635889
2083 13.4633281383
2111 13.4612192495
2113 13.4568078340
2148 13.4531100906
2151 13.4500987975
2154 13.4465805086
2164 13.4463186947
2167 13.4449932978
2176 13.4432309021
2199 13.4413600120
2202 13.4412167726
2204 13.4409649651
2205 13.4381989585
2208 13.4378567290
2210 13.4353984724
2217 13.4349948218
2219 13.4304063159
2227 13.4287604746
2236 13.4263659183
2262 13.4251922378
2264 13.4168255979
2266 13.4159470793
2270 13.4148085095
2280 13.4129609252
2282 13.4123695353
2284 13.4116665896
2288 13.4094304164
2294 13.4074668171
2296 13.4063488555
2297 13.4049439930
2299 13.4049124014
2301 13.4043384326
2302 13.4031216261
2303 13.4022483478
2306 13.4015419651
2307 13.3995512568
2312 13.3994655509
2323 13.3993500177
2325 13.3985694055
2330 13.3972940615
2343 13.3971299755
2346 13.3964459160
2348 13.3943770781
2349 13.3933050537
2359 13.3928767035
2361 13.3914903749
2364 13.3908494920
2370 13.3906502031
2372 13.3895654504
2381 13.3882632678
2387 13.3858774500
2389 13.3853619481
2392 13.3836625524
2398 13.3795858934
2402 13.3757183353
2404 13.3735201075
2405 13.3729019934
2406 13.3703709457
2407 13.3702308760
2410 13.3662304611
2412 13.3648923443
2413 13.3636331921
2415 13.3625709426
2416 13.3617722079
2418 13.3594778091
2420 13.3592003849
2424 13.3565509992
2425 13.3524172588
2428 13.3485085264
2429 13.3469336406
2436 13.3462293290
2437 13.3444792779
2475 13.3438811394
2478 13.3418970750
2480 13.3386291982
2487 13.3371839249
2489 13.3364826846
2491 13.3352577586
2494 13.3306628870
2496 13.3293698593
2497 13.3278764839
2503 13.3270067654
2512 13.3245294894
2513 13.3228040114
2520 13.3221878927
2522 13.3192514500
2523 13.3173942827
2526 13.3158174606
2530 13.3147362103
2531 13.3144423195
2533 13.3137313147
2534 13.3137069146
2538 13.3124157136
2540 13.3108005137
2541 13.3091806588
2542 13.3083273778
2543 13.3059517011
2546 13.3042907453
2547 13.3010413811
2557 13.3003858907
2561 13.3002003194
2569 13.3001756152
2571 13.2980770793
2576 13.2978028895
2577 13.2975125337
2578 13.2961591781
2580 13.2951541933
2581 13.2934628886
2591 13.2930326730
2593 13.2925439028
2595 13.2921189993
2596 13.2916759844
2597 13.2907858390
2599 13.2905570524
2600 13.2894071420
2605 13.2878397200
2607 13.2866991998
2610 13.2855979148
2613 13.2848874646
2616 13.2843268498
2617 13.2836959125
2620 13.2804346358
2621 13.2798331488
2622 13.2769594881
2623 13.2749193799
2626 13.2748197776
2628 13.2728602345
2632 13.2721836069
2634 13.2715439542
2635 13.2699656452
2637 13.2686668212
2638 13.2664432730
2640 13.2634361474
2644 13.2607201609
2646 13.2600718447
2647 13.2592585671
2649 13.2569063594
2651 13.2560898602
2653 13.2557750408
2656 13.2533770727
2657 13.2530991773
2659 13.2530519111
2660 13.2513711116
2661 13.2500766945
2664 13.2498642823
2678 13.2495554968
2680 13.2491640233
2699 13.2490563053
2700 13.2485253159
2701 13.2478817534
2704 13.2472573979
2705 13.2466438810
2707 13.2464901016
2710 13.2462686573
2711 13.2456199216
2725 13.2450328340
2751 13.2444531148
2755 13.2440770263
2759 13.2435117832
2762 13.2432814632
2773 13.2430047958
2774 13.2429582052
2775 13.2419061800
2778 13.2418639432
2779 13.2415150241
2785 13.2414815152
2799 13.2413749276
2801 13.2413288919
2802 13.2411761382
2803 13.2401558363
2805 13.2399506136
2811 13.2394141372
2813 13.2391027611
2814 13.2387469980
2819 13.2384727284
2824 13.2384036417
2825 13.2381680684
2828 13.2377918665
2829 13.2373744127
2832 13.2373340879
2837 13.2370271761
2842 13.2368574677
2845 13.2366357598
2846 13.2365680812
2848 13.2365202381
2849 13.2363993473
2852 13.2362906918
2865 13.2362503761
2867 13.2361553883
2873 13.2358391353
2875 13.2357598368
2892 13.2356252382
2894 13.2355894448
2895 13.2354661549
2898 13.2352541368
2913 13.2352311769
2914 13.2352029273
2919 13.2350667660
2921 13.2349562640
2923 13.2349237498
2937 13.2348903780
2939 13.2348350836
2941 13.2348197798
2946 13.2348102716
2949 13.2348011810
2951 13.2347906699
2953 13.2347550479
2954 13.2345755290
2956 13.2344779098
2957 13.2343636018
2959 13.2343086799
2962 13.2342374281
2964 13.2341202035
2965 13.2340990901
2966 13.2340654688
2969 13.2339459258
2971 13.2337927284
2974 13.2337872947
2982 13.2335695863
2987 13.2334460850
2997 13.2330317323
2999 13.2328500027
3001 13.2327096633
3008 13.2326584444
3009 13.2326014793
3010 13.2325368880
3012 13.2325238419
3013 13.2323233699
3014 13.2321175198
3015 13.2316515534
3017 13.2315103655
3018 13.2314302815
3019 13.2313944505
3022 13.2312362298
3024 13.2307982473
3025 13.2306607923
3026 13.2306323815
3028 13.2300769220
3029 13.2294662545
3031 13.2282106649
3033 13.2279876154
3035 13.2277059966
3036 13.2276734675
3042 13.2275348157
3043 13.2270078665
3048 13.2264348436
3049 13.2257605430
3051 13.2249676922
3054 13.2237594051
3055 13.2229631886
3058 13.2223399515
3059 13.2213667263
3063 13.2208033031
3065 13.2204005294
3067 13.2190478330
3071 13.2176243347
3072 13.2173847403
3073 13.2151090162
3081 13.2116336414
3083 13.2114273999
3086 13.2111898943
3087 13.2094861280
3089 13.2075332272
3091 13.2073514310
3094 13.2070847836
3097 13.2059976368
3108 13.2011778329
3109 13.1997461672
3114 13.1970115778
3115 13.1963823144
3118 13.1955923075
3126 13.1943896930
3128 13.1906982673
3129 13.1892672236
3136 13.1880318477
3156 13.1880097060
3172 13.1868216039
3174 13.1858132155
3193 13.1846688358
3194 13.1824443104
3196 13.1824435081
3199 13.1819913193
3203 13.1791446051
3204 13.1783273261
3208 13.1781904761
3221 13.1764890566
3225 13.1756790246
3227 13.1749538602
3229 13.1749330583
3230 13.1747238909
3231 13.1739925418
3234 13.1739684133
3252 13.1735898919
3253 13.1734710470
3254 13.1701213150
3257 13.1696522392
3259 13.1685885050
3262 13.1679675116
3263 13.1659436513
3265 13.1637546485
3268 13.1635953898
3269 13.1626413471
3275 13.1606859330
3277 13.1597263344
3279 13.1570472122
3281 13.1558971148
3284 13.1551247869
3285 13.1541898333
3288 13.1541376193
3298 13.1497721901
3316 13.1494257689
3412 13.1476923001
3416 13.1458801916
3440 13.1457171395
3443 13.1446398869
3446 13.1439247822
3451 13.1435971096
3453 13.1428445731
3455 13.1396163857
3457 13.1386914845
3459 13.1377620550
3471 13.1375529516
3474 13.1372428262
3478 13.1369981230
3479 13.1337593148
3486 13.1337184776
3489 13.1322152407
3491 13.1299531532
3495 13.1281730708
3499 13.1276377793
3501 13.1243569918
3503 13.1215551202
3505 13.1193133654
3507 13.1150219539
3513 13.1144694642
3515 13.1143258000
3518 13.1122549976
3520 13.1105303799
3522 13.1087118359
3523 13.1052630797
3525 13.1016970338
3541 13.1011845072
3560 13.0979971807
3561 13.0915834018
3569 13.0890145264
3571 13.0888417812
3573 13.0872773258
3576 13.0834871028
3579 13.0828584358
3585 13.0822432896
3589 13.0810774428
3590 13.0800553412
3592 13.0770926262
3594 13.0747598919
3600 13.0743643536
3604 13.0720426795
3605 13.0720116022
3606 13.0703474303
3607 13.0665227799
3663 13.0652182300
3665 13.0642620809
3672 13.0637768399
3673 13.0631719019
3674 13.0626447291
3675 13.0626414842
3679 13.0615819721
3680 13.0612632345
3690 13.0599781462
3691 13.0584311534
3693 13.0580904271
3703 13.0573373791
3706 13.0544505742
3708 13.0540491473
3709 13.0536215838
3711 13.0507638503
3713 13.0497638013
3717 13.0465751491
3725 13.0461650737
3730 13.0443851390
3732 13.0438137435
3738 13.0433711623
3739 13.0428626565
3740 13.0420547738
3742 13.0397956849
3745 13.0387642752
3748 13.0382985399
3750 13.0378506724
3751 13.0373631075
3757 13.0368497015
3758 13.0353667750
3759 13.0340404760
3762 13.0338175078
3765 13.0324898294
3767 13.0319290554
3775 13.0302899894
3777 13.0298102696
3778 13.0285694667
3780 13.0278707028
3782 13.0265447142
3784 13.0240258385
3785 13.0225043595
3788 13.0211149995
3792 13.0209348794
3793 13.0208038519
3794 13.0200583323
3795 13.0196364294
3797 13.0154514376
3806 13.0149135874
3808 13.0144472021
3813 13.0137757846
3814 13.0132122586
3818 13.0127512643
3819 13.0112318745
3820 13.0100705841
3822 13.0012227306
3824 13.0000904515
3825 13.0000472560
3826 12.9975379682
3827 12.9927872871
3829 12.9914144828
3831 12.9873032619
3850 12.9849062373
3852 12.9815607137
3853 12.9804924706
3855 12.9779293403
3859 12.9764376309
3863 12.9757713265
3864 12.9733980040
3866 12.9684430364
3874 12.9677296065
3879 12.9669894367
3881 12.9642945042
3883 12.9618625347
3884 12.9618433165
3887 12.9597809647
3890 12.9559103732
3892 12.9508349375
3902 12.9504489707
3904 12.9458769318
3906 12.9426183157
3907 12.9426120012
3910 12.9421568669
3911 12.9387622009
3913 12.9369631887
3928 12.9366709178
3929 12.9300720816
3933 12.9292114431
3936 12.9278649552
3937 12.9239974949
3944 12.9238964290
3945 12.9196961248
3955 12.9139613624
3959 12.9086947425
3962 12.9073687529
3969 12.9038324300
3972 12.9015174497
3974 12.8934117890
3980 12.8918559464
3981 12.8755801957
3984 12.8693511856
3986 12.8628511411
3987 12.8622959205
3989 12.8505614708
3991 12.8445337897
3994 12.8392840706
3996 12.8377432595
3998 12.8270892475
4002 12.8219661297
4003 12.8167398043
4018 12.8157812638
4019 12.8092111447
4021 12.8056413478
4024 12.8025028760
4026 12.8024748415
4027 12.7937563963
4029 12.7887661340
4035 12.7876222113
4037 12.7861445713
4040 12.7770755051
4045 12.7729903904
4046 12.7719197914
4050 12.7673697810
4068 12.7665929645
4073 12.7638587993
4075 12.7626976759
4078 12.7568111718
4083 12.7520037353
4085 12.7471673130
4086 12.7457392664
4089 12.7452440734
4092 12.7397858080
4093 12.7374292657
4096 12.7372727799
4098 12.7340629151
4099 12.7308944961
4101 12.7306420785
4106 12.7273879269
4115 12.7250700156
4126 12.7230187558
4130 12.7223797028
4131 12.7219845454
4132 12.7219531584
4136 12.7211104099
4137 12.7174971815
4139 12.7167739280
4141 12.7162884267
4142 12.7153657363
4144 12.7151498791
4145 12.7149661717
4147 12.7147231603
4151 12.7127994427
