evaluations raw_y
1 19.8206944735
2 11.4865713585
3 5.1919981538
544 5.9290501408
643 6.0475478884
645 6.7078309261
671 4.7473066496
1978 21.9926554937
evaluations raw_y
1 10.4599361875
2 13.0358982785
119 9.6251322682
515 6.7794587392
852 28.5303855199
evaluations raw_y
1 11.8201043019
2 14.0200903770
13 10.4939270770
184 6.8628570204
210 9.1135492442
216 10.1520895655
217 9.3146298731
218 9.4034704853
500 8.7749459255
868 4.9750020112
928 3.3691065103
4553 2.6359122081
10092 3.0400932698
evaluations raw_y
1 9.8515394348
490 6.4916221191
2266 3.9395765795
2920 1.9527226927
2980 1.7496392264
2982 1.4082134680
3002 1.3268529770
3003 1.0293695447
3450 1.0422734266
3495 1.0351070687
3871 1.0156491521
3879 0.9904159010
3931 0.9924196022
3933 0.9737667456
3934 0.9472634281
3936 0.9246867272
4177 0.9184107322
4186 0.9143124528
4225 0.8979046101
4239 0.8799037474
4281 0.8748121451
4283 0.8676903229
4289 0.8595968400
4294 0.8520703806
4408 0.8510056292
4425 0.8515147242
4428 0.8224847755
4453 0.8231079408
4458 0.8218289430
4493 0.8166550447
4500 0.8159321317
4502 0.8153785288
4547 0.8120073541
4554 0.8105615121
4610 0.8094485526
4612 0.8064551461
4640 0.8051817262
4641 0.7981000431
4650 0.7976964554
4652 0.7963483557
4825 0.7994604807
4827 0.7984224958
4834 0.7980335134
4891 0.7979560182
4937 0.7963897153
4955 0.7954259495
4956 0.7913842553
4983 0.7907865333
4991 0.7906702673
4993 0.7904078860
4995 0.7901885257
4997 0.7892091063
5000 0.7884911598
5001 0.7878690986
5002 0.7876805119
5012 0.7874316338
5013 0.7869303042
5031 0.7871870592
5045 0.7867967639
5049 0.7859401499
5166 0.7849729706
5174 0.7850837577
5175 0.7845970205
5178 0.7843202210
5179 0.7842018149
5183 0.7838929424
5199 0.7836685365
5201 0.7824045611
5213 0.7821421173
5282 0.7819285522
5285 0.7817400458
5289 0.7815373504
5293 0.7813255118
5296 0.7812736395
5317 0.7809634621
5320 0.7804700198
5325 0.7803147503
5335 0.7796228095
5338 0.7795029001
5359 0.7795550884
5361 0.7791407050
5389 0.7789915547
5393 0.7788526133
5394 0.7785536458
5396 0.7782881585
5399 0.7780646069
5401 0.7779647416
5410 0.7779823546
5412 0.7778809502
5414 0.7777494420
5417 0.7775176521
5419 0.7771069129
5421 0.7768589775
