evaluations raw_y
1 1285.3229923048
3 826.8724352844
4 650.7448935446
9 455.9107617532
37 365.1211271523
53 213.1755963811
55 166.2957123232
67 157.1188127840
188 145.4840801698
212 145.0405511492
213 138.3279221740
217 137.4575051634
219 128.3011068970
220 121.9212038339
225 119.7537704738
230 109.4857723963
254 108.4641357402
255 98.2437486594
260 80.0751613527
311 75.5433290989
338 73.1032887227
365 69.3547584811
369 66.5955393383
373 63.8866356363
380 63.3175092972
384 55.8729079233
1410 85.4289008709
evaluations raw_y
1 1484.1756157769
2 1223.4803690824
9 1184.7839722336
11 783.8654304291
13 701.1595519008
17 426.7453573457
22 348.8371144405
24 253.9230300697
135 246.1796711936
138 240.2821575036
143 238.2251916466
162 229.2894775061
163 227.4081966883
165 221.3413708151
167 196.3361559664
173 187.4281534797
175 186.6241774829
176 175.1833137545
179 168.9375416605
185 150.3601660781
194 140.8403115285
215 133.6718913892
219 133.2419011986
223 116.9025019197
394 115.2944726113
423 115.0731504176
561 111.8610218717
572 110.5430631753
574 105.0968815855
607 101.4182954307
613 99.2866443494
616 99.2661760363
629 99.2308924052
655 99.2303592752
675 99.2289134620
692 99.2281138983
702 99.2242090466
704 99.2233527041
705 99.2226248851
710 99.2212564940
711 99.2201786142
811 99.2201700750
813 99.2201523452
814 99.2201026541
826 99.2201026541
evaluations raw_y
1 2651.4426066964
2 2088.2511574403
9 1605.0773000350
11 735.1802208137
20 504.5121147196
99 490.3785210087
101 448.2034820451
103 386.2395597409
106 370.9696015650
107 367.2890504965
109 344.2513068563
111 335.7476463925
112 305.5111227113
180 274.7925055981
213 252.3275354280
215 246.5951895462
217 238.3897942326
305 228.8848514792
307 218.5098121779
310 216.1843747603
314 204.1998819217
341 193.5355211653
348 192.0357476024
352 179.8133950583
353 167.9125725014
354 166.8674808716
356 161.5804111627
364 153.8169316948
403 151.7326305688
404 148.4513267420
417 145.3504646520
418 139.5470034293
420 137.4149504300
425 126.3358510920
493 124.6555743401
1825 124.6370046989
1828 124.6159307018
1924 124.4865374922
1926 124.4814381655
1928 124.4804738250
1930 124.4541423433
1931 124.4248083656
1932 124.4092839180
1934 124.3834602070
1936 124.3249690015
1938 124.2987787392
1948 124.2712820480
1956 124.2674850714
1958 124.2464297959
1960 122.3507648254
1961 122.3315945913
1964 122.3076823278
1992 122.3035065784
2011 122.2659423417
2013 122.2636913976
2014 122.2619160768
2016 122.2292626801
2017 122.2254970191
2019 122.2029367531
2021 122.1656992283
2023 120.7959926009
2028 120.7440619354
2051 120.6526267247
2055 120.5813599900
2057 120.5699660907
2060 120.4615295389
2063 120.4401124857
2075 120.3669565519
2090 120.3546551708
4040 151.2739411545
evaluations raw_y
1 556.0547479995
4 354.9985099224
13 339.4975079998
15 255.9190956768
18 245.3252455621
661 241.2920762715
663 239.0392309874
665 238.8667077943
668 238.5975554819
670 238.3925481568
678 238.0418529719
695 237.9049826362
696 237.0006945367
723 235.7664339291
726 235.5703756743
732 235.5105425208
756 209.7894910740
768 207.2881023980
771 207.2178672620
773 205.5413194294
777 203.6743723764
782 203.2768940758
915 203.2057270840
916 203.1653570121
918 203.0540848115
923 201.9693631279
928 201.8252829111
929 199.8951892244
930 197.7158661984
931 183.5015422304
934 183.4836559711
1846 219.2440756164
evaluations raw_y
1 4665.6881551404
2 2160.0896229505
16 2139.8373833084
17 915.4409308030
19 627.1483400898
20 513.6463633995
21 345.6425995207
24 322.5262948426
35 315.6417703325
276 309.9398265133
286 297.1220697270
288 280.8183639531
307 270.4926462814
398 268.0009208387
406 261.1046828544
408 244.4227785265
422 244.3625502426
431 238.2346331597
443 231.9810430704
453 231.8693099907
455 219.6963704195
497 217.6016463285
499 207.0376276928
528 194.7859749783
550 188.2725569947
551 183.2424883615
564 178.1410015213
582 170.3987816547
585 168.3689288533
592 165.6409361851
595 161.6917894940
596 153.0714391148
597 151.5022419438
604 137.3992519472
643 128.1999882458
674 127.9765929768
676 127.8009893355
680 127.7465120200
681 127.5192917483
685 127.0370353822
688 126.5415688267
690 126.5168486231
691 121.2837759594
694 121.1912819026
4148 161.5717127189
evaluations raw_y
1 3709.3666101400
2 2086.2506264609
52 1733.3577047589
55 1166.4405815674
59 1147.8559230682
61 878.6566750185
81 563.5773682686
83 550.9130861820
88 484.1291325128
96 472.8964875108
98 373.0921834451
100 338.0978612102
231 326.4944426704
234 323.6299106844
259 306.7527518987
262 306.1679068961
263 304.6734490601
265 299.2965948296
276 295.9263711741
327 289.2364374295
345 287.9591374454
348 287.6580853526
388 286.3946017917
405 284.6202494811
406 283.8226385539
414 283.1285021863
424 282.5178360237
937 282.4691822094
944 282.4017229507
957 282.3429646475
1003 282.3192207781
1005 282.2732485371
1006 282.2395017272
1012 282.1565287661
1072 282.1210644552
1073 282.0835657548
1170 282.0648558175
1179 282.0040734369
1192 282.0008801162
1202 281.9750164609
1204 281.9464549426
1315 281.9196548602
1341 281.6974440918
1352 281.6008133153
1353 281.4000315640
1380 280.1206358187
1405 272.0836269890
1410 271.9163304103
1429 271.8387512843
1435 271.6736520885
1442 271.6706201853
1443 271.6556519380
1445 271.5676190518
1447 271.4456108776
2820 331.0719450837
evaluations raw_y
1 1172.5888481818
2 851.9520587348
8 714.5705651210
9 510.9205820789
11 396.7261004784
172 389.3445281042
176 342.0887807825
199 338.0178054576
202 317.6265478979
204 302.9743262053
206 276.9916006735
236 272.9613410643
237 257.7886097735
245 231.3200560577
247 189.3357636958
249 163.7492954649
256 159.3164816558
276 154.7150522247
277 150.3110286770
279 139.0763924237
282 84.1565110120
293 73.7702748252
313 61.6035942581
494 61.1553127673
499 47.8538657329
605 42.1044822706
610 41.8091680611
617 40.3398587771
695 40.0309238907
710 39.6535567519
711 39.3847574304
712 36.7226775388
714 36.4551306066
720 36.2761801156
724 36.2560576488
738 36.2248786794
769 36.1546317072
776 36.0872110942
784 36.0160500256
789 35.9916432812
792 35.9511487423
812 35.9426628550
819 35.9270631094
886 35.9268033720
889 35.9200908041
896 35.9174359220
902 35.9138048336
903 35.9079525686
904 35.8979272738
905 35.8803764913
907 35.8702952575
921 35.8667472663
928 35.8615630337
930 35.8555052901
952 35.8533130757
