evaluations raw_y
1 1112671.2410362619
2 659198.1138925945
9 608238.8416112713
11 550038.3565032935
24 494340.7269095934
26 386909.3333474121
30 248561.5776550138
63 188940.1163671647
71 173676.0901809242
74 165693.2113613947
75 131718.8890367480
77 84851.0375040736
79 74321.7635039715
95 63243.6825850102
98 58599.7139476782
100 34888.0852581064
101 32816.1190149672
105 13866.6400182029
126 11565.3930036995
129 7939.0408635731
132 4023.2975626729
137 3293.2740943076
144 3204.1395537566
150 2925.8666094484
152 2301.4491645926
162 1285.1784656868
195 1188.8968183558
206 840.0344481765
208 709.7602533793
209 702.8927332832
210 681.7046072235
211 511.0185697278
214 482.5895764341
216 444.2953356142
222 422.7328602817
259 337.7314065100
266 294.3187506154
270 274.9645714153
271 225.4429696851
274 207.0189127044
275 190.7095964229
277 161.0375136563
294 85.9024587347
296 63.7175546404
389 59.0156787647
392 58.1150534608
397 54.7572148267
406 54.4452564570
438 50.2208396384
440 47.9590742930
443 38.4990998645
445 37.1196940412
465 32.6332021008
467 28.9293414650
469 26.6704058128
470 25.9121793966
471 25.2442850292
473 22.2921766803
499 21.1807012891
625 21.1481243613
680 21.1377251315
681 21.1159307232
683 21.0311318186
685 20.9908517056
687 20.9509115944
688 20.8931195255
700 20.8373926975
704 20.7485923718
707 20.6292206397
711 20.5902083668
713 20.5195980658
723 20.4266262412
725 20.2624081044
728 20.1568425147
729 20.1512208135
731 20.0270292463
741 20.0048640289
743 19.9325968154
745 19.8787731745
750 19.8576959168
763 19.7875605265
765 19.7789489515
766 19.7047951118
767 19.6587990463
769 19.5599407382
773 19.4728731174
779 19.4377660622
780 19.2515847252
781 19.0615392923
784 19.0574996311
785 19.0103731458
789 18.8872328890
791 18.8698521368
793 18.6275679521
796 18.5199008835
797 18.5079823593
799 18.3776901523
805 18.2432217732
807 18.1936909727
815 18.1569161663
839 18.1326716980
842 18.1316780253
844 18.0471734766
848 17.9966974785
849 17.9892737288
859 17.9801131516
862 17.9722530539
863 17.9140332442
867 17.9031999910
868 17.8878720251
869 17.8658727566
872 17.7960270202
875 17.7016921101
878 17.6152443261
880 17.6143959387
881 17.5294004987
885 17.4855312529
890 17.3860297792
904 17.3592681584
917 17.3577812914
921 17.3507149513
923 17.3081904273
926 17.2830622272
928 17.2450583501
929 17.1940845877
932 17.1808360064
933 17.1774761583
936 17.1263036527
938 17.1113389284
942 17.0794270815
943 17.0570908575
945 17.0396842211
950 17.0253062196
971 16.9916112795
976 16.9701451730
978 16.9662491942
984 16.9492800382
985 16.9471442317
988 16.9306297413
997 16.9141303961
1005 16.9035884384
1008 16.8833984338
1009 16.8560834789
1011 16.8505170348
1012 16.8315189708
1013 16.8273446646
1014 16.8127228827
1015 16.8027020773
1016 16.7965333169
1022 16.7897904397
1024 16.7885743027
1025 16.7751173177
1026 16.7734342490
1028 16.7591512391
1031 16.7590976892
1032 16.7428761038
1042 16.7423406286
1043 16.7203589397
1045 16.7178488481
1048 16.7151267676
1049 16.7150991876
1054 16.6968438747
1055 16.6829379509
1057 16.6795490971
1058 16.6747625824
1067 16.6717111994
1070 16.6683289220
1072 16.6565752389
1074 16.6459639855
1075 16.6281745297
1078 16.6137357848
1083 16.6105512249
1085 16.6104086021
1087 16.5862640853
1090 16.5772307321
1094 16.5748813114
1100 16.5513259995
1101 16.5273825900
1103 16.4989030218
1107 16.4758481153
1110 16.4709457348
1112 16.4374618901
1114 16.4320213640
1116 16.4113228654
1117 16.3877220750
1119 16.3761249939
1133 16.3599957969
1136 16.2973203430
1137 16.2915911494
1138 16.2336301167
1140 16.2045367368
1141 16.1799033204
1158 16.1428047146
1159 16.0981294991
1163 16.0605811483
1168 16.0479517087
1170 16.0115720204
1172 15.9496071836
1176 15.9490345554
1178 15.8889930445
1179 15.8634120724
1180 15.8495552900
1182 15.8253841608
1183 15.7910784339
1184 15.7184577265
1185 15.6878504240
1187 15.6597512192
1191 15.6021414482
1196 15.5624596952
1198 15.5462434879
1200 15.5182052602
1201 15.4714062907
1203 15.3937986611
1205 15.3116715123
1207 15.2791616513
1208 15.2406074510
1210 15.1985155461
1212 15.1124377327
1213 15.1003588098
1221 15.0645528276
1224 15.0027447071
1226 14.9826219784
1227 14.9390836691
1228 14.8545920040
1245 14.8200451309
1250 14.6867492498
1252 14.6423181887
1257 14.5750934201
1259 14.5145019736
1261 14.4740444594
1262 14.4360485230
1265 14.3832005656
1268 14.3508846997
1269 14.3044949195
1271 14.3005150893
1272 14.2956575457
1274 14.1516245279
1276 14.1032385570
1277 13.9849746383
1280 13.8941713355
1285 13.8740899465
1287 13.7264762984
1291 13.5975754930
1298 13.5047563632
1302 13.4052618315
1303 13.3267645502
1321 13.1964181389
1323 13.1395909486
1326 13.1063780496
1334 13.1025103847
1335 13.0783482466
1336 12.9395507763
1352 12.8546927036
1353 12.7356270676
1356 12.7312142562
1472 12.7007622624
1474 12.6393471163
1475 12.6289215230
1481 12.6271020131
1483 12.6248859534
1484 12.5996372226
1490 12.5704536479
1492 12.5379218333
1493 12.5130613651
1495 12.5028175050
1496 12.5024649334
1497 12.4967768319
1499 12.4724864891
1501 12.4662177763
1504 12.4550887353
1505 12.4396261757
1508 12.4310996337
1509 12.4247392602
1510 12.4083298688
1514 12.3507999908
1515 12.3421238735
1517 12.3270264929
1518 12.2980938472
1519 12.2716121673
1521 12.1979590059
1526 12.1210427158
1528 12.1114947819
1530 12.0855832626
1534 12.0644305754
1536 11.9893750953
1537 11.9108777585
1539 11.7824206481
1541 11.6659487921
1551 11.6485292864
1574 11.5127555346
1577 11.2554163042
1580 11.2506862252
1585 11.2423206489
1588 11.2269717963
1589 11.1658870562
1609 11.1162807892
1615 11.0910114196
1622 11.0671757641
1629 10.9929350099
1634 10.8713179404
1635 10.8327146269
1639 10.8131074731
1641 10.7297177639
1643 10.6644452431
1646 10.6021667174
1648 10.5493290910
1650 10.5438186563
1656 10.5152588139
1657 10.4611642085
1659 10.4568021934
1667 10.4297346285
1695 10.3953978718
1732 10.3716882842
1734 10.3584936907
1739 10.3584114889
1746 10.3148222630
1753 10.3036741192
1756 10.2866081776
1759 10.2846773384
1760 10.2593525853
1762 10.2370461828
1763 10.1950112507
1792 10.1849427427
1793 10.1754805383
1795 10.1741481988
1796 10.1553509421
1798 10.1525749687
1799 10.1227386972
1807 10.0986256306
1810 10.0717200662
1817 10.0686386937
1818 10.0448662027
1819 10.0178048562
1821 9.9972918496
1823 9.9886099240
1828 9.9806480985
1831 9.9632269771
1832 9.9546314407
1834 9.9223974423
1836 9.9066423439
1837 9.9055423449
