evaluations raw_y
1 17202.3656156401
9 8498.7174413717
13 2202.4106332788
17 2094.8317553605
18 575.2286809448
22 433.2868115103
27 343.9103882276
538 343.4000545000
539 335.3018355370
543 335.1455077315
544 334.8111242019
558 327.7075702827
605 322.9161884256
611 322.7294123616
612 316.9367857934
614 313.2846150555
617 309.0117115831
620 306.0793839144
621 305.4276235541
622 301.7579881146
626 292.7740998677
632 287.9540157619
636 281.6337493155
642 280.4411609298
643 279.9941317437
645 276.3638795405
647 271.5658166472
649 269.1880400151
658 269.1608148498
659 265.8386450390
663 265.2610924559
665 264.3657894925
668 262.7785093525
670 260.4154069851
673 257.7700586475
675 255.6418955030
680 254.9497784590
682 253.7958704972
684 252.1711731232
693 248.7679828866
698 247.2736807299
699 244.3157050437
702 243.2607130322
703 238.9054954668
705 238.7791134729
707 238.3464387185
710 236.0790242638
711 235.2967086479
712 234.8570059013
715 234.2699562124
717 234.2513511876
725 233.7666047116
737 233.6705712853
738 232.7062350383
756 232.4039976885
757 232.3595807488
760 232.1253213587
762 232.0583019848
763 231.8647894558
767 231.8582841560
769 231.6134898037
774 231.4057767949
787 231.3246619122
789 231.2070416784
791 231.1871695147
806 231.1404356612
808 231.0036562119
813 230.9876055148
815 230.9845530359
816 230.9788892287
818 230.9295499079
820 230.8932974744
896 230.8911166160
897 230.8725656168
926 230.8677923214
930 230.8653069492
952 230.8635913700
953 230.8557699428
955 230.8488787959
959 230.8474954151
960 230.8453783081
961 230.8444729370
962 230.8389927650
964 230.8384324085
965 230.8323979991
968 230.8271302835
969 230.8200467907
971 230.8166240805
972 230.8163592806
973 230.8135205420
995 230.7983735092
1006 230.7903989217
1007 230.7894296705
1009 230.7827260322
1012 230.7724578933
1013 230.7628984183
1016 230.7537123164
1067 230.7468106590
1072 230.7460310199
1076 230.7369127460
1107 230.7363826227
1109 230.7318304347
1111 230.7267798570
1112 230.7237671072
1113 230.7190785751
1116 230.7157667125
1160 230.7155115840
1197 230.7153783452
1199 230.7097063251
1202 230.7075742080
1219 230.7058935525
1277 230.7058008408
1282 230.7056386701
1305 230.7029336908
1307 230.7009357907
1309 230.6987719766
1316 230.6949500281
1317 230.6909175221
1318 230.6893436739
1321 230.6873391254
1348 230.6868450070
1352 230.6866237359
1357 230.6863996022
1358 230.6863304845
1360 230.6860673134
1361 230.6857300401
1368 230.6855540112
1371 230.6851714970
1372 230.6847537481
1373 230.6845660478
1374 230.6840723953
1381 230.6839999553
1384 230.6836245648
1385 230.6829228238
1402 230.6818725629
1404 230.6817136275
1408 230.6816068499
1411 230.6809588403
1414 230.6808246246
1440 230.6807975710
1444 230.6805263528
1445 230.6803230600
1448 230.6801881171
1449 230.6801272329
1465 230.6800042920
1467 230.6799944485
1469 230.6796385212
1471 230.6794991307
1476 230.6794771569
1478 230.6794594819
1479 230.6791512978
1480 230.6791136773
1485 230.6790608161
1487 230.6790576482
1490 230.6789162445
1492 230.6787103677
1494 230.6787004508
1496 230.6786081606
1498 230.6785230658
1500 230.6784489328
1510 230.6784283974
1511 230.6783898122
1515 230.6783801229
1516 230.6783361944
1517 230.6783068067
1519 230.6782662479
1522 230.6782399824
1524 230.6782177278
1526 230.6782122197
1527 230.6781593470
1528 230.6781565512
1529 230.6780730005
1535 230.6780685099
1538 230.6779750934
1550 230.6779604637
1552 230.6778817512
1554 230.6778310704
1555 230.6776701437
1559 230.6775500532
1575 230.6775418440
1578 230.6774227963
1579 230.6773481451
1581 230.6771873384
1583 230.6771867019
1587 230.6771828810
1589 230.6769956475
1591 230.6769892554
1592 230.6769026502
1593 230.6768419796
1595 230.6765198807
1597 230.6763444999
1601 230.6759582329
1604 230.6758824096
1606 230.6756888065
1608 230.6755100024
1610 230.6754201988
1611 230.6748658777
1613 230.6743779592
1615 230.6743615231
1617 230.6737625826
1619 230.6735014453
1620 230.6732744460
1621 230.6732024777
1631 230.6728742327
1636 230.6727143476
1638 230.6725955572
1639 230.6723694224
1641 230.6722081306
1643 230.6721516518
1645 230.6721492218
1650 230.6720349383
1652 230.6716773834
1653 230.6713359889
1655 230.6713241013
1656 230.6711422034
1657 230.6708553335
1662 230.6705562150
1667 230.6702049362
1672 230.6697538396
1674 230.6696159760
1678 230.6694643164
1679 230.6693040307
1683 230.6692454956
1693 230.6691835263
1694 230.6691759383
1696 230.6691174665
1697 230.6689865113
1698 230.6689258981
1711 230.6688584641
1713 230.6688064897
1714 230.6687372123
1720 230.6684470090
1722 230.6683802810
1723 230.6683041301
1731 230.6681250120
1732 230.6679949236
1745 230.6679332138
1746 230.6679234634
1750 230.6677903071
1751 230.6677317956
1753 230.6674854182
1758 230.6674461591
1761 230.6674350952
1763 230.6673951393
1764 230.6672386507
1765 230.6670768454
1767 230.6669484802
1770 230.6668665373
1793 230.6667438483
1795 230.6666806086
1805 230.6666353593
1812 230.6666045929
1816 230.6665332151
1817 230.6664423821
1818 230.6663940774
1819 230.6662935838
1820 230.6662912154
1821 230.6662492895
1823 230.6661677627
1826 230.6660706861
1827 230.6660667530
1828 230.6660623170
1831 230.6660265962
1836 230.6659656572
1838 230.6658267136
1839 230.6658141807
1848 230.6657490096
1856 230.6657142957
1857 230.6656717240
1859 230.6656356217
1860 230.6656075273
1861 230.6654949066
1870 230.6654571397
1872 230.6654544216
1873 230.6654184261
1875 230.6652650568
1878 230.6652079476
1882 230.6651758294
1884 230.6651195813
1892 230.6650666941
1898 230.6650346541
1899 230.6649518183
1902 230.6648648586
1903 230.6648395587
1904 230.6648073923
1906 230.6647312432
1907 230.6646918209
1912 230.6646761653
1913 230.6645388779
1916 230.6645174764
1917 230.6644514869
1919 230.6643373793
1927 230.6642980864
1932 230.6642620464
1934 230.6640303492
1936 230.6638880148
1937 230.6638866965
1943 230.6637854071
1948 230.6637205619
1969 230.6634663472
1978 230.6634134546
1980 230.6633644942
1982 230.6633401617
2010 230.6633309768
2021 230.6633298764
2037 230.6633288865
2039 230.6633030305
2040 230.6632715276
2042 230.6632479002
2043 230.6631719487
2045 230.6631606259
2047 230.6631403571
2049 230.6630921963
2055 230.6630757206
2060 230.6630551347
2062 230.6629984631
2063 230.6629376967
2090 230.6629164389
2092 230.6628789178
2122 230.6628777635
2124 230.6628701745
2126 230.6628599595
2128 230.6628559353
2133 230.6628432401
