evaluations raw_y
1 14248.7465615138
2 8129.1056463734
5 7994.0950536600
10 5251.5096237870
19 4130.0912566415
21 4053.7916499343
71 4030.4362773375
72 3503.8793604307
85 3329.2000605492
115 3201.2786760178
118 3007.4427309054
125 2764.1379949557
150 2554.5536878478
182 2099.2878388793
210 2014.5839588984
223 1739.9508998480
271 1651.1479836517
278 1554.6605249670
290 1541.3902041591
305 1500.3374933993
315 1387.6646007762
404 1373.8729435713
419 1353.2785823823
488 1148.2705750310
749 1119.1187852411
823 1043.4640447004
907 1029.2220784743
967 967.0616413912
1009 877.0051670458
1075 786.8062400871
1395 645.8892012951
1504 625.2317776349
1525 587.8306856346
1595 560.0099826265
1722 487.4811509192
1967 415.0624602696
2273 405.3323369736
2357 385.8102703896
2670 355.2220106813
2793 348.8109955287
3277 338.3645394339
3447 338.2623451838
3751 327.9701144830
3896 321.3042951286
4002 313.6201505481
4043 312.3166855885
4588 305.9989732438
5069 301.9553957928
5410 292.1934028159
5724 253.6755374096
7669 250.7175105853
8650 237.5016170816
8746 222.5657788863
8773 184.8735287696
9007 168.6133751205
9113 149.2067441097
9357 134.3453341622
9424 132.9472161754
9472 131.7664809717
9583 117.2405997270
9643 92.8828199877
9947 92.4371662252
9959 84.9822134253
9962 72.4526011212
10049 67.0207398511
10465 64.4907952724
10520 57.5569489877
10573 56.2750687960
10752 56.1140935468
10769 54.4428591078
10816 52.9578624985
10857 48.2308810652
10915 47.8389556362
10959 47.5668740587
10988 41.8442232377
11176 37.6603979450
11424 36.7158522355
11428 35.9250088395
11511 33.6983554264
11701 33.6552960631
11762 33.5118072247
11783 32.6647720260
11827 31.8923510059
11974 31.8446332077
11977 31.4325414449
12046 29.0849698141
12391 28.5128967197
12519 28.4942368145
12578 28.4721765576
12674 27.8017794653
12896 27.4903402082
12975 27.4814808842
13141 27.2849133691
13265 27.1835739358
13304 27.1748976502
13373 27.1584193431
13443 27.1552150395
13477 27.0604820137
13540 26.9861920770
13565 26.6865816716
13596 26.6781794187
13703 26.5869348248
13741 26.5343770013
13760 26.5207236711
13834 26.4725346915
13876 26.4018206575
13949 26.3714506263
13991 26.3518436895
13997 26.1987342415
14304 26.1652847938
14441 26.1607507558
14454 26.1578598652
14461 26.1369967916
14522 26.1339904794
14543 26.1154687218
14560 26.0654054056
14671 26.0623464305
14748 26.0411841361
14891 26.0378197470
14994 26.0089641500
15093 25.9860676193
15218 25.9849409855
15311 25.9827603480
15321 25.9800392798
15453 25.9673937252
15511 25.9612132554
15568 25.9353197269
15721 25.9257638031
15881 25.9253052543
15905 25.9184273261
16102 25.9157752828
16103 25.9109038627
16253 25.9037423096
16372 25.9018285386
16548 25.8984198752
16573 25.8955886856
16732 25.8936592028
16757 25.8921991764
16762 25.8895606406
16918 25.8893445400
17060 25.8871220692
17094 25.8854142210
17212 25.8846134879
17301 25.8825498336
17381 25.8825229431
17476 25.8822657807
17490 25.8819088469
17527 25.8817381960
17583 25.8815767330
17584 25.8814023119
17619 25.8810535445
17626 25.8808136388
17651 25.8805166200
17755 25.8802530394
17774 25.8797543586
17787 25.8792567743
17847 25.8779589222
17998 25.8769595844
18040 25.8767024561
18142 25.8759478164
18190 25.8758094594
18231 25.8755940119
18328 25.8754688109
18332 25.8752152749
18444 25.8749610729
18456 25.8749458833
18465 25.8746316650
18609 25.8743144112
18954 25.8735790654
19152 25.8734569467
19280 25.8732787998
19283 25.8731029336
19500 25.8726407474
19696 25.8726342677
19705 25.8724682956
19848 25.8720928261
19905 25.8716799805
20014 25.8715315575
20073 25.8715273137
20227 25.8712988109
20612 25.8712604066
20675 25.8712410088
20689 25.8708986544
20820 25.8708415739
20850 25.8706182667
20868 25.8704664478
20938 25.8704591583
21023 25.8703096050
21076 25.8702260893
21156 25.8700655404
21828 25.8700530672
21929 25.8700300526
21932 25.8697924535
22369 25.8697795088
22423 25.8697008930
22560 25.8696978801
22609 25.8696434111
22687 25.8695180698
22862 25.8694998597
22921 25.8694438753
23052 25.8694170846
23070 25.8692499332
23121 25.8692270524
23378 25.8692236542
23379 25.8691803727
23413 25.8691791550
23420 25.8691773529
23455 25.8691546872
23665 25.8691503417
23666 25.8691231393
23700 25.8691126952
23706 25.8690898252
23936 25.8690804630
23939 25.8690711716
24054 25.8690609991
24115 25.8690606383
24125 25.8690361871
24268 25.8690305621
24300 25.8690179851
24459 25.8690178488
24471 25.8690077379
24568 25.8690020970
24641 25.8689987051
24691 25.8689772540
24856 25.8689658241
25018 25.8689645719
25056 25.8689586414
25068 25.8689542248
25271 25.8689530506
25370 25.8689504500
25474 25.8689478384
25570 25.8689460295
25691 25.8689434029
25748 25.8689433354
25762 25.8689429693
25938 25.8689420129
26049 25.8689393769
26160 25.8689390590
26189 25.8689383504
26206 25.8689373422
26209 25.8689368523
26324 25.8689353328
26456 25.8689352188
26498 25.8689351916
26501 25.8689351390
26553 25.8689348557
26567 25.8689341084
26631 25.8689338514
26706 25.8689315491
26967 25.8689304484
26975 25.8689303624
26985 25.8689301529
27128 25.8689296789
27141 25.8689293191
27195 25.8689292814
27386 25.8689286991
27428 25.8689285307
27433 25.8689282921
27464 25.8689280550
27556 25.8689279236
27611 25.8689277802
27643 25.8689275206
27678 25.8689274223
