evaluations raw_y
1 180.7424529475
2 82.0795564284
3 55.1834883736
6 38.8733081689
8 38.5066413819
9 26.0517436567
18 20.6536329227
20 18.0476814522
25 7.2157879460
61 6.4204129679
66 0.2100331795
385 0.1870387909
549 0.0723243487
627 0.0477477174
694 0.0427306158
791 0.0279455696
836 0.0155927967
877 0.0132723300
895 0.0099777853
1040 0.0055174375
1094 0.0041926279
1107 0.0038944711
1160 0.0025140109
1228 0.0015101365
1278 0.0011845023
1321 0.0003641579
1441 0.0001821964
1575 0.0000553416
1599 0.0000210982
1903 0.0000123283
2092 0.0000009150
2305 0.0000008913
2364 0.0000003718
2438 0.0000001720
2475 0.0000001554
2616 0.0000001443
2697 0.0000000448
2895 0.0000000316
2923 0.0000000288
2980 0.0000000018
3358 0.0000000006
3493 0.0000000004
3610 0.0000000002
3659 0.0000000002
3721 0.0000000001
3988 0.0000000000
4067 0.0000000000
4087 0.0000000000
4157 0.0000000000
4179 0.0000000000
4275 0.0000000000
4280 0.0000000000
4283 0.0000000000
4362 0.0000000000
4446 0.0000000000
4467 0.0000000000
4476 0.0000000000
4569 0.0000000000
4599 0.0000000000
4663 0.0000000000
4764 0.0000000000
4815 0.0000000000
4855 0.0000000000
5064 0.0000000000
5091 0.0000000000
5268 0.0000000000
5428 0.0000000000
6060 0.0000000000
evaluations raw_y
1 39.9299391267
2 32.0898575513
5 18.5107856642
6 9.1706345824
13 3.2570451273
46 1.7708332569
62 1.2180288023
87 0.7256888327
91 0.3844665691
103 0.3727008566
170 0.2561583694
185 0.0184743227
404 0.0163260427
469 0.0060928362
697 0.0035191350
724 0.0022592252
986 0.0020697329
1029 0.0018175948
1123 0.0007596160
1165 0.0007040895
1191 0.0001689654
1418 0.0000755370
1562 0.0000696306
1590 0.0000541493
1685 0.0000412250
1763 0.0000319684
1790 0.0000104733
1861 0.0000090339
1931 0.0000056814
2021 0.0000016905
2177 0.0000007814
2371 0.0000006934
2462 0.0000006886
2476 0.0000000888
2670 0.0000000805
2707 0.0000000805
2834 0.0000000277
3015 0.0000000239
3020 0.0000000126
3122 0.0000000125
3202 0.0000000055
3236 0.0000000036
3280 0.0000000034
3322 0.0000000007
3623 0.0000000002
3769 0.0000000000
3925 0.0000000000
4438 0.0000000000
4453 0.0000000000
4643 0.0000000000
4661 0.0000000000
4838 0.0000000000
