evaluations raw_y
1 230262.4964870582
2 102880.7637633422
3 97185.0238673904
5 69071.8610231496
6 61902.4709649066
8 60594.8288932987
11 29532.8353616821
29 18010.8914853414
76 9546.8852907370
86 7242.0211552677
130 7121.9227103178
255 6583.7170735952
356 5485.3988573389
420 4118.2271977275
429 3131.5036507784
440 2553.3649436439
458 93.2676598902
627 6.3976490646
701 3.9567821765
707 3.6845951453
771 3.3892919966
804 3.3874940034
948 3.2118673724
1121 3.1105617254
1251 2.6668521756
2533 2.4367800358
3308 2.1441407314
3798 2.0633868385
3859 2.0323324395
4092 2.0199935751
4281 2.0069370509
4359 1.9928506595
4482 1.9688032349
4887 1.9624034387
5046 1.9597181066
5301 1.9594730194
5323 1.9581121524
5344 1.9576410346
5491 1.9574887148
5524 1.9573210023
5573 1.9568183705
5581 1.9567436223
5592 1.9560132342
5656 1.9555395985
5689 1.9551647076
5803 1.9550549403
5809 1.9549584650
5818 1.9548965765
5908 1.9548955121
5910 1.9546695079
6065 1.9546069978
6172 1.9545077285
6246 1.9544638954
6420 1.9544326399
6499 1.9544299747
6566 1.9544148610
6683 1.9544127648
6717 1.9544115672
6776 1.9544113913
6827 1.9544081713
6837 1.9544024219
6850 1.9544021465
6888 1.9543991474
6965 1.9543983602
6970 1.9543979610
6998 1.9543955459
7029 1.9543909266
7122 1.9543868274
7294 1.9543864133
7302 1.9543858095
7497 1.9543855917
7584 1.9543854137
7594 1.9543852253
7617 1.9543851362
7739 1.9543850777
7793 1.9543850491
7868 1.9543850101
7891 1.9543849221
7940 1.9543848597
7948 1.9543848465
8020 1.9543848107
8050 1.9543847566
8079 1.9543847363
8094 1.9543847267
8150 1.9543846600
8163 1.9543846486
8169 1.9543846245
8245 1.9543845982
8249 1.9543845948
8266 1.9543845892
8295 1.9543845571
8383 1.9543845374
8646 1.9543845313
8765 1.9543845296
8775 1.9543845274
8822 1.9543845259
8878 1.9543845213
8928 1.9543845209
8962 1.9543845199
9003 1.9543845183
9013 1.9543845159
9173 1.9543845151
9233 1.9543845150
9441 1.9543845148
9529 1.9543845143
9541 1.9543845143
9796 1.9543845142
9813 1.9543845142
9829 1.9543845141
9895 1.9543845141
9940 1.9543845140
10139 1.9543845140
10235 1.9543845140
10595 1.9543845139
10646 1.9543845139
10809 1.9543845139
10961 1.9543845139
11012 1.9543845139
11139 1.9543845139
11140 1.9543845139
11158 1.9543845139
11197 1.9543845139
11203 1.9543845139
11315 1.9543845139
11348 1.9543845139
11361 1.9543845139
11405 1.9543845139
11549 1.9543845139
11574 1.9543845139
11695 1.9543845139
11954 1.9543845139
11981 1.9543845139
11984 1.9543845139
11988 1.9543845139
12025 1.9543845139
12108 1.9543845139
12352 1.9543845139
12381 1.9543845139
12386 1.9543845139
12405 1.9543845139
12435 1.9543845139
12547 1.9543845139
12645 1.9543845139
12689 1.9543845139
12744 1.9543845139
12771 1.9543845139
12942 1.9543845139
13057 1.9543845139
13249 1.9543845139
13853 1.9543845139
evaluations raw_y
1 169662.1799418446
2 165574.3226302825
3 103055.9940209299
16 92874.4155860797
17 86204.8436558516
18 50077.1289309651
20 20818.3260823261
30 20111.2378581883
67 15149.7354661377
76 8795.3206206035
125 8597.9698098626
129 1370.3565269162
450 4.9566835574
651 4.1177850525
813 3.5064128035
821 3.4065800403
826 3.3000362903
866 2.9509263861
905 2.2535787919
4136 2.2106395102
4499 2.2008312961
4541 2.1550397274
4547 2.1163016750
4637 2.0615092462
4917 1.9090116119
4939 1.8984505289
5284 1.8827902649
5435 1.8525984749
5477 1.7814563759
5527 1.7733195042
5576 1.7718335538
5628 1.7619636598
5688 1.7114604968
5697 1.7038768372
5803 1.7018126447
6007 1.6761285351
6035 1.6724013267
6082 1.6656983234
6106 1.6527673603
6528 1.6508330491
6531 1.6499871528
6550 1.6451593249
6689 1.6447375654
6746 1.6431222628
6760 1.6424528274
6818 1.6419931598
6819 1.6402029654
6982 1.6400427896
7102 1.6400282444
7188 1.6398946618
7226 1.6393827573
7280 1.6390960808
7386 1.6390197479
7418 1.6390021284
7454 1.6389200282
7472 1.6388967692
7498 1.6387452468
7614 1.6387274708
7646 1.6386441382
7652 1.6386036839
7669 1.6385922564
7831 1.6385030874
8120 1.6384921001
8206 1.6384861895
8215 1.6384814278
8247 1.6384791413
8256 1.6384698284
8289 1.6384544813
8350 1.6384536047
8669 1.6384521939
8754 1.6384502923
8762 1.6384459989
9006 1.6384456461
9054 1.6384453660
9168 1.6384453634
9172 1.6384445148
9309 1.6384443625
9377 1.6384439116
9392 1.6384438835
9621 1.6384438206
9645 1.6384437596
9675 1.6384437172
9690 1.6384436917
9710 1.6384436819
9744 1.6384434705
9768 1.6384434606
9851 1.6384433541
9868 1.6384433488
9903 1.6384432713
10046 1.6384432670
10223 1.6384432643
10276 1.6384432605
10302 1.6384432551
10362 1.6384432547
10376 1.6384432523
10379 1.6384432515
10406 1.6384432322
10559 1.6384432139
10658 1.6384432066
10927 1.6384432022
10968 1.6384432008
11063 1.6384432004
11138 1.6384431970
11256 1.6384431968
11263 1.6384431961
11348 1.6384431957
11387 1.6384431948
11489 1.6384431945
11642 1.6384431944
11728 1.6384431942
11794 1.6384431941
11861 1.6384431940
11881 1.6384431938
11980 1.6384431938
12004 1.6384431938
12073 1.6384431938
12183 1.6384431938
12215 1.6384431938
12222 1.6384431938
12233 1.6384431937
12320 1.6384431937
12486 1.6384431937
12695 1.6384431937
12710 1.6384431937
12786 1.6384431937
12915 1.6384431937
12973 1.6384431937
12987 1.6384431937
13030 1.6384431937
13062 1.6384431937
13074 1.6384431937
13098 1.6384431937
13148 1.6384431937
13160 1.6384431937
13166 1.6384431937
13222 1.6384431937
13261 1.6384431937
13273 1.6384431937
13539 1.6384431937
13562 1.6384431937
13563 1.6384431937
13664 1.6384431937
13677 1.6384431937
13868 1.6384431937
13918 1.6384431937
14173 1.6384431937
14780 1.6384431937
evaluations raw_y
1 138487.6530547550
5 104958.2702098317
7 67010.5616006581
11 41334.1989766992
22 36398.5621862595
33 33102.4679304907
55 21275.6487953224
75 18082.5138098389
80 13634.8690699789
105 1959.0255090925
490 1736.1641076066
566 572.6889880503
663 536.3697279697
694 72.0982149922
738 3.9314096602
797 3.7284237139
912 2.6765985964
1756 2.6254972971
2616 2.4915182426
2646 2.4364792373
2814 2.3870678729
3193 2.1692854227
3261 2.1319258227
3482 2.0895911834
3810 2.0272197634
3867 1.9722081035
3995 1.9721763201
4000 1.9697645004
4068 1.9676636938
4124 1.9536120933
4256 1.9515824513
4292 1.9470767098
4380 1.8790633363
4410 1.8642662637
4443 1.8374925294
4449 1.7789130676
5310 1.7738863414
5562 1.7719316435
5598 1.7694754734
5645 1.7650708061
5979 1.7636543081
5994 1.7617911000
6054 1.7605607865
6238 1.7581916187
6415 1.7580381281
6564 1.7579406393
6598 1.7576268989
6717 1.7576106086
6726 1.7575100137
6769 1.7573251456
7010 1.7572851860
7013 1.7572649238
7045 1.7572357798
7053 1.7571928766
7127 1.7571688798
7166 1.7571518812
7248 1.7571353362
7402 1.7571323782
