evaluations raw_y
1 76.6589036600
2 41.6458761304
7 24.0573996250
9 21.5586617568
12 20.2505128058
20 4.3792830274
64 3.4241117007
74 1.9164112907
338 1.6327973209
1726 0.9577945703
3874 0.8194685264
3991 0.7628590408
4026 0.6349208815
4048 0.3590961255
4215 0.1815808202
4518 0.1039390910
4663 0.0892526577
4693 0.0794859069
4806 0.0505794639
4818 0.0344739307
5088 0.0261350297
5154 0.0196749626
5173 0.0187964969
5252 0.0111149005
5487 0.0104831733
5533 0.0082765582
5619 0.0053590736
5655 0.0051115420
5656 0.0020781686
5921 0.0019783587
5987 0.0015270421
6093 0.0010358727
6134 0.0005846278
6452 0.0003952517
6521 0.0001969969
6634 0.0000586451
6849 0.0000230251
7339 0.0000206772
7352 0.0000104213
7408 0.0000086141
7576 0.0000066719
7614 0.0000041874
7689 0.0000040041
7843 0.0000631590
evaluations raw_y
1 41.2041181303
2 15.7135318954
3 14.1040366149
7 10.9772585687
10 6.5101553753
33 3.1491565981
64 1.5140530175
303 0.7432846774
1604 0.4140497550
4138 0.2978687022
4986 0.2440083577
5045 0.0438018945
5497 0.0090226442
6120 0.0088935177
6127 0.0073309608
6172 0.0063564040
6202 0.0023997156
6323 0.0021190070
6358 0.0004792427
6755 0.0000454131
7383 0.0000406834
7427 0.0000313659
7565 0.0000284266
7617 0.0000149993
7706 0.0000017843
8029 0.0000013277
8158 0.0000117385
evaluations raw_y
1 22.4014079481
2 3.9030318749
60 1.3828571775
84 5.4642501550
110 3.2575035238
305 2.8802233676
425 2.1742998782
475 1.9872815672
1673 1.6313123016
1730 1.2239755386
5769 70.8078493393
evaluations raw_y
1 24.4459387235
6 9.2262702316
34 7.4496213053
136 5.6748791655
180 5.0532904076
338 1.7051347727
407 1.6496468614
436 1.2177868648
1732 0.4386350581
9327 0.3250106434
9360 0.1278957549
9436 0.0812478424
9522 0.0196103792
10481 0.0145150931
10702 0.0143376071
10728 0.0104892679
10759 0.0071641103
10878 0.0061312969
10885 0.0052425494
10894 0.0050682356
10927 0.0023345918
10989 0.0022641287
11109 0.0018803761
11207 0.0018542519
11229 0.0014061955
11233 0.0012152229
11242 0.0011011501
11322 0.0010718554
11398 0.0005979396
11482 0.0004225500
11540 0.0002329159
11633 0.0001604109
11776 0.0000731603
11784 0.0000642520
11913 0.0000391185
12068 0.0001453443
evaluations raw_y
1 73.9803235405
2 13.0047644005
13 6.9131971660
15 1.2262450357
445 0.5440804066
4897 0.1914883153
5115 0.1410082305
5323 0.1404027536
5599 0.0888241181
5612 0.0366102466
5697 0.0239519732
5923 0.0120633756
6190 0.0109856121
6204 0.0105441354
6453 0.0016119497
6660 0.0009662592
6851 0.0004900015
7209 0.0004054415
7242 0.0004048815
7289 0.0003609308
7384 0.0002751182
7537 0.0002642824
7547 0.0002237376
7578 0.0001968215
7585 0.0001509543
7677 0.0001010533
7725 0.0000886946
7765 0.0000742785
7779 0.0000343812
7840 0.0000330187
7991 0.0000272292
8007 0.0000121944
8309 0.0000062125
8408 0.0000060589
8486 0.0000015610
8487 0.0000015415
8557 0.0000362089
evaluations raw_y
1 45.3300017087
2 24.5360931473
4 22.7372563571
5 11.5064388740
10 10.2636715081
14 8.9540747045
44 7.9959119452
103 2.3470681797
211 1.3941669147
743 0.6721132045
5011 49.2154911810
evaluations raw_y
1 77.9899094499
2 50.1082148788
3 29.5609914800
4 16.3004973085
5 13.1501405752
22 6.0438789038
32 2.9655490845
68 2.4405291277
1074 2.2834031446
1750 1.9071461583
1861 1.6209882189
4541 1.1072460442
5267 0.4748084251
8379 0.4312777864
12718 28.9595485551
evaluations raw_y
1 70.2826951349
2 46.5725483846
3 9.4526571822
24 10.9471347340
25 6.9074182083
36 11.4609400424
43 10.6483989274
101 9.4952215554
112 7.3022433714
115 5.5416523776
150 1.4736749166
182 4.1871590975
188 2.8306434102
1213 2.4264452589
1341 1.7068557421
1520 0.8127325853
3826 0.7912852221
4465 0.5217454319
9983 0.4712111854
11042 0.4690704528
11087 0.4680164897
11098 0.4641581427
11119 0.4600497038
11192 0.4575128234
11476 0.5043439775
evaluations raw_y
1 40.9188095372
2 22.8519683661
10 10.2627618249
47 4.7335231026
144 2.5656928795
477 2.4028268816
478 2.1156237320
1119 1.5169514102
2456 1.3528560315
3710 0.2216158873
10423 6.2082512637
evaluations raw_y
1 70.9343260580
3 65.9356244054
4 49.7145419322
5 41.3204092707
8 17.6729126865
10 5.7033987542
29 5.1368343654
69 3.2421412491
203 3.1690710411
298 2.1165912123
406 1.9777482381
1021 1.7932693311
1118 1.7374468034
1220 1.5434213830
2832 0.9807091809
3202 0.6387767328
12353 43.4911307808
evaluations raw_y
1 68.1790299000
2 33.8700222749
5 24.9407840077
8 23.5226126386
10 11.8015872215
17 6.3332089998
26 1.5863839425
977 1.3979452428
1113 1.2869271014
3247 1.0715971221
3335 0.8417068214
3397 0.6846108683
3612 0.3247935316
3875 0.1156733478
4117 0.0728944172
4216 0.0724622027
4474 0.0614548604
4504 0.0373663116
4553 0.0089079792
5034 0.0079874670
5060 0.0068521117
5072 0.0052761533
5168 0.0046047631
5267 0.0028538613
5307 0.0025503752
5375 0.0014846459
5495 0.0008357106
5536 0.0004308130
5774 0.0003192531
5904 0.0002568112
6120 0.0002041104
6208 0.0001902505
6227 0.0001709498
6333 0.0001319560
6363 0.0001269205
6426 0.0001238813
6433 0.0000544516
6678 0.0000462264
6731 0.0000387260
6777 0.0000227788
6857 0.0000117697
6938 0.0000095622
6956 0.0000024906
7450 0.0000326684
evaluations raw_y
1 66.1119322817
2 55.3115696536
6 29.3594508067
11 29.2329020322
12 18.1285268001
14 12.5983835326
24 11.1549035312
46 6.1695182722
185 3.7758525744
216 2.9466429246
251 2.8816289595
1153 1.8074624095
1942 1.1861871296
2483 0.9115090381
2699 0.9001819163
4310 0.3812820287
4417 0.3676696267
4535 0.2864191448
4741 0.2837624405
4785 0.1920937569
4843 0.1370587495
4950 0.1092097784
5023 0.0921465910
5061 0.0382222994
5369 0.0355728987
5422 0.0145937615
5627 0.0061826134
5833 0.0032982446
6001 0.0021405900
