evaluations raw_y
1 17716744.0085163489
2 4375199.7058132384
16 172622.9583581840
21 71076.5391483910
290 68587.8562780084
396 55923.2099606487
418 22318.0128907113
458 22179.7314203066
534 7205.9325223370
627 231.7080954453
899 143.4708722002
1195 135.0261391773
1338 57.7999798490
1343 32.4501986217
1510 32.0354506170
1562 30.2297240829
1568 16.9186614505
1580 9.5234571384
1774 4.9482899353
2159 4.2057563127
2302 2.4736627579
2926 2.2132142676
2964 2.1595045395
2993 0.8888521645
3061 0.7884673865
3229 0.6556415972
3232 0.5270782315
3257 0.3872384936
3278 0.0730710571
3287 0.0685220820
3537 0.0576702857
3622 0.0575023132
3652 0.0410698000
3656 0.0184030659
3801 0.0085674321
4011 0.0056841237
4063 0.0055085501
4127 0.0031235141
4214 0.0006042264
4556 0.0003229749
4588 0.0001937429
4609 0.0000202425
4794 0.0000184433
4947 0.0000142223
4981 0.0000070194
5037 0.0000068565
5197 0.0000014432
5234 0.0000009013
5285 0.0000006609
5378 0.0000001723
5629 0.0000000371
5834 0.0000000090
6076 0.0000000018
6514 0.0000000006
6789 0.0000000005
6890 0.0000000005
7026 0.0000000002
7071 0.0000000001
7141 0.0000000000
7273 0.0000000000
7340 0.0000000000
7349 0.0000000000
7720 0.0000000000
7766 0.0000000000
7930 0.0000000000
8012 0.0000000000
8108 0.0000000000
8120 0.0000000000
8521 0.0000000000
8963 0.0000000000
evaluations raw_y
1 2268364.0928838840
7 1125597.1422878816
8 350412.6739232310
12 263500.2251802300
15 157100.5737104776
16 61793.1975461874
30 32243.6154472152
164 29097.5408870350
166 15278.3815141463
183 14832.4467753952
233 14401.9128085871
424 8824.4103128044
484 7048.2637074865
490 6188.9361093968
561 2745.6507194547
658 657.5220305908
772 414.3610218616
814 105.4648140558
890 102.9422365759
1137 54.2124811872
1234 30.4480977213
1286 26.0568759734
1851 25.8672613156
1908 25.7965988935
2032 23.1656031817
2137 22.9328002010
2191 22.6558123413
2390 21.4425536074
2474 21.1725036402
2478 20.2640892411
2570 19.4304454829
2612 16.9043233833
2700 16.5647195810
2724 13.6732093938
2989 12.8324634393
3076 11.5482041175
3078 8.8993166171
3133 7.7098747873
3138 5.0609711109
3157 4.8262547913
3240 4.0000868309
3255 0.8555972615
3330 0.2217224214
3735 0.1539424380
3825 0.1411439587
3873 0.1269589058
3885 0.0661559508
3910 0.0409518286
3999 0.0352046855
4075 0.0154376992
4128 0.0036428698
4334 0.0020664567
4365 0.0004869420
4382 0.0003393980
4417 0.0002637932
4751 0.0001112802
4911 0.0000188927
4959 0.0000186188
5010 0.0000066949
5103 0.0000055631
5354 0.0000022170
5463 0.0000016877
5488 0.0000009977
5690 0.0000009175
5704 0.0000005421
5714 0.0000004764
5735 0.0000002666
5792 0.0000002623
5800 0.0000001588
5877 0.0000000593
6110 0.0000000102
6289 0.0000000070
6446 0.0000000043
6476 0.0000000030
6602 0.0000000027
6676 0.0000000015
6703 0.0000000007
6850 0.0000000001
6941 0.0000000001
7074 0.0000000001
7253 0.0000000001
7281 0.0000000000
7305 0.0000000000
7399 0.0000000000
7509 0.0000000000
7549 0.0000000000
