evaluations raw_y
1 4124.2382132047
19 3726.0532593471
29 3462.8713679681
35 3009.4431923830
63 2815.8160545823
121 2448.2829191539
162 2290.5069026819
187 2019.5144311428
191 1943.1072506815
234 1934.9413790489
236 1648.5130000153
268 1596.1640536699
274 1473.2508239648
338 1250.7533028327
364 1115.9129492070
1062 1097.2913802409
1073 1059.0210266888
1119 973.5940330448
1194 858.4002600370
1224 770.4727744422
1442 746.6856074663
1506 678.5544081662
1577 663.2022809660
1738 653.8958674911
1755 617.2670843276
1792 576.8833563045
1880 548.3374933744
1933 494.1611117000
2033 425.5201375771
2443 380.9307330490
3029 366.7777985705
3047 361.4529227036
3280 359.2694493911
3334 319.6483362597
4173 313.0774946885
5222 257.7274803776
7335 256.1901389790
7358 253.6153834382
7653 241.6110024836
7739 230.8664065879
8185 212.7764223798
8334 190.7943923685
8384 189.3241902296
8639 185.4802779960
8723 162.2462658836
8870 157.4365790632
8891 157.2175219228
9009 154.6812859611
9023 141.7361096978
9067 136.9026825014
9104 136.8777329171
9122 123.6825481065
9227 122.2084217487
9275 108.8188203129
9335 104.7257273315
9392 92.0578189230
9433 88.2895266610
9454 83.4796726897
9468 81.4007153599
9537 79.3326113671
9547 73.9778828633
9606 71.0199355888
9686 68.3312736427
9694 61.2362175590
9842 59.6342327374
9848 53.0499952965
10008 51.9747137235
10031 49.9435453823
10116 45.7615804990
10142 42.2048366205
10202 40.7770383856
10288 39.9527327666
10413 39.9263624865
10485 39.0944303903
10490 39.0121629647
10553 36.2341927919
10637 35.7106167200
10644 34.8911745353
10701 34.7294870446
10780 33.0335869027
10792 32.2404631453
11174 31.8362922811
11279 31.4996962457
11289 31.2339170539
11326 31.1147087755
11327 30.7856072341
11348 30.5015412676
11378 30.2521626119
11401 30.2270102471
11410 29.7246371845
11478 29.4485749717
11534 29.3733676803
11574 29.2139667444
11630 28.7571254721
11633 28.5553342515
11669 28.5012284938
11724 28.4391440523
11735 28.1946640255
11761 28.1254320345
11773 27.8893234871
11917 27.8088266801
11993 27.7154679819
12017 27.6974885623
12046 27.6065722515
12088 27.5933189176
12134 27.1260086042
12207 27.0723742425
12262 26.7839088948
12381 26.7607979733
12435 26.5578662539
12514 26.1553114846
12898 26.1248919912
12927 26.0563189012
12946 25.9746588118
13023 25.8930067224
13050 25.8875669741
13107 25.8351541062
13157 25.8017443102
13181 25.7798352943
13194 25.6755878620
13405 25.5340780956
13497 25.5296218092
13579 25.4809043460
13608 25.4316305362
13714 25.4158635646
13787 25.3747187469
13861 25.2383211869
14371 25.1664788384
14577 25.1275466884
14794 25.1234889720
14845 25.1221928662
14862 25.1206940720
14972 25.0856146855
15073 25.0811704180
15075 25.0518380696
15137 25.0406475182
15153 25.0307105473
15298 25.0276367049
15334 25.0061178035
15392 24.9985068161
15433 24.9975268524
15436 24.9936661368
15508 24.9871040097
15510 24.9688040795
15562 24.9622750432
15816 24.9516967270
15941 24.9493232338
16005 24.9374418506
16055 24.9309959300
16251 24.9256603879
16338 24.9248854881
16365 24.9246417485
16411 24.9221706306
16428 24.9192657609
16706 24.9134039020
16819 24.9081857897
16903 24.9072472033
16967 24.9030922405
17095 24.9026126267
17169 24.8997880733
17309 24.8976298601
17410 24.8971286939
17474 24.8959789282
17535 24.8950022762
17634 24.8924458058
17914 24.8922777421
18088 24.8914431609
18148 24.8892090300
18288 24.8889090613
18558 24.8880704526
18705 24.8878718736
18726 24.8867741053
18760 24.8862052979
18785 24.8860454103
18956 24.8859404208
18995 24.8850301895
19082 24.8847568022
19140 24.8846403436
19257 24.8843621420
19527 24.8842882279
19621 24.8839778363
19706 24.8836624995
19743 24.8834567165
20015 24.8834507075
20094 24.8830635510
20122 24.8823422224
20132 24.8821965053
20273 24.8819551384
20327 24.8815291630
20413 24.8815147422
20474 24.8813559262
20485 24.8811773904
20523 24.8798922653
20589 24.8795792016
20640 24.8794647097
20711 24.8794639307
20726 24.8789362545
20928 24.8788194296
21140 24.8785118105
21238 24.8779267342
21439 24.8777771156
21448 24.8777626247
21501 24.8773895122
21571 24.8772357777
21664 24.8770760868
22121 24.8767893532
22318 24.8762171891
22577 24.8758154859
22793 24.8755624045
22826 24.8755163822
22870 24.8754979518
22905 24.8754080248
23040 24.8749795876
23142 24.8746295440
23429 24.8745877036
23490 24.8745447992
23493 24.8743934346
23595 24.8743542010
23598 24.8743530111
23887 24.8743187392
23941 24.8742847785
23987 24.8742746666
24012 24.8742656856
24021 24.8742380046
24104 24.8741739228
24278 24.8741571605
24327 24.8741421399
24453 24.8741271948
24469 24.8740979744
