evaluations raw_y
1 993.1741430656
2 256.9585003468
3 59.5828612481
9 10.5800093566
39 8.8228751101
51 6.4619108538
54 4.1201301016
114 3.3640003634
228 2.0450917140
275 1.6771689838
481 0.7340003516
501 0.7118420488
542 0.5881824725
561 0.5370207911
578 0.2504575631
601 0.0997544053
918 0.0456554126
1106 0.0433457147
1116 0.0412013010
1133 0.0391573557
1216 0.0254829257
1229 0.0112057337
1289 0.0045779223
1415 0.0000000000
2143 0.0060843864
evaluations raw_y
1 800.2706595028
2 153.6948613715
4 20.0539141804
11 19.3164084180
15 6.7021711121
29 1.8308551606
167 1.5721896947
260 1.3109061357
280 0.9210523650
369 0.0820741505
1065 0.0151493198
1415 0.0150241957
1600 0.0051296344
1707 0.0000000000
2282 0.0000000000
evaluations raw_y
1 745.8089952259
4 132.4261755374
9 78.4034439779
11 12.1942150458
166 3.3672524256
269 1.2113247010
353 0.7418711065
377 0.1945911184
769 0.1318041925
798 0.0937013047
848 0.0858510106
1079 0.0274555398
1096 0.0194772461
1207 0.0077981519
1255 0.0000000000
2066 0.0077981519
evaluations raw_y
1 241.1803268416
2 162.5197136320
9 121.7559068967
31 108.7619586229
47 89.1801750688
57 56.1427387043
59 4.4945683626
99 1.8588501965
239 1.5244632321
378 1.3400379412
522 1.1016039444
630 0.7124706326
877 0.4357508437
891 0.4072988372
918 0.3048797979
919 0.0369006924
1222 0.0152446323
1328 0.0067170506
1678 0.0000000000
2205 0.0228230918
evaluations raw_y
1 344.5787863836
4 261.0983900036
9 14.1206691547
58 2.3984710449
276 1.6323917779
347 1.1874566800
390 0.7295906745
429 0.4537601815
485 0.0000000000
2034 0.0141212885
evaluations raw_y
1 36.3324085402
22 8.1905698303
41 5.8038777582
74 1.4424607846
272 1.2896880550
337 0.9848480329
338 0.5180641918
363 0.4012872437
387 0.1572871901
476 0.0466257773
2141 0.1282646095
evaluations raw_y
1 25.4230869920
7 23.2564532251
20 1.0452046310
279 0.5565696907
542 0.4782396430
663 0.3391235785
761 0.2251301274
787 0.0498472640
887 0.0243776582
1171 0.0239757019
1196 0.0137383387
1369 0.0104520463
1429 0.0070156438
1546 0.0000000000
2005 0.0070156438
evaluations raw_y
1 214.7666980867
5 185.7380607898
9 137.2340561075
11 8.8450876857
88 2.6786762522
117 2.0629431505
189 1.9955552750
275 0.6411615406
483 0.4988888188
558 0.3148715158
718 0.2810118359
729 0.1764193317
896 0.1211872039
971 0.1133965454
990 0.0267867625
1163 0.0196990744
1239 0.0092700773
1393 0.0000000000
2047 0.0521416754
evaluations raw_y
1 289.9069896743
3 79.8265544514
9 30.9357318906
18 7.2197253405
60 6.1791496139
119 5.9336391153
172 2.7739477494
174 2.5368414761
219 1.8977398406
327 1.5388157382
383 0.7527344648
410 0.6266972952
520 0.4069319442
581 0.2991889542
619 0.0319557118
870 0.0136695333
1046 0.0000000000
1870 0.0636391139
evaluations raw_y
1 74.5628504393
4 43.0561792466
20 8.7435225677
45 6.8693819878
76 3.1898599333
245 0.8439614130
413 0.3459278575
486 0.2907296541
596 0.2252043637
704 0.2013754908
753 0.1456751853
809 0.0588629584
822 0.0337584565
953 0.0207507110
1018 0.0171734550
1191 0.0000000000
2078 0.0055045908
evaluations raw_y
1 417.7148586479
3 102.8769273631
10 50.8030182642
66 3.6275164252
122 1.1503115129
777 0.6129924411
1008 0.2295186642
1130 0.1953616663
1303 0.1523330243
1334 0.1451006570
1346 0.1224555900
1360 0.1013459713
1379 0.0300767023
1600 0.0219053698
1663 0.0032009642
1810 0.0000000000
2278 0.0350999264
evaluations raw_y
1 968.7151868211
9 931.2734481949
17 580.1029846795
19 540.9467322935
21 386.6618186937
49 60.1353598000
56 37.0157154656
90 32.7067354343
119 8.1796222486
145 3.1017538117
512 0.1590632248
1015 0.0245557489
1282 0.0000000000
2037 0.0347008090
evaluations raw_y
1 696.3647020648
2 223.8548618523
3 102.0456724312
40 96.3803344939
46 84.4888901366
53 68.8506901399
57 45.7236711736
85 43.8932394930
93 23.4377143409
95 16.5233338741
129 16.2308367248
185 6.8968234858
340 4.5071042370
430 1.5553463183
535 0.2851288278
646 0.0471799398
1161 0.0304690851
1320 0.0230667132
1324 0.0155534632
1357 0.0122653054
1465 0.0106560128
1527 0.0000000000
2152 0.0000000000
evaluations raw_y
1 44.7411048064
8 28.0457071604
18 16.4962918978
35 10.7155463057
61 10.5852697131
70 9.0854693923
101 7.3026595878
131 4.5631250768
154 3.0489851081
190 2.7322634999
231 2.0132980629
272 1.9765877773
402 0.4045558868
582 0.3734324905
642 0.1788226040
739 0.1592084945
789 0.1573735929
841 0.1413354500
854 0.1164934301
939 0.1071554631
940 0.0453128247
990 0.0279463593
1001 0.0235272021
1004 0.0000000000
2095 0.0000000000
evaluations raw_y
1 18.6024674368
7 5.4152412528
15 5.0303106344
25 2.1431907634
79 1.0181765199
89 0.5667281763
180 0.5552811320
208 0.0670194833
609 0.0452284017
873 0.0409441214
1021 0.0265773675
1025 0.0230147423
1052 0.0221529315
1078 0.0024614368
1112 0.0000000000
1979 0.0000000000
