evaluations raw_y
1 1112671.2410362619
2 659198.1138925945
9 608238.8416112713
11 550038.3565032935
13 264461.1077626661
38 209193.6648855266
53 149739.1136069554
63 140242.7081559482
72 115661.0829446633
97 83079.7686234985
99 65086.3916633840
124 22246.2186170369
183 18270.0433179630
480 14107.4200710310
748 5095.1519128444
808 2277.5704105615
987 1574.9197923826
1058 769.3525007298
1252 647.3880378602
1258 360.8274608712
1326 142.3961042316
1635 129.3103650790
1692 113.8827567033
1864 103.8578237885
1912 91.2512049380
1974 70.3797496257
2104 54.4739458492
2151 44.8763239262
2348 43.3964761754
2427 34.2170168201
2521 33.1565317018
2532 17.7247904241
2589 17.3405903749
2654 15.3004072374
2697 14.2102539129
2745 14.1649319975
2868 13.9625559652
2938 12.4468765313
3048 12.2737054451
3114 11.5684262804
3120 11.3165470824
3121 10.2650910230
3183 10.1860678429
3218 9.8578839686
3268 9.8155465415
3270 9.7038061381
3277 9.5365427886
3303 9.5347648373
3343 9.4774599651
3358 9.4702966675
3368 9.3805721826
3373 9.2568304950
3438 8.6699751304
3584 8.6366857834
3752 8.6202917653
3757 8.5246102608
3759 8.4819784552
3903 8.4517740557
4028 8.3180899818
4065 8.2297219113
4073 8.1320785922
4330 7.9858913135
4557 7.9347231668
4670 7.5819299432
4846 7.3154932287
4937 7.2260885327
5027 7.1441994994
5060 7.0406097343
5103 6.8905435930
5202 6.8694213042
5215 6.7678436439
5321 6.4643930002
5794 6.3735660873
5852 6.2999419866
5895 6.2287980811
5943 6.1717450375
5959 6.0408851885
6199 5.8701080966
6278 5.6035051537
6527 5.5850667136
6664 5.4774693445
6684 5.4756224842
6685 5.3150000332
6950 5.2661160658
6959 5.1893520187
7114 5.1280520201
7168 5.0602054117
7208 5.0372332460
7236 4.8069572893
7506 4.7444867270
7761 4.6777060903
7788 4.5847607699
7812 4.4518672228
7845 4.3882786001
8020 4.1867683564
8295 4.1260349445
8379 4.0489219718
8398 3.8353420859
8511 3.7099426577
8847 3.7002263005
8901 3.6949892796
8912 3.6853889226
9041 3.5895671395
9063 3.5297456288
9082 3.4960778310
9307 3.4377585970
9312 3.4198919746
9350 3.4158998364
9371 3.2926869898
9376 3.2729113104
9403 3.2173099200
9510 3.2024241436
9630 3.1652743721
9775 2.8535170307
9962 2.7824888166
9989 2.6522161546
10294 2.6332332961
10362 2.4462132813
10371 2.4198162672
10496 2.4115032056
10553 2.1533173865
10952 2.0556209168
10981 2.0526430085
11122 1.9516723446
11135 1.7723704851
11239 1.7534430642
11436 1.7522929167
11445 1.5430381538
11509 1.4632250520
11747 1.4540819540
11752 1.4144173299
11782 1.3899328007
11918 1.3234342757
12028 1.0972501718
12130 1.0788604556
12215 1.0312766030
12238 0.9483562501
12560 0.9054217495
12723 0.9009103646
12729 0.8964501861
12731 0.8784051544
12815 0.8616821632
12830 0.8399806795
12853 0.8075064290
12868 0.6677099842
13086 0.6560007002
13129 0.6342959744
13130 0.6008162405
13132 0.5647161586
13295 0.5593875650
13362 0.5021364561
13498 0.4785685727
13553 0.4342141633
13757 0.4293507239
13846 0.3536529962
14226 0.3180290837
14362 0.2997152780
14567 0.2673196608
14739 0.2575398111
14740 0.2355201909
14795 0.2243324295
14866 0.1405664177
15418 0.1393268902
15457 0.0999915606
15819 0.0944862326
15921 0.0746181080
16044 0.0722369497
16065 0.0662438182
16203 0.0659716555
16299 0.0518149906
16325 0.0502769848
16333 0.0417005342
16425 0.0349507138
16547 0.0341697965
16759 0.0213072528
16771 0.0209773163
17060 0.0208424814
17065 0.0153096298
17247 0.0139041813
17306 0.0125719908
17386 0.0109842125
17441 0.0052488370
17632 0.0031095906
17761 0.0023700174
17912 0.0020102596
18114 0.0018808653
18159 0.0015836747
18290 0.0008689009
18316 0.0008154082
18487 0.0003950196
18576 0.0003941044
18851 0.0003018549
18880 0.0002964436
18892 0.0001951167
18987 0.0001787008
19145 0.0001755105
19178 0.0001715324
19187 0.0001502627
19197 0.0000980129
19226 0.0000779178
19312 0.0000489206
19418 0.0000454765
19448 0.0000421843
19510 0.0000346872
19534 0.0000304794
19589 0.0000147855
19649 0.0000145562
19713 0.0000102667
19872 0.0000036612
20139 0.0000027154
20184 0.0000022977
20312 0.0000010835
20550 0.0000010523
20558 0.0000010435
20573 0.0000009890
20611 0.0000006949
20641 0.0000006442
20642 0.0000006066
20715 0.0000004472
20813 0.0000002779
20913 0.0000002579
20920 0.0000002421
20986 0.0000002204
20992 0.0000001595
21061 0.0000001500
21068 0.0000000815
21150 0.0000000513
21372 0.0000000304
21585 0.0000000214
21793 0.0000000161
21856 0.0000000086
21992 0.0000000071
22046 0.0000000068
22105 0.0000000053
22107 0.0000000042
22182 0.0000000031
22328 0.0000000027
22331 0.0000000021
22362 0.0000000019
22374 0.0000000017
22406 0.0000000015
22433 0.0000000014
22466 0.0000000011
22523 0.0000000006
22722 0.0000000004
22743 0.0000000004
22764 0.0000000003
22878 0.0000000003
22895 0.0000000002
22975 0.0000000002
23038 0.0000000001
23042 0.0000000001
23192 0.0000000000
23444 0.0000000000
23493 0.0000000000
23527 0.0000000000
23656 0.0000000000
23687 0.0000000000
23692 0.0000000000
23749 0.0000000000
23785 0.0000000000
23876 0.0000000000
23986 0.0000000000
24035 0.0000000000
24037 0.0000000000
24108 0.0000000000
24267 0.0000000000
24273 0.0000000000
24397 0.0000000000
24416 0.0000000000
24540 0.0000000000
24612 0.0000000000
24637 0.0000000000
24755 0.0000000000
24759 0.0000000000
24848 0.0000000000
24904 0.0000000000
24955 0.0000000000
24986 0.0000000000
25001 0.0000000000
25025 0.0000000000
25325 0.0000000000
25354 0.0000000000
25405 0.0000000000
25475 0.0000000000
25615 0.0000000000
25993 0.0000000000
26086 0.0000000000
evaluations raw_y
1 1049880.3887043006
2 433655.7090916596
6 243037.5892052611
9 226586.8716994364
15 185939.9945871980
22 178892.5908930822
46 146381.5210853583
48 140076.1666507281
58 127739.9140960423
61 111715.0465816495
68 87390.3193332673
73 42748.2499320011
135 30363.1521093364
210 16205.4510402924
254 12988.7373622637
477 11070.3351105497
584 8203.8558229694
591 3760.8236643486
648 3299.2396751393
676 3263.3600056926
720 2103.9221681578
789 1863.4105055439
846 1824.2588147202
858 1627.2499806774
874 1383.4589663458
882 1023.9899375361
916 653.1295033605
1034 623.0935499968
1057 487.3562805973
1071 230.7034171086
1193 188.5525681438
1207 125.7039054818
1301 63.3337074705
1462 50.0911636535
1548 35.9030434143
1725 29.6476280346
1785 21.8078127772
2008 15.7181951620
2076 12.8370455112
2197 11.8861444425
2384 11.8149469004
