evaluations raw_y
1 522993.0879202997
2 23320.6099412904
5 10929.2210411478
9 6673.1986550733
11 3646.0501388233
17 3590.6936209719
19 1876.4034813061
34 220.3657966336
58 78.9792570540
74 66.2125736507
134 39.4841746155
139 8.2151456995
174 5.5694242603
453 2.0731959105
916 1.8280761895
952 1.3775397584
961 1.1951354782
985 0.8807786674
1205 0.7949195518
1206 0.6869560762
1335 0.6239571618
1344 0.6220794567
1442 0.4200215125
1615 0.4035250810
1794 0.3007508360
1834 0.2979965228
1840 0.2423338359
1976 0.1878395113
2072 0.1468085558
2092 0.0682110183
2167 0.0552700968
2721 0.0443130993
2819 0.0427277358
2851 0.0324265017
2935 0.0306009226
2941 0.0296106783
3010 0.0282835448
3013 0.0099962908
3096 0.0049973378
3262 0.0034360485
3505 0.0020505258
3523 0.0019604710
3532 0.0000073564
4280 0.0000010499
4449 0.0000010409
4963 0.0000006846
5006 0.0000001892
5126 0.0000000387
5287 0.0000000055
5875 0.0000000022
5890 0.0000000022
6022 0.0000000009
6089 0.0000000008
6115 0.0000000003
6265 0.0000000002
6415 0.0000000001
6494 0.0000000001
6748 0.0000000000
6762 0.0000000000
6904 0.0000000000
7445 0.0000000000
7757 0.0000000000
8109 0.0000000000
8196 0.0000000000
8847 0.0000000000
evaluations raw_y
1 875.5204718100
4 331.5690252088
36 308.8116764134
65 52.7100533358
240 2.5767517331
425 1.6818885627
1114 1.3838246151
1224 1.2976865481
1244 1.1420055625
1300 0.7427797498
1383 0.5293552099
1810 0.4640505740
1959 0.4397120816
2005 0.3967404576
2030 0.3910288477
2062 0.3718249008
2066 0.3647767399
2129 0.3597682731
2216 0.3278313183
2236 0.3255395754
2245 0.3236049924
2277 0.3037507610
2312 0.2755119402
2326 0.1939848315
2373 0.1852942353
2545 0.1840472871
2600 0.1633819460
2658 0.1082550616
2802 0.0751268084
2951 0.0707950899
3050 0.0515417281
3231 0.0373253919
3266 0.0289555056
3338 0.0173461669
3360 0.0090464049
3483 0.0020773497
3645 0.0008295105
3980 0.0005350209
4198 0.0001555329
4507 0.0000776699
4599 0.0000669247
4641 0.0000459670
4657 0.0000381616
4701 0.0000341299
4724 0.0000116515
4731 0.0000103235
4944 0.0000019487
5203 0.0000014744
5215 0.0000000899
5673 0.0000000833
5722 0.0000000417
5816 0.0000000223
5967 0.0000000020
6387 0.0000000018
6502 0.0000000013
6534 0.0000000004
6833 0.0000000001
6850 0.0000000001
6948 0.0000000000
6971 0.0000000000
7073 0.0000000000
7212 0.0000000000
7382 0.0000000000
7508 0.0000000000
7587 0.0000000000
7783 0.0000000000
7822 0.0000000000
8168 0.0000000000
8306 0.0000000000
8362 0.0000000000
8655 0.0000000000
9164 0.0000000000
evaluations raw_y
1 9801.9641696869
8 1291.0454662058
26 951.0427530196
30 342.6579678335
61 241.5496160890
85 71.3060517933
201 4.8916295969
492 4.2905664280
542 3.8756743366
792 2.7946351904
851 2.4411493547
1103 2.3222443138
1109 2.1062468139
1115 1.9543113780
1160 1.3593708367
1332 1.1704192085
1758 1.1243273707
1778 0.9428653914
1812 0.8721660801
1945 0.6715816781
1952 0.6645605339
2067 0.6177924385
2078 0.6023064625
2107 0.3866202670
2295 0.3646491910
2514 0.3552053821
2540 0.3336336154
2558 0.2912293590
2596 0.2779522380
2691 0.2215046198
2768 0.1553863219
2872 0.1497552289
2895 0.1269615573
2921 0.1207360956
2963 0.1189722926
3027 0.0778937170
3061 0.0766039486
3115 0.0751926827
3193 0.0663603415
3289 0.0440843320
3316 0.0305668987
3364 0.0116387845
3496 0.0088052447
3513 0.0024574840
3877 0.0020710566
3963 0.0014483332
3999 0.0013926821
4059 0.0000761041
4380 0.0000078194
4666 0.0000019919
5168 0.0000009514
5218 0.0000000892
5659 0.0000000773
5788 0.0000000468
5874 0.0000000338
5897 0.0000000226
6020 0.0000000141
6046 0.0000000020
6373 0.0000000017
6425 0.0000000008
6679 0.0000000005
6693 0.0000000000
7111 0.0000000000
7564 0.0000000000
7688 0.0000000000
7813 0.0000000000
7892 0.0000000000
7922 0.0000000000
7969 0.0000000000
8127 0.0000000000
8180 0.0000000000
8300 0.0000000000
8434 0.0000000000
8493 0.0000000000
8507 0.0000000000
8539 0.0000000000
8639 0.0000000000
8655 0.0000000000
8804 0.0000000000
8878 0.0000000000
9436 0.0000000000
evaluations raw_y
1 13238.4143285539
4 7857.4343738780
7 1535.9352065279
9 752.6969227871
10 725.2051871263
11 68.3932536230
91 19.8234185438
238 11.1285571316
577 1.6587214358
796 1.2489231221
1608 1.2463496949
1613 1.0993355051
1640 0.9086309510
1666 0.7916356206
1723 0.6456588273
1739 0.5206109279
1946 0.4596905302
1989 0.4222370947
2227 0.2461952888
2351 0.1974875418
2366 0.1652504601
2511 0.1205317927
2619 0.0814404127
2887 0.0595263086
2928 0.0444456655
3054 0.0266455019
3209 0.0190782757
3235 0.0167906725
3370 0.0144769253
3420 0.0065704506
3437 0.0046520091
3511 0.0029450394
3717 0.0024382831
3802 0.0021094076
4005 0.0019008153
4091 0.0018253115
4108 0.0014537359
4109 0.0001173924
4178 0.0000640251
4294 0.0000567165
4480 0.0000428884
4625 0.0000427311
4648 0.0000139928
4891 0.0000084479
4981 0.0000079076
5001 0.0000065452
5029 0.0000035840
5044 0.0000014803
5095 0.0000000909
5533 0.0000000599
5557 0.0000000520
5808 0.0000000254
5966 0.0000000249
6045 0.0000000043
6160 0.0000000014
6292 0.0000000012
6359 0.0000000004
6368 0.0000000002
6671 0.0000000001
6674 0.0000000001
6785 0.0000000001
6852 0.0000000000
6949 0.0000000000
7127 0.0000000000
7139 0.0000000000
7292 0.0000000000
7329 0.0000000000
7380 0.0000000000
7540 0.0000000000
7552 0.0000000000
7558 0.0000000000
7715 0.0000000000
7717 0.0000000000
7802 0.0000000000
7877 0.0000000000
8535 0.0000000000
8979 0.0000000000
evaluations raw_y
1 333794.0834242175
2 1243.4666690368
4 135.8150843651
31 38.5722944722
85 35.7528086232
225 14.9964241514
237 6.4087379253
374 4.9701124248
416 4.7751264514
514 2.8817299906
533 2.8691524339
572 2.8307526500
667 1.1234665457
788 0.8230097911
1399 0.6659531250
1471 0.6150553293
1679 0.6130251983
1702 0.5924032802
1754 0.4729348055
1787 0.4019842460
1972 0.2789391621
2094 0.2733784272
2217 0.2498649364
2228 0.2037904935
2231 0.1721427791
2360 0.1533096032
2454 0.1213033924
2532 0.0992582056
2634 0.0710962617
2782 0.0362028311
3012 0.0278799636
3225 0.0235996887
3239 0.0145231518
3253 0.0128357457
3302 0.0119743294
3359 0.0009176452
3890 0.0004080359
4010 0.0002926920
4230 0.0000269053
4457 0.0000191316
4685 0.0000124177
4765 0.0000095704
4830 0.0000018832
4950 0.0000018821
4958 0.0000014364
5041 0.0000003496
5381 0.0000002707
5451 0.0000001005
5593 0.0000000457
5652 0.0000000131
5785 0.0000000047
6022 0.0000000039
6104 0.0000000037
6158 0.0000000025
6269 0.0000000009
6336 0.0000000004
6429 0.0000000004
6575 0.0000000001
6689 0.0000000001
6703 0.0000000001
6716 0.0000000001
6762 0.0000000000
6897 0.0000000000
7008 0.0000000000
7104 0.0000000000
7267 0.0000000000
7517 0.0000000000
7529 0.0000000000
7535 0.0000000000
7692 0.0000000000
7779 0.0000000000
7811 0.0000000000
7854 0.0000000000
8107 0.0000000000
8599 0.0000000000
evaluations raw_y
1 14061.0996148766
2 221.3189731826
72 163.8910158970
74 90.4019892865
98 25.8526271087
298 11.2246003990
337 7.2982319719
380 6.8359841801
494 5.8129056959
590 4.1536404312
664 1.6812391536
891 1.3349133987
1084 0.8495866389
1207 0.6789941912
1559 0.5975766818
1574 0.5597176378
1611 0.4842405120
1654 0.4033325964
2071 0.3762662527
2129 0.3563097895
2166 0.3099028869
2207 0.3039886185
2322 0.2227425419
2522 0.1151868234
2846 0.1084969201
2916 0.0626722006
3173 0.0601139124
3185 0.0561855492
3239 0.0421762983
3245 0.0276184144
3448 0.0154306967
3621 0.0051506711
3684 0.0028547316
3876 0.0016219149
4070 0.0014249566
4082 0.0001017187
4571 0.0000959545
4610 0.0000672674
4675 0.0000548423
4757 0.0000405626
4772 0.0000104175
4965 0.0000073667
5142 0.0000025385
5262 0.0000011997
5373 0.0000004501
5423 0.0000001993
5674 0.0000001341
5880 0.0000000313
6011 0.0000000159
6225 0.0000000099
6251 0.0000000056
6283 0.0000000046
6349 0.0000000033
6401 0.0000000014
6578 0.0000000010
6738 0.0000000009
6824 0.0000000009
6883 0.0000000008
6884 0.0000000004
6898 0.0000000002
7040 0.0000000000
7316 0.0000000000
7668 0.0000000000
7743 0.0000000000
7873 0.0000000000
7893 0.0000000000
7938 0.0000000000
8018 0.0000000000
8041 0.0000000000
8266 0.0000000000
8355 0.0000000000
8383 0.0000000000
8385 0.0000000000
8712 0.0000000000
9422 0.0000000000
evaluations raw_y
1 103.1758111661
20 17.3032050658
74 16.3305866546
139 2.4176222499
541 2.2226046576
669 1.6176594065
972 1.5529072949
1078 1.3836239696
1125 1.2692194038
1273 0.8569117287
1435 0.7420620440
1518 0.7284924103
1626 0.6656360318
1648 0.6131843942
1781 0.3274989998
1997 0.3194491167
2074 0.2973126369
2188 0.1504248198
2200 0.1335140177
2365 0.0959408410
2737 0.0775559442
2831 0.0626220649
3008 0.0560876032
3046 0.0461934302
3051 0.0371109069
3086 0.0343286118
3099 0.0267658970
3213 0.0190565790
3236 0.0178134329
3334 0.0040410355
3534 0.0037126789
3561 0.0004931045
3921 0.0004615691
4084 0.0002555045
4125 0.0002427325
4166 0.0002036394
4187 0.0001755953
4219 0.0001751513
4234 0.0000793622
4313 0.0000092992
4608 0.0000041616
4881 0.0000017403
4921 0.0000002522
5018 0.0000002225
5536 0.0000001838
5542 0.0000001567
5556 0.0000001257
5561 0.0000001204
5617 0.0000000443
5722 0.0000000216
5864 0.0000000174
5922 0.0000000108
5930 0.0000000059
6116 0.0000000031
6202 0.0000000012
6280 0.0000000009
6281 0.0000000002
6585 0.0000000001
6874 0.0000000001
6893 0.0000000000
6937 0.0000000000
7048 0.0000000000
7051 0.0000000000
7318 0.0000000000
7324 0.0000000000
7441 0.0000000000
7647 0.0000000000
7982 0.0000000000
8077 0.0000000000
8293 0.0000000000
8981 0.0000000000
evaluations raw_y
1 622710.2853267905
2 320063.3346392530
3 71862.6724250898
4 41326.8417482998
5 36232.0536017405
13 512.6044628826
56 39.6428641774
382 3.1549894002
835 3.0245229183
855 2.8377227578
871 1.8527663175
1067 1.7887647004
1167 1.0954016751
1254 0.8059561053
1332 0.7391104843
1360 0.6921137940
1654 0.6911600375
1682 0.3431826757
1755 0.1227934428
2691 0.0943148714
2737 0.0698195357
2836 0.0425307791
2930 0.0248535472
2974 0.0229546482
2986 0.0118166673
3163 0.0050198499
3454 0.0036557969
3523 0.0020329989
3567 0.0011240123
3790 0.0007042748
4089 0.0005469221
4129 0.0005055546
4130 0.0001620279
4269 0.0000737992
4399 0.0000085022
4520 0.0000049568
4689 0.0000025959
5015 0.0000012973
5020 0.0000007324
5175 0.0000003696
5316 0.0000003687
5325 0.0000001686
5369 0.0000001513
5481 0.0000000680
5681 0.0000000557
5702 0.0000000445
5756 0.0000000395
5757 0.0000000278
5893 0.0000000140
5924 0.0000000062
5931 0.0000000060
5937 0.0000000020
5982 0.0000000001
6456 0.0000000001
6607 0.0000000000
6771 0.0000000000
6781 0.0000000000
7085 0.0000000000
7183 0.0000000000
7335 0.0000000000
7437 0.0000000000
7459 0.0000000000
7638 0.0000000000
7687 0.0000000000
8424 0.0000000000
evaluations raw_y
1 94104.0801179267
3 44291.5240861674
4 3337.9565650753
7 701.9157812403
17 621.9642397246
43 379.1502061729
55 36.3612529121
133 7.6904175360
435 3.0124890304
790 2.6261212244
947 2.4810552844
1060 1.7167730290
1117 1.4942104286
1196 1.4762415515
1238 1.3321680144
1255 0.6526657931
1634 0.5774476596
1722 0.5544485324
1898 0.4917388676
1904 0.3164419695
2240 0.2922684603
2357 0.1619327308
2469 0.1521784930
2719 0.1329602853
2772 0.1327747511
2777 0.0826495276
2800 0.0612679473
2847 0.0482256832
2902 0.0377262255
3107 0.0336333775
3149 0.0235805084
3196 0.0230982956
3200 0.0090888627
3376 0.0075799015
3469 0.0068939803
3577 0.0031176578
3635 0.0015667191
3916 0.0007381483
3943 0.0004020134
4135 0.0003568682
4142 0.0003100787
4206 0.0000615409
4495 0.0000230876
4571 0.0000229782
4589 0.0000040514
5116 0.0000036455
5118 0.0000031667
5142 0.0000014271
5157 0.0000013968
5182 0.0000002454
5545 0.0000001137
5630 0.0000001006
5634 0.0000000874
5708 0.0000000652
5768 0.0000000240
5783 0.0000000230
5854 0.0000000133
5973 0.0000000056
6081 0.0000000030
6096 0.0000000011
6285 0.0000000004
6581 0.0000000004
6609 0.0000000002
6625 0.0000000002
6658 0.0000000000
6864 0.0000000000
6865 0.0000000000
6960 0.0000000000
7030 0.0000000000
7277 0.0000000000
7356 0.0000000000
7540 0.0000000000
7550 0.0000000000
7775 0.0000000000
7868 0.0000000000
7890 0.0000000000
7968 0.0000000000
8072 0.0000000000
8510 0.0000000000
9139 0.0000000000
evaluations raw_y
1 12167.3589983918
5 7258.9924838853
6 3196.7112663321
9 3168.9790905016
50 1816.9758307853
99 395.4157326397
143 218.6660810869
184 62.1024578055
206 11.6697893759
288 5.5047738629
968 5.3178935333
985 4.0995083545
994 4.0070778801
1024 2.8705835437
1059 2.6055670940
1125 2.5843326295
1175 2.1434451810
1231 1.6115489660
1418 1.6032380895
1460 1.2009903863
1557 1.1389522244
1601 1.1066347366
1656 1.0653867275
1743 0.9891166011
1766 0.9752519443
1840 0.8308301590
1905 0.6347765328
2022 0.5950122470
2071 0.5748820639
2089 0.4298261946
2217 0.3776584851
2248 0.1700270060
2295 0.1209973936
2605 0.0921329915
2725 0.0905317051
2742 0.0831383088
2827 0.0282227087
3206 0.0187988715
3441 0.0007809897
4028 0.0002316007
4191 0.0000438461
4420 0.0000114381
4715 0.0000019579
4988 0.0000002407
5534 0.0000001582
5663 0.0000001309
5668 0.0000001207
5724 0.0000000491
5829 0.0000000058
6161 0.0000000054
6293 0.0000000054
6309 0.0000000030
6387 0.0000000015
6388 0.0000000006
6458 0.0000000005
6519 0.0000000001
6687 0.0000000001
6692 0.0000000001
6954 0.0000000000
7044 0.0000000000
7155 0.0000000000
7158 0.0000000000
7431 0.0000000000
7548 0.0000000000
7902 0.0000000000
7971 0.0000000000
8089 0.0000000000
8184 0.0000000000
8370 0.0000000000
8400 0.0000000000
9086 0.0000000000
evaluations raw_y
1 20365.1945322264
6 3005.6270903891
11 1228.2938428999
14 1097.7630369583
25 884.9566050516
61 636.8603765847
87 104.3428954802
93 66.3053481816
224 57.8410656317
282 22.7958758219
308 7.2796867462
528 5.8106834260
550 4.8924580321
675 4.8422496972
881 3.9038602255
882 0.5774048313
1102 0.4878207748
2020 0.3113603116
2304 0.2700455634
2362 0.2576884508
2424 0.1572026651
2663 0.1135035285
2730 0.1085872819
2967 0.0953861223
3106 0.0862999885
3115 0.0802038674
3123 0.0741739442
3168 0.0625426973
3211 0.0592345318
3273 0.0520517344
3285 0.0499990042
3312 0.0337501445
3352 0.0293065598
3392 0.0203821407
3496 0.0136128675
3582 0.0066408616
3584 0.0035884525
3714 0.0023856540
4055 0.0009205031
4109 0.0007039933
4220 0.0003788689
4408 0.0002125872
4440 0.0001663577
4509 0.0001499684
4557 0.0001336034
4639 0.0000965852
4718 0.0000610528
4744 0.0000115858
4829 0.0000062642
5162 0.0000038180
5164 0.0000008990
5333 0.0000000925
5893 0.0000000341
6001 0.0000000294
6026 0.0000000205
6205 0.0000000084
6233 0.0000000069
6351 0.0000000057
6461 0.0000000027
6501 0.0000000008
6675 0.0000000005
6689 0.0000000003
6785 0.0000000002
7036 0.0000000001
7197 0.0000000000
7460 0.0000000000
7493 0.0000000000
7640 0.0000000000
7685 0.0000000000
7695 0.0000000000
7729 0.0000000000
7788 0.0000000000
7838 0.0000000000
7905 0.0000000000
7919 0.0000000000
7974 0.0000000000
7992 0.0000000000
8138 0.0000000000
8252 0.0000000000
8430 0.0000000000
8670 0.0000000000
8875 0.0000000000
9521 0.0000000000
evaluations raw_y
1 1648.1257162038
2 135.7359637088
23 135.6576984060
36 49.1789271702
48 23.6168960748
63 18.9986494800
86 14.5397977937
295 7.1504947165
375 5.8371308647
429 4.0701870733
673 4.0397143035
708 3.7783125117
722 3.4558561136
796 2.3270355013
932 1.8841323948
1059 1.5190009203
1409 1.5188351465
1417 1.3963036649
1493 1.3336061923
1539 0.8700601769
1632 0.7606156179
1684 0.6981951460
1817 0.4019807066
1944 0.3873469963
2008 0.2482532514
2410 0.2401706636
2501 0.2366624938
2527 0.2268454734
2579 0.2267776894
2603 0.1594056962
2792 0.1295284977
2848 0.1232486439
2860 0.1224824157
2909 0.1043518102
2993 0.0621750427
3029 0.0398612752
3218 0.0307958269
3273 0.0165455372
3289 0.0060122748
3611 0.0013292883
3822 0.0007001327
4097 0.0006950161
4117 0.0000804464
4552 0.0000399814
4601 0.0000375336
4689 0.0000087730
4979 0.0000038486
5095 0.0000028503
5206 0.0000020739
5214 0.0000005105
5324 0.0000001804
5402 0.0000000322
5604 0.0000000038
6138 0.0000000005
6297 0.0000000005
6557 0.0000000003
6580 0.0000000002
6801 0.0000000001
6843 0.0000000000
6934 0.0000000000
6985 0.0000000000
7066 0.0000000000
7067 0.0000000000
7167 0.0000000000
7348 0.0000000000
7459 0.0000000000
7767 0.0000000000
7775 0.0000000000
7952 0.0000000000
8230 0.0000000000
8383 0.0000000000
8849 0.0000000000
evaluations raw_y
1 21731.4720134593
2 7507.4599502654
6 442.0688367344
11 21.9281028618
79 3.9645588355
90 1.1834451427
894 0.8482295521
969 0.6980381603
1017 0.6023180101
1504 0.5949352049
1535 0.5115748955
1633 0.3580553508
1784 0.2775648970
1854 0.2630698029
1899 0.2014614557
2051 0.1322713428
2281 0.1260532244
2284 0.1044083465
2340 0.0786345591
2451 0.0776108651
2467 0.0737122550
