evaluations raw_y
1 81.0355175895
5 64.7323066130
6 66.9186690891
7 55.1134120877
17 45.9904850412
59 45.5667887437
359 43.8238696402
1791 47.0007042539
1825 43.1844128305
2764 39.5489228772
3802 36.4047230662
7343 31.4648418190
7503 28.0680967090
7557 26.5904161166
7658 22.9706435798
7845 21.9888631259
8132 22.3767408463
8360 19.9972314531
8391 19.3598895240
8474 16.8057761994
8709 16.5595782540
8742 16.3689947822
8752 15.5883746907
8791 14.1129434972
8808 13.4742135326
8822 12.4904935100
8933 12.5459438174
9347 11.2710930636
9356 10.5027986151
9461 9.4300261276
9490 8.9232685542
9529 6.1841801310
10652 5.0356106952
11082 4.5241186871
11154 4.5054849506
11179 4.4298818475
11191 4.0492926602
11323 3.9174990607
11437 3.9971277475
11459 3.7880458134
11570 3.4528659347
11602 3.3257921830
11826 3.2764258424
12079 2.7831551150
12086 2.6280021577
12096 2.5875234380
12199 2.4605353653
12361 2.5061603980
12379 2.4019716891
12607 2.1073651596
12750 2.1237575990
12787 2.1475726197
12792 2.0417449307
12874 1.7578204567
13167 1.6367482906
13343 1.6344812116
13415 1.6126902726
13590 1.3830044544
13711 1.2997693455
13811 1.1639860156
13992 0.9084598242
14023 0.8218365098
14570 0.7535601518
15251 0.6671551858
15278 0.6402742924
15316 0.6332929656
15819 0.6442030936
15829 0.5852409470
16056 0.5859571332
16059 0.5372458948
16096 0.5574937859
16171 0.5341886935
16290 0.4787110392
16519 0.4674131709
16521 0.4371615109
16627 0.4488324507
16782 0.4660484126
16847 0.3992634048
16876 0.4141309135
16937 0.4041102806
17251 0.3864472405
17302 0.3632936628
17429 0.3520233028
17486 0.3505225338
17571 0.3161480339
17654 0.3092241331
17718 0.3001199328
18255 0.2843681117
18590 0.2715066479
18679 0.2743969415
18843 0.2524947420
18865 0.2297671870
19212 0.2113090935
19370 0.2094718532
19448 0.2060879455
19663 0.1862415077
19891 0.1878271521
20189 0.1846817005
20309 0.1877492793
20389 0.1758218504
20953 0.1763185912
21031 0.1694349235
21060 0.1703580270
21074 0.1639108942
21523 0.1564437216
21630 0.1537991711
21929 0.1504575183
21939 0.1487710344
22125 0.1357029536
22458 0.1369415437
22624 0.1350290338
22661 0.1343083215
22708 0.1330065120
23028 0.1290459934
23030 0.1297909392
23172 0.1275833215
23190 0.1255091730
23237 0.1269684430
23407 0.1227006822
23672 0.1217489139
23673 0.1199456478
23706 0.1185965328
23708 0.1181619707
24082 0.1138984096
24314 0.1144421297
