evaluations raw_y
1 323.2834100932
2 289.8110289273
3 210.5316864157
6 190.5366031464
18 189.4076120661
32 146.3631147518
46 105.4189116641
96 79.8663137676
157 74.9671964417
192 71.9900655759
213 62.5301284008
539 51.9462644882
649 31.4164216732
774 27.8323920825
780 27.0138126062
840 17.9590950779
861 17.4430046915
932 16.2102626947
961 14.8617891909
978 12.9627010940
1029 12.4431803508
1069 11.6876604793
1085 11.3874667520
1101 10.6077308928
1103 10.3482990304
1104 9.3709820577
1127 7.8615834691
1148 7.8402613666
1174 4.8064824549
1199 4.2545682167
1295 3.7281725508
1365 3.6196087251
1390 3.2890349669
1413 2.5073909557
1496 2.3347962614
1535 1.5435637672
1606 0.8959076899
1727 0.7655889436
1872 0.7428180486
1916 0.5546552760
1920 0.4281030801
2074 0.4030592219
2124 0.3541529390
2198 0.2847408552
2212 0.2117741703
2235 0.2008243895
2304 0.1874413190
2327 0.1333228059
2362 0.1332859277
2432 0.1077215553
2442 0.0781934206
2659 0.0745329332
2674 0.0730352450
2678 0.0483931970
2798 0.0439803083
2814 0.0238836356
2951 0.0229405120
3138 0.0223443647
3164 0.0170056707
3206 0.0068148491
3414 0.0066040466
3490 0.0065346081
3492 0.0054462329
3554 0.0046313669
3586 0.0038400302
3587 0.0038078896
3681 0.0030006144
3775 0.0027178238
3798 0.0022681189
3805 0.0019810610
3843 0.0019361055
3857 0.0016079306
3950 0.0015435593
3996 0.0013175440
4012 0.0012920369
4061 0.0012434288
4069 0.0011141139
4075 0.0010629784
4084 0.0010627450
4104 0.0008482506
4121 0.0005906794
4182 0.0004751640
4389 0.0004414995
4390 0.0004210438
4434 0.0003507968
4472 0.0003282010
4540 0.0003248809
4542 0.0002097721
4626 0.0001860205
4693 0.0001377745
4833 0.0001034495
4925 0.0000928516
4928 0.0000913620
4955 0.0000644498
4959 0.0000579713
4983 0.0000576583
5169 0.0000394394
5226 0.0000294168
5313 0.0000278319
5315 0.0000186912
5344 0.0000182163
5348 0.0000149797
5413 0.0000143710
5455 0.0000136865
5497 0.0000128020
5502 0.0000105005
5537 0.0000082054
5645 0.0000075423
5649 0.0000072497
5731 0.0000048953
5830 0.0000042750
5952 0.0000028169
6090 0.0000027613
6120 0.0000024831
6124 0.0000024246
6127 0.0000019765
6236 0.0000016374
6286 0.0000015383
6313 0.0000014377
6367 0.0000009393
6440 0.0000007394
6544 0.0000006892
6591 0.0000005473
6666 0.0000003788
6741 0.0000003785
6826 0.0000003455
6838 0.0000002867
6917 0.0000002474
6946 0.0000002132
6975 0.0000001921
7023 0.0000001062
7151 0.0000001053
7267 0.0000000779
7276 0.0000000618
7339 0.0000000600
7437 0.0000000559
7454 0.0000000425
7525 0.0000000381
7537 0.0000000333
7555 0.0000000222
7672 0.0000000207
7730 0.0000000195
7758 0.0000000127
7828 0.0000000123
7874 0.0000000106
7975 0.0000000104
8011 0.0000000090
8036 0.0000000081
8041 0.0000000058
8080 0.0000000053
8107 0.0000000048
8191 0.0000000045
8198 0.0000000040
8271 0.0000000029
8312 0.0000000022
8416 0.0000000019
8463 0.0000000017
8599 0.0000000017
8605 0.0000000013
8640 0.0000000013
8653 0.0000000012
8701 0.0000000010
8740 0.0000000010
8749 0.0000000009
8769 0.0000000008
8796 0.0000000008
8815 0.0000000007
8827 0.0000000007
8844 0.0000000004
8909 0.0000000004
8923 0.0000000003
9108 0.0000000002
9139 0.0000000001
9332 0.0000000001
9343 0.0000000001
9441 0.0000000001
9445 0.0000000001
9478 0.0000000001
9523 0.0000000001
9604 0.0000000000
9690 0.0000000000
9730 0.0000000000
9805 0.0000000000
9837 0.0000000000
9847 0.0000000000
9914 0.0000000000
9918 0.0000000000
10085 0.0000000000
10150 0.0000000000
10270 0.0000000000
10278 0.0000000000
10370 0.0000000000
10389 0.0000000000
10486 0.0000000000
10529 0.0000000000
10670 0.0000000000
10676 0.0000000000
10701 0.0000000000
10743 0.0000000000
10781 0.0000000000
10883 0.0000000000
10894 0.0000000000
10906 0.0000000000
10909 0.0000000000
11035 0.0000000000
11053 0.0000000000
11118 0.0000000000
11165 0.0000000000
11218 0.0000000000
11240 0.0000000000
11276 0.0000000000
11385 0.0000000000
11458 0.0000000000
11502 0.0000000000
11632 0.0000000000
11825 0.0000000000
11963 0.0000000000
12312 0.0000000000
12491 0.0000000000
evaluations raw_y
1 316.3461391938
14 304.7280572365
17 299.1983737580
29 295.9590367967
36 287.2926903265
37 254.7070855414
48 182.9430712618
84 178.5824672092
96 165.8023476817
110 161.2119641986
123 156.5666683164
124 143.2718861633
129 137.6660793409
142 127.9503048138
146 118.6505056065
181 81.9144766972
208 64.8698380634
225 57.9848770364
750 57.4588751600
781 49.9329174512
840 49.2256606391
866 42.0720675819
907 37.9460243258
974 21.5028519621
1111 15.4549802194
1123 12.9127866648
1223 10.5264698638
1269 9.8609677449
1325 9.2884705054
1331 8.6218417204
1347 7.6358820955
1414 5.8413051594
1453 5.3720091660
1464 4.6548241077
1507 3.3446047025
1561 2.6344580878
1568 2.2981658082
1673 2.2556901402
1701 1.8303993805
1760 1.8167584723
1766 1.5861474062
1788 1.4374395728
1835 1.3291810817
1861 1.2212310516
1868 1.1212849461
1931 1.0784113054
1939 1.0702305033
1962 1.0428806933
1966 0.8620682316
1986 0.6094846370
2074 0.4211979962
2178 0.4206007015
2182 0.2972149053
2236 0.2921134400
2277 0.2020301497
2330 0.1659412559
2511 0.1374912610
2540 0.1350472882
2565 0.1190789383
2622 0.0944411003
2631 0.0942199791
2652 0.0919044457
2674 0.0899724051
2702 0.0812140004
2728 0.0767786738
2729 0.0765955181
2761 0.0710136600
2774 0.0683247228
2784 0.0653072422
2840 0.0571632796
2890 0.0512063759
2910 0.0505017880
2919 0.0473625014
2930 0.0384954650
2975 0.0261747855
3076 0.0166202189
3244 0.0149134711
3334 0.0134885162
3359 0.0122710626
3426 0.0112164683
3468 0.0096354272
3477 0.0095787209
3507 0.0050393863
3637 0.0047645113
3682 0.0047132520
3715 0.0045480379
3723 0.0038831820
3767 0.0034204573
3842 0.0031450891
3906 0.0030509080
3968 0.0022395885
3973 0.0021298675
3978 0.0020221264
3993 0.0019852119
4051 0.0019674088
4060 0.0016786748
4061 0.0014668733
4078 0.0012913720
4097 0.0011291221
4190 0.0005755817
4407 0.0005517624
4421 0.0005078501
4447 0.0004836625
4486 0.0004621658
4496 0.0004515986
4504 0.0003620257
4516 0.0003523961
4652 0.0003163218
4654 0.0002199880
4735 0.0001918720
4804 0.0001168913
4825 0.0001146425
4888 0.0000840334
5099 0.0000756271
5133 0.0000745944
5136 0.0000744342
5148 0.0000718121
5160 0.0000625416
5183 0.0000589830
5217 0.0000419610
5223 0.0000417750
5250 0.0000274181
5294 0.0000254122
5431 0.0000245968
5454 0.0000236332
5534 0.0000224227
5543 0.0000216023
5568 0.0000182155
5577 0.0000127417
5657 0.0000124407
5678 0.0000094820
5717 0.0000089663
5727 0.0000078727
5730 0.0000073629
5907 0.0000063996
5919 0.0000054905
5927 0.0000047146
6013 0.0000039112
6037 0.0000035699
6129 0.0000031565
6162 0.0000029788
6166 0.0000028645
6183 0.0000027088
6189 0.0000026806
6203 0.0000014944
6362 0.0000014865
6383 0.0000011979
6408 0.0000010952
6443 0.0000010300
6544 0.0000010035
6560 0.0000008305
6574 0.0000007445
6655 0.0000004131
6865 0.0000003888
6890 0.0000003713
6914 0.0000003323
6935 0.0000003129
6950 0.0000002970
6986 0.0000002465
6987 0.0000001909
7086 0.0000001583
7205 0.0000001321
7286 0.0000001265
7334 0.0000001230
7356 0.0000001037
7367 0.0000001019
