evaluations raw_y
1 134931.3953303893
3 120620.0041941788
12 77459.3990597818
22 50848.6447940681
40 34468.4286031991
44 30110.9061571000
80 26784.6336292017
85 25640.8946697589
101 23912.0527460145
105 16082.7803467321
107 14037.5769307133
117 6994.5667074628
136 6474.5385071744
505 635.4188729315
692 229.4377482507
904 121.9357868220
946 4.4332321355
951 4.3219284519
999 4.1898398382
1006 3.2168111801
1225 3.0749236467
1251 3.0680389406
1391 2.7782692119
2413 2.7139000193
2715 2.5281220413
2927 2.4031742052
2976 2.3830258324
2978 2.3321693164
2991 2.3060017225
3247 2.2016642615
3280 2.0822161347
3307 2.0708349996
3443 2.0179521647
3549 1.9947495717
3707 1.9077176751
3749 1.8398574661
3766 1.8201199462
3793 1.7719886420
3847 1.7088390404
3967 1.6564960729
4112 1.5920263388
4172 1.5907755403
4347 1.5715882225
4393 1.5196033770
4561 1.5170076193
4782 1.5099489670
4846 1.5073391044
5137 1.5043458731
5221 1.5041979933
5263 1.5037016575
5335 1.5036579234
5355 1.5033516091
5372 1.5026872957
5401 1.5017724500
5471 1.5016392208
5529 1.5015049952
5532 1.5011100017
5618 1.5008710627
5629 1.5007202298
5849 1.5006209974
5977 1.5005801791
6041 1.5004109025
6323 1.5003849440
6324 1.5003822176
6369 1.5003445814
6424 1.5003424510
6445 1.5003149131
6495 1.5003083420
6609 1.5003053733
6628 1.5002987292
6701 1.5002943826
6759 1.5002930834
6829 1.5002900333
6846 1.5002888472
6857 1.5002869829
6928 1.5002860282
6929 1.5002854131
6944 1.5002833639
6999 1.5002815230
7183 1.5002811019
7243 1.5002809431
7253 1.5002798946
7434 1.5002796534
7475 1.5002795953
7500 1.5002794325
7664 1.5002792507
7721 1.5002792409
7801 1.5002792367
7834 1.5002792110
7862 1.5002791446
7875 1.5002791232
7880 1.5002790884
7996 1.5002790745
8066 1.5002790633
8076 1.5002790557
8120 1.5002790505
8131 1.5002790329
8251 1.5002790319
8374 1.5002790311
8383 1.5002790300
8392 1.5002790292
8417 1.5002790239
8436 1.5002790230
8440 1.5002790124
8623 1.5002790096
8813 1.5002790091
8881 1.5002790084
8913 1.5002790071
9093 1.5002790067
9314 1.5002790065
9393 1.5002790065
9414 1.5002790064
9483 1.5002790064
9497 1.5002790064
9525 1.5002790064
9546 1.5002790063
9658 1.5002790063
9697 1.5002790063
9714 1.5002790063
9970 1.5002790063
10023 1.5002790063
10080 1.5002790063
10084 1.5002790062
10151 1.5002790062
10273 1.5002790062
10316 1.5002790062
10338 1.5002790062
10380 1.5002790062
10381 1.5002790062
10642 1.5002790062
10650 1.5002790062
10757 1.5002790062
10833 1.5002790062
10839 1.5002790062
10901 1.5002790062
10906 1.5002790062
10962 1.5002790062
11008 1.5002790062
11019 1.5002790062
11054 1.5002790062
11169 1.5002790062
11180 1.5002790062
11196 1.5002790062
11230 1.5002790062
11269 1.5002790062
11278 1.5002790062
11323 1.5002790062
11359 1.5002790062
11473 1.5002790062
11491 1.5002790062
11492 1.5002790062
11556 1.5002790062
11610 1.5002790062
11718 1.5002790062
11750 1.5002790062
11802 1.5002790062
11940 1.5002790062
11947 1.5002790062
12031 1.5002790062
12132 1.5002790062
12231 1.5002790062
12421 1.5002790062
12797 1.5002790062
evaluations raw_y
1 7071.4515790224
40 4609.7514128079
41 3585.2543179205
72 2701.2660927917
100 2088.2185448464
113 583.7699783956
115 469.7413776351
224 145.3313377467
279 4.3199534348
578 3.8185236934
599 3.8028367540
658 3.5395045201
679 3.5271462128
682 2.9636970718
834 2.9214700781
902 2.9077694571
1624 2.8418651957
1778 2.8086899167
1889 2.7994610589
1937 2.7623758283
1945 2.6572415309
1981 2.6322242031
2294 2.5593734507
2573 2.3574220612
2768 2.0600354960
3677 1.4724296388
4779 1.3447117367
5031 1.2868117993
5207 1.2368367880
5208 1.2119729619
5738 1.1992338578
5795 1.1839752695
5820 1.1814247381
5947 1.1802823298
6029 1.1801598349
6094 1.1792847753
6126 1.1766531127
6131 1.1676352159
6342 1.1665966066
6687 1.1660623422
6852 1.1660194248
6992 1.1659578402
7027 1.1656184888
7096 1.1653608042
7186 1.1653574063
7206 1.1652884921
7235 1.1651018063
7326 1.1650428052
7406 1.1649953593
7445 1.1649685894
7465 1.1649193612
7531 1.1648499100
7590 1.1648465750
7631 1.1648265960
7644 1.1647547579
7767 1.1647397921
7798 1.1647222936
7834 1.1647201742
7841 1.1647106890
7849 1.1647049978
8004 1.1647001387
8042 1.1646951923
8047 1.1646927772
8097 1.1646862259
8115 1.1646835341
8137 1.1646812168
