evaluations raw_y
1 163030.4337933882
3 54015.0238488451
16 8664.6769913363
28 579.8106062034
40 375.9384123719
135 312.8843146014
143 2.6948711918
1750 2.0389966626
1759 0.6595261957
1788 0.6005854200
1862 0.2907375021
1939 0.0404786050
2000 0.0335504232
2073 0.0226233102
2269 0.0162213337
2270 0.0107057271
2335 0.0077195353
2412 0.0058727402
2439 0.0055992277
2440 0.0047162646
2441 0.0032317149
2509 0.0004018770
2669 0.0003446257
2773 0.0003121884
2828 0.0002301323
2846 0.0000381777
2895 0.0000241436
2898 0.0000127498
2992 0.0000100403
3185 0.0000061998
3192 0.0000052104
3263 0.0000026496
3313 0.0000001516
3665 0.0000000015
4005 0.0000000008
4142 0.0000000000
4720 0.0000000000
4758 0.0000000000
4912 0.0000000000
5002 0.0000000000
5058 0.0000000000
5295 0.0000000000
5443 0.0000000000
5689 0.0000000000
6145 0.0000000000
evaluations raw_y
1 8255261.6906604767
3 5154703.0113440324
4 2009425.3555379340
9 680699.2753898253
14 320379.8838059169
18 2138.0353826034
55 728.8700004535
404 219.4267831810
411 9.0089052059
513 5.8186081989
596 1.5373509007
674 1.0025114805
1036 0.6549219138
1120 0.2121162515
1240 0.0677171991
1455 0.0348985967
1788 0.0189290749
1892 0.0008337781
1899 0.0005070026
2745 0.0004977189
2773 0.0000679627
2852 0.0000271676
2992 0.0000091000
3185 0.0000056993
3263 0.0000052378
3313 0.0000003635
3535 0.0000002785
3631 0.0000002703
3665 0.0000000538
3816 0.0000000229
3990 0.0000000222
4005 0.0000000073
4105 0.0000000060
4199 0.0000000059
4292 0.0000000053
4293 0.0000000021
4350 0.0000000020
4399 0.0000000016
4407 0.0000000007
4472 0.0000000002
4530 0.0000000001
4593 0.0000000001
4700 0.0000000000
4720 0.0000000000
4758 0.0000000000
4828 0.0000000000
5762 0.0000000000
6207 0.0000000000
evaluations raw_y
1 10914646.5350741986
2 795367.1408092045
8 635041.1924295400
16 64905.7426653939
25 3508.9176292365
35 2894.9804893739
93 1253.2951849263
118 691.2757664802
140 336.2320619863
145 2.6497390930
901 0.4450197300
1964 0.3105807125
2064 0.0185609317
2305 0.0046258856
2773 0.0023588974
2852 0.0017646552
2992 0.0001212296
3063 0.0000886274
3263 0.0000813665
3313 0.0000432888
3336 0.0000366767
3463 0.0000292939
3489 0.0000284818
3503 0.0000055317
3535 0.0000039224
3631 0.0000019812
3701 0.0000004430
3820 0.0000000865
3950 0.0000000811
4005 0.0000000489
4117 0.0000000330
4237 0.0000000319
4269 0.0000000294
4293 0.0000000258
4350 0.0000000061
4452 0.0000000023
4472 0.0000000008
4530 0.0000000002
4758 0.0000000001
4792 0.0000000001
4828 0.0000000000
4942 0.0000000000
5058 0.0000000000
5222 0.0000000000
5443 0.0000000000
5501 0.0000000000
5674 0.0000000000
5689 0.0000000000
5717 0.0000000000
5762 0.0000000000
6435 0.0000000000
evaluations raw_y
1 2093148.2684276430
3 413637.4399261948
4 107940.0767419568
6 3179.1325637898
29 1188.8196873337
41 733.9283520452
65 690.4384040643
92 435.1872843595
147 6.7236108540
513 4.6366646982
596 0.9098933510
813 0.0935310753
932 0.0517490212
1647 0.0373408887
1777 0.0097274229
1783 0.0064687858
1939 0.0017677499
2000 0.0002652229
2285 0.0001431024
2773 0.0000242665
2852 0.0000085862
2992 0.0000002825
3535 0.0000002312
3590 0.0000002115
3618 0.0000001377
3665 0.0000000479
3807 0.0000000435
3816 0.0000000159
3820 0.0000000049
3990 0.0000000042
4005 0.0000000001
4142 0.0000000000
4667 0.0000000000
4700 0.0000000000
4758 0.0000000000
4792 0.0000000000
4828 0.0000000000
4912 0.0000000000
5002 0.0000000000
5058 0.0000000000
5222 0.0000000000
5295 0.0000000000
6150 0.0000000000
evaluations raw_y
1 15741071.5695590582
2 2088614.0303654263
8 71445.0690321566
22 17955.4381369725
59 3754.0967029885
142 497.9385357197
230 333.6107896250
404 23.4614899798
585 23.4439254421
879 7.7950277273
1240 7.1187687706
1302 6.7601579302
1400 6.5091699015
1406 4.9502537243
1414 4.7845929417
1454 4.6783764003
1455 1.9734349440
1605 1.8212326753
1723 1.5189506793
1750 0.5372064339
1759 0.2919205924
1777 0.0995251290
2055 0.0939428143
2198 0.0407252722
2254 0.0365215323
2269 0.0140775927
2307 0.0040850638
2412 0.0028880517
2439 0.0024893918
2521 0.0010453731
2569 0.0003344099
2682 0.0003310355
2773 0.0001307936
2852 0.0000658127
2992 0.0000004939
3313 0.0000002472
3535 0.0000001219
3665 0.0000000222
3990 0.0000000174
4005 0.0000000039
4105 0.0000000029
4142 0.0000000003
4472 0.0000000002
4530 0.0000000000
4667 0.0000000000
5058 0.0000000000
5222 0.0000000000
5295 0.0000000000
5443 0.0000000000
6295 0.0000000000
evaluations raw_y
1 1964.4806693900
78 940.0537947603
147 162.7350596411
160 16.3214829993
1414 13.6859468842
1455 10.6637935825
1605 6.9486412576
1685 1.6740637812
1722 1.2446181976
1730 1.2175071375
1750 0.3790702693
1862 0.1066518559
2055 0.0161582720
2270 0.0018903833
2439 0.0003533241
2669 0.0002093811
2684 0.0001051701
2773 0.0000528651
2852 0.0000316886
2992 0.0000015303
3263 0.0000000055
4142 0.0000000005
4452 0.0000000005
4472 0.0000000001
4512 0.0000000001
4593 0.0000000000
4792 0.0000000000
4828 0.0000000000
5359 0.0000000000
5443 0.0000000000
5762 0.0000000000
5849 0.0000000000
5928 0.0000000000
6312 0.0000000000
evaluations raw_y
1 12808714.8718452137
3 8347771.6718813367
4 3918332.1272332235
9 2697893.1955503779
10 87967.5314604967
23 306.8924420044
48 109.5871921895
98 8.6471639642
500 1.1115487288
1647 0.8808367598
1655 0.2560671022
1811 0.1124095331
2000 0.0614119897
2203 0.0020114595
2270 0.0001971339
2569 0.0000524345
2682 0.0000141643
2852 0.0000070304
2992 0.0000052174
3040 0.0000047862
3063 0.0000035040
3185 0.0000029333
3313 0.0000001874
3618 0.0000001605
3665 0.0000001411
3688 0.0000001305
3701 0.0000000849
3743 0.0000000756
3746 0.0000000556
3816 0.0000000093
3950 0.0000000036
4005 0.0000000016
4105 0.0000000009
4142 0.0000000002
4399 0.0000000002
4412 0.0000000001
4472 0.0000000000
4667 0.0000000000
5222 0.0000000000
5443 0.0000000000
6200 0.0000000000
evaluations raw_y
1 6156247.7607607767
3 3917420.1945855394
4 783512.3020863045
9 234559.1422941230
14 48836.3328959259
42 674.8585161512
69 10.7114974429
232 1.8437110188
1832 1.5640023573
1876 1.1570858389
1884 0.9822684078
1916 0.6549161694
1964 0.0923286697
2126 0.0000934035
2971 0.0000832350
2992 0.0000265724
3040 0.0000223851
3063 0.0000055607
3463 0.0000030594
3503 0.0000007265
3618 0.0000006061
3665 0.0000000547
3761 0.0000000181
3820 0.0000000069
4005 0.0000000046
4293 0.0000000044
4350 0.0000000013
4452 0.0000000006
4472 0.0000000003
4512 0.0000000001
4530 0.0000000000
4593 0.0000000000
4758 0.0000000000
4792 0.0000000000
4828 0.0000000000
5222 0.0000000000
5443 0.0000000000
5674 0.0000000000
5762 0.0000000000
6305 0.0000000000
evaluations raw_y
1 519217.2174480904
3 28189.6394308284
16 1057.7656189544
46 487.7040758806
51 107.8873250898
61 71.4962683900
329 14.4029587929
596 10.3643446314
1406 7.4357424728
1455 5.2841853421
