evaluations raw_y
1 24902.0276588354
2 6343.6251861340
8 5460.5025803296
15 2486.1729317674
17 2892.9808626336
23 2171.9628475300
71 1889.8893742797
85 1080.8786067918
94 987.2785593585
126 803.8523368775
273 619.8474476189
707 593.8803619381
775 530.8217936069
804 482.3899749733
850 456.2106158994
920 393.5796390716
999 352.7214362941
1274 349.9074742670
1310 345.7023590735
1370 329.9894720873
1375 269.6770605128
1543 261.6111257674
1603 246.8567141595
1752 208.6685414312
1835 203.3764363751
2316 188.7245885586
2620 177.2466795814
3021 169.3445289662
3264 175.2292484480
3413 159.5688075741
3464 153.9140276923
3656 152.4093526674
3765 116.5342637568
4086 105.8012908898
5145 88.4514072743
6011 85.7583081654
6028 74.7425968926
6070 67.6548421221
6193 57.0551387544
6263 52.7213651170
6492 43.9425825423
6835 43.3578797380
6847 42.2768108191
6871 40.6965318372
6907 40.0603670227
6973 40.0584118410
7012 38.6781349512
7099 38.0118780631
7243 36.5709862624
7560 36.1939235148
7669 35.9849170434
7676 35.9205186682
7693 35.6630072719
7778 35.3835946205
7793 35.2983141954
7812 35.2628150538
7893 34.8650099909
7958 34.5827756263
8232 34.4481986824
8309 34.3840782546
8313 34.3183982486
8455 34.2659411210
8528 34.2315755904
8565 34.1236121706
8638 34.0589281802
8910 34.0416415320
8911 33.9935843074
8988 33.9765893580
9006 33.9698963929
9161 33.9596696722
9204 33.9501333190
9263 33.9120086293
9515 33.9035671013
9568 33.8837399435
9594 33.8830482943
9610 33.8747198732
9709 33.8700713361
9785 33.8672117011
9865 33.8630108759
9985 33.8501672323
10045 33.8482748957
10148 33.8477095345
10154 33.8455058126
10310 33.8429092726
10564 33.8421056051
10583 33.8352196476
10712 33.8336209698
10906 33.8335714531
10943 33.8328630092
11066 33.8325388190
11190 33.8321299774
11303 33.8319975438
11395 33.8319818983
11413 33.8310449883
11540 33.8309848844
11564 33.8306480575
11645 33.8301369295
11658 33.8300116271
11669 33.8293982721
11804 33.8293857600
11814 33.8290915043
12043 33.8289707331
12366 33.8288957838
12451 33.8288679819
12535 33.8288275269
12552 33.8288021943
12560 33.8287735187
12585 33.8287343383
12640 33.8287111624
12697 33.8287099416
12730 33.8286974908
12738 33.8286828683
13051 33.8286657040
13057 33.8286403755
13161 33.8286306157
13170 33.8286290895
13233 33.8286196351
13284 33.8286194239
13334 33.8286151555
13339 33.8286074863
13526 33.8286061496
13600 33.8285986157
13611 33.8285951275
13686 33.8285932964
13781 33.8285912175
13793 33.8285905791
13892 33.8285905505
13914 33.8285882285
13925 33.8285881743
14005 33.8285847814
14072 33.8285834945
14128 33.8285825311
14142 33.8285812111
14155 33.8285810143
14232 33.8285808854
14419 33.8285804150
14440 33.8285801391
14471 33.8285799908
14587 33.8285798420
14609 33.8285796982
14657 33.8285793713
14713 33.8285793127
14728 33.8285790389
14767 33.8285789944
14789 33.8285789136
14853 33.8285786914
14896 33.8285786130
14971 33.8285784151
15126 33.8285782966
15219 33.8285782743
15246 33.8285782380
15252 33.8285780978
15298 33.8285779814
15504 33.8285779781
15510 33.8285779026
15511 33.8285778497
15551 33.8285778171
15789 33.8285778102
15930 33.8285778018
15940 33.8285777951
15991 33.8285777945
16032 33.8285777734
16038 33.8285777598
16284 33.8285777537
16306 33.8285777465
16390 33.8285777437
16393 33.8285777419
16437 33.8285777382
16544 33.8285777377
16601 33.8285777376
16619 33.8285777332
16653 33.8285777308
16795 33.8285777289
16803 33.8285777255
16872 33.8285777249
16916 33.8285777238
16954 33.8285777226
17017 33.8285777208
17047 33.8285777208
17068 33.8285777208
17095 33.8285777175
17158 33.8285777172
17531 33.8285777171
17572 33.8285777166
17636 33.8285777157
17815 33.8285777153
17841 33.8285777153
17885 33.8285777152
18014 33.8285777151
18050 33.8285777149
18100 33.8285777148
18169 33.8285777147
18269 33.8285777147
18292 33.8285777147
18319 33.8285777147
18335 33.8285777147
18358 33.8285777146
18502 33.8285777145
18513 33.8285777145
18527 33.8285777144
18567 33.8285777144
18624 33.8285777144
18670 33.8285777144
18720 33.8285777144
18792 33.8285777143
18815 33.8285777143
18890 33.8285777143
18916 33.8285777143
19137 33.8285777143
19172 33.8285777143
19295 33.8285777143
19298 33.8285777143
19337 33.8285777143
19536 33.8285777143
19543 33.8285777143
19607 33.8285777143
19653 33.8285777143
19685 33.8285777143
19851 33.8285777143
19858 33.8285777143
19954 33.8285777143
19984 33.8285777143
20007 33.8285777143
20021 33.8285777143
20088 33.8285777143
20105 33.8285777143
20111 33.8285777143
20277 33.8285777143
20356 33.8285777143
20419 33.8285777143
20455 33.8285777143
20457 33.8285777143
20486 33.8285777143
20580 33.8285777143
20689 33.8285777143
20699 33.8285777143
20794 33.8285777143
20890 33.8285777143
20900 33.8285777143
20923 33.8285777143
20930 33.8285777143
20984 33.8285777143
21003 33.8285777143
21107 33.8285777143
21142 33.8285777143
21157 33.8285777143
21217 33.8285777143
21244 33.8285777143
21359 33.8285777143
21404 33.8285777143
21470 33.8285777143
21490 33.8285777143
21499 33.8285777143
21623 33.8285777143
21808 33.8285777143
21850 33.8285777143
21871 33.8285777143
21888 33.8285777143
22040 33.8285777143
22117 33.8285777143
22252 33.8285777143
22397 33.8285777143
22522 33.8285777143
23919 33.8285777143
24448 33.8285777143
27600 33.8285777143
54095 33.8285777143
188473 33.8285777143
evaluations raw_y
1 10444.4539929551
2 6069.2795768546
3 4893.9539606063
5 3149.1430500071
10 3211.4436921430
12 2453.2855013036
22 2456.9402085653
25 1103.7018985311
34 1025.4772123980
60 987.6568060061
77 885.1178393465
96 801.4877281329
101 800.3048698768
122 779.6218804217
173 708.0236935999
181 585.6326102556
335 536.1563698406
529 555.9453581783
645 546.5586738523
708 506.7054050007
749 483.9509470010
776 464.9309501109
806 452.4622796359
848 430.3649778902
876 424.4239316386
920 390.0131495783
972 337.0312417906
1146 327.5383286811
1243 319.6839725898
1256 309.5191201668
1386 303.5350589773
1418 298.2923674867
1479 271.6336913455
1511 268.7233390257
1591 233.0730558629
1676 209.7096944899
1787 189.5930649167
2490 189.5098442240
2663 187.6023358028
2670 184.4046294655
2678 179.3300149601
2703 178.4857165800
2705 169.4199908576
