evaluations raw_y
1 407.1003316287
2 395.5367465345
4 318.5468415749
16 315.5874888860
19 285.5445075697
48 281.3581884208
56 218.6024270270
89 203.2425030173
101 199.9817510040
110 193.7371060483
125 173.2529209869
127 172.8951071856
131 157.6466373888
162 116.4099526324
205 103.2670573964
226 84.5211444481
233 58.7403626376
314 55.5493831863
320 53.3737248710
325 52.1260741512
369 44.4174000960
383 26.0758236217
445 16.4318799354
462 14.8574013203
557 2.8435837911
1062 0.0000000000
6880 2396202.8155858754
evaluations raw_y
1 378.0583408763
2 332.3489340216
3 236.3139697151
18 202.8573713480
63 185.8235638734
80 166.6208224247
82 157.2869856429
86 155.5345168171
103 135.0663993779
108 134.2380495484
110 128.4032911341
125 114.2293825697
139 96.0394960808
162 69.8386741878
172 59.7934731597
244 49.7725574717
246 46.2503663572
253 45.3543795384
296 23.8123407118
327 6.4272790056
1048 0.0000000000
6800 5900887.1056447774
evaluations raw_y
1 305.6768356076
4 288.4068217195
14 283.7292200611
18 244.6882735883
51 196.3188264697
95 191.8834993314
104 178.6287256914
115 170.0617842392
125 155.9539032201
155 142.9403202487
161 139.9548496224
162 117.4778934072
199 107.5997477258
200 69.1151674857
220 66.3375503928
240 65.6396852641
245 42.2028800900
287 37.9048961046
326 28.0834537897
461 21.8106878768
533 11.2584262822
785 8.8162191119
915 0.0000000000
6975 183.9222769188
evaluations raw_y
1 353.9334986309
2 309.3400655116
6 285.8589987090
9 282.8808392142
13 282.7674287486
18 250.0004108382
21 247.8321581979
33 232.2301659543
37 230.1116502631
51 213.3131368320
57 211.4008205876
59 179.4126462922
109 149.8905568117
123 147.5484324557
131 123.1370177056
187 116.6132613105
195 112.0755568459
204 110.5200022758
206 62.0899553950
286 53.3006012236
376 45.1933487426
384 37.7543152894
443 31.4014538091
451 27.9315210466
473 27.4485010977
505 21.7026293111
577 19.0244822437
635 15.7798300823
743 14.8326230681
809 9.9951502347
1065 0.0000000000
6821 95.7018162146
evaluations raw_y
1 240.0880436899
14 223.8516219338
25 185.9567848016
56 183.8589473291
60 183.5616392547
66 180.4740577223
70 179.4134539581
76 139.4754006481
87 127.6535736182
102 118.5044832894
129 86.3643170605
177 85.7040174144
181 79.9742262205
210 75.8946220033
252 59.9341349189
256 57.3267954333
267 45.3789870953
348 34.6779421650
367 30.4802809858
400 22.1052333437
531 17.5428200620
1004 0.0000000000
6757 663216.7432563327
evaluations raw_y
1 421.3739888353
3 334.0611920239
5 326.9187861485
9 325.3268757388
16 319.6416685915
19 314.8221475583
25 305.2489541878
26 279.0947701311
49 264.9840424411
50 261.0299956031
62 254.1045005822
69 241.2072888559
95 230.6625767839
96 208.5419813272
104 205.5126295177
108 199.7953791713
129 195.6576765101
134 189.7707597825
162 180.2003215355
167 122.2455084979
200 121.1694188698
