evaluations raw_y
1 1361970.8392352217
2 1123582.7418601383
3 868734.9484316132
7 705196.6743821886
18 584944.1375865032
27 579274.0843767037
39 569120.8384303622
54 360971.9438451666
58 238009.3721010374
103 196175.5501331137
157 120872.4497645322
174 63201.6359958947
209 59839.0019029948
279 53138.9998165310
281 33350.5033799938
295 32912.6638378858
349 3202.2257992220
397 2270.6107050591
534 1213.3580291566
9043 930.6357664968
9772 903.1737463402
9959 731.5767061099
10012 711.0182029133
10030 675.9970265685
10133 594.5573675706
10348 567.2200341562
10472 497.0812165305
10517 485.6308391402
10520 482.1317002001
10559 468.5395609270
10583 420.2367491841
10591 414.9052800833
10626 400.3418537361
10652 384.6269248520
10710 375.5984251054
10720 277.8570061527
10846 221.2959024684
11044 217.3066646234
11106 182.8830099900
11274 119.2744401262
11465 115.6891579109
11680 97.4045079519
11692 72.5788660863
12177 65.3946078581
12187 65.2243663510
12250 65.0200114063
12253 64.5162093197
12303 57.7395379682
12329 43.2767350600
12352 41.8452055311
12363 36.8214263699
12739 35.3713081120
12742 34.9096356486
12837 27.2556152492
12876 23.6923539652
12887 23.0860607232
13164 18.9658515451
13205 13.5502754897
13512 12.5262944284
13542 12.3751602801
13572 11.4372999214
13689 8.9230893415
13876 8.9145840221
13961 8.4763894749
13980 7.9294931319
14007 7.7532410747
14033 6.9977594814
14073 6.9935780606
14149 6.7358374482
14197 6.5370180338
14231 6.2646193809
14297 4.6583273730
14330 4.4283129734
14458 4.3791309421
14543 4.0933403519
14546 3.5935711133
14612 3.4223492866
14644 3.0438702638
14647 2.7060677892
14679 2.1191230522
14862 1.8525501874
15033 1.3606704044
15471 1.3591902820
15477 1.1854868608
15482 0.7612747234
15651 0.7357767699
15763 0.7252196938
15791 0.4819078334
16158 0.4613449682
16236 0.4142850495
16452 0.4062896914
16583 0.2658984510
16631 0.2557322891
16878 0.2540599770
16923 0.2470976179
16971 0.2134861596
16985 0.2126344791
17166 0.1812157494
17191 0.1792681499
17301 0.1671550221
17433 0.1301610019
17726 0.1235001435
17730 0.1226948525
17731 0.1063598057
17886 0.0910637128
18078 0.0699778195
18341 0.0524623924
18493 0.0435460255
18655 0.0376410381
18904 0.0350008826
18959 0.0320911496
19166 0.0320572884
19243 0.0253967277
19338 0.0234194658
19364 0.0229202259
19395 0.0189330313
19632 0.0147369225
19675 0.0127289297
19830 0.0121117331
19840 0.0098425044
19850 0.0098346496
20035 0.0085938134
20052 0.0059586435
20321 0.0050661849
20436 0.0050299242
20443 0.0047821798
20471 0.0046351771
20477 0.0039300290
20671 0.0039212843
20839 0.0028137452
20935 0.0025150770
21035 0.0024671244
21211 0.0023948342
21282 0.0015622503
21623 0.0014790598
21649 0.0014629541
21651 0.0010109294
21800 0.0009989695
21854 0.0009892688
21919 0.0008787800
22107 0.0008493523
22206 0.0006678183
22297 0.0005951446
22707 0.0005754058
22737 0.0004693024
22846 0.0003884663
23095 0.0002692885
23606 0.0002085255
23610 0.0002049946
23691 0.0001614614
23774 0.0001462490
23802 0.0000970867
24327 0.0000965167
24401 0.0000874617
24536 0.0000794137
24600 0.0000778731
24624 0.0000736722
24666 0.0000680926
24738 0.0000618804
24814 0.0000556717
24912 0.0000553281
24944 0.0000363733
25249 0.0000351891
25409 0.0000305947
25575 0.0000304987
25577 0.0000270812
25725 0.0000247695
25806 0.0000185842
25812 0.0000156756
26004 0.0000150954
26173 0.0000128460
26260 0.0000128154
26324 0.0000111717
26334 0.0000111662
26337 0.0000108268
26407 0.0000098582
26412 0.0000088813
26448 0.0000088745
26524 0.0000085588
26698 0.0000084237
26719 0.0000080958
26773 0.0000072188
26863 0.0000055273
26964 0.0000052873
27068 0.0000050934
27170 0.0000044684
27586 0.0000033185
27852 0.0000026576
27871 0.0000025648
27905 0.0000018871
28460 0.0000015222
28732 0.0000014075
28755 0.0000010894
28887 0.0000009610
28919 0.0000009208
28948 0.0000009107
29083 0.0000008443
29173 0.0000007118
29307 0.0000004938
29364 0.0000004499
29700 0.0000002609
30059 0.0000002078
30104 0.0000001923
30205 0.0000001910
30228 0.0000001828
30276 0.0000001054
30598 0.0000000955
30655 0.0000000736
30857 0.0000000620
31000 0.0000000610
31031 0.0000000564
31084 0.0000000532
31446 0.0000000523
31472 0.0000000497
31480 0.0000000445
31501 0.0000000430
31531 0.0000000236
31752 0.0000000182
32103 0.0000000182
32138 0.0000000167
32298 0.0000000166
32379 0.0000000154
32395 0.0000000137
32446 0.0000000107
32536 0.0000000106
32569 0.0000000096
32669 0.0000000061
33012 0.0000000060
33023 0.0000000058
33119 0.0000000058
33277 0.0000000033
33763 0.0000000033
33806 0.0000000032
33821 0.0000000030
33835 0.0000000029
33966 0.0000000026
33999 0.0000000020
34153 0.0000000020
34280 0.0000000017
34351 0.0000000014
34426 0.0000000013
34600 0.0000000012
34695 0.0000000010
34715 0.0000000010
34769 0.0000000008
34855 0.0000000008
34908 0.0000000007
35293 0.0000000006
35333 0.0000000006
35357 0.0000000005
35464 0.0000000004
35745 0.0000000004
35748 0.0000000002
36135 0.0000000002
36236 0.0000000002
36255 0.0000000002
36323 0.0000000002
36553 0.0000000002
36614 0.0000000001
36652 0.0000000001
36796 0.0000000001
36902 0.0000000001
37004 0.0000000001
37006 0.0000000001
37066 0.0000000001
37343 0.0000000001
37346 0.0000000001
37358 0.0000000001
37569 0.0000000000
37646 0.0000000000
37914 0.0000000000
38000 0.0000000000
38485 0.0000000000
38962 0.0000000000
39309 0.0000000000
39363 0.0000000000
39452 0.0000000000
39515 0.0000000000
39734 0.0000000000
40170 0.0000000000
40513 0.0000000000
40666 0.0000000000
40903 0.0000000000
41072 0.0000000000
41164 0.0000000000
41195 0.0000000000
41906 0.0000000000
41913 0.0000000000
41976 0.0000000000
42016 0.0000000000
42236 0.0000000000
42412 0.0000000000
42479 0.0000000000
42538 0.0000000000
42636 0.0000000000
42701 0.0000000000
43166 0.0000000000
43195 0.0000000000
43504 0.0000000000
44069 0.0000000000
44136 0.0000000000
44535 0.0000000000
44841 0.0000000000
45414 0.0000000000
45470 0.0000000000
45975 0.0000000000
46712 0.0000000000
46922 0.0000000000
evaluations raw_y
1 1867990.5092672484
5 1015413.5197288675
17 844824.0515048411
51 597223.8138930599
81 590507.4095877880
107 544207.5918651621
123 517353.6080488586
124 330047.4651797984
130 316624.7818235639
161 303357.3174888984
195 302521.5045257445
203 297965.7713665273
206 159296.4041324230
237 80750.4486325298
314 74071.7255212347
339 41461.7151853935
386 27074.3323959081
588 13040.9505069940
644 1849.8990840997
753 1815.7849449594
8747 1768.6153087358
8992 1605.1124293783
8994 1519.7718394250
9049 1392.4733102741
9146 1329.7346379794
9252 1165.8435046564
9278 1142.9343381354
9420 1036.3686865413
9529 935.0743255356
9610 902.5615703920
9612 820.0701831300
9635 782.0137260956
9905 723.9113693771
9920 678.2002173542
9966 631.2886032104
9986 553.8904339404
10044 522.1780400603
10051 421.2319834866
10112 408.2320898406
10171 404.4496230133
10178 389.8316299155
10197 325.1846116133
10233 323.5729031564
10238 216.8963173622
10602 215.5660103896
10658 215.1874854025
10700 214.7789580837
10708 193.0799854064
10731 172.8892755522
10804 172.3161713607
10825 131.4082711283
10991 121.3238188618
10996 117.1357287843
11003 56.9310519393
11657 49.5140271159
11773 33.6544750455
12161 29.1433349732
12347 28.3141892564
12376 26.5833289873
12417 23.5952142568
12424 23.4996248504
12483 23.4158723957
12490 21.1587023033
12528 14.0578113199
12592 12.5322211029
12872 12.4745287913
12895 12.0630783050
13063 7.0481787201
13372 6.4479477284
13501 4.6169882073
13674 2.8001378175
14004 2.0427129261
14236 1.6528345187
14861 1.5508932753
14894 1.3589239327
15170 1.1708051945
15257 0.7380583748
15550 0.6841448964
15700 0.6355452622
15705 0.4930582983
15836 0.4199314248
15838 0.3916611769
16113 0.3032424290
16459 0.2384235459
16630 0.2033351701
16676 0.1536875030
16728 0.1533138985
16751 0.1466058730
16791 0.1406209189
16817 0.1322087504
16892 0.1264025286
16957 0.0996372841
17289 0.0859235357
17326 0.0851114590
17348 0.0802863883
17373 0.0796842325
17392 0.0711491767
17516 0.0684405549
17565 0.0654715242
17573 0.0445618673
17775 0.0444338426
17819 0.0420179843
18051 0.0403686785
18055 0.0289695749
18095 0.0226535552
18279 0.0174736748
18321 0.0173221970
18418 0.0149283107
18426 0.0089833468
18782 0.0084774596
18978 0.0072335472
18998 0.0056756595
19174 0.0056214470
19176 0.0053018435
19206 0.0045960600
19372 0.0044901960
19564 0.0041176657
19565 0.0039693901
19612 0.0024477861
19973 0.0024251848
19995 0.0020251477
20068 0.0011055866
20230 0.0011008599
20301 0.0009902464
20488 0.0009065589
20538 0.0008214393
20730 0.0007492576
20804 0.0007434831
20880 0.0007239242
20881 0.0006815539
20900 0.0005219273
20949 0.0005206303
20967 0.0005142189
21018 0.0004838897
21026 0.0003823959
21370 0.0002994831
21598 0.0002906066
21672 0.0002774365
21717 0.0002745300
21786 0.0002719795
21815 0.0002019493
21895 0.0001978581
21928 0.0001481963
22162 0.0001475412
22263 0.0000964204
22584 0.0000782156
22683 0.0000620274
23053 0.0000591064
23056 0.0000435371
23465 0.0000418710
23476 0.0000376884
23485 0.0000291031
23677 0.0000281844
23733 0.0000281229
23811 0.0000272328
23966 0.0000204711
24213 0.0000158312
24506 0.0000157512
24517 0.0000154415
24560 0.0000139502
24579 0.0000130733
24613 0.0000113496
24644 0.0000090145
24677 0.0000090017
24848 0.0000071499
24910 0.0000068132
25085 0.0000049343
25170 0.0000033018
25626 0.0000029076
25777 0.0000026820
25856 0.0000022057
25878 0.0000020680
25949 0.0000018331
26003 0.0000017801
26106 0.0000017358
26186 0.0000017068
26246 0.0000017062
26258 0.0000016916
26280 0.0000015590
26307 0.0000009708
26462 0.0000009503
26493 0.0000009453
26496 0.0000009159
26550 0.0000008982
26722 0.0000007436
26811 0.0000007215
26908 0.0000005401
26979 0.0000005266
26985 0.0000005017
27047 0.0000004881
