evaluations raw_y
1 2148.9190181669
3 1651.5604186836
9 1138.1419019783
86 1078.0029550972
198 1046.7150215937
223 946.5901558193
225 913.5239700278
231 891.9239093233
233 852.3328982314
243 780.1205836095
257 703.3890486873
259 680.6574743178
293 658.3338626115
296 657.9416056612
303 618.8091918282
304 614.5906072177
308 598.3816501125
321 564.4769655075
332 526.7686370871
445 509.1543435302
448 480.9562483396
470 474.8218123870
472 467.2128206446
475 460.1888434415
482 420.1969397607
485 420.1412473902
520 416.1438923139
551 413.8389503571
560 407.4487550335
564 391.5120590184
918 387.5087881001
937 374.4037814680
1069 360.2505624528
1074 354.0469168305
1077 338.2781508840
1105 322.3001040426
1579 317.0749272569
1581 315.8078492800
1583 314.4092695830
1584 313.7563019743
1592 304.7612393988
1593 297.5323199945
1603 294.3325668523
1606 293.5910924193
1615 292.5605825506
1636 290.1820671256
1649 290.0593347832
1650 289.1248669975
1652 287.7250198841
1655 285.9630221156
1660 285.7035323306
1661 283.3907204312
1662 283.2583128174
1663 282.4898176400
1665 282.1148872968
1666 281.9806004956
1702 281.0528625781
1709 281.0233350374
1718 278.5433129382
1719 278.4377493706
1734 277.9509209008
1740 277.4087062314
1750 277.1530394682
1751 276.9813896511
1755 275.9843791375
1757 275.8579504229
1882 275.0685239255
1883 275.0192369130
1884 274.8876668661
1885 274.3238447139
1898 274.1233046225
1911 274.0514466225
1914 273.5454321590
1917 273.2010028830
1947 272.9388912661
1949 272.6401356868
1950 272.6334030841
1952 271.9721288003
1955 271.3867379515
1958 271.1052861023
1961 270.8994335945
1962 270.8374872273
1963 270.6612923999
1967 270.3815638647
1970 270.2498658324
1973 270.1680655581
1976 270.1061714152
1984 269.9006985426
2017 269.8584108204
2023 269.7803871591
2028 269.3280128666
2029 269.0839145001
2031 269.0467178399
2033 268.7692217575
2034 268.3319576075
2035 267.7101714681
2037 267.3015765987
2040 267.1578861495
2043 266.8215879715
2050 266.7351420265
2051 265.9587931876
2056 265.4379232973
2059 265.3829102404
2068 265.1431461033
2069 264.5892617227
2071 264.4537966026
2073 264.4359912619
2091 264.2769603095
2093 263.6510690162
2096 262.8764617464
2150 262.7939052379
2151 262.7827331561
2154 262.4125094320
2157 262.3435611537
2163 262.2749262495
2166 261.9966597561
2171 261.8619349248
2175 261.5964426255
2186 261.5204906556
2188 261.1206434003
2189 261.0010467499
2196 260.8278355326
2197 260.4007379610
2200 260.0791298600
2201 259.9732226924
2211 259.9527590429
2215 259.9080390101
2216 259.6180008826
2217 259.6108096345
2218 259.0651415284
2225 258.6856363676
2228 258.3858948367
2237 258.3021275428
2241 258.1359183124
2245 258.0287711358
2249 257.8584965668
2252 257.7072714503
2257 257.6286934461
2260 257.3748376606
2263 257.3547903673
2265 257.1455152832
2280 257.1211153413
2292 256.9872947699
2295 256.9605295313
2310 256.6391386621
2346 256.4770121443
2347 256.2016038084
2355 256.1894754019
2356 256.1423438282
2359 256.0634029834
2362 255.9257146241
2363 255.8541283608
2364 255.7196434519
2365 255.6753755040
2368 255.6560388309
2370 255.5907479615
2375 255.4369820223
2377 255.4338258069
2378 255.1924122514
2386 255.1266368747
2387 254.9933876840
2392 254.8793465684
2394 254.7096522620
2396 254.5874150274
2397 254.5360297003
2400 254.4747308938
2413 254.4529814571
2415 254.3652248068
2426 254.3336649336
2427 254.2966093351
2431 254.1842416324
2434 254.0421169525
2436 253.9292646452
2443 253.9136406357
2445 253.8103159961
2479 253.7753698083
2482 253.7476093522
2484 253.7173614933
2485 253.7078331739
2487 253.7033123684
2489 253.6619195422
2492 253.6275461510
