evaluations raw_y
1 14109162.9129244089
2 6411591.2639156245
10 5613612.8057329385
14 5246760.4977700301
281 4826114.3750715405
284 4759344.3478427706
302 4421850.6028712075
303 3578902.5898122755
308 3120759.4017905057
430 3116108.3524844497
431 3032466.4114747341
434 3018632.0546016400
442 2975009.5723094586
463 2862467.6413152320
470 2793284.3871537382
493 2758227.8420212814
533 2684145.0070220013
539 2555083.2379089687
542 2538433.8858360886
593 2518994.1837854832
597 2421226.4090726725
600 2416667.7697249418
603 2414412.8448488512
642 2404543.5115350080
644 2387949.1126484922
645 2360734.9295117036
646 2339739.9598024935
648 2335658.3197370456
649 2295692.3254295057
676 2282849.8296598890
677 2235212.0755624659
679 2221685.0178888021
680 2191860.3606529175
681 2179849.6199897053
688 2156459.9807301522
689 2122985.5657778876
692 2115867.4589984398
694 2074501.4837129670
696 2014544.9064946023
697 1977811.9264568849
699 1974300.5194925885
701 1964281.0159410895
702 1908874.7742802810
703 1856499.2602448591
706 1836538.9614726566
707 1799662.5178740791
709 1797261.6906747869
759 1781915.6331344307
763 1751525.2947492637
764 1722283.1478457209
766 1650446.7099611566
767 1607953.6409534574
768 1596215.9241906614
771 1577109.9711876940
774 1560181.5335778538
780 1528693.7336264309
784 1512101.5108053221
786 1508914.5364358737
797 1460425.9027018815
798 1434275.6087831608
799 1425827.6767181731
800 1392466.6028173270
802 1371888.7174959856
822 1349668.5375911223
823 1339335.9310050549
828 1287765.0049013107
829 1264594.8447631476
831 1251604.6265124243
833 1244180.7980977881
834 1199601.2008602838
844 1191245.6092101485
847 1168302.6390094999
862 1152552.7470401523
885 1152412.2887167535
887 1151329.9961994893
892 1147371.6858240857
893 1144275.3645589901
906 1132787.1594984145
908 1115194.4247484896
912 1103481.0512640991
914 1069383.2799862372
915 1050632.5327824822
932 1046890.6016261894
934 1034897.0364611675
935 1006520.5316351467
937 1005285.3820671656
941 971709.1373678950
946 957926.6490760422
948 957900.2044691013
953 927630.9892711951
956 924329.3460039427
960 922803.3444948926
968 905710.1430867447
969 878338.8704011434
973 835665.0317834042
976 835377.6958311594
977 805256.5877668823
980 787455.3161704401
982 786398.5159645553
988 782917.6550984845
999 777625.4094368026
1011 771661.0168373343
1025 733334.0778997827
1031 726507.2516705635
1036 716551.2645792258
1037 712440.9540172186
1039 706193.4042084621
1042 696972.4913297917
1048 694381.0910963095
1055 693769.5047096224
1057 692543.3220718584
1067 689267.6784432001
1069 679844.1131389500
1096 671786.6599964731
1098 669931.4636563701
1102 652787.4735523224
1104 640585.6306150565
1107 635970.2252677269
1108 635470.7566047806
1117 627943.4830198854
1120 624240.7896183307
1122 617169.6820007015
1123 613025.4698751023
1131 610929.0886140791
1133 609106.8255241847
1135 602362.0763517864
1137 601273.2290113003
1152 600967.5191346125
1154 597309.7487526063
1158 594795.1278076374
1159 582987.0258787257
1162 577958.0872438943
1163 575914.1399730713
1165 573899.2948142927
1168 573831.4060765697
1183 572525.5892512655
1185 572300.8741016238
1186 566032.2269105257
1187 565974.1056042898
1194 564638.7758521164
1196 561534.6544322754
1209 561326.8857832857
1210 560570.5005761536
1212 553974.9873202341
1213 552864.5615993998
1217 549962.8135267620
1222 546663.4876995180
1224 540363.5731631020
1227 539664.1774576633
1229 536572.6803986860
1232 535522.6297605811
1234 534981.6003671647
1241 527661.7945407352
1243 525250.8709506649
1244 521316.8554789750
1248 519173.7615014897
1250 516066.6358915239
1257 512887.0943759235
1274 511854.6524561559
1279 510655.3520909847
1301 509765.6793137993
1303 509551.1335905397
1311 506071.3756713663
1316 504349.2466507358
1318 502294.8852701901
1322 499600.3679607994
1326 498191.1947353792
1328 498007.8642784192
1330 495568.9618648299
1335 495384.6314402757
1361 494953.4874911639
1364 494285.6090027809
1365 493256.4932046699
1368 492160.2697723658
1373 491448.5562308188
1384 489977.5243320488
1397 489832.6632392164
1399 489257.3788200013
1400 489053.5657016365
1406 485968.7675962889
1430 485614.1575075625
1432 484725.4849190515
1456 484378.6823681174
1462 483356.3439316857
1464 482119.8452509287
1466 481051.8403057180
1467 479453.9457590822
1472 478314.3219219194
1474 478275.0997582895
1476 476641.9424466999
1477 475751.9929055580
1483 475328.3520784625
1485 474460.5129485162
1508 473371.0185415483
1510 472561.1807394747
1511 472286.2040943856
1512 472214.5955510857
1513 471357.8114596840
1525 471318.7499276006
1526 470783.3667204987
1527 470433.0506527408
1532 470211.0697600954
1533 469445.1904557119
1537 469152.1125255190
1540 468400.0827918403
1545 468256.9488408417
1546 468032.8877445744
1548 468029.3344624126
1549 467914.9076202924
1552 467327.9116364635
1569 466198.7468861559
1574 465723.2341414595
1576 464854.5761808139
1583 464257.0401729173
1586 463285.7780532786
1587 463163.4197279209
1589 462724.7034856718
1603 462685.7733245578
1613 462419.5873521084
1616 461947.1284512551
1617 461290.7268030385
1619 461184.4933115077
1624 460902.7632956163
1625 460597.2628117393
1626 460518.8833576172
1630 460334.3880905102
1631 459997.9616076047
1633 459968.7491158061
1634 459958.8373621710
1638 459817.7144825936
1639 459731.8183420266
1644 458960.2172800490
1645 458657.3371855076
1650 458570.7245629494
1651 458283.6249773126
1652 457599.3213366473
1653 457503.4823671584
1656 457360.6963482284
1657 457294.9779143393
1658 457050.6899571676
1660 456963.8119530272
1661 456724.3779987110
1663 456473.7052735500
1665 456376.9215743609
1667 456069.5407015817
1670 455134.2103712230
1672 454369.3944014168
1673 454129.8568371009
1676 453689.5118786352
1678 453354.7441556866
1680 453174.1927832302
1681 452909.1024452214
1687 452460.9403272192
1689 452254.4249447319
1690 452196.8967299157
1691 452168.5153191675
1693 452033.2470056591
1694 451921.2092186068
1697 451836.7928612412
1699 451407.5859280106
1703 451145.5674945757
1706 451102.0903795843
1715 450966.8429324347
1717 450879.9480022705
1720 450808.8802148187
1722 450738.2671812290
1724 450213.3005828647
1726 450061.9356895587
1740 449829.4932918053
1746 449768.3164052542
1751 449767.3940040604
1757 449550.4806990123
1759 449160.9441384349
1761 449098.5475850736
1762 448701.2894243669
1764 448496.4892999254
1765 448298.8199579912
1767 448046.1558122512
1770 447457.1652434954
1780 447403.1056565770
1781 447203.2303186760
1783 446892.9507284156
1786 446621.2470162426
1787 445965.4611640093
1789 445580.6093420092
1790 445379.9641701757
1795 445061.0108663615
1797 444953.0739037019
1800 444042.6426838055
1804 443981.4748263728
1820 443927.6556760590
1821 443777.7413388178
1824 443585.5315201319
1826 443569.7065204479
1828 443451.9174090334
1835 443283.1759218542
1837 442935.0326356392
1840 442771.8852747852
1844 442614.7312576135
1845 442091.5017959567
1848 441698.1531694292
1850 440964.1492240379
1851 440767.6973728900
1853 440730.2395950263
1856 440654.9303944599
1858 439813.6269785863
1859 439370.7200587126
1860 439336.8313420058
1861 438959.9191311667
1870 438678.5036540563
1874 438384.7062797126
1875 437406.1745048843
1877 437004.8015806527
1893 436814.7815175035
1894 436230.7592316300
1897 435175.9420894048
1899 434662.0319615092
1900 433908.2946782886
1901 433043.8428321830
1904 432586.0276035386
1905 431105.7911582482
1907 430345.4037836790
1908 430111.7033767473
1910 429701.6777108791
1911 428999.5110589049
1929 428219.3499070804
1930 427058.9791461508
1931 425669.1415582902
1935 423347.6971299550
1938 419750.8174562174
1943 418080.9848378468
1945 414452.0768651862
1958 412563.9313250249
1961 411227.0416913146
1963 409246.7754946407
1965 406620.0112791963
1969 404353.1995632216
1970 401811.1377668561
1971 399603.6409391667
1973 396896.1544607456
1976 394902.9171840400
1979 393483.2502172613
1983 392340.5613765217
1984 390314.1909489766
2066 390022.4106646754
2067 386917.5167530340
2069 383125.6807857765
2079 382907.7097477596
2081 382025.6798104524
2084 382023.1633508034
2092 381414.8149981173
2094 381126.1129755990
2096 379727.4143312293
2099 378780.4953906358
2101 377992.1921351420
2106 377094.3682207428
2111 375938.0249089864
2114 375754.2316869100
2116 374233.9434073259
2117 372972.7197561890
2120 368283.5895473258
2121 366141.1702866028
2122 364408.9013861464
2123 363035.5708878814
2126 360429.5021362762
2128 357839.3933544342
2131 357394.2930118964
2134 356965.6509783718
2135 355377.7935131199
2139 355173.4273866012
2142 352453.1425572795
2146 350600.6285453535
2148 343572.3925454873
2149 340678.6090621666
2156 339826.8579093453
2162 337324.9715029039
2180 334586.7881848039
2185 330095.1824263987
2187 329215.3973104963
2191 328192.2963630920
2192 327505.1873796987
2194 323067.1335594554
2196 321116.2118456590
2199 317108.3672027267
2203 316626.8971121570
2204 314111.0433178317
2214 313554.2622839917
2215 312659.5543601394
2217 305545.4965579413
2220 304363.5178129657
2223 304029.9695987799
2227 296270.5518424317
2230 290796.2083771545
2231 290780.8453729172
2232 290640.6396773955
2233 288821.1686178840
2237 288808.3236464676
2239 285890.0960994969
2251 282160.3214563114
2266 279893.4005284171
2269 279795.3997916378
2271 278425.3692909460
2276 274766.1568653378
2299 274692.1725447600
2302 273848.6139307874
2354 272078.7334780102
2356 270737.9643732037
2359 268002.8897544056
2361 267117.0239297426
2363 263209.7192560784
2365 262645.5693161900
2366 259251.0478943440
2367 258789.4256828501
2368 258159.6854297582
2370 256814.3517070174
2372 250416.8403445031
2373 248532.5394529580
2376 242322.4364363511
2381 241566.3821599827
2390 239235.0167333621
2393 238380.1852633876
2400 236874.6251693432
2401 229663.8874323769
2407 228226.3291571673
2411 220619.9883011671
2413 219141.1310781873
2416 216118.1507516404
2417 211912.5218451761
2433 211136.1265950496
2452 207757.8338304155
2453 206030.8532121102
2455 205191.0347999866
2456 199928.0100848918
2459 199784.8918128705
2460 196533.9354633646
2461 196475.9283931349
2464 192016.0803982183
2470 190193.5405014600
2477 189455.8850885545
2479 188582.7172924157
2481 187247.1449183601
2483 187092.1418365407
2485 184792.2166648096
2552 184553.3920298121
2553 179278.1304708291
2554 178878.7156880022
2565 177701.4093028510
2567 177500.1757994001
2568 174382.2728822041
2569 174057.1233361557
2571 172346.6766439801
2572 172020.6968251217
2576 171756.7282584631
2579 170972.8030464968
2581 170010.2599671795
2583 167204.7174397566
2585 166598.8647804308
2587 164945.1890808752
2589 164687.4070564000
2592 163193.3845912834
2594 161904.3219881287
2607 161431.2032194432
2610 157012.8139189891
2611 156535.1833937351
2617 155476.1320330841
2618 154062.9312202549
2621 153527.4107640554
2623 152928.7443031225
2625 152918.8496820464
2627 152423.0945496500
2631 152306.2680380993
2635 151084.6680328263
2638 150244.7907756890
2658 150037.1108771196
2659 148924.7131185158
2663 147664.7120758180
2666 147276.1321058484
2669 147071.2005241424
2670 146655.0743983632
2672 146073.8074763246
2673 145744.8182337518
2677 145689.9268328970
2681 144947.0232995574
2683 144258.3543679244
2686 143804.5049726320
2687 143062.9417048604
2723 141846.6456414297
2744 141136.1269946176
2751 140313.7287915466
2762 140287.1099702555
2764 138023.9606162533
2765 137439.2778463931
2767 136495.2240833375
2783 136184.9116296616
2785 135997.4274010287
2788 135913.0305416906
2808 135777.7425541702
2812 134855.0856993363
2813 134804.9060937385
2814 134643.3948459820
2822 134397.1892292103
2834 134180.7061266073
2858 133513.0820990672
2862 133234.5308320503
2864 133138.6615025849
2869 132753.2551219369
2872 132577.4862629020
2878 132143.4779377787
2879 131776.2383779999
2882 131067.3030138127
2885 130929.3621726344
2891 130657.3165407484
2893 130579.7003859843
2895 129680.4658820842
2896 129606.4364259574
2902 129147.6587954522
2903 127689.0544415703
2906 125902.4816436269
2907 125188.7354863012
2910 124333.9296424495
2911 124043.9345933955
2915 124028.6656296216
2923 123147.8049870539
2926 122891.5232103538
2927 121839.9951894244
2934 121523.9694009917
2937 121461.4862406898
2940 121015.1520510783
2942 120502.8562909005
2943 119887.0831043656
2951 119367.6501578491
2956 119280.3963375463
2969 118994.2825933341
2970 118577.6878665831
2971 118137.0344434892
2972 118004.9155255198
2973 117827.0461303282
2982 117414.0668188399
2989 117371.0461024047
2990 117239.5981975002
2991 117221.5900341528
2994 117210.5782979788
2995 116442.6337375179
2997 116178.0171571338
3007 115762.5402887508
3008 115718.0810921194
3010 115340.4533492781
3011 114840.1642084308
3014 114532.6123625183
3054 114406.7077442469
3055 114200.1843074625
3058 113920.3140060798
3059 113845.4535165892
3061 113810.9543640766
3063 113658.0773716590
3065 113363.7313436235
3067 113247.1770889980
3070 112982.8360357982
3076 112818.2360847684
3078 112443.9902822691
3081 112239.1650883382
3083 111689.4037927957
3086 111440.8555913977
3088 111046.0368626978
3101 110855.8333665646
