evaluations raw_y
1 210.2692774391
2 189.0819575515
11 185.6240234727
13 175.2981922489
14 167.3975181396
15 151.2785208008
18 134.5538885487
21 115.5384525059
23 101.1611794760
26 100.7690237700
27 84.0154140258
31 68.3097721473
41 58.9677274632
45 55.0178992556
48 45.7984060943
50 45.5260743887
52 44.2585352680
54 41.2803769088
55 39.8343356134
59 38.1346881828
61 37.8583753736
62 35.5457586369
66 32.0770175350
67 27.0945197129
74 26.3458827625
75 24.7408751177
76 18.2277866075
81 17.8889800664
83 17.2128720929
86 16.4461653283
87 16.1330331194
89 16.0404144747
91 15.1507686943
93 14.7826577572
95 13.4580892879
96 13.3025504029
101 12.4689802146
137 12.4623337618
141 12.3306335811
143 12.3252762596
145 12.2617156963
149 12.0493129694
152 11.6865596602
158 11.2831767198
167 11.2726005285
180 10.8034707407
185 10.3600766571
186 10.1040372636
187 9.7486318210
188 9.4276887412
192 9.1583452301
193 9.0963744435
195 8.3299282415
306 8.0417058351
313 7.9023534641
316 7.4551139387
317 7.4536162410
319 7.1523867620
402 7.1519589638
413 6.9528449997
415 6.7353228099
422 6.5081303381
424 6.2793171215
441 6.2500831946
452 6.2398727692
454 6.1428399473
455 6.0216521389
457 5.6555341408
468 5.5959777808
469 5.5768057759
470 5.3504465252
471 5.2632973626
473 5.1162865495
477 5.0809925423
482 5.0301741742
483 4.9759559413
485 4.8941707759
510 4.5827680132
513 4.4609262007
528 4.2539014820
529 4.1892437928
606 4.0222598914
608 3.8892315856
610 3.3669512513
613 3.2423806871
616 3.1402465901
617 3.0936971401
621 3.0567308581
622 2.2766124690
633 1.9745195197
637 1.7678190787
639 0.9892828968
642 0.6351892391
644 0.6161971283
662 0.5697303677
663 0.4191881809
666 0.1876671429
672 0.1771607131
673 0.0000000000
720 0.0000000000
evaluations raw_y
1 223.0903479657
2 211.0527688448
7 199.6489230852
11 193.0780971206
12 164.4017713779
14 162.4651616389
26 160.3759515475
27 157.0542632349
28 144.8926896198
29 134.1355958911
30 116.0409838069
32 97.0118562512
36 96.4639871793
38 89.6899330801
44 66.6109950437
46 59.8982288331
47 34.9041881399
49 29.0393147079
52 12.1550337062
130 9.5984760238
131 8.9016059073
133 8.1343885806
169 7.7722843644
172 6.8575422931
173 5.8225097496
175 4.9717101687
176 4.5601909595
181 4.0156481310
184 4.0101866842
200 3.5249576806
202 3.3286684543
204 2.7770212699
206 1.3749813337
213 0.0543705274
216 0.0000000000
310 0.0000000000
evaluations raw_y
1 239.3998486781
2 229.2781045120
4 191.9275991386
11 173.7180627333
14 169.3668137472
15 143.9938031877
20 142.8393349436
21 123.4012169380
23 118.5628836857
34 105.8314258610
36 96.8186911970
38 40.6404852220
51 37.7745558575
90 37.3777510239
92 34.8285617524
95 34.8204162774
97 33.2554602053
102 32.1550575002
106 31.8929142550
130 31.3471970979
131 29.0983490086
136 28.7989338500
149 28.5336089023
150 28.2510648318
152 27.9730296446
153 24.3976873189
155 23.1344476272
158 22.3887011627
159 19.3646519021
162 15.7057027437
169 14.8219993946
176 9.4549806997
197 5.5369319277
199 1.6873938950
207 0.0000000000
248 0.0000000000
evaluations raw_y
1 223.5901086363
2 194.7603123220
4 161.1092424075
7 140.4671742680
12 138.3216210938
13 124.4075769229
14 118.1934524067
16 100.8755397561
22 95.5121276502
34 94.5735003657
41 59.7952610987
43 55.6452740554
49 52.9616088606
51 47.6624922304
53 43.5525672285
61 42.6200090434
63 41.4614852195
66 30.8095964913
67 26.0727393723
69 25.0621501917
71 23.5865873165
81 19.8626370607
83 18.2053733919
84 15.1292222024
86 11.0834258785
87 8.1792035146
90 7.2531434533
91 4.0869022966
97 1.2301403836
99 0.0000000000
130 0.0000000000
evaluations raw_y
1 218.5135732011
2 216.2079323016
4 199.4376557027
7 199.0081872467
11 167.3690988370
15 160.1934814986
25 157.5786914469
27 140.1526419636
29 136.8926250560
32 129.3420176834
33 126.4472727256
35 120.5623718056
37 119.2857592855
38 117.3622006285
39 112.5567672100
41 109.2028245000
46 105.2885140301
59 103.8231770445
60 87.6267032727
61 77.3298476772
63 68.4409829234
66 59.3395572023
67 55.7730360008
72 49.5494376358
104 39.3560895112
106 36.8552769553
114 36.1601638217
127 31.6469679386
131 31.1359904580
134 28.3359448228
152 27.8592305382
153 27.4794250380
154 23.4006247122
155 19.9367309900
157 14.4562143139
159 8.9438047873
161 4.6950270629
182 4.6168970414
185 2.0360691682
187 0.7719672653
192 0.7681957113
202 0.0000000000
218 0.0000000000
evaluations raw_y
1 242.7600748798
2 210.6996735796
6 191.9488244911
19 178.5318045674
21 160.0230785869
24 145.7785353117
27 145.7216417079
31 131.4835016873
42 131.0540624565
43 119.9273305143
45 110.7456692752
47 92.0219947330
54 87.4821211419
55 60.4372482966
58 55.3281973886
64 53.8652817891
65 50.7653980259
66 43.5996879694
67 41.6845198819
86 41.3718821850
91 34.5814705433
94 33.3525313309
95 31.4210990718
96 29.8074687670
102 26.8992565124
113 26.4457492628
116 26.2110909635
163 25.7811140184
165 24.6843246886
168 23.5913840843
169 22.4069841602
172 17.7123234098
173 17.5562162861
174 13.4376122676
176 8.2583744280
177 3.8696553309
184 2.1928772695
199 0.9328320362
201 0.0000000000
216 0.0000000000
evaluations raw_y
1 244.9201748198
2 201.0758726801
7 190.5162574172
11 172.1738463937
14 171.2626102378
15 145.8794448641
17 114.2291944919
19 110.6034627027
20 80.7792243219
54 80.7014870899
55 78.6040537625
56 56.1799216001
57 51.2221110619
68 46.7455970846
73 44.5996486106
75 39.6679892423
80 39.1271109935
83 36.9688895877
85 32.2079366015
111 31.0281996777
112 30.7605533012
114 30.5918997057
125 30.2674424176
127 29.0208810287
129 28.9785989945
146 26.3315134546
150 25.6164930482
151 25.4786835309
153 21.9498576696
155 21.9352192413
156 21.4748517362
157 20.3259276911
159 18.3667037991
162 17.8547609540
164 15.3579058078
166 14.1377037674
167 8.9728924190
170 4.2550617490
172 0.0000000000
200 0.0000000000
evaluations raw_y
1 188.5878198169
2 186.5655161209
3 167.4169975180
4 131.1343637120
11 129.4636541052
14 120.3261842302
16 98.7766159231
39 87.9750302304
41 53.6305499746
43 49.5097333588
46 43.6591450024
62 23.0818142730
227 22.2372156333
229 22.0825235393
230 21.9494631372
233 21.1327604688
235 21.1190850318
236 19.7359913488
239 19.6782585278
241 18.4497583174
246 17.9274243152
