evaluations raw_y
1 81.6522805905
2 57.9830871206
7 31.6220520715
15 23.7308230103
16 12.1966968342
75 11.8211033476
78 9.0827067465
81 7.7165375947
103 5.0711221989
106 2.9147133283
112 1.1176782761
171 0.6492639607
176 0.3658558579
178 0.1731242532
179 0.0792143576
213 0.0460083310
214 0.0144046857
216 0.0072708979
219 0.0047008387
273 0.0014619476
274 0.0010300927
302 0.0007520789
313 0.0005834300
319 0.0004736460
322 0.0003953384
352 0.0000921547
955 0.0003972256
evaluations raw_y
1 123.2675005279
2 99.8989147686
4 13.4927579881
13 12.2063488607
30 9.0987661794
801 0.7101381362
evaluations raw_y
1 126.7421075645
2 20.5195677992
5 6.2888621589
1063 12.8415077974
evaluations raw_y
1 68.5610877358
4 30.6720178908
6 19.0846041083
57 15.0789742301
82 11.7211169891
145 10.3521732658
153 8.8839377873
154 6.8008578668
190 6.6581642960
191 5.9056571209
196 5.0734060707
201 5.0060969593
216 4.8769945493
220 2.7125763025
1469 3.5634267672
evaluations raw_y
1 20.3071119570
909 9.5924574279
evaluations raw_y
1 15.6596679871
3 32.3146801634
5 10.6170466006
17 7.4535296260
1039 3.0789055119
evaluations raw_y
1 147.8913935155
2 20.3573896004
21 5.2687683462
1159 23.7612821329
evaluations raw_y
1 103.3741517469
2 59.5873563651
11 15.7100674665
167 5.5293407265
182 4.0301806564
185 4.0124891740
195 3.8436549090
196 3.6170781561
209 3.5388893738
211 2.7308748548
649 2.7899438319
evaluations raw_y
1 18.6985987110
3 8.9057402607
139 8.5078536759
156 8.1040374909
167 7.4933514855
170 7.4449620141
178 7.3817859238
293 7.3811562647
304 7.2770652755
333 7.2256910657
410 7.2227982101
417 7.2186232538
419 7.2125419058
715 7.2121485653
720 7.2119924004
722 7.2116782004
736 7.2116416147
739 7.2110951143
740 7.2107721579
756 7.2107641586
760 7.2106034491
763 7.2104462275
767 7.2104311042
768 7.2101915919
769 7.2099859911
772 7.2097461794
774 7.2096985510
776 7.2096909619
777 7.2096217927
778 7.2096079689
779 7.2092835602
780 7.2089571391
805 7.2088479803
806 7.2087765470
807 7.2087114135
840 7.2087108175
842 7.2086920289
844 7.2086796200
849 7.2086651038
850 7.2086579121
851 7.2086349847
852 7.2086176184
854 7.2086073986
855 7.2085747057
857 7.2085088292
860 7.2084432999
861 7.2083976017
865 7.2083154288
866 7.2082695985
869 7.2082133049
870 7.2081372933
873 7.2080571579
875 7.2079959826
876 7.2079659510
877 7.2078135403
888 7.2078107850
890 7.2077454046
892 7.2077419900
894 7.2076746402
895 7.2075676985
897 7.2075479615
967 7.2075715457
evaluations raw_y
1 151.5051075748
2 58.8374603689
3 33.0472375934
72 18.8827630001
162 17.4053864914
176 17.2541637832
194 17.1804348098
200 16.9615184139
202 16.7885918501
204 16.1997583926
206 15.3631514445
1041 16.5810122553
evaluations raw_y
1 39.7518447729
2 31.6386446880
13 23.6073216132
16 8.9572487456
23 12.0740656073
1573 24.5704105506
evaluations raw_y
1 54.6247857293
4 17.2740081850
5 7.2678013838
100 12.3302301842
861 1.6628498825
evaluations raw_y
1 19.9828980877
7 11.7023996445
2561 12.8542343522
evaluations raw_y
1 14.7555843060
7 14.4689335054
32 8.3155932402
46 7.4205503313
959 14.0788348893
evaluations raw_y
1 110.2868075081
2 37.9795873744
3 26.1365038255
6 19.4184756420
8 13.8726753947
22 13.1101904479
26 4.5981018689
31 4.2205453536
34 3.1926108849
35 1.7521291638
142 1.4331273369
144 1.0889705168
152 1.1051424661
160 0.9026997744
164 0.6238515264
165 0.6105688906
1081 0.6261124215
