evaluations raw_y
1 17002.5312932963
3 45.6136074098
9 5.5078021527
19 4.0362689489
25 3.3484014116
62 3.3444699375
98 3.0831032318
102 2.0230794222
202 1.9683612053
204 1.9551892557
207 1.9268492992
211 1.9098206299
247 1.9093592291
248 1.8974947235
253 1.8887538008
256 1.8862492345
258 1.8556156155
261 1.8431678437
262 1.8426558675
263 1.8332452933
276 1.8324886651
280 1.8139122843
285 1.8063099648
309 1.8060707114
311 1.8056685433
317 1.8021021946
318 1.7976566400
322 1.7945317332
323 1.7928012350
325 1.7892511169
327 1.7841604031
333 1.7787217149
335 1.7716729887
337 1.7687489879
341 1.7643055109
348 1.7569755570
353 1.7551083429
354 1.7508386464
367 1.7478838429
369 1.7452786868
370 1.7439921165
371 1.7428284242
372 1.7414556967
374 1.7409105517
377 1.7390280405
378 1.7372198124
379 1.7357137465
380 1.7338291317
384 1.7313189089
387 1.7277190908
389 1.7260835841
390 1.7225508665
398 1.7219484031
399 1.7187302666
400 1.7161114370
404 1.7126342163
411 1.7099840973
414 1.7098924520
416 1.7092303915
417 1.7073324385
418 1.7051198575
420 1.7037342053
421 1.7021979570
427 1.7018884490
429 1.7017292437
437 1.6968343426
445 1.6893760343
446 1.6808871323
453 1.6740196533
454 1.6699030249
455 1.6677614500
457 1.6593698424
459 1.6575528210
462 1.6519977555
465 1.6421485925
466 1.6409382061
470 1.6378026494
474 1.6294276198
477 1.6273785520
480 1.6260840444
485 1.6107416086
486 1.6043836036
487 1.6024372793
494 1.5956404567
496 1.5862282143
498 1.5786173221
524 1.5779226683
527 1.5719454688
548 1.5710477688
553 1.5704342230
554 1.5699716874
557 1.5693232295
560 1.5692411591
563 1.5681211347
565 1.5679303283
569 1.5675201254
570 1.5674962195
571 1.5667175193
575 1.5666317961
584 1.5666130231
585 1.5663669976
586 1.5662244469
600 1.5659903980
603 1.5658882703
605 1.5652938238
607 1.5652825916
608 1.5652080268
619 1.5651814875
620 1.5650399443
637 1.5649704032
638 1.5648705047
646 1.5648511368
649 1.5648270888
650 1.5647722448
652 1.5646632039
654 1.5645842464
655 1.5645550277
656 1.5644276140
658 1.5643436068
661 1.5640347802
663 1.5637018316
665 1.5635552870
669 1.5633590609
671 1.5630635213
672 1.5625070422
675 1.5624521437
676 1.5619851583
679 1.5616717372
681 1.5614158798
683 1.5606802262
685 1.5604317210
686 1.5593832368
688 1.5591198691
691 1.5590456046
692 1.5585062435
698 1.5583721630
700 1.5579766989
702 1.5574014669
