evaluations raw_y
1 57878742.6928558797
2 14117497.7332045399
10 12380693.3510796167
105 11223341.0458800849
200 10148871.4166490193
203 9191326.7557135038
230 6268139.5094768703
239 3603615.3436950352
243 2673551.7082496774
247 393307.3365651077
260 220240.0440567709
264 210694.8644863153
319 205362.6544193544
326 204627.2661763679
328 175538.1987283636
329 164755.1770889063
330 147166.7374629864
336 109102.3442515813
338 59237.3382053828
339 40996.0119908265
342 22890.7185154436
347 6718.6405751107
449 6608.7520163470
451 6265.0774310962
453 5854.7509076125
454 5691.0371037366
455 5609.1142379480
459 4359.9356905132
482 2168.6261848152
494 1757.2024253253
501 1656.6702150874
505 1639.7888065610
509 1390.9500237963
517 1251.2827865686
520 1134.7519330521
523 1049.8482172242
530 1018.2630714835
534 864.6719029862
538 825.9411512673
545 808.7286349034
554 654.6688889641
806 654.3193595135
820 652.3033132527
823 649.4871651469
825 648.3957387443
826 647.9533594505
827 646.1097402558
829 645.1339454393
831 645.0752880426
835 644.6136915455
837 642.4901361342
839 641.5999901006
841 640.2311964103
842 640.1081181643
851 638.5788469598
852 638.3957118884
853 637.6412256494
854 637.3741546487
857 635.3213028678
859 633.0609021778
862 629.6097374331
864 628.8599433065
865 627.2339594561
868 625.5791266787
870 623.9894975798
871 622.3571474699
875 619.8073549757
878 612.9202604610
879 612.7098088706
889 611.2582076618
891 607.2623907329
893 605.2680378398
895 601.3059280501
898 597.1976409025
899 592.4671129292
902 591.3415030997
929 589.7717771476
931 589.3594266696
951 588.5044511677
954 586.7450595550
956 584.9527304717
958 579.1155808578
959 572.1698838420
961 567.7667486139
963 564.2884491696
972 561.5139612076
974 560.4384850148
976 554.5103549630
978 553.4848125650
979 552.8219641281
982 543.5364161191
983 541.2739721976
984 540.4430815540
985 537.8451502219
987 535.4524956323
991 535.2991063173
994 531.8305978211
1001 520.2086332368
1005 519.3737200600
1006 518.5048365556
1008 518.3858786202
1010 509.4033615629
1011 506.2233266697
1016 495.8317857128
1018 480.6337132222
1019 473.7024987454
1020 470.7725635072
1022 465.2848186446
1023 462.1114885958
1031 450.2995125242
1046 445.8702959879
1048 439.1208596521
1054 431.0147454781
1056 417.0214550547
1058 414.7134419931
1060 403.9105646403
1061 393.0725296614
1069 387.5688846790
1080 385.8805730694
1083 384.5902992893
1087 383.8644811516
1088 380.9582020264
1090 378.4554852416
1103 377.3477709146
1107 374.6743115762
1109 373.8006643295
1112 369.6799942825
1114 368.1250486235
