evaluations raw_y
1 356.0580150810
3 302.5858298023
8 87.3703165623
10 65.4869552042
13 44.5337979621
15 31.5025285441
27 22.0454424206
30 16.0112503184
44 14.9192591760
63 6.9504789636
124 5.8117625567
327 5.8043596153
347 5.7892302412
853 4.9483120351
1018 4.7925312417
1288 4.6852652344
4732 4.9366294264
evaluations raw_y
1 20.7794544692
29 19.7727951987
32 15.6571927009
33 10.0111804125
38 8.8754910965
143 7.4436216818
161 5.5744602467
177 4.7956477252
186 2.4062872463
3892 7.5938312315
evaluations raw_y
1 55.7731419121
2 19.4185994485
3 13.0769869044
13 5.5849429373
23 4.2840750907
40 2.1250942745
398 15.8722053370
evaluations raw_y
1 95.5385077548
2 76.4277931657
3 21.0029892656
4 13.9668954331
32 7.2217169031
47 5.2329153471
56 3.5080464065
183 3.0834549437
185 2.8285156069
491 2.2717924948
1474 15.1970322177
evaluations raw_y
1 81.0691273971
2 69.1082699915
4 52.7389964754
7 29.9744474898
8 20.9445950799
9 20.2666179491
83 15.2533950456
85 11.9809902938
98 11.4586543868
99 11.3161091015
102 7.3671057478
103 3.0147503148
104 2.7050782463
780 14.0842936656
evaluations raw_y
1 14.4354933679
8 11.0841429242
59 10.5370669176
73 7.8305851527
2358 11.5914632284
evaluations raw_y
1 279.9237012540
2 85.6932366219
3 20.8781250063
16 13.0011208364
17 12.7090309854
18 10.5977367044
19 8.6561311443
53 3.4441975536
58 3.4287439196
398 14.6464259263
evaluations raw_y
1 83.6396808927
15 56.8865701110
19 14.9256833646
79 11.4066101649
93 10.7318854382
108 5.0097562869
232 4.8871382267
3386 6.7298176813
evaluations raw_y
1 25.3373943308
6 22.0266033824
112 20.5355988893
126 18.4321333710
129 16.2929240938
164 13.8069816812
165 12.6022651876
166 12.3642005688
187 7.0030702553
3144 12.4503349187
evaluations raw_y
1 302.3004527924
2 51.3935744362
4 18.5457600982
16 5.0335915650
197 3.3965963449
270 1.9071122285
4732 2.9566931939
evaluations raw_y
1 61.5273854278
12 43.4744647866
16 19.3633566289
17 8.5032284623
46 8.2603551694
77 6.4198825925
80 3.2054365263
330 2.4461772465
816 17.8910700101
evaluations raw_y
1 65.1101387312
3 36.3214115653
4 11.6759197773
18 8.6777940009
41 5.9217607128
217 4.9889687353
222 4.7901250888
241 3.8317803441
616 3.2967448621
635 3.1146399087
638 2.7967339803
640 2.3888752240
644 1.6702865466
4140 1.7953322785
evaluations raw_y
1 106.2721518607
5 22.0105867560
31 16.1743494804
39 10.8437700754
41 8.7342810814
92 6.1449179267
170 5.2659990651
215 4.5933374682
245 4.4181840285
400 13.1942760963
evaluations raw_y
1 33.0421779842
5 22.6610178537
9 14.8285277031
57 14.4460676389
60 9.6479968580
62 8.9823390091
90 7.9417649860
134 7.9263674589
152 7.8076460251
153 5.2381875344
293 4.9213591228
319 4.2106445858
352 3.1947838845
359 3.1416977328
468 2.8104780378
4404 4.3984209848
evaluations raw_y
1 24.7786992614
7 10.8674302741
9 8.7991422700
36 8.4313014314
68 6.8465529590
81 4.6124388499
175 4.0733342613
280 3.0099864701
315 2.7524344431
341 2.4963638618
363 2.4525114658
478 2.3520114237
480 2.3171706633
519 2.3129495146
521 2.2894636038
705 2.2890086345
707 2.2888730321
708 2.2850908469
710 2.2845477884
786 2.2833177456
796 2.2828702176
887 2.2828510573
888 2.2826648594
889 2.2826632504
890 2.2825368016
896 2.2824024952
899 2.2823966957
901 2.2822827745
904 2.2822743271
907 2.2819183844
931 2.2817399703
934 2.2814462027
943 2.2814412115
950 2.2814289610
952 2.2813443316
953 2.2812947370
955 2.2811880542
958 2.2810594687
959 2.2810242192
962 2.2808658497
967 2.2808318212
969 2.2807471933
972 2.2807457798
974 2.2806454891
977 2.2805860649
979 2.2805479932
992 2.2805330157
999 2.2804760085
1002 2.2803021744
1004 2.2801903258
1006 2.2801355446
1007 2.2801323435
1010 2.2800658378
1011 2.2799153191
1013 2.2796650285
1056 2.2796293532
1057 2.2794953238
1061 2.2793932790
1065 2.2793723963
1068 2.2792924804
1072 2.2791972313
1075 2.2789915754
1080 2.2788436125
1081 2.2787306804
1083 2.2787148633
1084 2.2785548812
1085 2.2785041257
1086 2.2782691113
1090 2.2780515462
1091 2.2776489849
1093 2.2775484965
1095 2.2772721607
1104 2.2772034385
1105 2.2768233591
1114 2.2762152825
1116 2.2759911409
1117 2.2755179560
1121 2.2755166012
1122 2.2753531796
1125 2.2748662682
1127 2.2744617050
1128 2.2744243681
1129 2.2742935491
1130 2.2741236217
1131 2.2734891637
1134 2.2730940411
1135 2.2725831752
1137 2.2722900330
1151 2.2715604614
1153 2.2714921107
1154 2.2707811330
1155 2.2707646313
1157 2.2697587191
1162 2.2695115141
1163 2.2687540865
1164 2.2687368198
1165 2.2681682403
1166 2.2679761643
1168 2.2677240154
1169 2.2664066487
1180 2.2654826251
1182 2.2625899199
1183 2.2610514262
1201 2.2605375188
1203 2.2604100447
1204 2.2600596471
1205 2.2596550456
1207 2.2584815478
1234 2.2583746194
1236 2.2583166450
1238 2.2580838817
1239 2.2580202114
1241 2.2577906939
1247 2.2576399969
1259 2.2575148933
1262 2.2570077111
1265 2.2569503289
1267 2.2565166656
1270 2.2563247764
1271 2.2561515560
1275 2.2558526907
1278 2.2557531641
1281 2.2556444829
1282 2.2556118393
1283 2.2556022171
1284 2.2555242057
1285 2.2553478795
1287 2.2548814707
1296 2.2545934500
1298 2.2544359906
1305 2.2544268715
1306 2.2542477941
1308 2.2538045146
1310 2.2530338589
1311 2.2524820416
1314 2.2522231219
1315 2.2501993669
1320 2.2499020160
1324 2.2497463155
1329 2.2490870726
1331 2.2488948754
1332 2.2481512519
1333 2.2476306775
1336 2.2471866252
1337 2.2471430857
1338 2.2457076866
1339 2.2450635473
1342 2.2434054640
1343 2.2421039865
1345 2.2408663929
1358 2.2401182177
1402 2.2396943233
1403 2.2383345743
1406 2.2382593002
1408 2.2369537973
1411 2.2348473780
1416 2.2341625193
1419 2.2333008602
1426 2.2331289766
1427 2.2327160633
1430 2.2325430705
1432 2.2318685128
1436 2.2316564250
1437 2.2306665509
1440 2.2304403918
1456 2.2303391185
1457 2.2293756470
1459 2.2293316172
1461 2.2282580389
1464 2.2279093088
1466 2.2279060536
1469 2.2272700271
1471 2.2259936582
1473 2.2250335092
1475 2.2245506760
1477 2.2228597839
1480 2.2218175324
1492 2.2216241534
1495 2.2202305740
1502 2.2200538639
1508 2.2194110983
1509 2.2187579699
1510 2.2185299557
1514 2.2184250753
1515 2.2176988432
1518 2.2176010425
1519 2.2162813572
