evaluations raw_y
1 1477849.9423621362
2 413442.1429364418
12 332398.6942803198
223 278249.0765774157
234 241957.3381403320
237 207176.3005783273
253 181196.8610418958
256 177490.3184478211
268 155263.9508545089
271 144020.1845312631
312 135962.4809811431
313 116180.2242033188
327 86712.2319405321
331 74318.3714709350
333 68655.5118041716
337 63328.4750236881
338 58372.3939572022
340 57705.6046046979
374 44075.7518351955
398 43600.9727087206
399 42594.6741255791
401 41507.9391106029
442 31437.5537445821
490 30385.9730410285
581 27529.8652885594
591 26436.8439366537
597 23482.3841969647
599 19694.5264682247
602 18772.6232794281
603 16359.5256042243
605 15701.1085501783
629 15386.1827752642
632 15108.5095883795
633 11712.0403637754
640 10973.6091783416
642 10710.5970151193
643 10180.5414060908
649 8365.0987718021
651 7929.1919423549
664 7410.1993065776
667 6061.0283870380
668 5750.9575773312
671 5401.9081525794
672 4889.4605573428
677 4591.8659606114
818 3942.2901730292
829 3854.4562651501
831 3567.1538430458
846 3446.3091548366
876 3346.2383058303
879 3280.9721702034
882 2844.9390054631
891 2779.0345374021
894 2638.2350484292
895 2615.0933576981
899 2581.5911213026
900 2572.6024680398
914 2516.1127642340
931 2307.1370716746
934 2257.2528524988
939 2111.9022645391
943 2056.4794852024
947 2030.9376697771
949 2011.1992962169
952 2009.2946899321
982 1920.6142626780
983 1884.3396573315
984 1826.8923085921
985 1809.9821811283
1004 1763.9639304272
1005 1684.9228396163
1012 1679.9894344533
1014 1645.2378223072
1015 1603.6269151480
1016 1531.7990371173
1018 1474.3364167092
1020 1472.3011314291
1021 1472.1782208662
1023 1418.5388095471
1028 1375.7583444823
1030 1347.3520384381
1043 1329.4892024995
1109 1306.8903484965
1111 1274.8608788427
1113 1242.1905173368
1115 1214.4725515993
1117 1212.5878201459
1122 1192.6031949717
1124 1180.5964538580
1126 1169.0655147604
1156 1152.8860201971
1159 1152.3497055562
1161 1136.1173577520
1164 1116.4676033351
1168 1079.0634087073
1170 1059.1155179123
1172 1028.5661798710
1174 1016.1464812501
1179 998.7885681580
1181 987.7659026025
1186 974.3994274742
1188 972.6828107349
1189 956.5097351282
1195 952.6575542966
1196 921.4573547921
1205 915.2723808936
1207 914.0404559823
1209 893.6390720672
1212 873.0457295905
1214 872.9909638294
1225 872.2610404466
1227 869.5458395934
1228 850.5972246760
1229 842.2870843878
1230 803.0349392315
1246 801.8561672254
1248 801.8072401649
1249 788.0811772055
1251 782.5809715492
1252 767.8078755876
1256 765.8047546666
1257 753.4061984422
1259 731.6869381579
1262 727.1638378362
1271 726.4557775117
1279 726.3524017008
1280 721.0554327588
1281 715.6357245783
1282 710.4176367193
1284 707.3517028377
1296 700.1537801893
1303 679.0613052206
1310 661.6522301768
1311 645.2335718737
1318 640.0781136520
1319 637.4441979845
1325 636.8771382610
1326 636.7279060075
1354 629.2353761078
1355 607.4233150813
