evaluations raw_y
1 28023767.0899452232
2 126531.5532298593
9 100904.0695561247
20 74896.4269534425
60 50356.5907261563
70 21106.4348391787
72 4197.1678629195
103 1382.6555782533
106 1196.1246157935
149 1126.0861336087
153 1120.6168950005
822 1084.7857697282
827 1064.7379418736
832 1061.6527965160
833 1060.2109939959
835 1029.3635670413
837 1004.3641399608
841 992.4907780957
847 984.8838172556
850 967.3182049296
851 966.8656010923
853 958.7705463185
856 958.5292690673
864 955.3424194984
882 952.2014699805
884 930.1934848473
889 920.0566807465
894 907.5976514564
896 901.7681625305
898 899.0063167439
930 879.9665029211
965 866.9688086783
967 839.9763882358
970 838.5595278386
971 827.8444515022
972 826.4694852240
973 823.7855374320
978 806.3644401891
980 749.9962113797
1008 731.1164846138
1016 729.2238022364
1017 717.2593015901
1024 679.0332083642
1206 678.8425148744
1207 677.0078858258
1210 676.8723124879
1212 675.1467453060
1213 675.0126945286
1214 673.9998897432
1230 673.8258252208
1231 672.3178331476
1235 671.5533921566
1236 671.0836893803
1243 667.0823653566
1245 667.0635876038
1247 663.5969199006
1250 660.4018307824
1252 660.1421884346
1276 658.5747994313
1279 657.9192869900
1293 656.6730590138
1299 656.4477451954
1300 655.1186514512
1301 651.5584921570
1303 650.7109035237
1318 649.1460720373
1326 647.9655737931
1327 646.8637429407
1328 646.1571490300
1330 645.6520357216
1331 643.8980933341
1333 642.1255170349
1336 641.4628451291
1341 640.3670861923
1343 640.1792467577
1346 636.0850838490
1348 632.8963097139
1349 629.3931846938
1358 627.5464315615
1359 621.0042383282
1401 619.1779867184
1435 616.9045695163
1438 615.6635169546
1440 615.2563461967
1441 611.5369926549
1469 611.3194728496
1471 610.8412365135
1473 610.3718656525
1480 608.8010952064
1492 607.0050343705
1493 604.0369791210
1494 603.2914316288
1513 603.0598404492
1515 602.7913671728
1531 602.7527484018
1535 602.5934624069
1545 602.4532578106
1547 602.1767444488
1551 602.0365239441
1562 601.9570133489
1564 601.8300642471
1571 601.6658680858
1577 601.5977753548
1580 601.4348052943
1581 601.4073866322
1584 601.3966068042
1585 601.2442865029
1591 601.0639140306
1592 601.0408223144
1596 600.8455304741
1597 600.7796396602
1602 600.4362929208
1604 600.3720693667
1606 600.1679587498
1608 599.9853160550
1610 599.8750749387
1611 599.6476266792
1613 599.5716747034
1615 599.5116150684
1616 599.5078437190
1620 599.3968411604
1622 598.9622332357
1625 598.8426894836
1639 598.8334879386
1640 598.5820825940
1641 598.3996146331
1642 598.1946600140
1647 598.0765967218
1649 598.0035776126
1651 597.5438361897
1653 597.5313914207
1667 597.3858692661
1669 597.1002158905
1671 596.5881940727
1673 596.4037778878
1674 596.2867245340
1681 596.0556031369
1683 595.8963800902
1685 595.6134503887
1687 595.2929573268
1689 594.7603937587
1692 594.7016574054
1698 594.6612829209
1700 594.5960093968
1702 594.4777089795
1703 594.2851590953
1704 594.1742627374
1708 594.0925254700
1709 593.8746826908
1713 593.8615779575
1716 593.6199187130
1717 593.3872340866
1720 593.2977146925
1724 593.1694721461
1725 592.7760871168
1727 592.3428757969
1729 591.8674613162
1731 591.3425895500
1732 591.1686011584
1733 590.6764577027
1735 589.6141912670
1738 589.4697437570
1744 588.9797783873
1745 588.0048542461
1747 586.6316475196
1750 586.5003325333
1751 585.7435574196
1752 585.6997861600
1753 584.7115304622
1755 584.1472566727
1757 583.9149706237
1760 582.6270154310
1761 582.5890240143
1763 581.9008993267
1768 581.5763758988
1769 580.6204856189
1771 579.7510459993
1772 579.6396591132
1773 577.4218774417
1775 577.4115758825
1778 576.7154067802
1804 576.6536044149
1805 576.0851675109
1811 575.9285090299
1814 575.4274468021
1817 573.0937036400
1821 572.9678867558
1823 571.8151902597
1826 570.0356703498
1827 568.7283730718
1829 568.6149753940
1830 567.3762165889
1831 565.3592856089
1834 563.4761963759
1836 562.1712503987
1838 561.3867759196
1839 560.9206803984
1841 560.6394522525
1863 558.9804716533
1865 558.1669848413
1867 557.2580648407
1889 555.9665213859
1891 555.0065192591
1893 553.8647481164
1894 553.0066129405
1897 551.9202213113
1919 550.7350753621
1921 550.4611563369
1925 550.1653363315
1944 549.2099172620
1946 548.0219319443
1947 547.7205374510
1951 547.1776820960
1954 547.0144654133
1955 546.9968805103
1956 546.8066437201
1959 546.3608437913
1960 545.7350999011
1962 544.9914669503
1964 544.8296010933
1965 544.7954992915
1966 544.5018733586
1974 544.2959559209
1976 544.0413568025
1981 543.5246414509
1985 543.4873357750
1987 542.7326109007
1992 542.4263520216
1993 541.6347657474
2001 541.2933699157
2003 540.9205087027
2007 540.8665626015
2010 540.4710087167
2016 539.7280566671
2017 539.2031250171
2019 538.4866530105
2021 538.1331197689
2024 537.9295232995
2031 537.6037435386
2033 537.3110898667
2035 537.1337214836
2037 536.9489531616
2040 536.5997451871
2057 536.5961578559
2058 536.3202868777
2059 536.0862414254
2061 536.0166521736
2062 535.7706312161
2063 535.6710851575
2064 535.4283494376
2066 535.3302321370
2067 535.0517475496
2070 534.8899509475
2073 534.4670212385
2081 534.1398171977
2083 534.0377727805
2084 533.9216749399
2086 533.7271739409
2089 533.6249555980
2091 533.1838460150
2096 533.1706472734
2098 533.1670683295
2099 532.8948297174
2101 532.7039401110
2104 532.5196095675
2106 532.4435346899
2109 532.4224029776
2112 532.2891048228
2114 531.9192441842
2123 531.9144565720
2126 531.7794974007
2129 531.7550665492
2131 531.4328535482
2134 531.1870002029
2137 530.9439789402
2139 530.9193425809
2142 530.8957390705
2143 530.3571538527
2147 530.1596906786
2149 529.9209569895
2152 529.7605350132
2154 529.5615690365
2155 529.3942674466
2156 529.0943750581
2160 528.4119392989
2164 527.5126994687
2172 527.1211826319
2173 526.9908330311
2175 526.9569554352
2183 526.2260226276
2186 525.9851049332
2187 525.7556732889
2192 525.0503977215
2193 524.8922301507
2196 524.1843289874
2200 523.0519826741
2207 522.4124255721
2211 521.7726956608
2217 520.4653957350
2219 519.2998864218
2221 519.0380658661
2222 517.8718202545
2225 517.7257456681
2231 516.7748168617
2234 513.0356388181
2240 512.9212795706
2260 511.4165106870
2261 510.3526559952
2263 509.7523509511
2264 509.2630546737
2276 506.6764071663
2281 505.8417204676
2300 505.5489725135
2304 505.2907683344
2307 504.8263892210
2310 502.2725595465
2311 501.7272915222
2314 497.2958441065
2315 495.1644040043
2317 491.3212595507
2323 489.5697358650
2357 486.6319276882
2362 479.6003398068
2363 478.0356020821
2368 477.2004012087
2369 475.5139924250
2371 470.0472058292
2377 469.3748388863
2384 468.8544668010
2385 468.1109763922
2386 468.0430086595
2387 465.8368116704
2388 465.1387689189
2389 461.0396692628
2391 460.5747733989
2393 460.4495110449
2395 459.0271429125
2399 457.3765867330
2407 456.7642594533
2413 455.6082538435
2424 455.4397348513
2428 454.4978487296
2429 453.5647293536
2542 453.5621450011
2545 453.5614494283
2549 453.3338947169
2552 453.2462146492
2554 453.2429073336
2556 453.1474118580
2557 452.8157641938
2559 452.7768548313
2560 452.7191753965
2562 452.5123982635
2564 452.3600663764
2565 452.2587317942
2569 452.2509801318
2571 452.2370291245
2572 452.2220401144
2573 452.2115002043
2574 452.1671214752
2576 451.9724889855
2578 451.7895851613
2581 451.7789541856
2607 451.7749950619
2610 451.7030132438
2615 451.5909757426
2644 451.5569651916
2646 451.5025580959
2653 451.4794412590
2656 451.4248050846
2657 451.3411799308
2665 451.3337230080
2668 451.2853676073
2685 451.2734183598
2701 451.2321212174
2708 451.2223276461
2713 451.1970203113
2715 451.1319219122
2719 451.1025856145
2725 451.0563345074
2739 451.0194131825
2746 451.0183781980
2748 450.9785609910
2752 450.9782385452
2753 450.9681670697
2754 450.9621469672
2757 450.9491687549
2759 450.9221439772
2761 450.9171031280
2766 450.8834145323
2767 450.8197806116
2769 450.8145047179
2778 450.8105637335
2795 450.8083776180
2796 450.7829781785
2798 450.7816923938
2799 450.7804600517
2800 450.7754998860
2801 450.7689367792
2802 450.7529595510
2804 450.7246040710
2806 450.7082406033
2812 450.7040733831
2813 450.6608909355
2815 450.6409141588
2818 450.5944349551
2819 450.5594472623
2821 450.5510994379
2823 450.5226092247
2825 450.4917414759
2830 450.4780602964
2834 450.4667830238
2835 450.4300821839
2839 450.3764908638
2842 450.3747533373
2846 450.3496195343
2848 450.3321654548
2849 450.2901813648
2851 450.2387517681
2854 450.2168609603
2855 450.1668270543
2856 450.0739383240
2858 450.0520901345
2859 449.9637701248
2865 449.9465755174
2867 449.8424358673
2869 449.7470459340
2871 449.6292750692
2873 449.5282160805
2875 449.4373839215
2878 449.4128997489
2882 449.3213283531
2883 449.1942484332
2886 449.1701644705
2888 449.0943686031
2889 449.0643401837
2892 448.9798468067
2893 448.9459763535
2894 448.7801570356
2895 448.7740494141
2897 448.5267824437
2903 448.5178706732
2906 448.3823606195
2907 448.3747317604
2908 448.3264407270
2909 448.2012398675
2911 448.0078122473
2925 447.9607844154
2929 447.9410567157
2931 447.8972246996
2932 447.8255536353
2939 447.7556692620
2942 447.5965851307
2943 447.4294821257
2945 447.1550723553
2949 447.0861977140
2954 447.0645641144
2956 447.0184651044
2958 446.7257146105
2960 446.6969156588
2961 446.6900973253
2962 446.6188047598
2963 446.5993491294
2972 446.5366844514
2973 446.3885696264
2975 446.1280390884
2978 445.8842221783
2982 445.7984799684
2983 445.7118479772
2985 445.4463854960
2987 445.2973428658
2989 445.1399919902
2991 445.0510993593
2993 445.0057399928
2995 444.7823873942
2997 444.4725500282
2999 444.4174288302
3001 444.3481862623
3002 444.0481496301
3003 443.6092803421
3004 443.5319119659
3005 443.2335614739
3007 442.6986021917
3009 442.5985592695
3011 442.5005479394
3016 441.9836814470
3018 441.4917367176
3019 441.3591557203
3020 441.2249420318
3021 441.1081297845
3023 441.0913659738
3025 440.3486302443
3027 440.3015199701
3028 439.7883562821
3030 439.6885790369
3032 439.6372390100
3033 439.3526220356
3034 438.8458522261
3040 438.1761431550
3048 438.0946532001
3050 438.0689430432
3055 437.1346902555
3071 436.7699963717
3079 436.7351006378
3081 436.6640222959
3082 436.4899235731
3083 436.2326352212
3084 435.4299218775
3088 434.6421659929
3089 434.2320126519
3093 434.0690187807
3100 434.0269976907
3104 433.3810494720
3105 432.9996392642
3106 432.8245171271
3113 432.8127838818
3114 432.6729084648
3121 432.2664132803
3123 431.5506035658
3126 430.8502259209
3127 430.6165972493
3130 430.5507713564
3137 430.4518000263
3139 429.8583641390
3142 429.7708082938
3143 429.2834678556
3144 428.7468893210
3145 428.6922727930
3151 428.1469697954
3156 427.7572096201
3157 427.5460881555
3159 427.0544915418
3166 426.8337811916
3175 426.6874250677
3177 426.5927286499
3180 426.4462531104
3181 425.9367911001
3183 425.5689838593
3185 424.9129925466
3188 423.9275871367
3193 423.2034998242
3195 422.2536088012
3200 422.1524369474
3201 421.7661108881
3202 420.7307190667
3211 420.6294520820
3213 420.6039868935
3214 419.8796862176
3215 418.5483120059
3218 417.7710714138
3220 416.0295129107
3224 413.5642510645
3225 413.3472578960
3226 412.1716383759
3228 412.0094212588
3231 410.7063170486
3239 408.9053509112
3241 407.9322635189
3242 407.7291540411
3243 406.2232283611
3245 402.3720608621
3247 400.2548834863
3251 399.0895382308
3254 397.6592220382
3255 394.9104417659
3256 394.9081294288
3259 392.2203639040
3263 390.9500570189
3265 387.4648668862
3267 386.5936829057
3269 386.1219564638
3281 380.9198513734
3283 377.9905868179
3285 376.9386148872
3289 375.5110472391
3299 374.6781269143
3302 367.9087247520
3304 365.7521013442
3305 361.6132434733
3314 358.7842317071
3325 355.6776530406
3328 353.8632201633
3329 353.7225772729
3332 348.6943433879
3342 348.6846079410
3343 347.9786605578
3351 346.2336939200
3354 346.2099090229
3360 344.1779652772
3364 342.4137813884
3366 338.6351295867
3368 336.6964240527
3369 334.4545826016
3372 332.9957156604
3378 330.3345161075
3382 329.1178154713
3384 327.1212188823
3385 326.7054053099
3386 325.3390155615
3388 324.5134354766
3395 323.9919097969
3397 323.4824433631
3400 323.1536093877
3401 321.7431971903
3404 320.9131529353
3406 319.0496356153
3407 318.2505466416
3409 317.3142054740
3412 315.2435858382
3413 314.9087540458
3415 314.6859900020
3416 313.6307893946
3419 312.9706097770
3434 312.8975735510
3435 312.4532309376
3436 312.0073971997
3442 311.8122715165
3446 311.1205257672
3447 308.5072990442
3449 306.3091063877
3450 305.4869852748
3452 302.8376527566
3454 302.8048180012
3455 299.4363017049
3458 299.2490475511
3475 298.5788404408
3487 296.1029407297
3530 295.2917621085
3532 294.4315524651
3533 293.3168783367
3568 293.2016210137
3570 292.3839253796
3571 291.3654092984
3574 290.5477025883
3575 288.9625734989
3577 287.9559448016
3580 287.5931898354
3582 287.0690403209
3596 285.4099027398
3598 284.5483520292
3603 283.1892895610
3608 282.8969075270
3611 279.9894843303
3613 278.9963444896
3620 278.0502480495
3622 277.9119178243
3642 277.8767671011
3643 277.8437760084
3646 276.9539520882
3653 276.9356115948
3654 276.4941301389
3655 275.5446667838
3657 275.0900194337
3658 273.7963511078
3660 272.7156489009
3662 272.4567823202
3663 272.2334542356
3665 271.8366084915
3674 270.1593667452
3675 269.6351611269
3676 268.8392092338
3683 266.4208335747
3687 265.5009591657
3690 264.6133847180
3691 264.0760057140
3696 263.0786029750
3715 262.5302999992
3717 261.5742590845
3721 261.2425524415
3723 261.2335796175
3726 260.8484243935
3727 260.7302285323
3730 259.3918816673
3738 259.2333106758
3740 258.8834809829
3742 258.5687275713
3761 258.2384326993
3762 258.1824327600
3763 257.5765896027
3765 257.4074908568
3766 256.8973608369
3768 256.7221852100
3770 256.2921166514
3771 255.8062456559
3774 255.3467420951
3778 255.3408724096
3779 253.9381197366
3786 253.1965975515
3792 253.1557255626
3796 253.1434676640
3799 252.6070845715
3801 252.4546103595
3802 252.3172987659
3805 252.0553777344
3807 251.8819965112
3808 251.8805764275
3809 251.7591812356
3810 251.4995547922
3811 251.4643453669
3814 251.4353246609
3819 251.1413838815
3824 251.1405394583
3829 251.0169637290
3831 250.5686772367
3833 250.1485606298
3838 250.0454090103
3839 249.7227861199
3843 249.3482466739
3844 249.2876839497
3846 248.7679995933
3847 248.3695831581
3849 248.2415044904
3851 248.1496086091
3852 248.0685244618
3857 247.7699753037
3859 247.2435990724
3860 247.1373929479
3863 246.3837277198
3865 246.2093438062
3868 245.7754279146
3876 245.4427021293
3883 245.2307450341
3884 245.0703756661
3886 244.9696291907
3894 244.8749458776
3895 244.7830563139
3897 244.7487675291
3898 244.6747015627
3909 244.2367268054
3911 243.9038058267
3915 243.6312949686
3917 243.0898867085
3919 242.8523482021
3924 242.8347108628
3925 242.6972077694
3936 242.6904161526
3951 242.5708210453
3988 242.5294658296
3989 242.4317035308
3991 242.2690662687
3993 241.9307134263
3996 241.8698675655
3997 241.7819900194
3999 241.2711052512
4000 241.2591705272
4002 241.0226310740
4004 240.7139678692
4009 240.4552664621
4011 240.3954372495
4013 240.0607169310
4014 239.9959596748
4019 239.2958657817
4087 238.9589470993
4094 238.7705934196
4097 238.1776081670
4099 238.0506479346
4124 238.0026372891
4125 237.9261951142
4131 237.7305247037
4132 237.7246459709
4134 237.7023811202
4135 237.5854781573
4138 237.4372727286
4140 237.4276539628
4142 237.3905439583
4144 237.1710719950
4145 237.1057064643
4147 236.9537016543
4149 236.6505886188
4152 236.5998567083
4153 236.4878100900
4155 235.9850189679
4158 235.8738076263
4159 235.5314078931
4161 235.1354548478
4163 235.0662631431
4167 234.9158102970
4169 234.5289156568
4196 234.3375912452
4199 233.9070452638
4203 233.7109204809
4205 232.8437865373
4210 232.0550135203
4213 231.9315795840
4214 231.1841427730
4215 230.0873408596
