evaluations raw_y
1 101.3327116244
16 77.9814150153
872 46.5061408444
911 50.9353981337
912 49.9677117844
916 47.7559622438
917 50.6301710831
919 49.1209740361
921 48.8414218091
923 46.0691126353
1103 53.7569344730
1403 45.3902398914
1404 45.6882818184
1407 45.7731206147
1412 46.3125900470
1422 46.7038730974
1427 45.6820013597
1428 46.1460651223
1431 44.4891862823
1432 43.9504673384
1435 42.8837809463
1459 43.6750343904
1461 43.8849761192
1470 46.3282295101
1473 46.0808369093
1475 45.7193298291
1534 44.7796250600
1571 45.6609932306
1573 45.8179109852
1580 45.5746017713
1582 45.8750478973
1585 45.9666967981
1586 44.3398206601
1588 43.3687129849
1594 43.0996901244
1600 44.1333728235
1601 44.2834927415
1602 44.8044517946
1604 44.2344390824
1606 44.3372995745
1614 44.9788215700
1647 44.1800643305
1648 43.5685717739
1668 41.7744045371
1672 42.2715099482
1674 41.8012232425
1714 42.8459422312
1718 42.3350242180
1720 41.7021208365
1724 41.5948614691
1733 42.0509506895
1734 41.8799399657
1735 41.4765534120
1739 41.0183773597
1749 40.7751028717
1758 40.1430387096
1760 39.5690103103
1824 40.1518293853
1831 39.2630649830
1833 39.3314570794
1840 39.2215414858
1851 39.5595397721
1858 39.5286210284
1860 39.5291648413
1900 39.3177278476
1904 38.9456978241
1907 38.3770693585
1911 38.0348844291
1945 37.8116224306
1950 37.7384808372
1953 37.6261359225
1980 37.6347635782
1984 37.0854000691
2164 36.8543763261
2166 36.6581554215
2174 36.2396984984
2176 36.1700961413
2179 35.9158150416
2209 35.9756317181
2210 35.8506472166
2212 35.6687011608
2225 35.8783647901
2231 35.6216553692
2235 35.6745949453
2237 35.4935857999
2241 35.5435008310
2244 35.1232839651
2273 34.8089565833
2298 35.5179069678
2391 35.1602015303
2392 35.0997961195
2396 35.0771938652
2397 35.0629578863
2410 35.0161661592
2538 34.8214371989
2540 34.6324024498
2542 34.6300382725
2543 34.6175282380
2551 34.5787755344
2552 34.3804425273
2566 34.3521845323
2568 34.3755863085
2569 34.3426428524
2571 34.3001190359
2573 34.2983262253
2633 34.4243820364
2640 34.3063245654
2644 34.1921395011
2649 34.0917866774
2654 34.1238271668
2657 34.1043541271
2658 34.0433934578
2674 33.9420680691
2676 33.9458211356
2679 33.8656585239
2710 33.8209039362
2715 33.6398029007
2729 33.7667337061
2735 33.8071112761
2738 33.8147534513
2741 33.7786878994
2742 33.6942376691
2745 33.7116749548
2850 33.6917056223
2853 33.6671816961
2854 33.5534935039
2856 33.6328274496
2858 33.5423469313
2860 33.5434333149
2861 33.5528406181
2862 33.5386857212
2865 33.4498881418
2867 33.3829232982
2930 33.3179234231
2933 33.2505198873
2935 33.1929399470
2936 33.2688592665
2945 33.2048366493
2950 33.2134655302
2955 33.1882901074
2956 33.1314969359
