evaluations raw_y
1 73.8192879758
4 32.2153147110
20 26.0410840506
23 19.3115711630
26 15.0343559562
50 14.3227183402
107 6.0232445974
108 4.3770768419
137 4.3580887764
172 2.9735116042
424 2.7835669697
448 1.3722197325
2253 1.3343754864
2856 0.6808208996
3048 0.5903504834
3065 0.3711087562
3607 0.2244278956
4040 0.1556638591
4045 0.1236883848
4742 0.1139588019
5516 0.0473486597
5890 0.0371368113
6958 0.0170621757
7986 0.0134247057
8412 0.0072247462
8840 0.0056090870
8926 0.0042532966
9361 0.0012400852
10387 0.0003378783
12627 0.0002625024
12652 0.0002358597
13109 0.0001628113
13503 0.0001434719
13812 0.0000829111
14822 0.0000739021
15191 0.0000541392
15468 0.0000317859
16032 0.0000149052
16671 0.0000147216
17574 0.0000136601
17618 0.0000130544
17847 0.0000033814
18507 0.0000024244
19060 0.0000018743
20038 0.0000013837
20277 0.0000012120
20428 0.0000007420
21280 0.0000002755
22114 0.0000001694
23424 0.0000001557
23630 0.0000001452
23671 0.0000001430
23725 0.0000001145
23872 0.0000000897
24067 0.0000000507
24636 0.0000000209
25757 0.0000000148
26181 0.0000000111
26953 0.0000000035
28247 0.0000000033
28377 0.0000000030
28959 0.0000000007
29755 0.0000000003
31063 0.0000000001
32227 0.0000000001
33036 0.0000000000
33233 0.0000000000
33982 0.0000000000
34939 0.0000000000
36087 0.0000000000
36570 0.0000000000
36840 0.0000000000
36939 0.0000000000
38483 0.0000000000
38865 0.0000000000
38987 0.0000000000
39124 0.0000000000
39242 0.0000000000
39313 0.0000000000
39438 0.0000000000
39537 0.0000000000
39808 0.0000000000
39845 0.0000000000
41269 0.0000000000
41455 0.0000000000
42207 0.0000000000
42314 0.0000000000
47239 0.0000000000
evaluations raw_y
1 30.8866584630
2 25.4628504812
3 24.4262244212
6 9.0025357737
36 1.4668760785
98 0.2442066568
2154 0.1024076920
4517 0.0693102615
4648 0.0486221490
5226 0.0417357254
5659 0.0192757653
7095 0.0178651032
7101 0.0152216450
7280 0.0094765948
7631 0.0071009592
7874 0.0065752932
8031 0.0040937574
8623 0.0025903380
8939 0.0012756529
10776 0.0005282827
10844 0.0003717547
10851 0.0002113853
12528 0.0001969218
12530 0.0000313912
15236 0.0000213709
15504 0.0000074907
17187 0.0000044006
18312 0.0000041314
18402 0.0000030848
18773 0.0000016626
18806 0.0000010938
19726 0.0000009724
20343 0.0000006659
20407 0.0000005481
20775 0.0000004336
21609 0.0000001833
22129 0.0000001524
22667 0.0000001397
23106 0.0000001368
23196 0.0000001088
23321 0.0000000600
23503 0.0000000311
24537 0.0000000255
25070 0.0000000074
26082 0.0000000070
26431 0.0000000063
26457 0.0000000009
28829 0.0000000004
29746 0.0000000003
32042 0.0000000001
33191 0.0000000000
33770 0.0000000000
34638 0.0000000000
34988 0.0000000000
35177 0.0000000000
36061 0.0000000000
36466 0.0000000000
36496 0.0000000000
36709 0.0000000000
36773 0.0000000000
36860 0.0000000000
37312 0.0000000000
37652 0.0000000000
37965 0.0000000000
38150 0.0000000000
38283 0.0000000000
38810 0.0000000000
39025 0.0000000000
39746 0.0000000000
39888 0.0000000000
42432 0.0000000000
43235 0.0000000000
43239 0.0000000000
45884 0.0000000000
47405 0.0000000000
50020 0.0000000000
evaluations raw_y
1 85.3908372510
3 82.3319275774
4 65.2389266277
7 53.7897336700
9 53.2677279550
12 48.6624958615
13 40.5071106225
20 17.0828383978
83 11.4812238339
89 5.9280804987
180 5.8401049352
188 2.4024058191
290 1.4210039527
860 0.6378305261
2244 0.5899035033
3039 0.5250361856
3075 0.2397745389
3132 0.0821869452
4732 0.0526126259
5148 0.0435148525
5507 0.0325744262
5925 0.0310946677
6351 0.0191742871
7027 0.0186520335
7370 0.0104049235
7964 0.0099819300
8095 0.0058306387
8121 0.0046067744
8433 0.0032733542
8713 0.0025679103
9300 0.0016463251
9352 0.0009834719
10378 0.0009019708
10934 0.0007484608
11381 0.0006966737
11688 0.0006808102
11722 0.0001729278
13074 0.0001644142
13100 0.0001344290
13798 0.0001247550
13803 0.0001008827
14258 0.0000430849
14464 0.0000150376
14570 0.0000006503
20865 0.0000005734
21320 0.0000005310
21699 0.0000000950
22976 0.0000000617
23593 0.0000000433
24621 0.0000000368
24627 0.0000000196
25253 0.0000000120
25951 0.0000000108
26541 0.0000000065
26944 0.0000000022
28368 0.0000000005
31054 0.0000000003
31223 0.0000000002
31412 0.0000000002
31475 0.0000000002
32132 0.0000000001
32173 0.0000000001
33109 0.0000000001
33433 0.0000000000
34930 0.0000000000
34979 0.0000000000
35033 0.0000000000
35267 0.0000000000
35712 0.0000000000
36544 0.0000000000
36903 0.0000000000
37013 0.0000000000
37275 0.0000000000
37556 0.0000000000
38007 0.0000000000
38240 0.0000000000
38934 0.0000000000
39115 0.0000000000
39164 0.0000000000
39899 0.0000000000
40206 0.0000000000
40347 0.0000000000
42305 0.0000000000
42934 0.0000000000
45085 0.0000000000
48835 0.0000000000
evaluations raw_y
1 151.3371473293
2 106.1947648646
3 99.1611654934
5 71.6178607554
40 48.3534392856
41 37.6846277816
50 31.0697911181
55 24.4969641000
104 22.7875788188
129 19.8342120957
144 7.0571047662
160 4.7017820192
583 3.3730725495
2601 3.2842879097
2858 1.2119448451
3067 1.0605748295
3567 1.0458600263
3609 0.9568718259
3900 0.8206756336
4047 0.6772773481
4580 0.5800286977
4743 0.5564283718
4744 0.2479420311
5892 0.2149233998
6751 0.1904300626
6881 0.1896789932
6960 0.0872861951
7381 0.0487890608
8414 0.0306537033
8602 0.0304335093
8655 0.0286107459
8724 0.0155021995
9363 0.0024428868
10945 0.0023910064
11122 0.0021858384
11710 0.0021543381
12629 0.0010682652
12654 0.0009471201
13029 0.0007771708
13111 0.0004393885
13814 0.0003145896
14897 0.0002960866
15193 0.0002547072
15470 0.0001423475
15978 0.0001170642
16034 0.0000287435
17849 0.0000212417
18509 0.0000194893
18526 0.0000189827
18569 0.0000121513
18954 0.0000108642
19294 0.0000077704
19551 0.0000075038
19749 0.0000044782
20287 0.0000039565
20316 0.0000027281
21282 0.0000018740
21889 0.0000014218
22116 0.0000005995
23426 0.0000005248
23488 0.0000005191
23727 0.0000003658
23874 0.0000002917
24069 0.0000001460
24632 0.0000001319
24638 0.0000000917
25264 0.0000000905
25759 0.0000000517
26128 0.0000000406
26183 0.0000000266
26710 0.0000000260
26955 0.0000000099
28249 0.0000000093
28379 0.0000000063
28693 0.0000000055
28961 0.0000000041
29757 0.0000000014
30513 0.0000000008
31065 0.0000000004
32229 0.0000000003
32632 0.0000000002
33984 0.0000000001
34905 0.0000000001
34941 0.0000000000
35612 0.0000000000
36089 0.0000000000
36555 0.0000000000
36693 0.0000000000
36917 0.0000000000
37210 0.0000000000
