evaluations raw_y
1 580431.0733903337
9 25107.1853421041
24 6247.6953685505
27 384.5567617722
319 246.6188292959
441 1.2367458161
4976 1.0785448963
5540 0.0052839614
10583 0.0044572966
10834 0.0041008217
11137 0.0010470194
11682 0.0010378293
12356 0.0001648212
13281 0.0000785267
14121 0.0000237024
15152 0.0000168691
15212 0.0000040426
16077 0.0000032149
16413 0.0000009579
16798 0.0000003898
17439 0.0000001507
17557 0.0000000472
19489 0.0000000101
19744 0.0000000030
20054 0.0000004565
evaluations raw_y
1 15741071.5695590582
2 2088614.0303654263
8 71445.0690321566
11 27039.8831095867
19 2136.5241246448
35 433.1685062256
471 209.4794070600
563 146.9131962703
592 1.4868943273
2395 1.1154043470
4228 0.4145245306
6187 0.2509607841
7268 0.1053115358
8430 0.0661382783
8786 0.0132841543
9063 0.0050123555
9878 0.0046148430
10060 0.0030000385
11220 0.0002839443
11698 0.0001026653
14121 0.0000625181
14129 0.0000437420
14187 0.0000068642
15212 0.0000050508
16077 0.0000008319
17497 0.0000006665
17557 0.0000003266
17917 0.0000003110
18097 0.0000002145
18532 0.0000000937
18560 0.0000000754
19070 0.0000000431
19489 0.0000000127
19544 0.0000000059
20125 0.0000000041
20159 0.0000005321
evaluations raw_y
1 1964.4806693900
262 40.1216509342
548 20.6351655858
887 20.1981972844
1171 19.4387886585
1662 4.8872345207
3649 1.4928024241
5358 0.0742435776
8270 0.0738938497
8430 0.0609271796
8543 0.0049615024
10060 0.0010801198
11682 0.0004314381
12356 0.0002978931
12474 0.0001238599
13281 0.0001169472
14121 0.0000728758
14187 0.0000375839
14417 0.0000287921
15152 0.0000225899
15212 0.0000039944
16413 0.0000015016
16568 0.0000009694
16798 0.0000003455
17439 0.0000001875
17557 0.0000000839
19128 0.0000000746
19205 0.0000000657
19489 0.0000000150
19744 0.0000000125
20041 0.0000004361
evaluations raw_y
1 10914646.5350741986
2 795367.1408092045
8 635041.1924295400
11 182169.1181326538
17 1604.7891274807
93 640.5518030033
145 149.2263746409
251 101.0737543174
324 27.8975784509
563 26.7257090778
1454 16.1680048012
1828 1.7324786944
4700 1.5477216473
6158 0.4986782299
7268 0.3653361359
7327 0.2079250206
8270 0.1949596011
8430 0.0328322507
8786 0.0111975535
9063 0.0082435247
10060 0.0032835465
10583 0.0016735787
11220 0.0011048587
11698 0.0001995767
13281 0.0001275589
14121 0.0000479670
14187 0.0000386977
15212 0.0000029337
16077 0.0000002128
17917 0.0000001550
18560 0.0000000957
19070 0.0000000202
19489 0.0000000025
20008 0.0000009032
evaluations raw_y
1 8255261.6906604767
3 5154703.0113440324
4 2009425.3555379340
10 22884.9542758032
21 229.3616734971
379 161.0811861754
415 14.6240557602
1589 12.7326121630
2440 8.7564632112
2925 3.4869745506
3239 1.7836022195
4522 1.0217432254
5059 0.3880246913
5935 0.2858766235
6389 0.0162136504
8786 0.0066735767
9063 0.0061222487
9878 0.0056179810
10060 0.0004541220
11698 0.0003673699
12474 0.0000745309
13281 0.0000614950
13341 0.0000604438
13735 0.0000444212
14121 0.0000201287
14187 0.0000027028
15946 0.0000025099
15990 0.0000010181
16077 0.0000002181
16798 0.0000001501
17557 0.0000001464
17917 0.0000000342
18560 0.0000000325
19070 0.0000000087
19489 0.0000000024
20003 0.0000019336
evaluations raw_y
1 2093148.2684276430
3 413637.4399261948
4 107940.0767419568
6 3179.1325637898
48 504.8656379830
133 310.7133563351
143 142.9576697378
419 2.0717550246
2211 0.3873342462
2898 0.1203144736
4875 0.0031559150
8786 0.0031143516
10074 0.0007239037
11698 0.0004470752
12356 0.0000754274
12887 0.0000526780
13281 0.0000197060
14121 0.0000021274
15152 0.0000018559
16032 0.0000010078
16413 0.0000002145
17439 0.0000001838
17557 0.0000000287
19128 0.0000000271
19379 0.0000000250
19489 0.0000000079
19744 0.0000000003
20066 0.0000018483
evaluations raw_y
1 6156247.7607607767
3 3917420.1945855394
4 783512.3020863045
10 58966.6328491947
23 18028.6657424098
30 91.3915132311
115 35.5768397406
251 7.0354591393
441 4.7106048035
1009 2.0717867807
3632 1.6913428890
4176 1.5045682867
4199 0.6049466422
6352 0.0863149861
8100 0.0298544248
8288 0.0212022585
8883 0.0182044028
10006 0.0038830273
10583 0.0007849887
11698 0.0006414950
12474 0.0002391892
13281 0.0000741324
14121 0.0000585734
14129 0.0000516559
14187 0.0000477373
14597 0.0000454458
15212 0.0000013153
16413 0.0000012099
17439 0.0000002750
17917 0.0000002448
18532 0.0000002407
18560 0.0000000860
19070 0.0000000115
19489 0.0000000090
20013 0.0000024605
evaluations raw_y
1 12808714.8718452137
3 8347771.6718813367
4 3918332.1272332235
10 517781.1775238096
21 335234.5900965622
33 277671.3734514521
35 265132.1581565575
36 179316.6881954535
38 3534.1752009724
100 192.6095580389
215 133.5058549719
320 46.5140599382
563 34.9445744371
1036 21.1198120234
1120 20.2279261139
1277 4.4614352056
1372 1.5964295315
1648 0.2697117873
1768 0.0065530123
8786 0.0006222216
10583 0.0005912802
11220 0.0002902152
11698 0.0000519104
12649 0.0000262507
14121 0.0000210712
14129 0.0000191407
14187 0.0000047030
15152 0.0000028136
15600 0.0000026250
16077 0.0000003022
16798 0.0000002795
17439 0.0000002217
17557 0.0000002106
17917 0.0000000591
18532 0.0000000583
18560 0.0000000303
19070 0.0000000114
19489 0.0000000114
19544 0.0000000009
20125 0.0000000002
20173 0.0000041323
evaluations raw_y
1 6576196.1288079936
2 1755.7661784736
28 905.5361606586
114 683.3178993125
650 87.2730055913
907 56.4813636887
1400 30.8255598549
1536 2.8652880426
2110 0.6606284639
4526 0.5527377674
6187 0.5142700582
6389 0.2049208249
7268 0.0566741717
9063 0.0140782979
9878 0.0101730343
10060 0.0063571402
10583 0.0002467326
11698 0.0001072103
13735 0.0000725810
14121 0.0000306726
14187 0.0000238337
15152 0.0000232928
15212 0.0000157170
15600 0.0000097871
15720 0.0000091226
16077 0.0000018234
16568 0.0000012521
17439 0.0000011669
17557 0.0000006835
17917 0.0000003604
18097 0.0000001940
18532 0.0000001824
18560 0.0000001240
19070 0.0000000218
19489 0.0000000148
20125 0.0000000009
20170 0.0000011617
evaluations raw_y
1 2908898.1215299740
3 878045.9382566824
4 3968.7207391413
35 1075.6675589186
54 199.8108648538
98 148.9976535692
172 143.2734361566
729 30.3978996996
1132 7.5691939917
2925 4.3542427561
3302 4.0549052917
4421 3.7794147013
4548 3.4110159727
4716 0.9971737755
5014 0.0951439276
6029 0.0881359810
8270 0.0280263092
8430 0.0168227964
9063 0.0115073820
9984 0.0098015102
10041 0.0078868036
10060 0.0036546434
10074 0.0007086142
11220 0.0005221195
11698 0.0004340446
11842 0.0003380326
12356 0.0001330455
12474 0.0000234246
14121 0.0000053422
14187 0.0000045161
15152 0.0000021588
15212 0.0000012778
16413 0.0000006809
16568 0.0000005692
16798 0.0000001846
17439 0.0000001295
17557 0.0000000390
18560 0.0000000270
19128 0.0000000184
19489 0.0000000047
19744 0.0000000008
20059 0.0000017210
evaluations raw_y
1 163030.4337933882
3 54015.0238488451
9 3433.5006952437
39 3111.6768244171
42 2994.4683679011
78 21.0563527095
548 6.7196615451
887 5.2612326921
2073 2.3933303849
3983 1.0172902991
4526 0.0028916272
10074 0.0005453901
11220 0.0004988197
11698 0.0004249067
11842 0.0003705645
12356 0.0001302852
12474 0.0000269494
14121 0.0000055513
15152 0.0000023571
15212 0.0000012534
16413 0.0000006904
16568 0.0000006680
16798 0.0000001740
17439 0.0000001388
17557 0.0000000432
18560 0.0000000278
19128 0.0000000219
19489 0.0000000048
19744 0.0000000009
20059 0.0000018218
evaluations raw_y
1 4512904.4484106973
2 149639.5415109407
5 13257.5373513288
39 4416.8376602138
72 3971.4722471412
95 3654.9141834059
110 1140.5057847634
145 348.6819405587
187 330.8697623110
347 117.1041604697
667 96.4740341365
746 65.4023211827
1547 6.8068960996
3350 3.2778158030
5401 1.2910712263
6389 0.1222922358
8786 0.0801363842
9063 0.0762050029
9501 0.0136195816
9878 0.0113965993
10834 0.0042917406
11220 0.0020663039
11378 0.0015152217
11698 0.0002982566
13735 0.0002965938
14121 0.0002066306
14129 0.0001212559
14187 0.0000079583
15212 0.0000065116
16568 0.0000012678
17316 0.0000008561
17557 0.0000007236
17913 0.0000006327
18097 0.0000003425
18700 0.0000002857
19070 0.0000000447
19489 0.0000000266
20018 0.0000000253
20125 0.0000000029
20145 0.0000194959
evaluations raw_y
1 519217.2174480904
3 28189.6394308284
9 16545.3747781232
29 10367.5833509431
36 5118.3208806533
40 874.2976949994
78 502.4384137508
173 21.8718821373
887 5.9891666028
1152 1.4860074374
2296 0.5446847869
2971 0.3887239877
4568 0.1085124752
7268 0.0692497587
7327 0.0675821893
7357 0.0609262448
8270 0.0325103290
8543 0.0310054719
8786 0.0046796300
9326 0.0033379171
10060 0.0030116588
10583 0.0028812697
10754 0.0022354566
10834 0.0000094484
14121 0.0000024894
15152 0.0000018693
16032 0.0000013380
16413 0.0000000827
17917 0.0000000396
19070 0.0000000177
19544 0.0000000146
19566 0.0000000132
19744 0.0000000011
20089 0.0000006964
evaluations raw_y
1 10625052.6448455062
2 684932.4707927770
9 656810.3394421061
11 214360.9061448434
17 5245.0431034547
93 3564.7252872322
113 240.0616299644
145 47.0671613118
324 26.3498475059
1959 7.7718729160
2652 3.8611764437
6133 0.6394099080
6158 0.0310281637
8786 0.0040429001
10060 0.0013579810
11220 0.0013245776
11698 0.0001590272
13281 0.0001570931
13735 0.0001206194
14121 0.0000445033
14187 0.0000416330
14597 0.0000395536
15212 0.0000038942
15990 0.0000033546
16077 0.0000002773
17557 0.0000002420
17917 0.0000001238
18560 0.0000000883
19070 0.0000000275
19489 0.0000000014
20007 0.0000010516
evaluations raw_y
1 10909053.7899240926
2 793018.0858052677
8 636607.1693707519
11 182792.1593528725
17 1694.8274150838
93 581.3460880563
145 182.7507034054
251 120.1769494291
324 39.4963480826
563 22.9668889091
1454 11.7726179565
1541 5.7147204928
1959 4.5646293346
2193 2.6269146932
4129 0.5114476438
6389 0.3111701145
8296 0.2209793537
8430 0.0410296851
8786 0.0128160546
9063 0.0062907845
10060 0.0011013568
11220 0.0010154814
11698 0.0004196479
12474 0.0001034811
14121 0.0000402171
14187 0.0000028496
16077 0.0000003705
17557 0.0000002394
17917 0.0000000808
18560 0.0000000792
19070 0.0000000356
19489 0.0000000027
20005 0.0000001870
