evaluations raw_y
1 348.3307940473
3 215.1579563366
11 108.4956206698
58 77.6568484671
137 54.2568232707
230 44.9557627883
482 39.1749842126
576 36.3719691659
1950 35.2387803620
2228 34.8465271334
2782 33.3065394088
3034 33.0272967155
3243 18.9911450576
4061 17.2851918162
5979 8.4838677742
10349 6.8517554462
12910 3.0926210253
24667 3.0779524079
27097 3.0271765640
27709 3.0066991500
28256 3.0048032961
28880 3.0036892258
29797 2.9935039258
31314 2.9932456970
31400 2.9906522585
31741 2.9891270622
32093 2.9889404044
32274 2.9888023165
32486 2.9883297751
32540 2.9882108747
32988 2.9881895498
33154 2.9870769600
33242 2.9857535774
34745 2.9854783438
35228 2.9850348819
36517 2.9850228500
36547 2.9850098492
37363 2.9849674146
38016 2.9849173800
38347 2.9849141344
39076 2.9848942333
39939 2.9848829765
40647 2.9848792645
43290 2.9848775668
45046 2.9848775126
45190 2.9848774336
45534 2.9848773983
45746 2.9848773307
46641 2.9848772400
47092 2.9848772204
48426 2.9848772045
48457 2.9848771959
48601 2.9848771931
48666 2.9848771905
49686 2.9848771787
49722 2.9848771766
50083 2.9848774378
evaluations raw_y
1 29.3220468442
592 19.4877225566
3565 11.2355660643
6702 10.6681970350
7754 10.3353597700
8282 9.3061443246
9801 8.2287415459
10784 7.1619488770
15850 6.6420037509
16239 4.7693239946
18219 4.4367476532
20280 4.3087331748
20345 4.0800601082
20618 3.5365279908
20862 3.2720823648
22888 3.2001315424
23121 3.0928577255
24539 3.0408749968
25064 3.0376979036
25863 3.0091453106
26232 2.9953355214
26856 2.9944409176
27939 2.9928029204
28280 2.9886813882
28862 2.9863174830
30505 2.9862307158
30966 2.9855975609
32044 2.9855791716
32085 2.9855302186
32396 2.9855181702
32455 2.9854865252
32491 2.9854468419
32520 2.9854140373
32852 2.9852383964
33021 2.9852063778
33345 2.9850354960
33968 2.9849940566
34524 2.9849818067
34842 2.9849246836
35179 2.9849106995
35624 2.9848961585
37512 2.9848958563
37833 2.9848914376
37919 2.9848884602
38152 2.9848840726
38630 2.9848820796
38846 2.9848802384
39076 2.9848796343
40032 2.9848792967
40118 2.9848786229
40489 2.9848783729
40583 2.9848782639
40744 2.9848779869
41264 2.9848778475
41582 2.9848775912
42217 2.9848772279
44004 2.9848772081
44775 2.9848772079
44997 2.9848772014
45399 2.9848771918
45697 2.9848771856
46256 2.9848771801
46928 2.9848771756
47407 2.9848771728
49637 2.9848771724
50004 2.9848771722
50095 2.9848771756
evaluations raw_y
1 459.4686322038
2 268.5604753889
9 172.8702014387
13 145.4165418357
31 126.5794742021
39 111.2053515850
48 86.0128274712
93 78.9808567730
107 58.2841480932
272 54.3845128875
412 41.2698313107
1344 40.0756107151
1908 31.0455483195
2575 24.5479405867
3202 17.6422249038
5808 6.8599767022
10656 3.6697881756
21989 2.5695746453
24615 2.5285677339
24954 2.4594293172
25120 2.3499496466
25153 2.3437851568
25180 2.3130406007
25241 2.2699296653
25805 2.1374102788
26105 2.0827895799
26932 2.0433599261
28228 2.0328305010
28356 2.0300263067
28812 2.0114605357
29824 2.0040872630
30581 1.9997125750
31042 1.9963098466
31125 1.9938094943
31768 1.9936502491
32040 1.9929051630
32161 1.9920244276
32472 1.9916361506
32928 1.9916356397
33421 1.9906689116
34175 1.9905826399
34600 1.9903283193
35255 1.9900879459
36532 1.9900558078
36891 1.9900297301
37249 1.9900247151
37588 1.9900113296
37995 1.9899852078
38228 1.9899501560
38706 1.9899467996
38922 1.9899342133
39152 1.9899333396
39978 1.9899299220
40194 1.9899245574
40335 1.9899207140
41340 1.9899204641
42293 1.9899185631
44080 1.9899184859
44288 1.9899184538
44851 1.9899183121
44860 1.9899183101
45073 1.9899182534
45475 1.9899182158
45520 1.9899181969
46679 1.9899181654
47004 1.9899181588
47495 1.9899181586
47721 1.9899181507
47938 1.9899181395
48485 1.9899181376
48506 1.9899181279
49713 1.9899181226
49986 1.9899181226
50080 1.9899181201
50082 1.9899182150
evaluations raw_y
1 250.5803995134
3 245.3417598808
4 105.4825936016
25 100.7577676938
26 92.1583617728
28 80.6690772063
33 78.3262046739
40 77.9457444533
41 54.4051812091
43 43.1182948030
144 36.7640986011
145 33.4477649009
325 27.3862215218
904 23.2172305260
1823 18.1245056889
3313 17.9119349864
3462 11.8676593907
5129 9.3165905497
5740 9.2602462959
5997 7.6973200122
6950 5.4174333242
8978 2.9959739035
19791 2.2232883614
50126 2.9848771857
evaluations raw_y
1 1843.9508922415
2 257.8878148082
7 84.4418213863
10 64.6360061096
13 64.4680825372
14 42.5769960744
49 38.1630529541
54 35.0484723295
183 32.6275741797
280 15.9975972887
2907 11.9440986120
3915 8.6566334446
8222 7.5636681109
8673 4.7822331515
17802 2.8536463127
22131 2.7493378909
24653 2.6611489917
25153 2.4591870277
25682 2.3418103358
25774 2.2581053373
26746 2.1010127035
28264 2.0946935624
28637 2.0311299735
28976 2.0155407751
29772 2.0137747055
29835 2.0060380763
29862 1.9990579638
31080 1.9943932525
32637 1.9939969644
32647 1.9930633149
33135 1.9921006984
33667 1.9912866006
33999 1.9912604772
34956 1.9903890107
35857 1.9903644229
36104 1.9903080127
36423 1.9902918332
36708 1.9902397114
36857 1.9901528227
36956 1.9900293250
37184 1.9900155648
38996 1.9899620036
39455 1.9899613461
39554 1.9899570677
39681 1.9899487033
39825 1.9899458483
39862 1.9899450515
39865 1.9899360346
40767 1.9899337855
40854 1.9899295351
40933 1.9899293267
41286 1.9899282482
41378 1.9899275017
41428 1.9899219841
42224 1.9899204063
42331 1.9899194242
42632 1.9899193143
43403 1.9899190352
43912 1.9899188751
43967 1.9899187948
44126 1.9899187203
45190 1.9899184614
45491 1.9899184587
46037 1.9899183675
46511 1.9899183151
46653 1.9899182214
47042 1.9899182201
47300 1.9899182095
47521 1.9899181290
49751 1.9899181259
50024 1.9899181245
50177 1.9899187007
evaluations raw_y
1 1028.2122843571
2 411.2941646745
8 270.1155254158
9 190.1497749466
10 133.6095073626
13 132.9101828119
14 126.8344149427
23 66.9951304986
27 60.9502662477
41 58.4105164276
192 57.8758517780
244 25.3449883262
2849 22.8363043992
3907 22.6841507293
4244 21.5449821029
4360 15.2584565524
5791 13.7556986276
5822 11.9693590309
