evaluations raw_y
1 27016.9348718272
2 17541.3434962247
3 5032.7484456620
8 5528.2178054047
12 5157.7605552534
17 5030.8657128300
21 4544.9015292587
22 4397.7889668825
23 3481.5934361605
24 3154.2802858965
77 2925.4120261397
88 1941.0306041916
285 1816.4388522770
329 1801.2256365773
439 1681.8479528973
449 1574.7148813000
720 1335.3449755169
7260 1343.1734527783
7364 1289.9314593616
7493 1134.8056206879
8232 1109.8942848111
8756 1024.9989200159
9226 927.4858064438
9290 961.4286381133
9486 957.6730377523
9606 954.0822143800
9650 927.2886961617
9717 909.0412552713
9762 827.5759463638
10762 797.9617789319
11000 777.5694979572
11345 750.4556064993
11762 678.5349424344
11946 659.5644146533
12823 642.5837584116
12989 613.4856844306
13101 564.4322136009
14959 560.8157737496
15185 556.0379089504
15469 555.5544055387
15516 540.7581798667
15576 536.7624590335
17055 516.2011751685
17233 531.0225682930
17312 526.6057519169
17904 523.3834684889
18009 517.4032906932
18058 464.9621455094
18588 436.0017905624
19047 382.5874756471
22238 375.3115762663
22432 358.5652632008
22484 354.7771217886
22526 337.9193211095
26504 332.5010490128
27111 328.5834656106
27396 318.9379500560
28275 307.9950061008
28747 307.9149165287
30040 294.1282356191
30268 265.0243486046
34248 253.4249512388
37199 242.6024995207
37713 227.9127585004
39297 217.8785026882
39598 210.4208536141
40272 205.3906820227
40423 198.8207584883
40490 181.6068714656
40662 168.7739418857
41136 131.0853513798
44011 126.8051080738
44403 123.1670086409
44413 123.1546834433
44616 102.3321151629
45033 94.0186251793
45387 91.7715059239
45390 86.5742629781
46122 86.5653441003
46230 85.9896209157
46323 69.8795168739
47115 68.9422955082
47278 68.1492132423
47298 67.8468017689
47494 65.5509374642
47536 64.9633867430
47833 64.6531647241
47897 63.9800937328
47968 63.8970032623
48290 61.1086349003
48586 61.0459282484
48718 57.9317704572
48898 56.9730737113
48924 56.4926894816
49145 55.5238788278
49262 55.0692337547
49266 54.8864873625
49412 54.5970953052
49626 52.4436282091
49651 52.1499832701
49798 50.0821163600
50430 49.1236616785
50549 48.8610028508
50733 47.7763250185
50886 45.8579086970
51802 45.6917767170
52044 45.5517020792
52234 45.1870701536
52256 44.9616794707
52638 44.5444594724
52828 44.4096198999
52842 42.9229273034
53773 42.5590083101
53786 42.5230240211
54686 42.3098585941
54811 42.2569496606
54955 42.1865266008
55189 42.1067880545
55381 41.6091814389
55602 41.5762499404
56544 41.1845167520
57105 41.1029837387
57206 41.1020275145
57212 40.9573274731
57240 40.9447926781
57566 40.9226157632
57637 40.7462343456
58095 40.6704050513
58260 40.6130033090
58385 40.5115080416
58771 40.4427381202
58881 40.4408094331
59134 40.4251860470
59147 40.3878024472
59253 40.3489519683
59547 40.2399098853
60012 40.2102005340
60525 40.1961140413
60757 40.0905526500
61096 40.0837871516
61189 40.0531200720
61704 40.0364774467
61834 40.0000965360
62608 39.9960861590
62682 39.9799981484
62786 39.9433904526
64053 39.9351370902
64266 39.9159132386
64355 39.9135384718
64741 39.8989797505
64847 39.8927221281
66749 39.8736287470
67369 39.8673820188
68320 39.8618855267
68484 39.8554406781
68685 39.8534696814
68790 39.8520264849
68943 39.8459907555
69371 39.8448842271
69593 39.8415310291
72011 39.8347135028
73237 39.8333127666
73655 39.8331197247
74522 39.8315164449
75529 39.8292094317
75966 39.8237915909
77358 39.8186268927
77833 39.8179003586
78448 39.8178945439
78468 39.8174255031
78545 39.8171146028
78570 39.8160543227
78649 39.8114458792
79046 39.8079642874
79886 39.8058738962
80931 39.8052839142
81042 39.8047346943
81090 39.8046163749
81445 39.8043041939
82070 39.8038145118
82098 39.8033987051
82494 39.8027400871
82667 39.8025457440
82817 39.8024505473
82843 39.8021402832
82864 39.8020135463
82943 39.8013217850
83404 39.8012120551
83500 39.8011262649
83527 39.8010706028
83735 39.8010098699
83818 39.8007313065
84314 39.8005259898
84352 39.8003757472
84616 39.8003456900
84990 39.8003248629
85100 39.8001600022
85196 39.8001068429
85397 39.7999420557
85450 39.7998208093
85630 39.7997755628
85802 39.7997705166
85850 39.7997421545
85951 39.7996024561
86107 39.7993130632
86357 39.7991006258
86614 39.7990207476
87362 39.7989967795
87374 39.7989592174
87411 39.7988688347
87865 39.7988596393
88262 39.7988139949
88513 39.7987750458
88712 39.7987306653
89289 39.7986908339
89347 39.7986904666
89405 39.7986785981
89788 39.7986223618
89962 39.7986114802
90299 39.7985988988
90506 39.7985983138
90791 39.7985680370
90816 39.7985542937
90991 39.7985538407
91242 39.7985408098
91558 39.7985278261
91663 39.7985161939
91772 39.7985051521
91886 39.7984945443
91934 39.7984786646
92308 39.7984527350
92816 39.7984444987
92821 39.7984332453
93182 39.7984134373
93837 39.7984108773
93960 39.7984093074
94034 39.7983979561
94160 39.7983962269
94325 39.7983942252
94549 39.7983908561
94702 39.7983886222
94875 39.7983823035
95601 39.7983760308
96319 39.7983747062
96405 39.7983734127
96410 39.7983695916
96428 39.7983691875
96591 39.7983675469
96607 39.7983672065
96653 39.7983612424
97108 39.7983606440
97847 39.7983601048
98064 39.7983584807
98125 39.7983580801
98142 39.7983573862
98221 39.7983561327
98386 39.7983558793
98575 39.7983542865
99800 39.7983541364
99970 39.7983530491
100285 39.7983522800
100558 39.7983520121
100909 39.7983519091
101049 39.7983510373
101323 39.7983510345
101405 39.7983508052
101781 39.7983503622
101859 39.7983500243
102172 39.7983499209
102257 39.7983495446
102487 39.7983492572
103234 39.7983492399
103302 39.7983489471
103335 39.7983487966
103501 39.7983485621
104156 39.7983482279
104814 39.7983481540
104921 39.7983480453
105084 39.7983479949
105794 39.7983479519
105848 39.7983479169
105887 39.7983478816
105970 39.7983478687
105975 39.7983477919
106032 39.7983477408
106319 39.7983477266
106514 39.7983476812
106918 39.7983476804
106941 39.7983476343
107049 39.7983476174
107075 39.7983476118
107135 39.7983475754
107322 39.7983475388
107405 39.7983475352
107552 39.7983475330
107687 39.7983475186
107702 39.7983474635
107707 39.7983474474
108070 39.7983474454
108122 39.7983474169
108409 39.7983474037
108668 39.7983474028
108725 39.7983473939
108874 39.7983473859
108893 39.7983473723
108952 39.7983473621
109035 39.7983473345
109058 39.7983473286
109197 39.7983473248
109418 39.7983473211
109450 39.7983473117
109663 39.7983473098
109738 39.7983472923
109925 39.7983472884
110176 39.7983472797
110343 39.7983472733
110530 39.7983472723
110835 39.7983472716
110864 39.7983472629
110980 39.7983472609
111017 39.7983472529
111053 39.7983472503
111141 39.7983472402
111780 39.7983472356
111815 39.7983472293
112281 39.7983472272
112393 39.7983472212
112406 39.7983472048
112923 39.7983472037
113277 39.7983472033
113669 39.7983472024
113859 39.7983471980
113875 39.7983471954
114693 39.7983471936
114738 39.7983471921
114832 39.7983471907
114901 39.7983471891
115184 39.7983471866
116019 39.7983471850
116465 39.7983471838
116543 39.7983471835
116590 39.7983471826
116639 39.7983471820
116792 39.7983471812
116820 39.7983471796
117551 39.7983471793
117594 39.7983471787
117756 39.7983471787
117795 39.7983471756
118335 39.7983471749
118944 39.7983471743
118953 39.7983471742
119343 39.7983471733
119446 39.7983471732
120296 39.7983471729
120362 39.7983471727
120369 39.7983471726
120402 39.7983471722
121254 39.7983471719
121650 39.7983471715
122440 39.7983471715
122583 39.7983471711
122973 39.7983471710
124160 39.7983471709
124508 39.7983471709
124613 39.7983471707
124915 39.7983471707
125301 39.7983471706
125334 39.7983471706
125563 39.7983471706
125918 39.7983471705
126556 39.7983471705
126856 39.7983471705
127217 39.7983471705
127433 39.7983471705
127454 39.7983471704
127471 39.7983471704
127610 39.7983471704
127768 39.7983471704
127883 39.7983471704
128218 39.7983471704
128254 39.7983471704
128495 39.7983471704
128612 39.7983471704
129000 39.7983471704
129105 39.7983471704
129179 39.7983471704
129287 39.7983471703
129751 39.7983471703
130829 39.7983471703
130904 39.7983471703
130931 39.7983471703
131019 39.7983471703
131126 39.7983471703
131241 39.7983471703
131503 39.7983471703
131628 39.7983471703
131630 39.7983471703
132179 39.7983471703
132406 39.7983471703
132510 39.7983471703
132550 39.7983471703
132920 39.7983471703
133007 39.7983471703
133339 39.7983471703
133404 39.7983471703
133693 39.7983471703
133780 39.7983471703
134006 39.7983471703
134978 39.7983471703
135592 39.7983471703
135612 39.7983471703
135629 39.7983471703
135759 39.7983471703
135922 39.7983471703
135930 39.7983471703
136010 39.7983471703
136398 39.7983471703
136690 39.7983471703
136906 39.7983471703
136983 39.7983471703
137583 39.7983471703
137922 39.7983471703
138218 39.7983471703
138316 39.7983471703
138891 39.7983471703
138911 39.7983471703
138920 39.7983471703
139198 39.7983471703
139859 39.7983471703
140063 39.7983471703
140099 39.7983471703
140164 39.7983471703
140203 39.7983471703
140656 39.7983471703
141118 39.7983471703
141234 39.7983471703
141394 39.7983471703
142107 39.7983471703
142147 39.7983471703
142187 39.7983471703
142590 39.7983471703
142832 39.7983471703
143239 39.7983471703
143567 39.7983471703
143733 39.7983471703
143788 39.7983471703
143818 39.7983471703
145047 39.7983471703
145105 39.7983471703
146812 39.7983471703
147130 39.7983471703
147156 39.7983471703
147452 39.7983471703
147725 39.7983471703
148972 39.7983471703
149801 39.7983471703
151683 39.7983471703
151816 39.7983471703
154713 39.7983471703
157955 39.7983471703
159421 39.7983471703
161843 39.7983471703
196527 39.7983471703
400012 39.7983471703
evaluations raw_y
1 25764.2684670408
2 24905.1213448964
3 15284.2859314248
6 12947.9339378796
7 7665.1772728360
9 5801.6105250973
11 4274.4992855762
80 3376.9232496048
92 2900.8312626298
119 2106.2103467127
152 2570.4515641494
173 2591.0774911156
232 2624.7277901073
234 2281.4359091947
237 2433.2632408525
247 2406.5057999242
252 1957.6022789230
471 1887.4062316547
504 1841.4445320544
642 1796.6705933292
669 1735.5198850226
736 1726.6342302449
802 1535.7425474609
939 1287.1116300268
8404 1164.2616008005
8489 1105.6147997890
10683 1040.1876606889
10733 952.7992671322
11253 941.0291345879
11657 888.2074988375
11892 883.4544498608
12143 880.5529461142
12242 800.9416869456
13021 799.9803949177
13077 657.8771000552
14964 629.6503146070
15961 624.1099685733
16093 614.5170362720
16349 606.3824461070
16751 586.5470773867
16828 579.3279801727
17173 566.4897251032
17411 557.9859529144
17467 515.3382799554
17996 504.9912091648
18335 491.5109678654
18456 466.4682477149
19660 463.0659692088
19783 458.4879681897
20866 403.1251269571
23536 401.2164592470
23663 378.5239945923
23933 377.4302798526
24117 351.8341136432
24840 338.2335116494
25812 316.4960532792
30210 303.8007849352
31689 293.8598976034
32137 291.5292286557
32772 276.0853929894
33196 252.9029059095
39324 243.0650693722
39788 206.6760704805
42608 173.0015126815
44618 169.6235831104
44958 148.7549996311
45124 129.6475807183
45858 128.8443314690
46930 116.1891953711
48045 116.0983497348
48066 99.7751160511
48635 97.6441909526
48964 90.4323170256
49441 79.3179310905
49674 79.3123769533
50173 76.2405926005
50193 66.2530154779
51248 59.1386686240
51754 54.7096533541
52388 53.1867779314
52744 52.1221169880
53433 51.1501716063
53496 49.6335661801
53726 49.4091231867
53978 48.2487976254
53986 47.1860674261
54475 46.1961881675
54853 45.7300053060
55112 44.3307470852
55440 43.9583776411
55490 43.2871925163
55938 42.8674341150
55995 42.6524217140
56320 41.6104009025
56593 41.0732966891
57103 40.6176757948
57405 39.9638321777
58212 39.2071256427
58549 38.8396347103
59504 38.8027476215
60115 38.7792862028
60788 38.6858949164
60861 38.6023206785
60954 38.5935302970
60990 38.3433185597
