evaluations raw_y
1 1091466.7152750839
6 1039727.3703105873
12 588578.9853795361
18 578117.7954672338
26 574645.1372127335
27 404010.4291023689
38 69360.9016532681
167 65594.0379298288
172 35333.8589229472
225 32988.7645304587
274 18921.6634244880
412 1345.8956155416
10929 1176.5332066583
10989 1094.3643783776
18941 509051181233091.1250000000
evaluations raw_y
1 1095516.2271366252
3 1078800.9875320506
7 766174.0833367925
8 746936.3378749554
12 600403.2812179178
14 481871.2329546467
51 349834.3899025764
85 236126.6378359472
170 215472.3929329615
227 181699.4379867509
254 169485.6722972552
355 158666.3628856653
370 138920.8221145593
431 117550.2521433591
476 117220.4762780719
536 39189.3777033219
813 6907.0919002793
2382 6688.3082143859
11637 3639.2314243766
18926 239416453481680.5937500000
evaluations raw_y
1 2167541.8485698644
2 1854893.6666495614
5 1525373.9819312403
18 1507130.7991456601
24 1244732.8739413025
25 1018640.6227233941
83 676000.3888364296
87 652305.2655249155
170 610091.7555111053
185 571890.1475966605
192 528249.3147869570
285 519715.1013748845
315 427556.7885042955
358 322353.5442462584
361 177181.6616394040
539 145958.4364019939
564 137694.3865941479
565 110696.6723366888
712 84417.7336069186
746 60017.6289356491
1080 36123.7562817119
1247 35052.6798582398
1323 3566.1585033847
18834 531715006594812.3750000000
evaluations raw_y
1 1966552.8072282728
4 1909437.7269841740
5 1116694.8528803806
9 1063734.1846730888
15 827280.6478054832
29 582340.6844533893
33 578819.9159227037
41 577277.0313771783
52 480169.1061171499
70 329373.2864546535
75 299246.5418774857
202 291022.2505343212
213 250129.9510419976
230 231659.7241687341
280 212982.5748385235
297 156828.3613684584
366 108485.2808636828
614 66919.0539899114
674 59827.0640942698
1657 40733.2846651661
2151 19949.8654965872
2873 13835.6084764795
10759 11052.1828357965
10911 10817.4354312075
12141 8876.2469559792
19019 107480340342763.7656250000
evaluations raw_y
1 914028.1831672199
2 833574.0419349739
5 372738.8216979341
14 339944.4220310474
17 224806.4998563337
49 207443.5885632635
58 187646.6384600236
111 158267.1771136374
179 134800.6153146713
180 82134.2356204023
184 18246.4500277586
439 10585.6687957174
442 9917.8451141090
507 1678.9940037934
739 943.4354210606
19487 1210338.4988227105
evaluations raw_y
1 2629984.4321955689
2 2596738.6606546054
4 2385930.8937052684
5 2168558.3418817581
9 1935910.5600445913
15 1795487.7759096520
18 902921.2253608336
54 595028.9528707286
143 576222.6924899351
215 552870.8333426011
238 520025.0881901894
270 419835.6141900931
353 307332.7622975759
420 302318.8781999127
451 139613.7406375657
622 130825.4125899337
749 120870.1885880404
885 70822.6751433529
1111 23505.6851344830
1299 18245.1853462631
9736 3918.4057208660
19063 3736.0868579678
19130 930394.4337281099
evaluations raw_y
1 396956.6275017629
13 303438.5028496095
15 226301.6426015336
30 226295.5868401327
44 173181.3236308752
49 112532.7070538051
59 89246.6019062418
105 59615.6092528996
183 18527.7124815233
255 6930.8477845174
352 498.9139398566
19102 358662540970471.1875000000
evaluations raw_y
1 1820897.8395556605
3 1212664.2098874995
4 1174011.3048146183
11 1098996.0104781992
12 1006686.4588582738
15 1001319.3765988294
24 584087.0246950231
45 497119.6714046657
78 427986.6346064269
171 413685.7056751946
186 333307.4751170612
199 137069.9725794608
395 103536.0207452158
536 97956.8763116884
635 18199.0110373852
750 12972.3104814056
1141 1444.9432926613
18937 10761823902703.3222656250
evaluations raw_y
1 1092898.6348395224
2 893306.4533054889
4 638616.4749063976
6 583560.3562772260
9 403752.7008916512
18 349034.2164724187
30 249201.1387970934
44 230532.0213243991
54 159662.5523824405
56 81555.6190261168
66 65840.3363152695
180 60038.2252824346
369 7707.1850393096
585 3950.1036768414
789 1467.6781847175
1015 1004.6852348546
18500 690.3129804591
18658 454.8932653854
19245 18609.9258679200
evaluations raw_y
1 2675323.9451520927
2 2458040.2476978172
3 1408427.5602091537
5 1230089.8251322329
12 1139689.3406922112
17 1046540.0174585703
29 861126.7498728313
44 746604.6800562195
45 595744.7586260904
90 524767.3948210574
172 309105.6700494823
176 255540.1328773799
325 208404.1580347282
428 153108.8209908870
558 127042.3746912386
564 125820.3009034095
592 122200.1911254460
610 96046.8592740853
772 66390.1484118330
803 61673.0143917526
1261 35110.1188187602
1280 17987.1165928098
1371 9607.8559838846
2009 8805.8771472055
19106 3169.6242967805
19232 1244151.3661829152
evaluations raw_y
1 1173835.2507231783
2 1081756.5671946814
4 1022970.4948264811
12 682250.1378039689
31 584257.9956528709
39 579246.1794103977
46 417567.0939031527
50 335598.8777789981
67 308727.9071712538
176 301905.7502475322
177 251928.7844983860
182 187880.5183956602
192 124723.0467245206
355 122603.4742109401
369 109802.0338524485
415 64010.2380494407
682 63664.0328112382
687 40321.3947945044
762 22484.9426686715
973 7504.0612471603
1732 3721.0476139216
18860 2015.1949906747
19200 1091676.9309458972
evaluations raw_y
1 714127.5386943371
3 689819.8184904816
5 635704.6916665171
11 317451.2926223204
15 316600.2739096514
20 240119.0246763614
45 128662.4757693597
73 118388.9979774824
95 111769.5762358165
110 100705.5725100677
168 59951.9973119620
258 39112.5373776213
276 31481.8073327394
347 7474.7450517408
383 1238.3363557394
954 876.7829971716
983 764.6999901610
19208 316283.8712493574
evaluations raw_y
1 1248804.8658215313
2 1184385.8910184251
3 600727.5012293686
5 493793.5731265521
13 382502.2170156413
16 375516.7919530612
21 319960.3095728568
51 61719.1187337670
556 19111.9901836271
1059 7132.0515321417
1405 1972.2161906203
1590 1931.8239615731
1653 1715.1341417466
19004 142989875096341.2812500000
evaluations raw_y
1 1051405.2720954900
3 863067.8948876780
4 853234.5589618032
7 823603.4575224329
11 588045.1854800925
19 573297.8915328558
35 510958.5361828192
36 343261.0887115189
58 182379.4187367350
173 170207.2955414650
179 149593.0182052127
195 127709.0281117237
198 110098.1413885677
223 81344.8844901447
357 74761.1933954181
376 63513.5525424172
415 60498.2962096117
427 34035.3938684372
489 1875.0149727736
971 1254.7497408362
990 841.7322055747
19278 2835258.4502244829
evaluations raw_y
1 3012569.7133071092
2 1099578.8643361735
14 1066541.3088250936
19 584202.1490898045
69 567285.2466296278
73 480130.5433247659
138 443852.2267317835
178 315049.9569353689
207 200689.9536624628
380 112448.1194318824
1049 62280.6626723890
1193 23110.7020129219
1637 13058.7607201511
1670 4938.7116114110
18947 1984485.3199030992
