evaluations raw_y
1 34.6847935054
6 20.8539175355
7 1.7870875859
16 0.1166590065
237 0.0562893400
1120 0.0291647516
1462 0.0250174844
1725 0.0062543711
2073 0.0000000000
20097 0.0000000000
evaluations raw_y
1 137.3655271226
2 60.8858732106
4 19.5990844099
5 2.5001933980
9 1.6834980526
36 0.6009155901
73 0.5848961444
339 0.2693767590
630 0.0540824031
1120 0.0240366236
1285 0.0168349805
1939 0.0000000000
20082 0.0000000000
evaluations raw_y
1 47.7014443218
2 36.8833203864
3 17.8566436497
28 11.4217209519
29 2.6425120415
54 1.1612533262
291 1.0436188095
352 0.3836094924
409 0.2672123622
581 0.0264251204
1136 0.0153443797
1852 0.0038360949
2559 0.0000000000
20077 0.0000000000
evaluations raw_y
1 2413.9204866706
2 382.9765861715
3 96.0931733921
7 4.6515052584
49 0.5122905424
85 0.2279599107
273 0.1820324099
333 0.0910491065
417 0.0199675901
2846 0.0051229054
3463 0.0000000000
20176 0.0000000000
evaluations raw_y
1 448.7740929784
3 24.5730312974
8 17.0722306224
10 10.8895719615
14 5.2482943517
22 3.1778833104
40 0.7629821235
87 0.4839357534
172 0.2457303130
363 0.1171918942
630 0.0146982378
1120 0.0076298212
1521 0.0000000000
20105 0.0000000000
evaluations raw_y
1 118.5989270786
8 3.6063731742
11 0.6303766521
98 0.4949682067
115 0.3985836622
413 0.1605039404
548 0.0250913204
1959 0.0000000000
20094 0.0000000000
evaluations raw_y
1 343.8353768213
2 0.9553672675
9 0.9347662683
638 0.3328142896
719 0.0280991961
1838 0.0031221329
4237 0.0000000000
20077 0.0000000000
evaluations raw_y
1 149.5097365603
8 16.5603945231
11 0.6433095614
98 0.2869405778
326 0.1416040367
1167 0.0064330956
3566 0.0000000000
20173 0.0000000000
evaluations raw_y
1 560.6315608825
2 29.4648157549
11 15.2699659939
19 6.6500212377
41 4.3347817489
72 2.4383147337
110 2.0175557710
187 1.7253518425
336 0.2574438816
915 0.0514540853
1182 0.0000000000
20120 0.0000000000
evaluations raw_y
1 162.7182510812
7 157.1088166956
8 43.2047171928
11 10.8011792982
13 8.9817489188
20 2.8934308208
22 2.2750213367
25 1.2796995019
32 0.6898358453
42 0.5687553342
98 0.2824246932
325 0.1630424227
455 0.0998756893
919 0.0044972430
3816 0.0000000000
20057 0.0000000000
evaluations raw_y
1 14.2763190931
6 4.5326889328
14 3.5090706844
15 3.3831816320
16 0.3202245741
329 0.3199086666
472 0.2327635669
742 0.1427631909
810 0.0428091083
1400 0.0312590158
2895 0.0032022457
2971 0.0000000000
20072 0.0000000000
evaluations raw_y
1 169.0378604757
3 93.7399987889
4 37.7948494344
6 36.9466161669
10 13.3165900699
21 2.7461230520
41 1.6397153758
51 0.6865307630
242 0.5299521313
312 0.2408547134
428 0.1324880328
478 0.0163971538
631 0.0000000000
20135 0.0000000000
evaluations raw_y
1 1659.2163745383
2 294.4595250991
3 4.2913510104
7 0.7299779259
87 0.0376946250
1436 0.0000000000
20094 0.0000000000
evaluations raw_y
1 411.0794201903
2 198.9740697052
3 92.4926531962
19 78.4543779760
28 1.0033447360
111 0.6479235718
517 0.3625908260
1088 0.0145036330
4160 0.0000000000
20167 0.0000000000
evaluations raw_y
1 903.7022370343
2 41.0247706637
9 10.6811292302
11 2.5244997635
41 0.4749322750
529 0.0264000280
1521 0.0252449976
1725 0.0047493227
2682 0.0000000000
20079 0.0000000000
