evaluations raw_y
1 182830.9579285489
2 92793.0268570618
3 26306.5795959027
4 18683.2402431799
6 3755.9303837890
13 1515.2452636971
16 1231.0761501158
191 961.6269553765
194 842.3273534661
201 798.4941146926
693 787.1210457987
748 776.4042231282
768 769.2843931943
894 764.4223588144
941 754.2336309674
1019 732.1699427607
1173 706.4840868188
1352 680.9419138631
1552 678.4408531246
1586 665.0600967628
1611 657.7236321863
1613 646.6224571998
1909 638.4970107366
1914 636.2282192419
1922 631.0172018068
2439 630.5485224530
2451 630.4810829960
2452 629.7367682957
2453 629.5117028811
2454 628.7477797951
2458 628.5077284245
2459 627.9333066602
2461 627.8960159357
2475 627.7628042696
2478 627.6807667537
2482 627.0939998027
2486 627.0091946124
2488 626.8205723774
2489 626.1432496476
2497 625.7562451651
2502 625.5110643165
2506 624.7415240879
2508 624.6134196790
2510 624.5423056920
2513 624.4747201927
2519 624.2856440594
2521 623.2840118007
2573 622.8272086087
2576 622.4915961395
2577 621.6594706726
2579 620.0492426061
2584 618.6379814999
2588 618.0174644450
2589 616.1548231020
2598 616.1386427638
2639 615.7686159005
2643 614.1014199656
2696 613.8537774717
2698 613.6840474078
2699 612.8648013789
2701 610.7916522431
2774 610.2959572364
2775 609.4815433647
2780 608.9484015195
2786 608.3787832825
2793 607.6451944871
2796 607.2916104067
2839 605.5758181567
2842 604.6071048440
2843 603.6024590019
2846 603.3513479700
2863 602.7134446677
2870 601.8208010273
2893 601.4991850315
2895 600.9721398908
2897 600.6691195802
2916 600.0425245157
2919 600.0202955882
2920 599.8355034178
2967 599.6980623652
2970 599.6655712045
2972 599.5726652011
2976 599.5248089833
2982 599.3793968669
2984 599.3712918272
2986 599.2915244230
2987 599.0840073945
2990 599.0312812622
2992 598.8595078837
2993 598.8377593175
2996 598.6907057461
2997 598.6496818379
3000 598.6260881391
3011 598.4243942845
3014 598.3829090221
3016 598.2824913553
3021 598.1538398572
3024 598.0300787971
3025 597.8257608592
3027 597.6933521847
3030 597.5783545637
3042 597.2607137014
3043 597.1728199385
3047 596.8818372761
3050 596.6747708501
3051 596.4871830040
3054 596.4717252598
3070 596.3552565493
3071 595.9671471348
3074 595.7476856247
3089 595.7021994535
3090 595.6593147108
3091 595.6349868960
3115 595.5072947262
3120 595.4602015167
3126 595.3794582698
3132 595.2653859168
3158 595.2393372034
3160 595.0491834759
3162 594.9550489156
3164 594.8263573301
3165 594.7748306793
3167 594.5762395494
3168 594.5701462651
3170 594.4402993254
3172 594.3281737956
3178 594.1705922893
3184 593.9655917304
3192 593.9589167951
3193 593.8683343670
3195 593.7963778313
3197 593.6703963309
3199 593.6362416494
3200 593.5458197459
3201 593.3708692997
3204 593.1449723497
3206 593.0392838919
3208 592.9851475711
3209 592.8622302204
3211 592.5478689890
3214 592.3752845702
3215 592.3515277051
3219 592.3200247571
3222 592.2257644047
3224 591.9939001977
3226 591.7707243668
3236 591.6765866824
3239 591.5653368577
3241 591.4772765697
3254 591.3702786438
3256 591.1366892526
3258 591.0533287928
3259 590.8464275885
3262 590.5606775460
3305 590.5491959611
3309 590.4858159719
3325 590.4106825723
3343 590.3702860680
3354 590.3423098531
3356 590.1421665372
3357 590.1168658546
3359 590.0952414368
3360 590.0129389225
3361 589.9513651924
3363 589.8103423436
3365 589.8052025038
3366 589.7927662199
3367 589.7665466539
3368 589.5813979495
3369 589.4203272878
3382 589.4041911953
3383 589.3969498027
3394 589.3720204965
3415 589.3107194954
3417 589.1841894641
3420 589.0543467673
3421 588.9466467411
3430 588.8495875020
3431 588.8017354851
3435 588.7453392323
3437 588.5229798735
3439 588.5166134629
3441 588.2240535152
3443 588.1766730135
3444 588.0285550459
3445 588.0138250889
3447 587.6260726998
3451 587.5381277908
3453 587.3884265242
3462 587.1837063910
3465 587.0093216458
3469 586.7223934169
3535 586.6163355587
3539 586.3701994141
3541 585.9794855323
3544 585.8156014962
3545 585.7578756761
3549 585.6889332261
3565 585.2994166280
3568 585.2809170191
3569 585.2395100719
3570 585.2104151553
3571 585.1973118526
3585 585.0883166929
3588 585.0387074802
3595 584.9130212297
3598 584.6573308456
3599 584.5731496334
3600 584.4563535420
3602 584.4440530631
3603 584.3297313469
3604 584.3049672625
3606 584.2953760427
3607 584.1056244591
3614 584.0370750917
3619 583.8632348568
3628 583.8429760568
3630 583.7731243514
3632 583.6985867395
3641 583.6878871768
3642 583.6335299839
3643 583.6185528100
3644 583.5759855238
3645 583.2981012810
3649 583.0255056456
3653 582.8295174439
3671 582.8164153482
3674 582.8109045333
3695 582.7973222093
3697 582.7663458634
3701 582.7203018477
3706 582.5491137046
3707 582.4902507147
3709 582.2728892742
3711 582.2517125580
3712 582.2262477419
3716 582.2048134038
3722 582.0961395412
3724 582.0331832821
3725 581.9152443116
3726 581.8683762675
3761 581.8020620678
3764 581.7699452654
3765 581.5588991909
3767 581.3810130510
3769 581.3720843271
3770 581.2090409674
3779 581.1804654192
3781 581.0237342505
3783 580.9766157056
3784 580.9354520978
3786 580.7595245682
3797 580.7243218965
3800 580.6593428585
3802 580.4969991240
3806 580.4956845422
3807 580.4442982540
3808 580.3820371137
3836 580.1917578331
3854 580.1278069860
3855 580.1018193552
3856 579.8846537247
3860 579.7846042863
3861 579.7352440795
3866 579.7302145625
3868 579.4409695042
3870 579.2779583407
3872 579.1611284341
3873 578.7862165618
3883 578.7081743743
3885 578.6351097652
3888 578.4768544016
3889 578.3294856989
3891 578.0775072882
3898 578.0545702319
3899 578.0210505992
3901 577.9774885274
3903 577.9573102390
3905 577.9410883289
3906 577.8151986899
3912 577.6289021113
3933 577.6018853898
3935 577.5001149544
3938 577.4840364462
3940 577.4396400495
3942 577.3688314266
3944 577.1981365553
3946 577.0988010296
3953 577.0503466307
3956 576.9916829807
3958 576.9385729931
3959 576.8107213935
3961 576.7078933807
3979 576.6710832588
3981 576.6273448124
3983 576.5573202215
3985 576.4897389675
3987 576.3590716848
3992 576.3093809432
4002 576.2399465845
4003 576.2034137714
4006 576.1970309896
4008 576.1004480170
4009 576.0115246732
4035 575.9801653564
4037 575.9067205164
4040 575.8558600719
4044 575.8531501720
4046 575.7910915604
4047 575.7315060884
4048 575.6965338297
4050 575.6298899399
4051 575.5462142611
4053 575.4885126871
4056 575.4786585771
4060 575.4329633729
4061 575.3275239351
4068 575.3052347704
4071 575.2633979425
4072 575.2203369854
4073 575.1458542736
4076 575.1200874890
4077 575.0471230590
4079 575.0009158532
4080 574.9838083092
4082 574.9473554695
4089 574.9442571968
4094 574.8362840170
4108 574.8197511128
4109 574.7101783473
4115 574.5353633877
4118 574.4715736369
4119 574.4006568859
4121 574.3888849941
4122 574.3868847932
4124 574.3048061307
4126 574.2208485951
4128 574.1206570143
4132 574.1024799126
4133 574.0756887805
4134 574.0709362658
4135 573.9483655122
4137 573.8843573898
4139 573.8561077783
4142 573.7982462559
4144 573.7795112960
