evaluations raw_y
1 74.9331547713
9 72.8828412034
19 71.0062669997
59 69.2458357202
120 60.7686737940
344 60.5201720216
414 59.2189146528
416 58.4692242407
425 56.9022146096
432 56.5542373142
433 55.7400116077
434 53.9422419904
435 53.1670211958
436 53.1302208287
438 52.8975397086
439 50.4872909009
442 49.6605690298
445 49.5124595580
456 48.9066493656
457 48.8056699270
460 47.7229488506
461 47.6643581854
483 46.5759261972
485 44.5626623481
488 43.1472618670
492 41.3502320832
570 41.3381360339
574 41.3272126082
583 40.8196028087
585 40.6567441709
589 40.3075675276
592 40.2336271359
593 40.2223747523
594 40.0325908017
595 39.9373762122
608 39.8976229765
613 39.7853796145
616 39.6308391427
653 39.5360401975
656 39.4437305904
672 39.2612956135
674 39.2580829420
675 38.8984998701
677 38.8550950144
678 38.6579200919
684 38.5619272186
685 38.2715319317
687 38.2608744096
688 38.2580203417
690 38.0858924929
691 37.9180387289
694 37.8026265794
710 37.7915873572
711 37.7197202277
716 37.6599473543
726 37.6488655849
728 37.5732109798
734 37.5065389679
735 37.4892797068
738 37.4440775431
739 37.2600971396
742 37.2500701814
744 37.2452493894
746 37.2218499644
747 37.2203028619
748 37.2046085929
753 37.1621737240
754 37.1486588933
762 37.0969184901
763 37.0543243893
765 37.0085525235
767 36.9788337338
768 36.9039844036
769 36.8692621128
771 36.8332191568
776 36.8292178983
777 36.8292100879
778 36.7774127564
783 36.7037525751
805 36.6597697750
808 36.5940855884
838 36.4855825572
840 36.4253976718
842 36.2817456226
845 36.2297092423
847 35.9678848837
851 35.8710474525
858 35.8656914302
859 35.8523908852
863 35.8389925035
864 35.8228552408
868 35.7399780561
869 35.6759795684
873 35.6606928586
874 35.6392552237
875 35.6177762092
876 35.5713334440
884 35.5547419121
885 35.5119627677
886 35.4780911972
887 35.4401647479
888 35.4207122161
889 35.3792043255
897 35.3466923426
899 35.3300916194
903 35.3266411062
911 35.3038812409
920 35.2836277522
949 35.2630641811
951 35.2523022444
954 35.2429850155
955 35.2239185755
957 35.2070176210
964 35.2055323710
966 35.1912765756
968 35.1794667022
972 35.1735602900
989 35.1582551828
992 35.1056977444
994 35.1038907749
1007 35.0623302343
1016 35.0482503575
1017 35.0363524538
1020 34.9346333134
1024 34.8814148308
1026 34.8735681880
1029 34.8439685821
1037 34.8111853383
1038 34.8031805898
1040 34.7848805395
1045 34.7576929567
1048 34.6710850729
1056 34.6630202952
1057 34.6173840927
1066 34.5794978248
1070 34.5693075405
1129 34.5422519156
1131 34.5285887243
1132 34.4868034634
1133 34.4782524354
1143 34.4348860130
1153 34.4289191748
1156 34.4202263570
1159 34.3707832749
1168 34.3127608986
1195 34.2920381941
1198 34.2479193580
1204 34.1833605314
1205 34.1642383527
1209 34.0070459577
1214 33.9736278227
1217 33.9208011482
1220 33.9195888389
1221 33.8346704671
1231 33.7543675501
1238 33.7077477230
1299 33.6957986456
1304 33.6476553466
1306 33.6220280729
1310 33.5943201857
1311 33.5770821238
1374 33.5660290445
1375 33.5522523453
1378 33.5109054499
1382 33.4973434802
1425 33.4935582697
1427 33.4862327140
1429 33.4840301053
1430 33.4835692938
1471 33.4829613175
1478 33.4789953067
1480 33.4787678185
1500 33.4707361909
1508 33.4589934019
1513 33.4514415989
1515 33.4457960624
1518 33.4448965362
1519 33.4424527938
1526 33.4367455373
1527 33.4364131295
1528 33.4293320295
1529 33.4258320119
1531 33.4257195555
1532 33.4214538162
1536 33.4164710809
1537 33.4053978447
1539 33.4002369877
1542 33.3998942312
1544 33.3972478465
1545 33.3884118205
1547 33.3843082660
1551 33.3822843643
1556 33.3780802626
1557 33.3767196783
1558 33.3723054131
1569 33.3652406223
1574 33.3629655787
