evaluations raw_y
1 1015915.8625566077
3 808271.0917574572
5 505999.3671213373
6 311525.0525210686
267 278794.6300388935
269 239800.7150943697
271 221884.3622065673
273 214842.0896586473
274 211919.4119804708
278 158949.5815353480
279 151283.5852470932
280 147125.9781932046
337 126471.2160380782
347 119079.2220344303
352 107206.5139011078
354 104244.0297918364
356 101859.2070413568
357 98529.9386483043
360 86614.0202421458
382 80407.0571303661
407 78144.7320470037
408 72340.9323255460
411 71718.5985409498
412 63661.9746306763
413 61847.0298899228
417 58700.7199302101
420 51585.6005225387
423 50254.1956238724
427 50025.0591433926
435 44052.0708026145
497 39753.8773456497
500 37188.2890332075
503 36350.1541737185
514 33742.8023605502
515 32478.6060648556
518 30688.1878485469
519 30132.0778002178
536 26411.9102141435
538 26293.7684065125
541 25169.9510681802
546 24769.9766814718
547 21361.5831378626
570 21189.9589505138
571 20047.3187587388
612 19866.5194712824
613 19829.2584685671
643 18233.7159248825
655 17673.2087669503
657 16140.8684176709
659 15964.7778423983
660 15511.9306303209
669 15451.1019191171
700 15279.4267427773
702 14627.0022323149
707 14621.3687371728
725 14156.8153691843
732 13705.3907106375
733 13408.1982430859
735 12986.7550281667
737 12318.5951531913
739 11908.6417570330
745 11486.8471439315
759 11325.5738060070
765 11324.6611582455
766 11191.6007238651
768 11023.7987253193
769 10928.3871192820
771 10743.7672650082
795 10657.3299094304
807 10633.5978469155
811 10617.2531559734
813 10346.5578173568
816 10270.1263639161
823 10164.9102294995
838 10132.8918578886
840 10028.3245598321
841 9994.6863932357
844 9917.1033049597
848 9834.1699798108
850 9825.8490624661
856 9756.9991032862
861 9721.2068084781
864 9633.3582049766
866 9538.9440522590
867 9379.4212576763
871 9374.9960900472
872 9374.9850949711
883 9295.5427075741
886 9252.6037075653
887 9038.9479307196
889 8988.6554265106
893 8981.6027615983
901 8962.9926501939
903 8900.1532570254
905 8875.0749037512
906 8794.6818953587
922 8789.7196077492
923 8782.6510753656
925 8741.1047831758
928 8679.2711722818
929 8569.6727224191
933 8461.6643909223
939 8418.9796832402
942 8345.4723012371
944 8153.0850978618
947 8050.7857430145
950 7962.0164214420
960 7955.6458650091
961 7836.2699823679
963 7807.6518527991
966 7729.5495758438
971 7679.6610459074
1011 7624.8118849310
1013 7497.9320504994
1016 7311.5185927594
1018 7164.4991750620
1020 7147.9900157218
1023 7144.4980973599
1024 7072.8941400850
1039 7065.1866074526
1043 7016.1347770334
1045 6931.0665541798
1046 6867.3342265970
1048 6846.9316507456
1060 6783.7191161789
1062 6751.9587586064
1078 6740.0484952252
1080 6673.4596508128
1082 6649.9743967191
1084 6570.9129930854
1087 6505.9416554929
1094 6499.2212950689
1095 6459.0741575253
1099 6432.9767501283
1100 6412.9405008059
1103 6329.6398276189
1112 6293.5348918629
1118 6248.0784904757
1122 6168.5361461870
1123 6145.7972107418
1125 6076.8531428122
1127 6070.6847635937
1129 6053.9784820645
1131 5918.2746640629
1139 5903.2549257621
1140 5844.0274825306
1142 5826.3920791374
1143 5750.0212547840
1148 5692.8534553291
1150 5668.7547537647
1151 5665.6114721051
1154 5624.5209105707
1159 5567.4860469805
1164 5452.6125419260
1166 5309.7016115243
1177 5300.7669299232
1178 5202.8709079226
1183 5160.8707140513
1187 5139.9500321209
1189 5054.2524183346
1198 5053.2169292373
1200 4946.3500580197
1208 4942.4212700732
1209 4853.4202578652
1222 4792.0124118926
1234 4766.1169343352
1236 4703.9471389972
1239 4660.5673546244
1243 4639.1534545984
1246 4627.8815425348
1249 4606.3906565672
1256 4564.4768299278
1257 4532.3363694842
1258 4513.8030761004
1260 4445.7344287409
1262 4390.6605945157
1263 4387.5216130050
1265 4243.2672646958
1268 4199.9840077523
1281 4182.3010405337
1284 4117.5774361936
1285 4074.6117185927
1314 4007.2945949344
1342 3909.1482764051
1344 3859.8846184046
1345 3793.6385501658
1347 3708.6915026329
1351 3665.9902107583
1355 3543.8315792586
1363 3440.0580367991
1376 3439.6538555022
1378 3412.9883385526
1408 3393.7643566663
1411 3356.5112289600
1414 3262.0333547016
1415 3260.8472056458
1445 3215.3039857804
1447 3204.3277666915
1454 3182.2116734007
1463 3076.9983823257
1469 3010.2925020398
1471 2993.7571577680
1483 2993.4782358204
1486 2967.0576115945
1502 2963.6855217067
1503 2959.7642584470
1510 2945.5833435209
1511 2925.3348334052
1512 2897.6360505640
1520 2893.1577796237
1521 2880.4521976050
1522 2832.1903194244
1524 2790.0234156111
1525 2789.3815055526
1559 2759.3407374551
1568 2754.2274277291
1569 2729.2542497298
1571 2650.1261328939
1573 2563.8866263404
1576 2500.4932050233
1578 2424.3702105812
1579 2396.1388306544
1582 2390.8599302329
1584 2379.7980252541
1592 2377.6039499712
1593 2355.2522326005
