evaluations raw_y
1 35.8201956791
2 22.0022953386
4 14.3147774567
16 10.6016284439
22 7.2824189675
27 6.1748810435
48 5.3909430711
66 3.5953065623
82 1.9228538919
278 1.5549340682
321 1.1919649135
332 1.1874341326
367 1.1853374302
374 1.1375842086
381 1.1336403847
396 1.1271856022
407 1.1243398492
420 1.1186837305
438 1.1173609892
441 1.1151037019
466 1.1131564879
470 1.1118273104
677 1.1127576443
evaluations raw_y
1 19.0160152627
10 12.2761696754
18 9.7957778011
65 5.1711805847
160 3.8417017479
296 2.9286680438
391 2.4378613126
434 1.8799933029
451 1.5226965635
509 1.4591035906
563 1.4590692766
943 1.4613767112
evaluations raw_y
1 54.4849072333
2 46.6097700307
3 14.4526258647
5 10.7061481103
341 40.9150851065
evaluations raw_y
1 24.8068853072
2 9.1471914407
5 6.5222478486
23 5.2607153545
33 5.2530101805
66 1.4359556016
337 44.8006480832
evaluations raw_y
1 28.7029570403
5 14.1176338734
9 15.8452915566
11 10.9009535225
46 11.2679293691
57 3.3822555527
337 14.4257511371
evaluations raw_y
1 5.2929146982
16 3.7776367416
363 48.1106150225
evaluations raw_y
1 12.7574509212
3 9.7412009400
5 7.6728958160
75 5.0615402947
109 4.8213178412
183 2.9210302491
198 2.4796646275
219 2.1733714470
261 1.7591049206
270 1.4480355475
282 1.3476532109
1379 1.7992994998
evaluations raw_y
1 32.5201590659
2 14.8913686182
34 12.3617508636
38 1.9015545570
411 31.2687520906
evaluations raw_y
1 36.7575368960
2 6.0741709822
98 5.7072281217
103 3.8587958386
204 2.3283043773
355 2.7082176998
399 2.3610059214
581 35.0317070558
evaluations raw_y
1 27.8050713817
2 19.3351714479
9 9.7138090512
34 4.7644728428
156 3.3284603131
172 2.5135026592
195 1.4659836087
201 1.1798108416
241 1.0791494960
243 1.0326277579
251 1.0141438071
257 0.9966801875
269 0.9829653190
274 0.9742978381
290 0.9721120685
292 0.9716914961
294 0.9696522583
297 0.9665746532
300 0.9628633847
302 0.9619059284
304 0.9618594670
305 0.9577258771
308 0.9541438543
316 0.9540206326
317 0.9517091593
359 0.9515860480
430 0.9510429126
433 0.9508178755
442 0.9508102976
463 0.9505877847
489 0.9504373900
504 0.9503975116
550 0.9503953187
555 0.9503542461
559 0.9503193830
568 0.9503025736
596 0.9502966187
598 0.9502746350
620 0.9502398371
627 0.9502297583
628 0.9501819828
632 0.9501519855
654 0.9501480273
657 0.9501459478
659 0.9500900056
661 0.9500712087
663 0.9500353088
681 0.9500271579
737 0.9500633416
evaluations raw_y
1 47.5368987490
2 25.9789627601
4 4.6405518725
9 3.2429655733
777 2.9951550067
evaluations raw_y
1 38.5050297014
2 25.0730389408
4 13.0025976904
9 11.3106959157
20 9.8559309964
21 7.3324462416
24 3.1311906278
62 1.9340426569
359 53.8579799099
evaluations raw_y
1 18.3616673395
2 4.3643525813
59 3.8426444727
915 1.2687401751
evaluations raw_y
1 25.7597200141
2 7.9383324708
3 9.7033809408
29 7.8994536894
71 3.0659885130
1161 7.7850215636
evaluations raw_y
1 55.3247787669
2 33.5725058842
3 9.9158103821
6 4.8309870170
187 4.0758283860
205 2.8073070405
1135 6.8460180059
