evaluations raw_y
1 59.8897675676
8 10.8799791812
12 7.8659695060
21 7.3173913363
24 5.6614387334
25 2.2898293697
105 2.1808866561
106 2.1548058503
108 2.0918639895
110 1.9706300163
112 1.7421986956
115 1.4929868443
118 0.7140913549
131 0.6505959886
133 0.5597859092
138 0.3626149581
139 0.0874377017
157 0.0607366090
163 0.0487586114
175 0.0442787011
178 0.0300877806
179 0.0025168893
194 0.0022411134
208 0.0022166320
209 0.0021219480
238 0.0020912319
243 0.0020784205
245 0.0020696530
248 0.0020216100
249 0.0019872335
250 0.0019673231
262 0.0018454208
264 0.0018251412
266 0.0016574529
267 0.0016463477
277 0.0016068424
282 0.0015347657
619 0.0015347573
621 0.0015344011
624 0.0015343799
627 0.0015339626
630 0.0015333476
634 0.0015324477
636 0.0015320543
638 0.0015310017
639 0.0015302582
640 0.0015291291
642 0.0015271369
646 0.0015255922
647 0.0015253944
649 0.0015247101
662 0.0015244065
663 0.0015242759
666 0.0015239681
667 0.0015234448
671 0.0015232854
673 0.0015225929
678 0.0015220893
679 0.0015217516
681 0.0015216059
683 0.0015212870
689 0.0015210401
700 0.0015207142
701 0.0015207138
702 0.0015206477
704 0.0015206066
705 0.0015203629
708 0.0015201532
709 0.0015199350
744 0.0015199026
745 0.0015198298
747 0.0015197542
749 0.0015197276
751 0.0015195778
754 0.0015195032
755 0.0015193831
758 0.0015192602
761 0.0015192069
762 0.0015191470
764 0.0015187409
765 0.0015183293
779 0.0015182147
784 0.0015178882
785 0.0015172218
791 0.0015169642
795 0.0015164685
798 0.0015162057
799 0.0015157567
803 0.0015151695
805 0.0015149185
808 0.0015147596
809 0.0015147486
815 0.0015145610
819 0.0015144424
820 0.0015143320
821 0.0015139245
824 0.0015136859
827 0.0015131726
828 0.0015130180
836 0.0015130006
837 0.0015129518
840 0.0015129223
841 0.0015128316
842 0.0015128137
843 0.0015127361
844 0.0015127339
845 0.0015123300
847 0.0015122707
849 0.0015121164
854 0.0015119939
858 0.0015122548
evaluations raw_y
1 6.9109687205
2 3.6123000574
22 3.3681486023
24 3.1584898205
25 2.0693719893
27 1.5193266347
29 1.2346513088
30 0.3483288959
34 0.2428212083
75 0.1705772661
81 0.1000081221
83 0.0667903688
86 0.0569298905
129 0.0546126728
130 0.0530759978
135 0.0522255959
137 0.0488506990
140 0.0462865244
142 0.0403382674
144 0.0346909067
148 0.0320749781
150 0.0293292063
156 0.0274233778
158 0.0242670831
159 0.0221261153
161 0.0200921894
164 0.0178026066
165 0.0171395986
172 0.0162610240
173 0.0157640338
174 0.0149882756
175 0.0127771245
180 0.0113148552
182 0.0111224296
217 0.0109439902
221 0.0108107925
224 0.0108072255
228 0.0103370532
229 0.0101816144
231 0.0101353124
241 0.0100464663
244 0.0096710009
246 0.0090973875
248 0.0090459356
249 0.0084906922
251 0.0081988494
254 0.0075935627
255 0.0073604297
257 0.0071631475
262 0.0071131582
263 0.0066925814
265 0.0055970008
274 0.0055505754
277 0.0054171900
279 0.0052196571
281 0.0050953562
282 0.0049336828
285 0.0049334260
287 0.0049174874
292 0.0048226767
293 0.0047876013
294 0.0046795512
296 0.0045280933
297 0.0045040846
300 0.0042048438
301 0.0039352356
304 0.0034426164
305 0.0032110373
310 0.0031808124
315 0.0031620723
317 0.0029239639
319 0.0026265987
321 0.0022714180
324 0.0021398715
330 0.0013492641
335 0.0011805718
337 0.0007542310
421 0.0006656209
422 0.0006512531
424 0.0005037553
425 0.0004829213
430 0.0002474084
431 0.0002276234
438 0.0001624004
447 0.0001461977
454 0.0000612851
513 0.0000554833
515 0.0000415433
518 0.0000271401
