evaluations raw_y
1 1513.3371470504
2 1445.8144615013
5 1412.7184087049
348 1398.5845179248
355 1384.4889146718
358 1382.8599754664
361 1357.1325235864
363 1348.3874839081
371 1336.0604619616
374 1333.0402978348
376 1330.6164438092
383 1327.9598881301
385 1327.7820377579
386 1317.7365587350
398 1312.5683499057
556 1309.1278021794
559 1308.0530290515
561 1306.8984090003
563 1299.6497159205
566 1294.3557227389
580 1292.1650077976
581 1291.5044621168
582 1287.7511549562
583 1284.6331048034
597 1284.0389933822
601 1282.9901643453
606 1282.9485237363
608 1282.9234311336
613 1281.1671160716
617 1280.2756319306
694 1280.1523720682
696 1278.1612300317
697 1277.5043808358
707 1275.5657746233
716 1275.0418450308
718 1274.0253368795
719 1273.7831883949
723 1271.9088007194
727 1271.1594291936
729 1268.9655156214
732 1267.6595796468
735 1266.8550201565
739 1266.7708085063
741 1266.2476594442
754 1265.4043237927
774 1265.1952588459
775 1264.9545560126
777 1263.1844925172
780 1262.8054831068
781 1262.4932869964
804 1261.7123146921
805 1261.5911182279
807 1260.4994266254
812 1260.3367180063
813 1260.2346692555
815 1259.4628689710
822 1259.1736959163
823 1258.9244106286
825 1258.5206772328
828 1257.3643601888
830 1255.7109257325
832 1254.5530497310
841 1254.1002226024
843 1253.4995524095
844 1253.4819635468
851 1253.0401831009
857 1252.0232074391
859 1250.6544630708
862 1250.2066368517
863 1248.9398073031
865 1248.4532588122
868 1246.9380624906
869 1246.1596283484
871 1245.4426337759
876 1245.2579771848
881 1245.1116633265
899 1244.8729386606
901 1243.9773997065
905 1243.1180032322
916 1242.8433767567
917 1241.4059483769
919 1240.9606139608
923 1240.7161416257
924 1239.4777452652
926 1238.9794639623
930 1238.8705773016
932 1238.5469186059
933 1238.0918831769
934 1237.8243273385
935 1236.9853585736
936 1236.8550275778
938 1236.5768157642
941 1235.6842542110
947 1235.6766481823
949 1235.2834544674
950 1234.6747465499
952 1234.3635054990
953 1233.8801819783
954 1233.5241709493
959 1232.9658333630
965 1232.0569794491
970 1231.6820971182
974 1231.3848929783
