evaluations raw_y
1 79.7567340309
2 78.4611163606
3 67.9473240065
6 60.2742612220
15 38.5514238471
48 11.2406322129
272 3.0411285062
706 2.7811928271
1173 1.7902501519
1915 1.7766772830
1920 1.3901086163
2145 0.5177074419
2306 0.4348355918
2433 0.3323774420
2458 0.1477620387
2631 0.0577457705
3309 0.0463952788
3439 0.0236147545
3521 0.0167495809
3639 0.0107358177
3800 0.0023001188
4040 0.0003127187
4325 0.0001794374
4804 0.0000961748
4892 0.0000923777
5188 0.0000189541
5427 0.0000134848
5597 0.0000030976
5917 0.0000019857
6004 0.0000005899
6482 0.0000003279
6794 0.0000002774
7062 0.0000000215
7840 0.0000000208
7950 0.0000000184
8015 0.0000000128
8110 0.0000000119
8146 0.0000000038
8195 0.0000000032
8235 0.0000000028
8305 0.0000000026
8368 0.0000000006
8551 0.0000000006
8881 0.0000000004
8919 0.0000000002
8977 0.0000000001
9427 0.0000000000
9873 0.0000000000
10368 0.0000000000
11384 0.0000000000
11741 0.0000000000
13224 0.0000000000
evaluations raw_y
1 81.6015056118
2 72.0230131590
3 67.3718554301
5 41.8907046236
8 34.9172572176
16 34.2394247948
41 31.4500025122
53 19.3450610142
106 19.3407237113
112 8.9380758536
486 6.6616989559
627 2.2255527773
937 2.1265532212
1536 0.5229123897
2945 0.3375465287
25450 1.2452555353
evaluations raw_y
1 86.0575676496
2 61.2061216217
14 37.4878071058
18 32.6216166306
38 23.8169260647
80 20.7085613965
96 18.7044087403
98 12.1181198343
230 8.0974857017
1185 7.4160015964
1298 5.5137345501
1716 5.0789716323
2196 3.2970098444
2617 2.9057695988
3227 2.0566275469
3443 2.0359181818
4001 2.0025434021
4032 1.9782782559
4536 1.9101002135
4762 1.8926910392
4969 1.8670024246
5326 1.8523285472
5460 1.8283812324
5863 1.8164808976
6048 1.8087640484
6719 1.8087280959
7008 1.8065825427
7082 1.8058505917
7204 1.8054264218
7236 1.8050625845
7644 1.8044327606
7681 1.8041953227
7969 1.8039915231
8090 1.8037134886
8149 1.8033961610
8663 1.8033047229
8727 1.8031897009
8922 1.8031545372
9496 1.8031509341
9507 1.8031108138
9810 1.8030268743
11213 1.8030235671
11558 1.8030196747
12847 1.8030195229
12868 1.8030194759
13630 1.8030194735
13853 1.8030194686
13890 1.8030194445
13934 1.8030194160
14189 1.8030194054
14203 1.8030194001
15135 1.8030193962
15168 1.8030193910
15193 1.8030193879
15275 1.8030193856
15490 1.8030193848
15637 1.8030193839
15715 1.8030193794
16733 1.8030193786
16880 1.8030193782
17534 1.8030193782
17580 1.8030193782
17776 1.8030193781
17923 1.8030193781
17928 1.8030193779
18201 1.8030193779
19123 1.8030193778
19159 1.8030193778
19532 1.8030193778
19552 1.8030193778
19849 1.8030193778
20084 1.8030193778
20124 1.8030193778
20177 1.8030193778
20777 1.8030193778
20793 1.8030193778
20854 1.8030193778
20994 1.8030193778
21285 1.8030193778
21487 1.8030193778
21517 1.8030193778
21585 1.8030193778
21703 1.8030193778
21774 1.8030193778
21791 1.8030193778
21885 1.8030193778
21968 1.8030193778
21989 1.8030193778
22177 1.8030193778
22282 1.8030193778
22297 1.8030193778
22675 1.8030193778
23119 1.8030193778
25228 1.8030193778
evaluations raw_y
1 71.3438220066
3 67.6623474157
4 66.9234171164
8 65.0132587194
9 44.4531467922
10 19.9265901415
19 13.6625123767
101 5.9495506539
2123 5.5248169998
2347 4.0190294463
2442 2.5529730534
3462 2.4858227160
3486 2.4608979488
3562 2.3722962382
3700 2.0461567704
3873 2.0180045453
5161 2.0113125322
5416 2.0097719012
5498 2.0060599941
5763 2.0048521297
6038 2.0023445182
6205 2.0014353457
6422 2.0003405061
6590 2.0001616671
7370 1.9998567368
7495 1.9998531442
7693 1.9997375979
7723 1.9996483605
7922 1.9996202836
7979 1.9996035138
8101 1.9995186397
8110 1.9994144385
8969 1.9994033717
9299 1.9993994948
9700 1.9993994563
9932 1.9993960898
9983 1.9993930950
10062 1.9993899134
10497 1.9993894548
10735 1.9993870452
10933 1.9993851906
11863 1.9993851330
12188 1.9993851203
12622 1.9993849136
13654 1.9993849103
13883 1.9993849100
14040 1.9993849043
14156 1.9993849007
14269 1.9993849005
14320 1.9993849005
14483 1.9993848978
14574 1.9993848888
14946 1.9993848888
15045 1.9993848882
15159 1.9993848848
15244 1.9993848838
15578 1.9993848838
16149 1.9993848831
16913 1.9993848830
17371 1.9993848829
17609 1.9993848829
18063 1.9993848829
18424 1.9993848829
18651 1.9993848829
18707 1.9993848829
19264 1.9993848829
19303 1.9993848829
19801 1.9993848829
19882 1.9993848829
20016 1.9993848829
20279 1.9993848829
20350 1.9993848829
20681 1.9993848829
20761 1.9993848829
20773 1.9993848829
21031 1.9993848829
21175 1.9993848829
21691 1.9993848829
23248 1.9993848829
evaluations raw_y
1 74.5624092363
3 15.9181335594
16 8.0795226294
59 7.8114222464
206 5.7657523018
691 2.1762786603
2004 2.0837235284
2076 1.4500270900
2893 1.3827357004
3178 1.2099145153
3551 1.1370040509
3853 1.1306392973
3890 1.1102588836
4096 1.0329486602
4261 1.0254070954
4483 1.0209213215
4676 0.9708369928
4786 0.9524317314
5315 0.9388802194
5852 0.9383071402
5914 0.9354690300
5982 0.9336830279
6086 0.9334114958
6104 0.9323183447
6405 0.9314257141
7000 0.9309279547
7498 0.9308151693
7506 0.9305803408
7572 0.9303426022
7747 0.9302489518
7971 0.9301823100
8061 0.9301144372
8500 0.9300708464
8635 0.9300648464
8815 0.9300607574
8876 0.9300529522
9127 0.9300061127
9679 0.9300049782
10138 0.9300048477
10177 0.9300041997
10344 0.9300015919
10422 0.9300008987
10571 0.9299979852
12102 0.9299979695
12140 0.9299974576
13423 0.9299974322
13778 0.9299974281
13836 0.9299974195
14018 0.9299974168
14028 0.9299974029
14293 0.9299974014
14415 0.9299974009
14597 0.9299973981
14619 0.9299973927
14744 0.9299973922
15232 0.9299973921
15484 0.9299973911
15959 0.9299973911
15989 0.9299973910
16000 0.9299973904
16208 0.9299973903
16262 0.9299973900
16266 0.9299973900
16294 0.9299973896
16914 0.9299973895
17041 0.9299973894
17381 0.9299973894
17415 0.9299973894
17597 0.9299973893
17645 0.9299973893
18135 0.9299973893
18345 0.9299973893
18425 0.9299973893
18741 0.9299973893
19317 0.9299973893
19407 0.9299973893
19685 0.9299973893
19691 0.9299973893
21093 0.9299973893
21675 0.9299973893
21790 0.9299973893
21864 0.9299973893
22422 0.9299973893
23326 0.9299973893
24766 0.9299973893
evaluations raw_y
1 69.4409809373
2 41.9407006965
6 41.8147053200
11 17.8202542226
