evaluations raw_y
1 193969439.1338445842
11 188456205.8195611238
19 165078458.3059925139
43 121857348.3181161284
66 103355213.6865978539
67 100155893.3531144559
75 87957697.4698912799
157 47436222.5120825544
213 28334871.7617774755
248 17754629.5527236909
1568 16728398.6882194672
1979 16633587.0910401028
2043 15939110.5759292655
2122 15044011.2915262729
2159 9046232.2165873218
2323 7146912.0285291700
2473 5336448.8613508157
3019 3707767.7493566112
3334 3533347.0426745601
3453 3107433.4741148734
3476 1825247.7217037850
3520 1719826.6406361500
3850 1621148.3966834750
3897 1226395.2934901407
3935 656582.5747053988
4785 454990.0632281780
4797 308314.2627168259
5018 286277.5725474171
5250 82372.9291430524
5839 66787.7898660725
6072 63023.0314452556
6271 53266.0485980777
6402 44343.3395628364
6441 39084.3741199533
6483 31779.9262374351
6606 14615.9840666123
6694 14342.8552339086
7453 14317.3699487003
7467 11668.3134311591
7473 8596.0862497059
7504 8162.5068946757
7718 6417.2260723324
7863 4702.1018946690
7973 4676.2237121260
8001 3114.6315161879
8076 2516.5162473071
8538 2043.3650329613
8569 1208.8219612730
8761 898.6771187722
9127 846.4436038481
9147 501.0220917974
9530 443.6743158060
9650 263.5969731075
9772 222.7276997586
9964 180.9528557349
10166 165.3974108167
10301 140.2841744560
10543 122.1829970672
10628 79.4416175344
10801 46.8933043966
11199 34.2959531583
11454 27.0566253582
11600 23.6591981457
11638 12.7305955338
12031 10.3685689553
12419 9.9578697821
12551 7.0828603744
12558 6.6801933224
12872 3.6105737778
12908 3.0479846588
12920 2.6561136779
13181 2.2228675365
13649 2.0742422522
13697 1.7339936676
13875 1.6420937917
13931 0.6483274318
14413 0.5778995125
14648 0.5309861888
14657 0.3310460517
14689 0.3009338846
14842 0.2802664349
14936 0.2273544253
15051 0.2030254247
15065 0.1625101455
15399 0.1622657836
15404 0.1586533311
15465 0.1489830616
15492 0.1479343360
15512 0.1382587520
15543 0.0943760868
15600 0.0879859032
15681 0.0766387871
15739 0.0541106031
15893 0.0208267377
16498 0.0202251577
16748 0.0189966347
16850 0.0138910247
16867 0.0133221076
17233 0.0119035611
17249 0.0076376778
17417 0.0067507475
17811 0.0055402719
18050 0.0047915029
18121 0.0041670946
18385 0.0039693180
18442 0.0038117908
18517 0.0031787191
18843 0.0030562532
19334 0.0030560918
19464 0.0030248670
19516 0.0029289233
19613 0.0028567739
19674 0.0027409445
19750 0.0026319040
19906 0.0026219179
19990 0.0026036807
20154 0.0025780930
20265 0.0025368810
20485 0.0025292115
20555 0.0024846980
20817 0.0024783940
21058 0.0024682867
21266 0.0024675271
21296 0.0024667178
21329 0.0024612861
21481 0.0024560281
21720 0.0024559132
21743 0.0024552082
21945 0.0024544308
21955 0.0024543131
22045 0.0024508700
22095 0.0024471792
22179 0.0024469865
22236 0.0024458773
22617 0.0024458358
22676 0.0024446934
22700 0.0024442476
22776 0.0024432198
22874 0.0024427780
22888 0.0024419233
23083 0.0024409002
23438 0.0024390749
23575 0.0024347629
23775 0.0024340837
24087 0.0024334983
24122 0.0024303844
24260 0.0024299961
24581 0.0024189478
24885 0.0024178729
24931 0.0024098779
25071 0.0024004098
25100 0.0024002707
25285 0.0023921774
25570 0.0023747166
25945 0.0023547687
26437 0.0023325784
26470 0.0022822541
26744 0.0022773728
26871 0.0022253646
27224 0.0021745481
27247 0.0020530963
27745 0.0019837060
28541 0.0017578794
28583 0.0016982077
28810 0.0016381395
29384 0.0015907676
29477 0.0015252229
29541 0.0013995584
29789 0.0013466538
30185 0.0012612806
30329 0.0012175966
30496 0.0011328722
30701 0.0010642453
31082 0.0010620749
31149 0.0009747638
31370 0.0009582963
31393 0.0009563416
31481 0.0009481008
31529 0.0009365049
31641 0.0008551690
31749 0.0008230949
31773 0.0007965283
31959 0.0007949791
32098 0.0007251615
32100 0.0006988871
32659 0.0006879469
32781 0.0006868794
32801 0.0006374954
32844 0.0006015864
32949 0.0005931337
33346 0.0005814766
33508 0.0005201696
33826 0.0005174228
34107 0.0004663382
34357 0.0004173014
34730 0.0004104928
34791 0.0004096448
34829 0.0004022228
34831 0.0003497459
35315 0.0003374009
35915 0.0003114824
36177 0.0003091413
36247 0.0002806104
36642 0.0002571899
36789 0.0002448631
37085 0.0002338708
37221 0.0002336285
37452 0.0002227637
37484 0.0002043986
37487 0.0002002834
37654 0.0001504895
38757 0.0001488025
38768 0.0001472080
39060 0.0001381869
39167 0.0001331501
39414 0.0001272920
39503 0.0001248021
39680 0.0001123254
40058 0.0001118489
40059 0.0001081225
40142 0.0000965500
40350 0.0000824901
40358 0.0000823119
41192 0.0000792944
41229 0.0000791323
41292 0.0000694164
41340 0.0000573729
42039 0.0000538649
42559 0.0000470452
42618 0.0000447003
42887 0.0000375617
43788 0.0000370015
43921 0.0000320423
44349 0.0000309051
