evaluations raw_y
1 3384.9306081048
2 2783.3326508872
6 2648.5611848458
10 2047.6620257627
15 1824.5274198044
60 1240.4724513048
75 923.2502516303
149 851.1782470948
156 616.0532405160
159 314.6516299475
255 296.0231797571
694 277.0818254946
772 239.1304945903
1019 227.9230437619
1802 211.5189642410
1821 210.6973744015
1824 204.6445075486
2074 131.9412466341
2471 129.1066144137
2519 106.1366236837
2520 66.6939680470
2535 55.3003326839
2557 30.1464857165
2930 27.4621030140
3730 16.4346008102
4550 5.1514176227
5643 3.9220718821
6113 1.7831473668
7258 1.5262786910
7267 1.5126680063
7319 0.8213467739
7579 0.8132674358
7910 0.6925853062
8087 0.4998350859
8266 0.4899935059
8492 0.3131412659
8915 0.2544768056
9194 0.1952623961
9439 0.1856897185
9708 0.0506429855
10412 0.0454496452
10607 0.0419502620
10712 0.0356412871
10751 0.0282864930
11344 0.0217778108
11468 0.0186192006
11503 0.0180208132
12515 0.0105502352
12598 0.0088845716
12632 0.0074578199
13061 0.0054988803
13810 0.0047097566
14323 0.0034423319
14531 0.0025326450
14968 0.0024388254
14987 0.0017681787
15096 0.0016193781
15353 0.0009414833
16411 0.0008531321
16430 0.0008509200
16439 0.0003560327
17332 0.0003304459
17567 0.0002235352
17618 0.0001281162
18282 0.0001255232
18368 0.0001025801
18452 0.0001009613
18710 0.0000768980
18907 0.0000707393
19355 0.0000669791
19653 0.0000629424
19738 0.0000606757
19833 0.0000606516
19881 0.0000573689
19907 0.0000504057
19929 0.0000333744
20241 0.0000315661
20425 0.0000307830
20502 0.0000295777
20933 0.0000282846
20952 0.0000259650
21024 0.0000181250
21347 0.0000179867
21601 0.0000082044
21873 0.0000049734
22649 0.0000035079
22750 0.0000033435
22975 0.0000027205
23362 0.0000018683
23578 0.0000018442
23920 0.0000017399
24364 0.0000016905
24397 0.0000014941
24650 0.0000013919
24842 0.0000012829
24961 0.0000008876
25081 0.0000006446
25333 0.0000003883
26329 0.0000003149
26418 0.0000001901
26507 0.0000001677
26954 0.0000000638
27901 0.0000000569
28329 0.0000000521
28472 0.0000000499
28513 0.0000000349
28842 0.0000000287
29177 0.0000000173
29634 0.0000000152
29784 0.0000000149
29807 0.0000000147
29938 0.0000000122
29998 0.0000000067
30970 0.0000000059
31163 0.0000000048
31186 0.0000000018
31470 0.0000000016
32317 0.0000000015
32615 0.0000000009
33393 0.0000000006
33582 0.0000000006
33590 0.0000000004
33937 0.0000000002
34819 0.0000000001
35671 0.0000000001
37010 0.0000000000
37136 0.0000000000
37185 0.0000000000
37448 0.0000000000
38478 0.0000000000
38578 0.0000000000
39296 0.0000000000
39664 0.0000000000
evaluations raw_y
1 1877.2726661885
2 1681.9214501392
3 1384.7460166592
4 1341.4710778095
6 1163.8948919451
10 1054.2842979377
13 929.6857486545
32 760.9944382213
69 545.0143629614
158 440.4639254223
175 391.4963369020
222 366.3956733641
262 157.6593522523
1583 143.5475255990
1639 105.8772103543
2050 99.9264921472
2159 84.0773701802
2294 69.2566452021
2322 67.6690056187
2396 64.2905398785
2436 43.4282860702
2468 41.7457963229
2662 33.0293827202
2840 26.3825608853
2950 21.3532257141
3317 8.7736538251
3950 8.3541371581
4297 4.6019430660
4534 4.5877807476
4579 3.2172512519
5165 2.7900950665
5485 2.2534862081
5557 0.5294567668
6728 0.5082185098
6749 0.4903840631
7199 0.4527800489
7229 0.3350258071
7428 0.3152132974
7667 0.2220281454
7848 0.1692309042
7886 0.1588358421
7920 0.1471973063
8166 0.1354704260
8406 0.1330020155
8434 0.0814624739
8781 0.0587081800
9118 0.0423534964
9363 0.0367092618
9651 0.0291564800
9810 0.0230955623
9938 0.0217549029
10553 0.0140542075
10942 0.0135653780
11080 0.0124489578
11357 0.0116341063
11401 0.0110605840
11594 0.0073270226
11888 0.0068908348
12011 0.0060795256
12248 0.0054230903
12295 0.0050382020
12447 0.0040128442
12544 0.0039424284
13125 0.0038178625
13202 0.0037879998
13295 0.0034717538
13645 0.0033992450
13652 0.0032372661
13711 0.0030769424
13743 0.0028223995
13918 0.0028215911
14077 0.0027286915
14402 0.0026962765
15354 0.0026637055
15473 0.0026032242
15496 0.0025791441
15498 0.0025754866
15635 0.0025003431
16397 0.0024872872
16750 0.0024757888
16985 0.0024467652
17027 0.0023856644
17264 0.0023557675
17271 0.0022593861
17313 0.0022555487
17359 0.0022484294
17757 0.0022396355
17974 0.0021658612
18026 0.0019888523
18313 0.0018006792
18537 0.0016373612
18690 0.0012550930
18916 0.0011685628
19599 0.0008697183
20356 0.0007052164
20574 0.0006927094
20742 0.0006744857
20881 0.0004316328
20991 0.0001549372
22312 0.0001377252
22400 0.0001227413
22507 0.0000984490
22555 0.0000844528
22969 0.0000807411
23189 0.0000703686
23215 0.0000643988
23570 0.0000449645
23670 0.0000340351
23684 0.0000231766
24478 0.0000223552
24533 0.0000132847
25154 0.0000128045
25200 0.0000056414
25596 0.0000052873
25796 0.0000045873
25942 0.0000034265
26795 0.0000031433
26848 0.0000030262
27029 0.0000028300
27030 0.0000023187
27281 0.0000020007
27283 0.0000019799
27337 0.0000014248
27581 0.0000012739
27817 0.0000009821
28027 0.0000006894
28041 0.0000005866
28047 0.0000005844
28308 0.0000005354
28519 0.0000005127
28632 0.0000002768
29745 0.0000000847
30398 0.0000000808
30713 0.0000000616
31368 0.0000000498
31562 0.0000000480
31759 0.0000000408
31826 0.0000000341
32320 0.0000000294
32605 0.0000000227
33323 0.0000000199
33494 0.0000000176
33702 0.0000000163
33727 0.0000000112
33941 0.0000000105
34318 0.0000000095
34373 0.0000000081
34680 0.0000000058
34717 0.0000000055
34960 0.0000000053
35211 0.0000000049
35290 0.0000000033
35634 0.0000000023
35886 0.0000000017
36102 0.0000000014
36570 0.0000000011
37300 0.0000000008
37805 0.0000000006
38408 0.0000000005
38577 0.0000000005
38670 0.0000000004
38945 0.0000000003
39074 0.0000000003
39480 0.0000000002
39559 0.0000000002
39695 0.0000000008
evaluations raw_y
1 1158.6037898778
14 1140.8964538583
15 816.4557190762
18 786.8128881345
64 694.9285108152
78 590.9063209901
130 590.6071722540
153 346.5089600908
319 298.0809584992
393 250.6070553086
1469 238.9639076658
1776 56.5927579440
3554 52.1438698022
3613 23.1996034875
4167 15.4914188444
4429 14.3618647835
4482 14.3077742893
4592 11.1513021000
4896 10.5946153033
5040 6.9342872420
5637 6.4866750580
5661 4.6412689329
5731 2.1281635413
7124 1.4402742819
7560 1.0618172078
7661 1.0523389595
7668 0.6510395544
8044 0.5456936521
8237 0.4646711383
8833 0.4197002413
9027 0.3785123017
9034 0.2766825647
9118 0.2730527093
9237 0.2706599043
9279 0.1970908054
9363 0.1782028849
9499 0.1649036485
9828 0.1538099592
9863 0.1230303845
9984 0.0705960523
10373 0.0665207867
10657 0.0639566084
10782 0.0582246482
10827 0.0523740922
11081 0.0472598738
11319 0.0435423387
11331 0.0355874693
11508 0.0303517388
11588 0.0293014780
11625 0.0242898408
11891 0.0187469474
12283 0.0079894905
13173 0.0076178254
13914 0.0069283418
14755 0.0061452475
14839 0.0054923193
14929 0.0047357367
14983 0.0038036595
15294 0.0035723923
15603 0.0034243341
15955 0.0033140304
15965 0.0029463948
16003 0.0020661972
16590 0.0017674560
16769 0.0010906145
16915 0.0008852627
17137 0.0007384092
17913 0.0007357884
17917 0.0007051591
17931 0.0005221822
18242 0.0004170948
18488 0.0004152414
18520 0.0003870319
18521 0.0002752626
18974 0.0001965206
19189 0.0001422175
19405 0.0000661686
20310 0.0000557835
20470 0.0000320610
20795 0.0000307530
21169 0.0000218751
21203 0.0000195787
21735 0.0000141682
21797 0.0000116390
22328 0.0000102794
22736 0.0000070943
22976 0.0000068032
23162 0.0000053984
23205 0.0000045268
23511 0.0000030447
23690 0.0000029266
23723 0.0000020609
24042 0.0000019513
24432 0.0000017869
24478 0.0000013148
24696 0.0000012040
24849 0.0000008184
25330 0.0000007898
25334 0.0000007712
25388 0.0000007476
25557 0.0000003388
26325 0.0000002390
26964 0.0000001743
27647 0.0000001681
27739 0.0000001543
27894 0.0000001096
28026 0.0000001093
28268 0.0000000923
