evaluations raw_y
1 20.8875899162
9 5.3209688620
41 3.4454717250
61 3.3859268866
83 2.9450835893
89 1.6579883349
107 1.3292604895
184 1.0554524402
853 0.4162124286
1670 0.3056164524
1674 0.1943355953
1859 0.1930086118
1987 0.1334381319
2191 0.0871256407
2474 0.0652310043
2726 0.0174447767
3753 0.0036157127
4724 0.0027045377
5154 0.0024149817
5248 0.0016715569
5665 0.0012990956
5726 0.0011087164
6006 0.0004936686
6008 0.0002272846
7677 0.0000537482
10214 0.0000126572
11503 0.0000106334
12246 0.0000084118
12307 0.0000062925
12368 0.0000050957
12897 0.0000047229
12948 0.0000039801
12996 0.0000018795
15072 0.0000017544
15679 0.0000015589
15771 0.0000010739
16177 0.0000007186
16435 0.0000007029
17346 0.0000003776
18081 0.0000002592
18622 0.0000001911
19061 0.0000000719
19921 0.0000000606
20880 0.0000000597
20885 0.0000000541
20931 0.0000000530
20957 0.0000000346
20992 0.0000000300
21460 0.0000000249
21509 0.0000000195
21716 0.0000000163
22046 0.0000000089
22560 0.0000000075
22882 0.0000000054
23288 0.0000000044
23316 0.0000000037
23469 0.0000000033
23832 0.0000000021
23868 0.0000000015
24619 0.0000000010
25335 0.0000000009
25394 0.0000000007
26384 0.0000000005
26453 0.0000000003
27153 0.0000000001
28472 0.0000000000
30764 0.0000000000
30803 0.0000000000
31552 0.0000000000
32756 0.0000000000
32898 0.0000000000
32982 0.0000000000
33602 0.0000000000
34060 0.0000000000
34105 0.0000000000
34142 0.0000000000
34417 0.0000000000
34428 0.0000000000
34739 0.0000000000
34843 0.0000000000
35175 0.0000000000
35278 0.0000000000
35888 0.0000000000
36568 0.0000000000
36829 0.0000000000
36969 0.0000000000
37693 0.0000000000
38316 0.0000000000
39062 0.0000000000
39709 0.0000000000
evaluations raw_y
1 193.5890464588
3 138.8886632109
7 90.5688838463
11 21.0473622447
60 8.7039118349
177 8.4374654819
199 3.2377749230
1169 3.0599424733
1180 2.1977222174
1208 1.3220321813
1509 0.9608533314
1580 0.8655367369
1608 0.8485275774
1670 0.4141961698
2228 0.1425013320
2566 0.1136281731
2654 0.0675757641
3396 0.0397740521
3647 0.0251704030
3829 0.0233787576
4043 0.0207115186
4074 0.0099258195
4523 0.0069262119
4661 0.0039746598
5749 0.0027160064
6159 0.0008548318
6980 0.0003121226
8082 0.0001858105
8473 0.0001164821
9416 0.0001118858
9629 0.0001027363
9638 0.0000294100
10242 0.0000192382
10590 0.0000131479
10869 0.0000110586
12483 0.0000105831
12625 0.0000105224
12785 0.0000093655
12788 0.0000088000
12941 0.0000054073
14710 0.0000048988
14766 0.0000044161
15322 0.0000030748
15502 0.0000025388
15633 0.0000023388
15903 0.0000016712
16038 0.0000016614
16919 0.0000013691
17117 0.0000013277
17154 0.0000011915
17469 0.0000009565
17821 0.0000009080
18041 0.0000008591
18099 0.0000007682
18248 0.0000006832
18259 0.0000006506
18303 0.0000006007
18400 0.0000003983
19027 0.0000001774
19540 0.0000001517
19837 0.0000001183
20401 0.0000000765
20795 0.0000000732
21290 0.0000000702
21337 0.0000000317
21351 0.0000000193
22833 0.0000000132
23187 0.0000000076
23586 0.0000000050
23912 0.0000000048
23914 0.0000000047
24656 0.0000000026
24816 0.0000000009
26821 0.0000000009
26980 0.0000000009
27225 0.0000000006
28072 0.0000000004
28074 0.0000000002
29252 0.0000000002
29603 0.0000000002
29676 0.0000000000
30717 0.0000000000
31210 0.0000000000
31374 0.0000000000
31832 0.0000000000
33175 0.0000000000
33355 0.0000000000
33765 0.0000000000
34604 0.0000000000
35480 0.0000000000
36234 0.0000000000
36378 0.0000000000
36439 0.0000000000
36603 0.0000000000
36773 0.0000000000
36805 0.0000000000
37367 0.0000000000
37531 0.0000000000
37607 0.0000000000
39000 0.0000000000
39154 0.0000000000
39671 0.0000000000
39683 0.0000000000
evaluations raw_y
1 63.7694821158
6 52.7965214950
11 51.2122881188
12 36.0383608437
13 30.0449118871
26 28.9527884352
58 19.8940875704
78 18.2993109520
93 12.5037547918
285 9.2987009466
364 6.6832706484
651 5.6557037470
774 3.7640177411
1329 3.5957021619
1370 1.0127923240
2081 0.7074987200
2357 0.5389912866
2584 0.5091685696
2658 0.4787808383
2807 0.4511184564
2839 0.3468379284
2946 0.1774870745
3148 0.1625445101
3164 0.1248017685
3271 0.0960000175
3603 0.0658428505
3916 0.0306362255
4246 0.0202994027
4941 0.0163952888
5379 0.0153266990
5415 0.0144149501
5445 0.0134399756
5632 0.0070146938
6381 0.0064995734
6416 0.0060747903
6425 0.0048932777
6494 0.0021688762
6565 0.0015853400
7165 0.0009642392
7600 0.0007025838
7672 0.0005526835
8665 0.0004243572
8686 0.0004046157
8772 0.0001979347
9147 0.0000589273
10772 0.0000524953
10930 0.0000448900
12242 0.0000438932
12267 0.0000328319
12385 0.0000225191
13583 0.0000209961
13755 0.0000090150
14182 0.0000086121
14539 0.0000064132
15017 0.0000044708
15066 0.0000010813
17531 0.0000007067
17543 0.0000003707
19384 0.0000003036
19412 0.0000001272
20099 0.0000001028
20452 0.0000000885
20872 0.0000000561
21892 0.0000000428
22408 0.0000000257
22712 0.0000000141
23191 0.0000000099
23763 0.0000000089
24087 0.0000000068
24192 0.0000000059
24394 0.0000000055
