evaluations raw_y
1 378.8291756653
12 203.8283926274
48 210.2297521446
50 211.3097697860
88 158.4373164310
102 166.1460694468
113 109.7795854440
142 115.1041931313
222 106.0173046749
267 90.5725588650
293 78.5576661244
478 64.7933647360
2447 53.2005427953
2853 51.0740680058
2945 40.5548728939
3162 39.7931031861
3392 39.0625180042
3412 37.8722509505
3484 37.2697174907
3642 36.5526147550
3783 34.0081910208
3951 29.4315577015
4117 28.1377056888
4282 28.2423702490
4644 27.4629186604
4653 25.0651427039
4657 23.9702090650
4761 23.8405801287
5164 23.5609231757
5185 20.4229169448
5295 20.3075278423
5311 20.1819761023
5377 17.8547232734
5667 17.5391779635
5709 16.2775673114
5855 14.7474106367
6151 14.3146454678
6651 12.9512870666
6754 11.8412849621
7070 11.2889706632
7102 10.5287606208
7146 9.8561752422
7471 9.4285319952
7818 9.2344302429
7827 7.5159355680
8085 7.0412825558
8138 6.5637733919
8537 6.1229017466
9002 6.0761604473
9028 5.2657312974
9488 4.9507921133
9639 4.6418331653
9747 4.3868429739
9874 4.0799288180
10001 3.7085008614
10177 3.3507191758
10508 3.1254170614
10510 3.0153867837
10830 2.9011569453
11144 2.7159619794
11254 2.6496187544
11415 2.5563998236
11483 2.5020927132
11545 1.9760254347
12449 1.8826859351
12596 1.8631009953
12733 1.8448484512
12854 1.8324025523
13018 1.8289130620
13179 1.6599574651
13356 1.6505808966
13491 1.6124852289
13505 1.4735886368
13835 1.4311001104
13912 1.2258116080
14145 1.1948458573
14270 1.1410730710
14318 1.1365625172
14408 0.9521060580
14486 0.8905753158
15283 0.7862481439
15585 0.7812434710
15615 0.7497756910
15699 0.7397342625
15828 0.6981697493
15858 0.6593818625
16115 0.6403042283
16119 0.6385544545
16216 0.5874364266
16311 0.5249581540
16324 0.5083335251
16483 0.4822778102
16674 0.4774118582
16793 0.4405926818
16846 0.4298588461
17048 0.4297364056
17255 0.3914902952
17374 0.3534067424
17467 0.3383233723
17901 0.3064006263
17966 0.2792994492
18112 0.2676643315
18663 0.2626209389
18722 0.2433220432
19084 0.2308163722
19377 0.1902440885
19630 0.1816237129
20413 0.1755537424
20632 0.1652550896
20633 0.1623906342
20738 0.1488630047
20745 0.1481541761
20768 0.1258239766
20935 0.1241758637
21259 0.1229350377
21320 0.1198729245
21432 0.1028401707
21870 0.1027655795
21978 0.0831981529
22401 0.0778350249
22579 0.0770395221
22694 0.0749924091
22729 0.0710155693
22761 0.0697727139
23000 0.0666148546
23035 0.0603585212
23246 0.0601335673
23319 0.0548341859
23578 0.0418578929
24650 0.0402395883
24688 0.0371157044
24993 0.0370425233
25017 0.0361091762
25050 0.0326207641
25303 0.0324957896
25398 0.0312411216
25496 0.0306753025
25648 0.0302043073
25700 0.0296258203
25710 0.0277734702
25802 0.0250978145
26061 0.0244014329
26262 0.0243890450
26314 0.0226757785
26434 0.0217272646
26694 0.0208716518
26741 0.0206146033
26777 0.0187515815
27086 0.0185174047
27248 0.0178667024
27367 0.0178499525
27433 0.0163642648
27517 0.0160009461
27677 0.0123664692
28366 0.0116976726
28428 0.0115196178
28544 0.0109857248
28990 0.0101279415
29048 0.0097280262
29419 0.0093439284
29461 0.0087239594
29474 0.0080322806
29613 0.0075251167
29994 0.0073937143
30012 0.0072978697
30026 0.0069867778
30237 0.0064763786
30243 0.0061990874
30591 0.0061841709
30658 0.0061841543
30840 0.0059556862
31054 0.0057510412
31207 0.0055686455
31242 0.0041557108
32536 0.0039202484
32893 0.0037902610
33177 0.0036756407
33303 0.0035308502
33622 0.0031327663
34038 0.0031090555
34196 0.0029329813
34513 0.0029080268
34680 0.0028559472
34689 0.0028259354
34824 0.0027470819
34959 0.0024619126
35425 0.0024441366
35474 0.0023892273
35586 0.0022751229
36135 0.0022241918
36228 0.0021770293
36436 0.0021486278
36795 0.0021289191
36798 0.0020333308
36947 0.0020265102
36969 0.0019314217
37030 0.0018575285
37209 0.0018056857
37292 0.0017574116
37382 0.0017032335
38435 0.0016936919
38474 0.0016204923
38697 0.0016148507
38714 0.0015332370
38994 0.0015239100
39010 0.0014962576
39389 0.0014397207
39820 0.0014360526
39827 0.0014027859
39994 0.0013570810
40219 0.0013253542
40518 0.0012637654
40662 0.0012232979
41435 0.0011758560
42054 0.0011681736
42240 0.0011139700
43193 0.0010782723
43329 0.0010728735
43523 0.0010485519
43665 0.0010419061
43666 0.0010258301
43727 0.0010011314
44281 0.0009387024
45322 0.0009169752
45764 0.0008991796
46375 0.0008893314
46606 0.0008840197
46952 0.0008700801
47710 0.0008669013
47818 0.0008626099
47976 0.0008579906
48033 0.0008507852
48242 0.0008438185
48729 0.0008425971
48747 0.0008419226
48866 0.0008417349
48916 0.0008294781
49591 0.0008267149
49592 0.0008265432
49739 0.0008255610
49951 0.0008042653
50530 0.0007900374
51342 0.0007872091
51387 0.0007866485
51703 0.0007846649
51750 0.0007832263
51940 0.0007814329
52463 0.0007751691
52724 0.0007663620
52841 0.0007654850
53033 0.0007589370
53514 0.0007561356
53545 0.0007537642
53609 0.0007494987
53695 0.0007490505
53705 0.0007444223
54063 0.0007418133
54294 0.0007412994
54350 0.0007411280
54405 0.0007406473
54439 0.0007286533
54730 0.0007261864
55017 0.0007258650
55055 0.0007257882
55323 0.0007221586
55688 0.0007180522
55720 0.0007171260
55992 0.0007167888
56480 0.0007162900
56486 0.0007105858
57600 0.0007098198
57999 0.0007096855
58259 0.0007090237
58335 0.0007085255
58566 0.0007083202
58783 0.0007083118
58959 0.0007082211
58980 0.0007080788
58985 0.0007065536
59277 0.0007047944
60240 0.0007046435
60605 0.0007042559
60879 0.0007038729
61058 0.0007018976
62318 0.0007013503
62379 0.0007012542
62516 0.0007006435
62550 0.0006999038
62933 0.0006998908
62984 0.0006987372
63505 0.0006983406
63560 0.0006980350
63622 0.0006974702
64283 0.0006970424
64295 0.0006966478
64670 0.0006965373
64687 0.0006964766
64801 0.0006962255
64815 0.0006959377
65078 0.0006957215
65348 0.0006955517
65424 0.0006952383
65586 0.0006946866
65648 0.0006946847
65746 0.0006937063
65904 0.0006933663
66309 0.0006931644
66672 0.0006927716
67145 0.0006925672
67158 0.0006910687
67999 0.0006910357
68016 0.0006907443
68064 0.0006904557
68214 0.0006902698
68440 0.0006899615
68987 0.0006898731
69013 0.0006897480
69162 0.0006896609
69331 0.0006893904
69366 0.0006893732
69410 0.0006893282
69688 0.0006890091
70057 0.0006887356
70437 0.0006886579
70694 0.0006885238
70837 0.0006883129
70891 0.0006882322
71017 0.0006881449
71057 0.0006881419
71244 0.0006880709
71422 0.0006879810
71674 0.0006878313
71904 0.0006876512
72084 0.0006876303
72188 0.0006873769
72533 0.0006872502
72763 0.0006872362
72777 0.0006872187
73106 0.0006871062
73188 0.0006869630
73202 0.0006868227
73443 0.0006868131
73722 0.0006865630
74655 0.0006865074
74797 0.0006864632
74896 0.0006863470
75459 0.0006863166
75733 0.0006863016
75893 0.0006861889
76080 0.0006861767
76257 0.0006861250
76273 0.0006860154
76661 0.0006860141
76853 0.0006859924
76915 0.0006859813
76948 0.0006859276
77307 0.0006858466
77627 0.0006858375
77768 0.0006857886
77792 0.0006857730
77821 0.0006857598
78131 0.0006857595
78235 0.0006857578
78328 0.0006857465
78345 0.0006857462
78391 0.0006857353
78416 0.0006857161
78517 0.0006857154
78532 0.0006856260
78667 0.0006856182
