evaluations raw_y
1 191.4863878403
2 84.1785923238
3 41.3784800934
5 35.4589690614
13 26.5510549857
17 13.1689001183
72 13.0121236945
73 11.9862235377
75 10.7984828962
111 8.6567512742
168 8.2099843607
205 6.1100775562
283 5.2590313892
284 2.2179220091
1918 1.7389594860
2562 1.2090025358
2827 0.5945113358
4583 0.5641421837
5032 0.5227890275
6697 0.4234030967
9239 0.3397283824
12681 0.3199502775
14211 0.2194928456
15995 0.2093208098
19070 0.2077931593
19105 0.1803353784
19947 0.1683566817
20857 0.1588245831
21861 0.1078827533
24675 0.1023432612
26600 0.1022236498
30338 0.0929333849
39518 0.1314887988
evaluations raw_y
1 97.9637769442
2 11.1658394560
16 10.7201403842
32 7.6768950001
54 6.9151159071
73 2.9325262629
486 2.3064994993
849 2.2243056930
1474 1.9922637593
2199 1.6461736364
2504 1.4523540613
2535 1.2140058592
3076 0.8957789880
4895 0.8845981000
7087 0.5437632776
7134 0.4533067921
7849 0.4087136576
9395 0.2444134943
12201 0.0656680380
15143 0.0388690466
17131 0.0313376954
17438 0.0271262063
17597 0.0261340378
17792 0.0251324584
17794 0.0225164230
17902 0.0166606653
18059 0.0133517090
18096 0.0116294065
18221 0.0101583621
18393 0.0084987165
18484 0.0052941024
18538 0.0030571263
18713 0.0013564018
18971 0.0011636469
18974 0.0011560326
19101 0.0007681411
19112 0.0003332110
19602 0.0001999173
19992 0.0001990520
20007 0.0000823699
20204 0.0000764229
20234 0.0000618763
20536 0.0000466720
20782 0.0000038636
21342 0.0000011836
21939 0.0000002950
22936 0.0000001863
23246 0.0000001379
23371 0.0000000986
23402 0.0000000807
23416 0.0000000413
23501 0.0000000323
23874 0.0000000098
24157 0.0000000078
24842 0.0000000072
24856 0.0000000062
24890 0.0000000040
24997 0.0000000031
25146 0.0000000024
25605 0.0000000009
25685 0.0000000007
25802 0.0000000005
26092 0.0000000003
26257 0.0000000002
26329 0.0000000001
26854 0.0000000001
26900 0.0000000001
27379 0.0000000000
27535 0.0000000000
27691 0.0000000000
28047 0.0000000000
28297 0.0000000000
28787 0.0000000000
29123 0.0000000000
29478 0.0000000000
29671 0.0000000000
29871 0.0000000000
29931 0.0000000000
30316 0.0000000000
30361 0.0000000000
30386 0.0000000000
30410 0.0000000000
30667 0.0000000000
30705 0.0000000000
31160 0.0000000000
31414 0.0000000000
32159 0.0000000000
33423 0.0000000000
evaluations raw_y
1 11.5083937870
30 6.3161192103
31 2.5901330427
1315 1.9000215868
1749 1.8426875909
1933 1.4354337680
2043 1.4263508690
2837 1.3170200400
3170 1.2915064498
3248 0.7161721604
3292 0.4704057483
6079 0.4594484014
6982 0.2695911136
8148 0.0086636554
13037 0.0078702788
13283 0.0072001375
13294 0.0054312990
13397 0.0046354219
13405 0.0044046062
13455 0.0034939071
13472 0.0034285113
13496 0.0023767923
13601 0.0009657515
14122 0.0002553719
14714 0.0001960130
14929 0.0001665584
15026 0.0001432920
15278 0.0000637955
15422 0.0000382999
15831 0.0000110498
16020 0.0000017401
16647 0.0000011569
16755 0.0000011277
16973 0.0000010542
17128 0.0000002990
17397 0.0000002018
17769 0.0000001338
17804 0.0000001040
17857 0.0000000610
17988 0.0000000423
18213 0.0000000377
18428 0.0000000161
18869 0.0000000150
18930 0.0000000146
18988 0.0000000141
19052 0.0000000107
19263 0.0000000083
19311 0.0000000066
19406 0.0000000046
19497 0.0000000038
19519 0.0000000034
19681 0.0000000012
19964 0.0000000012
20129 0.0000000010
20404 0.0000000004
20799 0.0000000004
21006 0.0000000003
21092 0.0000000003
21101 0.0000000002
21173 0.0000000002
21219 0.0000000002
21281 0.0000000001
21348 0.0000000001
21575 0.0000000000
22038 0.0000000000
22209 0.0000000000
22496 0.0000000000
22498 0.0000000000
22693 0.0000000000
22922 0.0000000000
23589 0.0000000000
23637 0.0000000000
24207 0.0000000000
24482 0.0000000000
24505 0.0000000000
24597 0.0000000000
24893 0.0000000000
25103 0.0000000000
25301 0.0000000000
25667 0.0000000000
26340 0.0000000000
27588 0.0000000000
evaluations raw_y
1 24.3526819684
5 18.6869387254
11 17.3573988956
12 16.1442570472
13 15.6162030569
25 13.7326821770
35 13.4496383294
38 9.6111384975
47 7.7948779906
50 7.6127880594
82 6.1345472849
193 3.1338634345
310 1.1438095270
1823 1.1418330016
3860 0.5570763685
7124 0.5566272773
7447 0.4834345576
11735 0.4288732978
14164 0.3493016645
16505 0.0889898252
18826 0.0378058845
19487 0.0286480251
19595 0.0134808357
20228 0.0075982688
20897 0.0056818738
21000 0.0047664563
21801 0.0043509162
22036 0.0037130934
22230 0.0021456686
22709 0.0017592617
22784 0.0014736975
23217 0.0011061067
23333 0.0009892372
23425 0.0007273186
23553 0.0006690422
23575 0.0005231393
23592 0.0003661286
23753 0.0001825179
24233 0.0000519079
24590 0.0000470235
24626 0.0000063886
25016 0.0000035831
26216 0.0000017134
26259 0.0000016250
26277 0.0000012095
26365 0.0000011944
26410 0.0000005019
26540 0.0000004972
26716 0.0000004788
27053 0.0000002709
27222 0.0000001490
27433 0.0000001472
27569 0.0000000800
27940 0.0000000340
28403 0.0000000270
28554 0.0000000185
28567 0.0000000164
28579 0.0000000113
29082 0.0000000037
29541 0.0000000036
29597 0.0000000032
29743 0.0000000023
29753 0.0000000015
29807 0.0000000011
29988 0.0000000007
30293 0.0000000003
30582 0.0000000002
31046 0.0000000001
31119 0.0000000001
31620 0.0000000000
31697 0.0000000000
31801 0.0000000000
32325 0.0000000000
32417 0.0000000000
32535 0.0000000000
32543 0.0000000000
32789 0.0000000000
33616 0.0000000000
34014 0.0000000000
34349 0.0000000000
34439 0.0000000000
36091 0.0000000000
evaluations raw_y
1 71.8420195539
8 8.9105164722
61 5.0867907293
133 4.4649501284
165 3.4027086553
978 3.3250317986
1409 1.0179382769
3256 0.8551119534
3913 0.5672177871
4783 0.3430841538
9162 0.3234965873
9561 0.2534809183
9613 0.0718918302
11494 0.0710623105
11530 0.0497308038
12311 0.0469706974
12319 0.0432830543
12480 0.0255472988
12943 0.0200715627
13030 0.0168878973
13371 0.0155863573
13401 0.0103640774
13405 0.0049789436
13952 0.0028193623
14083 0.0023713726
14235 0.0013225864
14502 0.0012746897
14539 0.0007533266
15174 0.0006316715
