evaluations raw_y
1 213.2305693333
4 168.9823472593
6 123.6253020264
8 82.2985095797
31 48.6094697476
36 34.8582090541
98 33.4068677324
102 30.6470405511
123 29.7114740805
169 15.5982444947
346 14.5880615303
528 10.3278511149
594 9.0621103312
895 6.6488570887
1100 4.0935724441
1160 2.8736962244
1455 1.4922125824
1914 1.2146711688
2398 1.1949869538
3210 1.1505725148
3286 1.0782677399
3525 1.0753831694
3571 1.0635583692
3623 1.0135321211
3815 0.9980728338
4046 0.9952244229
4695 0.9950439068
4958 0.9950217834
4961 0.9949914313
5003 0.9949680996
5229 0.9949600431
6021 0.9949599697
6071 0.9949592685
6226 0.9949592032
6292 0.9949592002
6362 0.9949591714
6472 0.9949591211
6560 0.9949591074
6606 0.9949590676
6693 0.9949590574
7149 0.9949590573
7592 0.9949590573
7651 0.9949590572
7776 0.9949590571
8267 0.9949590571
8290 0.9949590571
8425 0.9949590571
8656 0.9949590571
8661 0.9949590571
8685 0.9949590571
8789 0.9949590571
8829 0.9949590571
8883 0.9949590571
9084 0.9949590571
9111 0.9949590571
9140 0.9949590571
9304 0.9949590571
9527 0.9949590571
10123 0.9949590571
evaluations raw_y
1 3351.2327376411
5 110.3081670436
15 58.8556080804
27 45.5850774953
28 29.7365945226
76 23.6798999259
416 19.9419090453
434 16.9702351349
614 12.6420198173
723 7.5762374230
766 6.4519011316
814 2.5075268245
1774 2.3848111648
2531 2.0733198004
3285 1.6665924549
3488 1.5551270190
3536 1.3521273005
3700 1.3513001096
4033 1.0978540115
4117 1.0379434829
4393 1.0197489540
4409 1.0117945523
4423 1.0049342705
4603 1.0025314331
4676 1.0019024693
4716 0.9987240881
4834 0.9983835200
5056 0.9963889498
5229 0.9952123214
5571 0.9950853823
5685 0.9949822354
6078 0.9949668466
6211 0.9949654888
6252 0.9949630759
6408 0.9949613013
6521 0.9949597271
6606 0.9949593418
6913 0.9949592936
7051 0.9949591650
7067 0.9949591308
7125 0.9949590952
7332 0.9949590760
7371 0.9949590614
7730 0.9949590610
7872 0.9949590594
7878 0.9949590582
8111 0.9949590579
8202 0.9949590578
8269 0.9949590573
8299 0.9949590572
8493 0.9949590571
8753 0.9949590571
8799 0.9949590571
8920 0.9949590571
8946 0.9949590571
9391 0.9949590571
9456 0.9949590571
9618 0.9949590571
9702 0.9949590571
9761 0.9949590571
9869 0.9949590571
10195 0.9949590571
11087 0.9949590571
evaluations raw_y
1 110.9858464832
2 75.0038959475
4 68.9158700463
5 63.8827510244
8 63.1897814963
10 50.1479162469
11 35.9928806658
22 17.6567694909
117 10.1592343031
256 3.3499885596
660 0.9587178772
1037 0.9259153190
1983 0.7351962649
2549 0.4203086229
2635 0.4039745117
3044 0.3625641037
3060 0.2384633419
3117 0.2255716860
3162 0.1225871002
3301 0.0393537089
3319 0.0387223008
3540 0.0334226247
3565 0.0262590673
3584 0.0219129567
3652 0.0072966411
3841 0.0013914584
4206 0.0004790476
4357 0.0004698377
4448 0.0000860502
4702 0.0000829326
4710 0.0000547211
4805 0.0000094168
5301 0.0000077683
5391 0.0000061460
5484 0.0000045619
5501 0.0000032139
5507 0.0000027937
5595 0.0000012682
5597 0.0000005209
5898 0.0000001602
5900 0.0000001131
5965 0.0000000301
6356 0.0000000201
6554 0.0000000164
6592 0.0000000069
6763 0.0000000023
6996 0.0000000020
7018 0.0000000008
7371 0.0000000004
7374 0.0000000001
7503 0.0000000001
7783 0.0000000001
7838 0.0000000000
8295 0.0000000000
8711 0.0000000000
8744 0.0000000000
8832 0.0000000000
8915 0.0000000000
9051 0.0000000000
9889 0.0000000000
evaluations raw_y
1 207.3164715982
2 99.0788923957
16 97.5359922527
17 49.3961123010
136 32.9989662763
158 31.3526216243
175 27.6630021146
245 25.5234434631
318 9.3540587787
389 7.7700235459
945 6.6036717438
1157 5.4391284826
1268 4.5147178679
1502 3.9782612539
1731 2.6840881115
1949 0.9475159410
2476 0.7480712130
2622 0.3293264183
2853 0.0262793459
3258 0.0074755619
3704 0.0050265158
3713 0.0038206586
3804 0.0019866946
3831 0.0014496651
4024 0.0007753992
4121 0.0006128155
4209 0.0005107863
4366 0.0004603533
4491 0.0000733290
4513 0.0000416164
4791 0.0000237529
4797 0.0000084942
5330 0.0000034386
5420 0.0000013851
5548 0.0000009977
5604 0.0000007229
5888 0.0000005159
6092 0.0000002501
6121 0.0000001983
6126 0.0000000613
6387 0.0000000371
6481 0.0000000308
6484 0.0000000247
6567 0.0000000145
6637 0.0000000085
6659 0.0000000070
6828 0.0000000066
6874 0.0000000033
7003 0.0000000008
7121 0.0000000005
7292 0.0000000004
7465 0.0000000001
7466 0.0000000001
7620 0.0000000000
7840 0.0000000000
7998 0.0000000000
8037 0.0000000000
8110 0.0000000000
8142 0.0000000000
8334 0.0000000000
9086 0.0000000000
9723 0.0000000000
evaluations raw_y
1 128.3714512138
2 95.2232578303
10 50.8559046018
22 35.3332655758
35 22.9296180926
73 19.9989782158
334 11.9346362857
370 9.7525237146
389 5.9507946498
866 2.7962053427
1901 2.3363187163
2004 2.1980263471
2248 1.4305696380
2816 1.1414986087
3713 1.1241505983
3960 0.1096907794
4384 0.0938698185
4570 0.0289849444
4688 0.0054795604
4951 0.0005975607
5765 0.0000329822
6446 0.0000284745
6612 0.0000043991
6749 0.0000029685
6918 0.0000023363
6989 0.0000014731
7208 0.0000013768
7232 0.0000001618
7404 0.0000001601
7489 0.0000000226
7871 0.0000000191
7935 0.0000000185
8015 0.0000000126
8285 0.0000000025
8461 0.0000000020
8554 0.0000000002
8952 0.0000000001
8973 0.0000000001
9097 0.0000000001
9215 0.0000000000
9469 0.0000000000
9489 0.0000000000
9501 0.0000000000
9543 0.0000000000
9625 0.0000000000
10011 0.0000000000
10252 0.0000000000
10278 0.0000000000
10400 0.0000000000
10463 0.0000000000
10677 0.0000000000
11296 0.0000000000
11337 0.0000000000
11659 0.0000000000
evaluations raw_y
1 3253.1561764939
2 2248.5489892550
5 2047.1031516848
7 152.5019721444
15 82.8794303016
17 54.1085187482
19 23.8932585272
340 20.9540784480
418 17.7420850229
426 14.3546741206
458 14.1625329584
635 12.5174432304
661 9.7819883821
875 9.0278912221
947 5.0001641050
1336 4.5730001507
1461 4.5039888406
1503 4.1085464585
1515 3.4745551499
1846 3.2653620516
2133 2.0958967107
2634 1.8199174162
2646 1.3940602586
3324 1.1266704023
3482 1.0082399949
3820 0.9990197775
4161 0.9985734828
4182 0.9960344402
4368 0.9954420840
4834 0.9952621122
4895 0.9951953057
4908 0.9951792572
4922 0.9950267697
5320 0.9949863784
5388 0.9949687397
5578 0.9949616298
5778 0.9949616036
5800 0.9949613850
5975 0.9949592002
6535 0.9949591396
6855 0.9949590969
6888 0.9949590681
7269 0.9949590618
7380 0.9949590601
7531 0.9949590593
7603 0.9949590592
7647 0.9949590591
7703 0.9949590576
7857 0.9949590574
7883 0.9949590572
7990 0.9949590571
8240 0.9949590571
8371 0.9949590571
8548 0.9949590571
8719 0.9949590571
8720 0.9949590571
9348 0.9949590571
9431 0.9949590571
9450 0.9949590571
9662 0.9949590571
9787 0.9949590571
10248 0.9949590571
10283 0.9949590571
evaluations raw_y
1 490.1444730404
2 71.6233444177
9 59.0856877206
18 43.4730420116
22 28.0337131112
34 20.0932181844
210 5.9942663400
529 2.5636834312
893 2.1085515393
1303 0.8122548396
2290 0.2102545743
10818 0.9949590571
evaluations raw_y
1 87.1918902951
2 63.0920178761
14 63.0361939794
21 62.9227288652
29 42.7192972835
32 33.8845015063
84 32.6668513309
92 27.5352561924
104 22.6132042650
179 18.6457004199
334 2.9839450654
697 2.8491189875
1161 1.1449433106
3498 1.0246120277
4219 1.0116946679
4354 0.9981028529
4558 0.9965546167
4829 0.9949880278
5075 0.9949765661
6081 0.9949693137
6152 0.9949680899
6200 0.9949592549
6781 0.9949592355
6891 0.9949592081
7001 0.9949592059
7046 0.9949591743
7047 0.9949591481
7087 0.9949590781
7340 0.9949590651
7380 0.9949590648
7698 0.9949590582
7789 0.9949590577
7893 0.9949590576
8212 0.9949590576
8235 0.9949590572
8349 0.9949590571
8619 0.9949590571
8653 0.9949590571
8875 0.9949590571
9163 0.9949590571
9183 0.9949590571
9185 0.9949590571
9198 0.9949590571
9270 0.9949590571
9577 0.9949590571
9684 0.9949590571
9789 0.9949590571
9824 0.9949590571
9862 0.9949590571
9996 0.9949590571
10035 0.9949590571
10270 0.9949590571
evaluations raw_y
1 3997.8851979986
