evaluations raw_y
1 198968.5622386906
5 182728.5752053148
6 174265.0255342629
8 107291.9249718272
9 39624.0518363525
33 17272.0646429608
45 16010.3843853503
81 15574.9293647697
98 8615.1453551168
99 4879.7107696653
136 3646.2491926197
280 3210.2981956948
295 2601.9101110938
307 2026.3174646093
330 1330.4500912678
454 820.3478768471
487 790.4674183005
544 640.0471488258
566 475.9851358316
594 462.7703589845
598 217.8092845241
794 197.0526638443
880 176.7041711652
890 98.0940946186
939 80.1572681422
944 57.5244098928
1086 23.8776926451
1326 22.9249226977
1377 22.5171150080
1445 19.9289475603
1448 13.1156593137
1558 12.8084273217
1588 11.1620385071
1835 11.0117498861
1887 10.3781796290
1912 10.1057897284
1923 9.9125384060
1974 9.7872144543
1989 8.4066381677
2453 8.3315263162
2569 8.1312095353
2722 8.1106882981
2839 7.8482989220
3114 7.3953828976
3404 7.0943262495
3425 7.0684682015
3511 7.0153615147
3612 6.9636167022
3678 6.9258506442
3710 6.8290079886
3728 6.7382545974
3735 6.7005057412
3869 6.4463296714
4106 6.4111177945
4174 6.3479554211
4181 6.2098529943
4203 6.0843470798
4219 5.5576980338
4670 5.5459890941
4908 5.4200537891
4909 5.4178710380
4912 5.2865442735
4937 5.2600428991
5000 5.1656333811
5066 5.0729864333
5167 5.0590651812
5198 5.0300174133
5207 4.9347865457
5224 4.8614001648
5357 4.8268673702
5368 4.7795956166
5381 4.7413587281
5695 4.6740897457
5734 4.6673029351
5759 4.4683872730
5875 4.3034866914
5943 4.2335863279
6110 4.1285862418
6189 4.0806734163
6196 4.0266219916
6239 3.9250807813
6344 3.7671168043
6557 3.7349798218
6560 3.6475309109
6648 3.6038567172
6650 3.5701228158
6685 3.5154409851
6761 3.4822420221
6853 3.4093639860
6897 3.2040788964
6913 3.1979165845
7020 3.0354748382
7226 2.9911494909
7256 2.9381761467
7259 2.8676840006
7281 2.8620713940
7298 2.8570597917
7299 2.8444245194
7371 2.8354542740
7378 2.6852256103
7653 2.4583426212
7845 2.4582193617
7868 2.4261216811
7939 2.2936893878
8062 2.1344144448
8074 2.1230548615
8093 2.1032369666
8139 2.0806675466
8248 1.9014431518
8347 1.8767538981
8500 1.8025381308
8567 1.7363864308
8799 1.7199727157
8842 1.6713127761
8901 1.6361462734
8934 1.5401581219
9059 1.5233679092
9082 1.4718546553
9312 1.2421787845
9586 1.1775723641
9607 1.1553039458
9650 0.9926303066
9761 0.9890812171
9804 0.8692025779
9875 0.8217568758
10118 0.6999322173
10338 0.6378920465
10344 0.6181265485
10496 0.6102238302
10592 0.4983864577
10748 0.4441331206
10785 0.4401990039
10809 0.3967184590
10933 0.3905412943
10966 0.3797954876
11073 0.3467869375
11110 0.2997849092
11316 0.2642870882
11394 0.2627234277
11475 0.2446141826
11506 0.2283189429
11565 0.1918944756
11904 0.1908899884
11984 0.1872000742
12037 0.1666868109
12142 0.1104941468
12250 0.1038981361
12328 0.0986111206
12335 0.0980382488
12391 0.0749290903
12405 0.0717870602
12409 0.0518892326
12723 0.0475154675
12785 0.0468300893
12839 0.0451358091
12882 0.0410130155
12887 0.0198094602
13390 0.0126133316
13498 0.0100483903
13553 0.0085632132
13632 0.0059985796
13716 0.0059262936
13768 0.0052628750
13777 0.0027024740
13928 0.0026118438
13997 0.0018781841
14155 0.0018408073
14209 0.0018308030
14253 0.0013505462
14355 0.0011635443
14434 0.0006917768
14459 0.0006793344
14491 0.0003392309
14693 0.0002972039
14698 0.0002702094
14754 0.0002293740
14798 0.0002143064
14833 0.0002010166
14864 0.0001914933
14875 0.0001187208
14926 0.0001038607
14950 0.0000555788
14993 0.0000311453
15230 0.0000231246
15289 0.0000176005
15327 0.0000119814
15365 0.0000110069
15404 0.0000107490
15406 0.0000055151
15418 0.0000053529
15442 0.0000042949
15570 0.0000031034
15701 0.0000020659
15757 0.0000018867
15775 0.0000017597
15805 0.0000015629
15834 0.0000013048
15882 0.0000012605
15909 0.0000011946
15935 0.0000010262
15946 0.0000003127
16096 0.0000002951
16168 0.0000002139
16264 0.0000001348
16325 0.0000001187
16354 0.0000001127
16360 0.0000001046
16375 0.0000000626
16528 0.0000000467
16540 0.0000000352
16575 0.0000000299
16691 0.0000000255
16721 0.0000000205
16767 0.0000000183
16846 0.0000000180
16848 0.0000000176
16885 0.0000000129
16894 0.0000000080
16983 0.0000000076
17018 0.0000000043
17044 0.0000000035
17131 0.0000000027
17170 0.0000000021
17213 0.0000000019
17245 0.0000000018
17247 0.0000000009
17335 0.0000000006
17406 0.0000000005
17468 0.0000000004
17512 0.0000000003
17586 0.0000000003
17599 0.0000000002
17638 0.0000000001
17836 0.0000000001
17851 0.0000000001
17912 0.0000000001
17996 0.0000000000
18070 0.0000000000
18159 0.0000000000
18169 0.0000000000
18218 0.0000000000
18290 0.0000000000
18334 0.0000000000
18416 0.0000000000
18466 0.0000000000
18467 0.0000000000
18501 0.0000000000
18522 0.0000000000
18607 0.0000000000
18729 0.0000000000
18820 0.0000000000
18822 0.0000000000
18880 0.0000000000
18892 0.0000000000
19178 0.0000000000
19187 0.0000000000
19418 0.0000000000
19724 0.0000000000
evaluations raw_y
1 350269.7342688725
5 265572.4061651937
11 220377.4626497964
17 60341.2043642662
66 55323.1503646693
71 41492.1512451760
80 39910.5920184255
94 28917.6673549060
115 20541.4649491154
124 15272.9914826146
161 7862.4373594650
173 6310.2198155178
432 5015.4120547589
459 2659.9325868043
702 1540.7437249050
769 1291.8139043812
811 1087.6642012451
854 898.5006551378
880 675.1892769814
897 639.6053819139
903 504.2579107636
1062 478.0693380383
1105 408.9115491971
1123 386.6625784857
1149 375.5896648791
1188 233.5483593655
1499 178.9035470498
1510 152.9837929124
1536 125.7072468876
1675 107.7078654870
1709 72.3293670867
1753 68.3165254883
1757 64.3618552525
1770 59.5378271319
1813 54.4630218043
1840 51.7341479190
1875 49.8106727051
1901 41.7818918384
1906 28.5036185238
1940 27.1336330471
2025 22.0501445806
2117 21.4229765444
2119 19.6168426897
2131 16.1526067479
2134 12.1084913601
2218 11.7267363820
2235 11.6635967630
2404 11.1044278256
2443 10.3631454430
2571 10.2438438697
2640 10.1938766876
2643 8.7420276691
2976 8.6051884578
3019 8.5787410494
3047 8.5495777009
3052 8.5006313615
3115 8.4853438515
3135 8.4272289544
3170 8.4146741058
3216 8.3728960787
3276 8.3352857862
3292 8.3247812922
3362 8.3232144917
3364 8.2987196152
3365 8.2524164359
3373 8.2278522274
3407 8.1886794143
3517 8.0725745331
3955 8.0311422406
3983 7.8109679994
4062 7.8076213251
4130 7.7249162644
4197 7.7158183181
4209 7.7101261633
4240 7.5700801076
4294 7.4606861746
4488 7.3268788278
4499 7.2263840400
4539 7.1779042147
4565 7.0959580028
4720 6.9705697922
4812 6.6390810382
5089 6.5795295920
5098 6.5589276893
5113 6.4846692791
5182 6.4496798842
5183 6.4189853878
5204 6.3447470633
5261 6.3026969512
5280 6.2429150393
5357 6.2139391694
5436 5.8937136904
5785 5.8791326407
5812 5.8390513609
5817 5.7580629061
5951 5.7506537096
5964 5.6212531598
6131 5.3989665372
6336 5.3016306765
6364 5.2240990436
6522 5.1637533916
6540 5.1117360574
6576 4.9885378898
6601 4.9675947557
6659 4.9316983730
6761 4.7288559683
6842 4.6833065221
6882 4.5377098633
6924 4.4289751867
7025 4.4186181180
7164 4.3603914905
7257 4.2825150128
7292 4.2663503340
7380 4.1784866831
7455 4.1636324391
7470 4.0732998175
7527 3.9732654230
7596 3.9545923143
7814 3.8413252896
7902 3.7235305228
7953 3.7196080775
7977 3.5556982483
8192 3.3954044454
8199 3.3327066718
8412 3.2144727098
8521 3.2053354762
8566 2.9185516716
8623 2.8948902574
8883 2.7551961650
8922 2.5452279736
8980 2.4577233970
9175 2.4472199663
9301 2.4431308982
9357 2.4349022451
9375 2.3778194885
9389 2.2479523249
9471 2.2473950082
9476 2.2180524304
9481 2.1189967027
9516 2.1186938324
9568 2.1140728396
9593 2.0681444760
9604 1.9460170236
9656 1.8136331184
9849 1.7630700438
9863 1.7366908091
9955 1.7263290897
9975 1.7003850004
9986 1.6496373382
10002 1.5921056709
10048 1.5185976218
10238 1.4987718927
10275 1.4347371798
