evaluations raw_y
1 30043173.0951458514
2 13866949.9959702417
3 5091910.2425528979
8 4799734.6225759704
9 4685072.7251148485
17 3304260.4801207907
18 193233.3958391591
21 116429.5625170854
26 54220.8026309984
39 35546.6830519954
60 155.7800300099
454 80.1538891110
489 25.8287905659
505 20.8329072086
544 20.4927466854
606 12.2144023739
613 10.7479514006
652 8.9555709685
832 8.9381719873
928 8.7648607694
982 7.5607613975
1021 7.4273209974
1139 6.7467417844
1248 5.5007929546
1278 4.7940998342
1595 3.6608902747
1685 3.0896510199
1696 2.5527946914
2068 2.3831016007
2098 2.3508490054
2111 2.3323268426
2136 2.0705936147
2148 1.8543017184
2187 1.6096811743
2209 1.5784460389
2210 1.1301132834
2219 0.8599386392
2247 0.3813064461
2319 0.2505354051
2386 0.1613534076
2417 0.1098351153
2465 0.1086188942
2482 0.0133861460
2532 0.0034194122
2788 0.0012246406
2931 0.0009883835
2983 0.0004781047
3081 0.0001358338
3179 0.0000439770
3326 0.0000314673
3390 0.0000269336
3392 0.0000213961
3470 0.0000154517
3501 0.0000088827
3572 0.0000071306
3574 0.0000001803
4033 0.0000001448
4068 0.0000001422
4070 0.0000001278
4190 0.0000000806
4203 0.0000000516
4257 0.0000000477
4262 0.0000000337
4275 0.0000000284
4317 0.0000000203
4362 0.0000000132
4384 0.0000000094
4398 0.0000000088
4422 0.0000000009
4713 0.0000000005
4776 0.0000000003
4789 0.0000000002
4812 0.0000000000
4867 0.0000000000
5008 0.0000000000
5345 0.0000000000
5360 0.0000000000
5393 0.0000000000
5400 0.0000000000
5554 0.0000000000
5555 0.0000000000
5597 0.0000000000
5683 0.0000000000
5820 0.0000000000
5934 0.0000000000
6411 0.0000000000
evaluations raw_y
1 6430883.8263310073
3 3000465.7943501389
6 1990140.8696569826
8 357739.6324767991
22 187243.1928169161
32 70739.6572257928
48 26329.5908870328
78 3664.0327248846
139 2725.5244189532
173 1165.6125981229
180 170.5931694470
199 146.7724928197
206 95.7501265255
254 84.8757453656
323 77.8099333283
528 70.7369626346
1458 70.5319019724
1522 67.4989606546
1629 65.5711542174
1693 64.6082880464
1757 62.8835329062
1770 60.7710515937
1820 60.5117376414
1826 59.7288277521
1830 55.7293912398
1864 55.1784978011
1921 51.0437568081
1938 47.4880880386
1939 35.0448654544
1994 31.2845592489
2001 19.9472361325
2015 13.9395308135
2032 9.2415104502
2039 6.4871188949
2057 5.7326373502
