evaluations raw_y
1 36.6890170935
8 12.9189379330
15 10.6623886091
16 4.3095258031
25 2.6603170980
60 1.3891028441
67 1.1967870295
125 0.7441433864
127 0.0402602911
256 0.0253006350
267 0.0154880327
372 0.0021837829
477 0.0015305896
692 0.0002742835
819 0.0002678518
1252 0.0001094334
1337 0.0000533569
1467 0.0000001803
2506 0.0000000622
2548 0.0000000379
2560 0.0000000371
2746 0.0000000326
2755 0.0000000315
2819 0.0000000100
2975 0.0000000063
3030 0.0000000045
3117 0.0000000031
3195 0.0000000004
3303 0.0000000003
3402 0.0000000000
3434 0.0000000000
4080 0.0000000000
4247 0.0000000000
4549 0.0000000000
4860 0.0000000000
4937 0.0000000000
5127 0.0000000011
evaluations raw_y
1 49.1219269501
3 19.0599344437
22 12.5489822575
45 7.0185752479
67 2.3064386291
92 0.1640210929
262 0.1475622523
306 0.1429239606
313 0.0255261079
343 0.0223084835
396 0.0086303213
413 0.0046683275
646 0.0014251348
737 0.0005352303
823 0.0001479309
1095 0.0001010578
1156 0.0000580681
1257 0.0000429961
1422 0.0000318982
1467 0.0000009030
1828 0.0000004762
1997 0.0000001318
2095 0.0000000003
3117 0.0000000002
3268 0.0000000000
3400 0.0000000000
3536 0.0000000000
3698 0.0000000000
4031 0.0000000000
4289 0.0000000000
4389 0.0000000000
4633 0.0000000000
4656 0.0000000000
4726 0.0000000000
5015 0.0000000000
evaluations raw_y
1 1909.2639719832
8 1.5495341366
13 1.4279867362
135 0.7288379918
245 0.7090748965
262 0.2012019300
298 0.0207588859
336 0.0182525028
437 0.0138720983
439 0.0059065994
476 0.0025783909
591 0.0004903951
896 0.0002078459
973 0.0000294808
1453 0.0000208974
1536 0.0000079666
1575 0.0000047606
1709 0.0000041541
1992 0.0000017328
2110 0.0000005406
2147 0.0000004637
2259 0.0000002547
2356 0.0000001009
2395 0.0000000278
2726 0.0000000017
3229 0.0000000009
3293 0.0000000005
3359 0.0000000004
3390 0.0000000001
3391 0.0000000001
3601 0.0000000000
3878 0.0000000000
4145 0.0000000000
4228 0.0000000000
4255 0.0000000000
5059 0.0000000000
5196 0.0000000000
5256 0.0000000000
evaluations raw_y
1 8.5749790913
11 2.2457668209
47 1.4802843292
67 0.4141663321
81 0.2948102769
94 0.2053148411
180 0.0110655489
285 0.0083879122
480 0.0050678484
657 0.0024430307
755 0.0001966529
1262 0.0001735946
1402 0.0001583454
1502 0.0000450040
1613 0.0000334497
1628 0.0000282446
1643 0.0000231222
1669 0.0000132938
1808 0.0000119141
1814 0.0000084689
1846 0.0000008319
2139 0.0000005471
2180 0.0000001087
2503 0.0000000620
2737 0.0000000510
2756 0.0000000288
2776 0.0000000055
2829 0.0000000024
3304 0.0000000006
3706 0.0000000002
3759 0.0000000002
3767 0.0000000001
3850 0.0000000000
3917 0.0000000000
4065 0.0000000000
4160 0.0000000000
4304 0.0000000000
4418 0.0000000000
4991 0.0000000000
5003 0.0000000000
5045 0.0000000000
evaluations raw_y
1 102619.6634444649
2 50094.5721907304
3 215.4980448964
4 166.3257203257
9 137.9560423612
10 4.8048559957
14 1.6834872945
31 1.3716747730
32 0.7186660683
42 0.4786359046
67 0.4209339076
92 0.2192023218
121 0.1647171777
130 0.0259072653
147 0.0205139268
414 0.0007878963
1130 0.0000290800
1413 0.0000142875
1724 0.0000069972
2260 0.0000005388
2315 0.0000003795
2401 0.0000000535
2699 0.0000000110
2737 0.0000000049
3316 0.0000000019
3386 0.0000000012
3446 0.0000000006
3706 0.0000000005
3710 0.0000000000
3991 0.0000000000
4006 0.0000000000
4065 0.0000000000
4264 0.0000000000
4418 0.0000000000
5193 0.0000000000
5285 0.0000000000
5288 0.0000000000
5291 0.0000000000
5345 0.0000000000
5431 0.0000000000
5475 0.0000000000
5605 0.0000000008
evaluations raw_y
1 230262.7334019956
2 4.6918114481
63 1.4099559776
82 1.3963066123
127 1.3709694890
131 1.3534832202
142 0.7561045382
143 0.7451168079
201 0.4424378408
240 0.3333332532
273 0.0798934704
278 0.0159374472
370 0.0112997323
426 0.0025082397
458 0.0022263932
774 0.0021517197
893 0.0018919349
979 0.0018660689
1005 0.0017887767
1007 0.0015618128
1066 0.0009921797
1107 0.0004393216
1130 0.0003493748
1190 0.0001812668
1205 0.0000478973
1560 0.0000051915
1740 0.0000050564
1851 0.0000009053
2120 0.0000003365
2437 0.0000000895
2469 0.0000000126
2726 0.0000000056
3108 0.0000000018
3277 0.0000000007
3304 0.0000000003
3481 0.0000000001
3706 0.0000000001
3710 0.0000000000
3807 0.0000000000
4155 0.0000000000
4527 0.0000000000
4835 0.0000000000
4877 0.0000000000
5024 0.0000000000
evaluations raw_y
1 11635.0860375797
2 3741.9768717895
3 27.2516722477
5 2.1157600877
31 1.6424201015
92 1.5073877363
117 0.7580848662
121 0.6388894629
153 0.5122544284
154 0.2013848118
193 0.1963844093
237 0.1703292912
256 0.0038589890
575 0.0002564217
1300 0.0000664399
1356 0.0000008539
2120 0.0000003285
2338 0.0000000229
2831 0.0000000209
2955 0.0000000122
2975 0.0000000113
3007 0.0000000018
3256 0.0000000001
3641 0.0000000000
3941 0.0000000000
4233 0.0000000000
4264 0.0000000000
5374 0.0000000013
evaluations raw_y
1 4915.3241546623
8 934.8580055513
13 435.1080467848
25 213.4086716355
31 3.8195814781
32 1.0688982619
42 0.7354535424
259 0.7054779443
264 0.2359347911
358 0.1910598897
417 0.1760792536
424 0.1466141494
438 0.0125624898
483 0.0064314514
510 0.0015828196
835 0.0010689658
944 0.0003661170
979 0.0002862285
1180 0.0002828882
1208 0.0001574814
1303 0.0000629106
1327 0.0000443080
1426 0.0000422485
1446 0.0000368474
1493 0.0000293496
1502 0.0000156047
1525 0.0000058329
1589 0.0000044752
1998 0.0000001799
2548 0.0000000196
2955 0.0000000080
2968 0.0000000031
3030 0.0000000007
3446 0.0000000005
3629 0.0000000002
3839 0.0000000001
3971 0.0000000000
4233 0.0000000000
4264 0.0000000000
4384 0.0000000000
4526 0.0000000000
5130 0.0000000000
5358 0.0000000000
5567 0.0000000000
evaluations raw_y
1 62434.5587211911
3 39109.4432010500
4 12538.6470334856
9 5157.3638713452
10 4.0651740925
18 2.4128832917
103 0.9447984764
159 0.4075646044
230 0.1913112584
329 0.0921502144
368 0.0746011575
374 0.0226329595
463 0.0017776900
692 0.0009582590
772 0.0008314492
