evaluations raw_y
1 56.3130465564
3 45.5318450982
4 38.1466599262
9 34.6424489111
10 16.0662845193
21 4.6026002688
30 4.0400198695
43 3.2203899569
50 1.2115247424
52 0.3294130837
55 0.0000000000
85 0.0000000000
evaluations raw_y
1 56.3130465564
3 45.5318450982
4 38.1466599262
9 34.6424489111
10 16.0662845193
21 4.6026002688
30 4.0400198695
43 3.2203899569
50 1.2115247424
52 0.3294130837
55 0.0000000000
85 0.0000000000
evaluations raw_y
1 53.6869534436
2 31.9027107123
7 4.9112396564
31 4.4623607299
32 4.2624657901
34 0.0000000000
62 86.5902843427
evaluations raw_y
1 57.4592003586
2 30.1006401009
7 5.0887603436
20 2.8253063174
26 0.5937328728
35 0.0000000000
49 0.0000000000
evaluations raw_y
1 56.3130465564
3 45.5318450982
4 38.1466599262
9 34.6424489111
10 16.0662845193
21 4.6026002688
30 4.0400198695
43 3.2203899569
50 1.2115247424
52 0.3294130837
55 0.0000000000
85 0.0000000000
evaluations raw_y
1 53.6869534436
2 31.9027107123
7 4.9112396564
31 4.4623607299
32 4.2624657901
34 0.0000000000
62 86.5902843427
evaluations raw_y
1 57.4592003586
2 30.1006401009
7 5.0887603436
20 2.8253063174
26 0.5937328728
35 0.0000000000
49 0.0000000000
evaluations raw_y
1 53.6869534436
2 31.9027107123
7 4.9112396564
31 4.4623607299
32 4.2624657901
34 0.0000000000
62 86.5902843427
evaluations raw_y
1 53.6869534436
2 31.9027107123
7 4.9112396564
31 4.4623607299
32 4.2624657901
34 0.0000000000
62 86.5902843427
evaluations raw_y
1 52.5407996414
3 50.8515322491
4 37.7632564045
9 32.6319781689
10 15.2406483394
19 13.0677877793
21 5.1785971529
23 3.8795486084
28 2.3578200800
33 1.7143959570
39 1.2262662897
44 1.2049100336
45 0.0000000000
71 0.0000000000
evaluations raw_y
1 52.5407996414
3 50.8515322491
4 37.7632564045
9 32.6319781689
10 15.2406483394
19 13.0677877793
21 5.1785971529
23 3.8795486084
28 2.3578200800
33 1.7143959570
39 1.2262662897
44 1.2049100336
45 0.0000000000
71 0.0000000000
evaluations raw_y
1 53.6869534436
2 31.9027107123
7 4.9112396564
31 4.4623607299
32 4.2624657901
34 0.0000000000
62 86.5902843427
evaluations raw_y
1 56.3130465564
3 45.5318450982
4 38.1466599262
9 34.6424489111
10 16.0662845193
21 4.6026002688
30 4.0400198695
43 3.2203899569
50 1.2115247424
52 0.3294130837
55 0.0000000000
85 0.0000000000
evaluations raw_y
1 57.4592003586
2 30.1006401009
7 5.0887603436
20 2.8253063174
26 0.5937328728
35 0.0000000000
49 0.0000000000
evaluations raw_y
1 56.3130465564
3 45.5318450982
4 38.1466599262
9 34.6424489111
10 16.0662845193
21 4.6026002688
30 4.0400198695
43 3.2203899569
50 1.2115247424
52 0.3294130837
55 0.0000000000
85 0.0000000000
