evaluations raw_y
1 12.5085533172
2 3.2251264158
12 2.5180766140
25 1.6882699237
40 0.7556153972
42 0.4365949968
48 0.1825155488
54 0.0806263704
73 0.0731637697
113 0.0233241685
114 0.0151525208
115 0.0128158786
133 0.0048016749
171 0.0035134664
193 0.0016357646
202 0.0001109196
316 0.0000817884
327 0.0000809511
338 0.0000584353
356 0.0000016304
519 0.0000007968
548 0.0000005675
630 0.0000001226
767 0.0000000194
1036 0.0000000139
1100 0.0000000113
1103 0.0000000034
1120 0.0000000005
1285 0.0000000004
1393 0.0000000002
1408 0.0000000000
1988 0.0000000000
2214 0.0000000000
2412 0.0000000000
2855 0.0000000000
evaluations raw_y
1 26.0370587752
3 3.0505355759
15 0.5560587768
17 0.3337238776
43 0.3227362355
48 0.0485100100
113 0.0126917168
114 0.0060936696
142 0.0007096499
143 0.0003229904
232 0.0001870620
266 0.0001172235
288 0.0000016933
363 0.0000000031
1103 0.0000000020
1189 0.0000000000
1843 0.0000000000
1939 0.0000000000
2027 0.0000000000
2203 0.0000000000
2254 0.0000000000
2268 0.0000000000
2426 0.0000000000
2509 0.0000000000
2906 0.0000000000
evaluations raw_y
1 3.3027872385
4 2.1932670184
8 0.4183134420
15 0.2027410444
40 0.0697305635
48 0.0123325599
54 0.0065548639
113 0.0045670490
114 0.0013665362
142 0.0010484305
143 0.0005722752
171 0.0004776934
202 0.0001895228
252 0.0000920497
288 0.0000046337
363 0.0000014917
485 0.0000000161
1082 0.0000000145
1103 0.0000000094
1135 0.0000000067
1145 0.0000000037
1189 0.0000000003
1285 0.0000000002
1521 0.0000000001
1800 0.0000000001
1843 0.0000000000
1852 0.0000000000
1939 0.0000000000
2036 0.0000000000
2092 0.0000000000
2203 0.0000000000
2214 0.0000000000
2268 0.0000000000
2270 0.0000000000
2412 0.0000000000
2426 0.0000000000
2793 0.0000000000
evaluations raw_y
1 6.0490510402
2 1.9653387065
9 0.3186655077
41 0.2954834537
42 0.0124614850
113 0.0026789075
114 0.0016964077
142 0.0009945090
143 0.0008292779
171 0.0002292153
202 0.0002064654
232 0.0001314908
283 0.0000636114
288 0.0000168473
303 0.0000035741
356 0.0000034708
363 0.0000027333
416 0.0000000823
630 0.0000000664
746 0.0000000168
1015 0.0000000082
1103 0.0000000023
1120 0.0000000008
1145 0.0000000008
1393 0.0000000002
1408 0.0000000001
1521 0.0000000000
1843 0.0000000000
1965 0.0000000000
2092 0.0000000000
2203 0.0000000000
2214 0.0000000000
2426 0.0000000000
2886 0.0000000000
evaluations raw_y
1 8.9953479002
2 5.6467199919
7 4.8357314021
11 3.5906005572
12 1.1961534633
40 0.5777892418
42 0.4508821929
48 0.0783391877
54 0.0247651109
113 0.0072250185
