evaluations raw_y
1 332420.5030036861
2 84759.5108760935
7 50560.7636756220
29 38216.4070621127
39 14074.6763762954
117 6997.1607913927
125 6109.2825879905
128 1696.6412832413
133 1333.4656627798
345 1264.5607573591
353 1249.3971604018
355 1223.7711749069
374 1084.7826641766
395 1036.8119367287
403 905.1781298562
415 825.9266823047
437 797.6258001472
451 736.4948592504
533 725.0800143441
540 697.7983178729
548 680.2959624242
552 607.7132298175
559 594.6542762220
590 576.6411626111
615 531.9519421790
632 513.9539061938
766 512.4457972843
771 461.3007771993
958 461.0979412821
1245 458.7550277620
1281 449.2740084852
1284 411.3534917085
1402 411.0729249819
1500 348.2103464747
1736 338.7719307777
2856 333.0472412638
2876 319.4907846486
3081 305.6923936681
4260 301.5689865826
4395 282.4551680366
13229 273.2430324510
15838 272.8439557936
18116 271.6126320495
19295 252.3046019007
47318 214.0253770137
96844 196.7269029357
97106 195.9841544493
97162 152.0906162565
97563 146.8244108612
97691 137.8112035281
97833 126.1371005332
98079 120.7814137236
98210 110.0610765643
98575 105.4243788182
98886 98.2005847694
98949 94.1717120546
99064 81.5815760847
99441 81.5687391293
99469 81.0788469337
99569 77.1279098643
99634 73.0004545936
99672 66.9102770922
99835 62.1163937765
99987 60.2624353510
100087 59.4652562200
100242 56.9238665055
100300 54.9168508078
100362 51.9290877427
100389 50.2303089593
100476 49.5368990047
101051 46.6488795391
101203 45.9628616227
101212 44.6615017050
101330 43.2920067403
101384 42.6326233389
101424 41.0410061950
101479 39.9899697758
101541 39.4055032195
101585 39.1170214168
101667 38.7389944717
101813 38.3876209496
101820 38.0962855759
101870 36.9162659567
101962 36.7076704060
102256 36.2367136224
102325 35.2221251142
102375 34.2339267593
102678 34.0563668173
102706 33.4452261372
102747 33.4266013351
102843 33.4245977654
102854 31.7672736132
102968 31.7659372478
103160 31.5915919594
103173 31.5734347710
103234 31.1479201203
103283 30.9818382693
103343 30.4033759574
103438 30.3241767498
103660 29.6817068439
103738 29.4744513400
103852 29.2692734644
104096 28.6991743056
104290 28.6826727498
104323 28.6515508932
104335 28.5532880679
104441 28.0642565667
104646 27.9928000006
104678 27.8925401158
104719 27.8812572228
104768 27.7842921300
104799 27.7683304215
104828 27.3630944360
104948 27.2996662785
105232 27.2909168989
105271 27.0815571273
105300 26.8327542631
105629 26.7867215576
105664 26.7099016638
105897 26.6917462830
105910 26.4793500413
105969 26.4601355632
106126 26.4486983247
106156 26.3879759129
106209 26.2744548001
106325 26.2404705928
106384 26.2276889486
106441 26.1937898671
106458 26.1620866958
106614 26.0782745649
106815 25.9845738603
106974 25.9757311356
107024 25.9686419530
107044 25.9039187973
107224 25.8948504345
107428 25.8679229329
107474 25.8462023723
107535 25.8418750519
107551 25.8292530238
107592 25.8196945013
107616 25.7827921375
107627 25.7757656315
107734 25.7537682748
107783 25.6771983146
107856 25.6664202918
107981 25.6588156491
108018 25.6248636490
108238 25.6191856163
108368 25.6062810491
108415 25.5194081409
108695 25.4776873363
108780 25.4769142285
108792 25.4768809493
108887 25.4386732284
109246 25.4002364394
109501 25.3945417053
109637 25.3858290785
109663 25.3703601705
109711 25.3539895522
109790 25.3385215287
109855 25.3340592315
109901 25.2855239228
110095 25.2807505586
110099 25.2659446381
110223 25.2556572342
110227 25.2528985512
110385 25.2522024634
110427 25.2344543511
110520 25.2163647042
110562 25.2069954942
110672 25.1934861706
110876 25.1864478976
110887 25.1569498679
110888 25.1568491355
111062 25.1493236445
111097 25.1433967309
111258 25.1384186504
111306 25.1254824153
111476 25.1212681315
111484 25.1168735282
111487 25.1134847699
111515 25.1095799310
111541 25.1093883425
111598 25.1045451748
111620 25.0982661487
111721 25.0915473095
111868 25.0894347636
111965 25.0842037199
112014 25.0803542023
112113 25.0723365152
112153 25.0681197668
112271 25.0633954928
112476 25.0621950675
112622 25.0528200551
112911 25.0444053341
113077 25.0413965507
113291 25.0399892321
113405 25.0377710672
113441 25.0371260785
113546 25.0333655443
113667 25.0310013542
113729 25.0271461914
113786 25.0260158296
113862 25.0257208997
113891 25.0250090261
113912 25.0243882742
113950 25.0239837931
113991 25.0221323240
114090 25.0197820675
114166 25.0191675800
114291 25.0178819516
114313 25.0173745057
114324 25.0158375356
114543 25.0155121212
114694 25.0143557931
114759 25.0141949349
114810 25.0137359603
114850 25.0124311929
114859 25.0118288189
114890 25.0100917783
115131 25.0096959293
115204 25.0090829889
115355 25.0082562864
115368 25.0080982559
115472 25.0078255150
115479 25.0075659021
115564 25.0075656715
115627 25.0075295085
115664 25.0065717583
115850 25.0064528970
115906 25.0062498701
115911 25.0060835238
116000 25.0059199469
116072 25.0054447880
116338 25.0054306441
116376 25.0045968678
116718 25.0045483200
116862 25.0044902386
116877 25.0042769106
116913 25.0040854074
117064 25.0037926016
117472 25.0037413370
117483 25.0037083539
117487 25.0036465746
117502 25.0035755098
117545 25.0035697651
117578 25.0034752222
117661 25.0034458876
117703 25.0031865516
117948 25.0031631110
118102 25.0031612980
118165 25.0030593699
118209 25.0030208148
118260 25.0029454549
118290 25.0029434477
118307 25.0028388368
118454 25.0027524717
118541 25.0027432213
118582 25.0027295913
118700 25.0026955680
118723 25.0026801798
118781 25.0026731161
118819 25.0026045744
118869 25.0025945365
118937 25.0025716863
118981 25.0025161126
119011 25.0024986673
119109 25.0024778751
119299 25.0024576630
119403 25.0023760747
119945 25.0023557242
119981 25.0023547522
120122 25.0023436994
120144 25.0023429715
120234 25.0023349096
120267 25.0023315717
120374 25.0022959250
120620 25.0022918388
120636 25.0022882005
120721 25.0022765051
121006 25.0022465643
121300 25.0022442650
121362 25.0022422707
121447 25.0022406437
121516 25.0022325626
121627 25.0022294621
121742 25.0022283552
121762 25.0022232964
121886 25.0022232347
121911 25.0022229089
121936 25.0022225979
121986 25.0022221817
122000 25.0022220881
122012 25.0022217681
122045 25.0022191880
122065 25.0022167383
122098 25.0022158455
122101 25.0022153497
