evaluations raw_y
1 505.8632012977
2 54.9292020059
9 33.6712726126
33 24.9684078608
116 24.9246001597
153 24.8865383808
166 11.8831006261
328 7.5772598667
686 6.8532627579
1397 5.7612188481
1435 5.0423837178
1477 4.2986193505
1898 2.4818148812
3626 1.8444853348
4448 1.1071348731
5293 0.9713936308
5909 0.8362515349
9958 0.5199950127
10815 0.4639450634
11325 0.4454907940
12946 0.4053742378
13220 0.2515524685
13688 0.1982660053
13857 0.1520989262
14082 0.0172482453
16467 0.0118506986
16820 0.0108497168
16869 0.0039564307
17400 0.0027641808
17773 0.0008014600
18016 0.0007341052
18546 0.0001759027
19428 0.0001601874
19852 0.0000987438
20561 0.0000356500
21369 0.0000095114
21639 0.0000028009
23282 0.0000027615
23711 0.0000013723
24127 0.0000007298
24419 0.0000005220
25656 0.0000002305
25764 0.0000001872
25994 0.0000001454
27039 0.0000000626
27653 0.0000000600
27806 0.0000000473
27926 0.0000000179
28402 0.0000000101
29019 0.0000000048
29564 0.0000000026
29915 0.0000000018
30184 0.0000000761
evaluations raw_y
1 249.5439693093
2 68.5048151272
14 43.3010985664
21 43.1746885661
101 28.3647752947
148 11.9057761239
249 7.6473698155
1368 6.9494571201
1727 3.3446845862
2785 2.8159348935
3292 2.6886430121
4926 1.2956808258
7062 0.6334565310
8429 0.5927472576
8879 0.3943169195
9203 0.3502538849
30182 0.9949592149
evaluations raw_y
1 280.7760370912
2 105.7484044423
5 80.4266433115
6 77.8681958477
7 32.9736825712
41 11.8939810973
459 11.6030689752
1557 10.9099622175
1634 7.9081314947
2064 5.4625105232
2202 4.4449845719
3319 2.9529561675
4199 2.1965072568
5565 1.8586766014
7226 1.6690911315
7477 1.4660442201
7801 0.3583755966
30183 0.9949590946
evaluations raw_y
1 441.3343267249
3 374.6813574576
5 160.1004978084
18 138.5792875061
23 68.0389353752
34 63.4894971628
48 46.5711197393
138 40.5651791995
264 34.3592885061
315 25.6972412800
404 24.4719454949
458 17.1936190579
820 13.9983722184
1176 12.9894303246
1708 8.1867356706
2554 4.8419456951
4237 2.9638553894
6243 2.0994015376
6988 1.2821832414
7777 0.5043438664
8908 0.1132143218
30183 1.9899181323
evaluations raw_y
1 332.3237819360
7 149.9676660579
18 96.3590035359
42 95.2833328939
80 86.8377069541
108 83.8385189712
115 56.5450051699
134 51.5882535377
138 30.0438117743
147 26.6910994528
254 7.9879897734
406 4.6266303710
3239 1.4803491636
6775 0.8844338334
8066 0.7564879306
14542 0.6543134998
15162 0.5612076555
30184 0.9949747310
evaluations raw_y
1 219.3469677165
2 93.1701782038
4 80.2177762124
8 76.6697900080
17 76.1183146660
20 57.2614617500
23 46.5175762294
39 42.9039390365
44 32.9100901079
166 23.3720162567
366 20.9250091683
514 20.7542234997
602 5.7356944598
2471 3.1538595483
3879 2.8336996293
4248 1.8124843972
4719 1.1460515104
6693 0.5782113973
30184 1.9899216038
evaluations raw_y
1 496.9045092667
3 300.1338350034
4 294.2780527691
5 159.7907093556
16 138.2959925256
18 93.5585511494
19 55.3602718478
130 47.9393184383
168 40.5194287465
487 36.3514077095
575 34.7070943457
580 29.3879236413
583 28.6398723891
588 20.1804927327
1025 20.0254029760
1170 19.0818986917
1368 9.3165750441
2236 8.4944851095
2826 8.4781839474
2970 8.2135731660
3405 5.3913980677
3752 5.0769825001
3944 3.3985768725
4602 1.8470953778
6991 1.3395195237
11702 1.1355788754
30180 1.9899199147
evaluations raw_y
1 266.8793406442
7 141.4325743265
11 83.7513114901
42 75.1395515921
61 65.7588310363
113 63.7121685626
116 57.7712030392
143 57.5991721334
156 28.1294284715
234 20.7388091093
434 16.7089086982
800 9.9085534275
1106 6.8850369614
2391 4.6821256709
2610 3.0079153457
5079 1.4663017963
6507 1.4295984160
6587 1.2789388985
8940 0.8002286583
11835 0.3587624915
11899 0.1947755072
14111 0.1304712988
14250 0.0198449479
16867 0.0087590723
16955 0.0060670305
17542 0.0032631778
19861 0.0025276250
20472 0.0012634450
22032 0.0010855746
22044 0.0010810451
22297 0.0001605713
22998 0.0000492595
23745 0.0000188430
24125 0.0000148534
24417 0.0000005031
27037 0.0000003065
29017 0.0000002562
29913 0.0000001578
29976 0.0000001351
30184 0.0000093561
evaluations raw_y
1 365.4267951253
7 260.8515447071
8 218.0848827332
11 189.2367288275
18 141.6301715291
21 118.1045320368
35 89.5836503448
111 88.8935753941
116 45.4096409967
220 25.5278567882
322 23.6626577098
564 13.6560366467
