evaluations raw_y
1 978.7758855280
2 601.8892608214
6 629.5403466419
8 622.4739307806
21 575.7547400364
23 477.4112143071
24 524.1888503237
28 477.3299088536
116 468.5132745745
126 426.8689695286
132 401.3499217061
137 285.4707500098
392 268.2109186532
490 230.4470350303
923 193.4376058130
2444 178.1545241156
3312 166.3526664375
3848 142.7248549104
4926 138.8093439325
5106 118.2513946822
5505 111.6859735351
7156 103.9175889489
7208 100.5035222729
7840 98.4054947707
8370 91.7533415625
8582 76.1577259899
8810 76.1556327344
8990 68.7211707749
9744 55.8433690290
13056 51.9631389869
14968 49.7414912730
15442 48.2698733859
17094 44.9159061290
18218 42.5178229040
18339 34.1590928109
23216 32.8608296019
23444 32.1431074983
25637 30.1377280150
26591 30.1000377368
26895 28.8889946048
27036 26.0445337241
27080 25.5330791075
27252 23.9639712989
27736 23.8932941506
28022 17.9397050158
28127 17.5103742599
29289 17.1508319710
30119 14.3020123442
31156 14.0272809254
31550 12.9829870272
32447 12.2913413500
32537 10.9293384310
33155 10.9233453449
33804 10.7750250909
34303 10.4642882858
35818 10.4029847471
35970 10.2518049143
35988 10.2129855109
36901 10.2112550024
37300 10.1096490279
38316 10.0943516693
38940 10.0761452548
39120 10.0651757198
39752 10.0643265432
39966 10.0628829561
39977 10.0289022996
40186 10.0242021589
40423 10.0117488021
40568 9.9877544529
40926 9.9853677433
41162 9.9816526932
41385 9.9711597087
42580 9.9677950025
43442 9.9616657020
43826 9.9611826760
43935 9.9577297700
44311 9.9561050608
44867 9.9544911263
45836 9.9523052525
46548 9.9521633543
46862 9.9513075143
47291 9.9507581320
47749 9.9500099467
50693 9.9499753661
50740 9.9498798780
51581 9.9497533381
52149 9.9497226021
52627 9.9497147562
53501 9.9496998243
53550 9.9496992828
53559 9.9496956898
53572 9.9496608929
54015 9.9496559774
54318 9.9496351081
54745 9.9495938014
58086 9.9495903600
59263 9.9495893383
59362 9.9495886021
59702 9.9495875956
60175 9.9495868560
61412 9.9495867397
61623 9.9495867231
62126 9.9495863272
62915 9.9495861640
63070 9.9495861086
63220 9.9495857949
64456 9.9495857403
64789 9.9495856672
66245 9.9495856605
66255 9.9495856561
66270 9.9495856527
66341 9.9495856148
66962 9.9495855987
67092 9.9495855827
67794 9.9495855753
68139 9.9495855727
68371 9.9495855661
68448 9.9495855570
68591 9.9495855535
68714 9.9495855529
69197 9.9495855528
69236 9.9495855520
69797 9.9495855428
70190 9.9495855423
70992 9.9495855351
72928 9.9495855350
73775 9.9495855349
73846 9.9495855340
74194 9.9495855337
75252 9.9495855335
75469 9.9495855335
76164 9.9495855335
76293 9.9495855334
77007 9.9495855334
77228 9.9495855333
77347 9.9495855333
77669 9.9495855333
78244 9.9495855332
78733 9.9495855332
78968 9.9495855332
79670 9.9495855332
79685 9.9495855331
81345 9.9495855331
81349 9.9495855331
81419 9.9495855331
81590 9.9495855331
81714 9.9495855331
82123 9.9495855331
83457 9.9495855331
83956 9.9495855331
84029 9.9495855331
84107 9.9495855331
84162 9.9495855331
84224 9.9495855331
84238 9.9495855331
84286 9.9495855331
86252 9.9495855331
86490 9.9495855331
87850 9.9495855331
87878 9.9495855331
88025 9.9495855331
88738 9.9495855331
88900 9.9495855331
89975 9.9495855331
91381 9.9495855331
95425 9.9495855331
evaluations raw_y
1 1209.9122848006
