evaluations raw_y
1 33.7850286453
2 24.1658362564
3 14.8551506959
4 16.2225292362
7 7.3166049276
11 4.3026213562
233 3.1568229507
362 1.3794212428
3989 13.5088945039
evaluations raw_y
1 13.5017492807
12 5.4427858374
29 3.0193599244
168 2.9736004121
204 2.8917588144
238 2.4871915632
421 2.0720297323
724 2.0713823716
3578 33.9608765931
evaluations raw_y
1 14.4732304318
5 7.0933233988
14 3.7374757633
332 3.7035855190
836 3.3178333522
1190 3.3092941459
1246 2.7049577509
1361 1.6732574547
2391 1.1548934136
3666 10.4397479674
evaluations raw_y
1 17.8093601298
3 15.4734177017
6 10.3093380700
10 4.7308642219
28 4.5311613122
88 3.3865370617
352 2.4769069821
582 1.2376043496
6076 26.9622777221
evaluations raw_y
1 28.2310579825
2 21.4122750211
4 13.2682348708
8 12.5608822046
9 5.3669866601
33 4.3117733777
323 2.5878867583
664 2.2209265771
1968 1.9065649404
3369 1.5910182887
4863 1.3571036990
5570 1.2411179844
5681 1.2031069292
5769 0.8291403292
5848 0.4541314777
6713 0.4127051997
6850 0.3162288485
7043 0.2799387666
7194 0.2388709827
7364 0.2105351147
7539 0.2076256453
7634 0.1934409270
7703 0.1878723845
7787 0.1834238167
8043 0.1816679800
8048 0.1773284205
8143 0.1735404282
8177 0.1728361495
8274 0.1708831548
8292 0.1657899450
8459 0.1651808028
8468 0.1642683081
8558 0.1629358729
8586 0.1628004432
8638 0.1620019139
8664 0.1607020440
8682 0.1605603107
8740 0.1604167625
8851 0.1603600706
8861 0.1602665114
8868 0.1591105614
8934 0.1586442704
9001 0.1585312469
9020 0.1581436396
9029 0.1580136913
9150 0.1579412601
9196 0.1576019819
9268 0.1573490362
9293 0.1564833051
9412 0.1563991484
9483 0.1557462162
9858 0.1557214004
9872 0.1556629925
9977 0.1555878717
10043 0.1555870677
10104 0.1554756930
10331 0.1554094842
10524 0.1553877223
10706 0.1553820235
10792 0.1553152431
10950 0.1553062470
11226 0.1552995786
11250 0.1552937856
11399 0.1552896788
11474 0.1552838285
11485 0.1552832138
11608 0.1552815241
11698 0.1552784201
11750 0.1552770708
11782 0.1552741751
11792 0.1552729971
11835 0.1552711398
12001 0.1552696399
12094 0.1552695021
12127 0.1552692404
12158 0.1552691984
12170 0.1552688593
12225 0.1552686590
12288 0.1552683834
12327 0.1552679875
12334 0.1552672602
12414 0.1552667210
12632 0.1552666906
12822 0.1552665505
12832 0.1552664471
12916 0.1552663490
13007 0.1552661854
13158 0.1552661719
13217 0.1552661512
13255 0.1552661465
13298 0.1552660754
13332 0.1552660157
13434 0.1552660018
13607 0.1552659750
13875 0.1552659739
13885 0.1552659714
13989 0.1552659672
14028 0.1552659664
14068 0.1552659644
14143 0.1552659604
14205 0.1552659592
14272 0.1552659526
14423 0.1552659483
14527 0.1552659457
14619 0.1552659452
14633 0.1552659448
14635 0.1552659442
14782 0.1552659434
14823 0.1552659433
14840 0.1552659511
evaluations raw_y
1 21.9637435242
2 10.7370913530
4 5.6816025611
23 8.7789239914
25 6.6875013707
35 6.5331407952
38 3.4254114754
463 3.1309342180
494 2.3969228275
518 2.3628358930
1071 1.8344437572
3291 1.1296993497
4170 21.6794813949
evaluations raw_y
1 12.0497024660
6 8.6595688658
8 9.7103038365
11 6.5906918644
17 6.1276541266
36 5.5967418768
72 5.3315078520
109 5.1408707432
142 4.8882066519
197 4.8019341981
207 4.4255470979
213 1.7891148006
410 1.1641100904
1979 1.6455976482
evaluations raw_y
1 24.8063023359
3 20.4260657304
4 18.3925678414
5 12.3959566063
10 10.1479451421
13 6.9267104924
47 5.7791319368
52 4.0407129920
145 1.6876353591
1848 18.5469551672
evaluations raw_y
1 34.4697365751
2 23.6892369018
4 11.1748449032
8 10.8262358393
12 10.5919378691
15 7.0824102089
19 5.9102604506
86 3.9091023943
146 2.7171672447
147 1.7529408892
2485 14.1053496312
evaluations raw_y
1 26.9839745951
2 21.9411098525
3 18.8308306923
4 14.1498049677
12 9.9393579060
26 9.0780366724
43 8.1422275674
47 4.6931310499
89 4.4776277582
247 2.9781622583
646 2.4936276593
1239 2.4109981512
1258 2.2464827352
1419 2.2242301001
1943 1.7446157471
4446 1.4993189413
4494 1.2975820855
5196 0.9264311851
5244 0.8697046475
5543 0.7158050012
5628 0.6801529539
5752 0.5771891122
5975 0.4861258292
6104 0.2972281615
6261 0.2949134437
6289 0.2724766094
6390 0.2678909154
6411 0.2560053719
6453 0.2504701635
6477 0.2475608703
6506 0.2416789568
6543 0.1943766038
6649 0.1597736870
6847 0.1551864508
7179 0.1536362577
7203 0.1527880140
7241 0.1521457248
7298 0.1397399029
7377 0.1373124938
7485 0.1348329172
7640 0.1336262520
7682 0.1306293405
7685 0.1279233842
7874 0.1273728024
7896 0.1248686216
7907 0.1211428327
8043 0.1193884418
8151 0.1166073988
8330 0.1164299530
8396 0.1162594245
8450 0.1154890831
8539 0.1154241709
8672 0.1152649502
8680 0.1151047150
8688 0.1145402755
8725 0.1144321968
8727 0.1143660120
8751 0.1143227980
8870 0.1141293997
9088 0.1138409549
9327 0.1138310629
9337 0.1138202444
9344 0.1136769933
9377 0.1136665411
9400 0.1136177758
9403 0.1133990618
9672 0.1133922426
9748 0.1133808037
9765 0.1133273412
9822 0.1132754941
9853 0.1132708228
9859 0.1132703710
9984 0.1132528126
10011 0.1132274117
10093 0.1132245307
10162 0.1132173730
10183 0.1131979662
10306 0.1131820544
10365 0.1131778564
10408 0.1131772323
10409 0.1131682562
10598 0.1131661752
10706 0.1131645951
10826 0.1131640408
10842 0.1131628736
10850 0.1131579481
11010 0.1131565553
11125 0.1131546135
11218 0.1131544459
11326 0.1131542239
11364 0.1131542100
11367 0.1131531796
11475 0.1131526887
11755 0.1131526248
11794 0.1131521334
11984 0.1131520821
12053 0.1131520338
12223 0.1131520314
12252 0.1131519241
12304 0.1131519168
12364 0.1131518653
12520 0.1131518615
12580 0.1131518429
12809 0.1131518260
12847 0.1131518254
12940 0.1131518027
13269 0.1131518020
13299 0.1131517973
13591 0.1131517969
13674 0.1131517952
13698 0.1131517944
13734 0.1131517944
13737 0.1131517928
14059 0.1131517940
evaluations raw_y
1 15.1183846325
2 13.2998810032
10 7.8912841309
16 6.9507768000
66 6.1713402696
81 1.9733274446
1758 1.8016025186
1901 1.5902118258
2518 17.4304201258
evaluations raw_y
1 17.6784613063
2 10.0958866912
4 4.6732238721
231 1.4764373636
569 1.3410690309
1865 15.1728808703
evaluations raw_y
1 12.9314395280
2 12.4450467217
9 11.2291096088
18 7.7377983006
23 7.6168763993
60 4.3020568562
132 4.2798614490
215 3.8121781747
291 3.1702155519
581 1.9097627577
3301 1.8150998585
3482 1.4406864482
3641 1.3198030392
3644 1.2541442799
4053 0.8657108216
4164 0.8005204600
4286 0.4881709149
4428 0.4322762199
4603 0.2988058442
4858 0.2473940493
5070 0.2309600192
5256 0.1741781323
5534 0.1413905770
5549 0.1308251329
5594 0.1252482050
5671 0.0847492176
5715 0.0411972192
6111 0.0295895311
6241 0.0232793945
6526 0.0194430600
6574 0.0172247007
6638 0.0169752454
6651 0.0162876940
6676 0.0153299257
6696 0.0132701540
6752 0.0128621096
6758 0.0116407399
6772 0.0101308318
6813 0.0095869684
6853 0.0093867911
6911 0.0072610098
7007 0.0048127188
7049 0.0039954802
7120 0.0032816590
7293 0.0027215670
7331 0.0023850682
7443 0.0023035041
7489 0.0021484048
7516 0.0017966474
7622 0.0017685104
7638 0.0015902451
7640 0.0013615988
7709 0.0013575021
7747 0.0008745037
7788 0.0006543745
7880 0.0004795192
7947 0.0002526081
8344 0.0002390070
8450 0.0002189451
8561 0.0001951182
8575 0.0001330494
8715 0.0001204058
8722 0.0001002709
8753 0.0000857280
8849 0.0000378322
9198 0.0000272093
9201 0.0000191221
9285 0.0000118976
9533 0.0000090141
9560 0.0000062196
9838 0.0000052252
9896 0.0000049148
9924 0.0000036288
10073 0.0000026732
10188 0.0000023624
10233 0.0000022449
10299 0.0000015749
10325 0.0000015224
10405 0.0000012816
10473 0.0000005541
10756 0.0000003909
10936 0.0000003834
10952 0.0000002977
11008 0.0000001996
11156 0.0000001562
11292 0.0000001278
11360 0.0000001112
11374 0.0000000782
11559 0.0000000708
11607 0.0000000653
11637 0.0000000611
11677 0.0000000456
11698 0.0000000440
11742 0.0000000419
11790 0.0000000383
11812 0.0000000369
11886 0.0000000356
11931 0.0000000325
11966 0.0000000255
11996 0.0000000240
12035 0.0000000349
evaluations raw_y
1 15.2492763351
2 12.0251412027
6 10.8882054428
7 8.7111842360
64 3.6205922160
453 3.2096340631
602 1.9067582375
2331 1.8941874871
2351 16.9355572730
evaluations raw_y
1 7.4033108337
8 5.3135242359
44 3.8707717193
96 4.3124823148
239 1.8873288761
338 2.7139090200
1225 2.2564150811
2769 1.3166969303
3626 23.6185745210
