evaluations raw_y
1 558897.2435964601
2 426746.7922937811
5 276993.3252084512
11 161314.0455034349
23 85728.5225946934
25 8861.3722934430
37 4686.5077726894
52 2157.0634988107
68 1530.6923119073
79 730.1036817504
138 517.6331076659
141 474.1586204969
147 390.5306955111
149 164.3080297437
187 140.1499279279
284 129.7224171526
294 94.6575023666
305 64.3252355795
317 38.6079967999
344 19.9615843522
392 8.1350132454
413 6.4931857743
471 6.2343838228
519 5.6735323725
568 4.4356907781
602 3.9343951541
763 3.8763789122
843 3.8214318872
879 3.7964341594
890 3.7852732383
911 3.2743031011
1074 3.2476737730
1118 3.1688234267
1175 2.8851068776
1188 2.7475195369
1547 2.4559930555
1559 2.3888921098
1662 2.2146793883
1681 1.9963751682
1696 1.8548346949
1765 1.7101103165
1905 1.4591544719
2384 1.3698783814
2440 1.3312139313
2444 1.2068418948
2507 1.1503252947
2520 1.0066000058
2676 0.9544910677
2726 0.9364883156
2759 0.8833907289
2800 0.7859863092
2822 0.7274360286
2840 0.7068223790
2921 0.6573737821
2955 0.6356756611
3123 0.5844831023
3125 0.5686416423
3132 0.5648181160
3234 0.5514844307
3308 0.5472082332
3350 0.5397022076
3362 0.5204662583
3366 0.4964262389
3377 0.4926444343
3382 0.4822449217
3393 0.4433477553
3467 0.4051877304
3529 0.3979084790
3539 0.3700434109
3561 0.3356907045
3726 0.3089751703
3757 0.3021355322
3773 0.2917482010
3827 0.2099073577
4082 0.1620304712
4087 0.1469510154
4344 0.1035837276
4413 0.1029097236
4423 0.0966576116
4518 0.0801164439
4657 0.0609700516
4778 0.0550025881
4920 0.0493925483
4937 0.0490918055
4942 0.0413374079
4985 0.0288834346
5055 0.0232609147
5186 0.0190281863
5202 0.0127319307
5243 0.0123358048
5299 0.0081314748
5448 0.0075115386
5489 0.0059960766
5511 0.0020606913
5806 0.0011032218
5864 0.0006092474
5953 0.0005085233
6013 0.0005012483
6147 0.0003236790
6158 0.0002748896
6186 0.0002371036
6230 0.0002148873
6249 0.0000881342
6293 0.0000557245
6539 0.0000488515
6608 0.0000356440
6656 0.0000211460
6794 0.0000118680
6886 0.0000110701
6891 0.0000063571
6924 0.0000049603
6954 0.0000023507
