evaluations raw_y
1 409005.5688438612
4 374265.3208533084
16 368587.5319494645
17 326842.9802468678
36 305516.8663811044
41 284541.5619796524
44 270393.7631980586
53 261517.1296321939
56 205058.8028407442
61 178979.2650734241
81 178606.7953679790
88 154235.1603053281
91 144762.7518980566
98 131705.4542952793
100 123211.9907002127
102 119114.4836297497
119 59077.8295045166
185 53270.8199045502
204 50079.5056469539
220 50034.1918887309
242 33219.9311317840
298 30383.3474986854
323 29843.7271618334
334 11052.2164523064
403 10860.6267980008
451 7425.9728119496
537 6429.8984323874
577 4102.8797507976
609 3006.8686049126
643 1763.0210088864
751 1655.0974856968
763 712.6226622624
811 524.6085701861
827 520.1533124834
847 484.6699351280
864 62.7654567901
871 46.3390456768
882 14.4178974732
926 8.9555195410
930 4.9134696689
951 4.0771637623
1030 3.8212942854
1042 3.7106392319
1061 3.6354454218
1098 3.5603754562
1525 3.4112701198
1953 3.3123851446
2848 3.2615735221
3778 3.0545248785
4460 3.0245862278
4635 2.9969070579
4972 2.9373276438
5022 2.9015459000
5099 2.8697084311
5324 2.7900001949
5458 2.7473700577
5515 2.7221921668
5574 2.6351233940
5694 2.5619114146
5939 2.5602432235
6084 2.5169472744
6127 2.4348980565
6340 2.4083564862
6524 2.3750495483
6534 2.3451777175
6604 2.3315185925
6706 2.3074978548
6817 2.2114793020
7050 2.1546396912
7160 2.1509107695
7310 2.1489552889
7311 2.1419212304
7318 2.1388314831
7337 2.1348274838
7392 2.1312231778
7400 2.1244698876
7422 2.1061668627
7438 2.1026939316
7571 2.0938224545
7646 2.0877746341
7708 2.0802303493
7810 2.0725025798
7817 2.0716751342
7849 2.0613064041
7880 2.0522734509
8078 2.0509221962
8131 2.0317515285
8221 2.0310605428
8289 2.0266125215
8398 2.0241975436
8433 2.0193705003
8640 2.0181436405
8670 2.0161829352
8720 2.0150855063
8737 2.0103613990
8949 2.0100128871
8982 2.0093897630
8996 2.0061136785
9045 2.0056949014
9052 2.0051457661
9119 2.0050905405
9145 2.0040002024
9169 2.0038200726
9179 2.0023707649
9306 2.0017766300
9386 2.0016479473
9442 2.0012362742
9550 2.0011490043
9586 2.0009827323
9650 2.0009538762
9684 1.9991223753
9726 1.9987315566
9939 1.9984902521
10022 1.9982929283
10055 1.9980185158
10073 1.9975389281
10145 1.9974413564
10161 1.9972214340
10196 1.9968162686
10243 1.9962325300
10353 1.9959940873
10457 1.9957145428
10473 1.9955756857
10539 1.9953365092
10759 1.9951456671
10806 1.9951381853
10848 1.9949964223
10893 1.9949939890
10945 1.9949302794
10975 1.9948498564
11031 1.9946686560
11240 1.9946026594
11348 1.9945989732
11379 1.9945548835
11466 1.9945347720
11473 1.9944970044
